Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.637,7.95,20.603,19.434,26.579,55.371,70.984,71.189,45.456,25.07,15.986,18.079
1952,19.379,18.577,37.641,29.215,36.487,55.371,75.103,76.049,52.282,16.897,1.335,16.182
1953,34.444,16.544,28.172,22.132,34.405,60.548,78.424,74.975,54.845,24.929,10.208,18.95
1954,33.635,32.101,26.238,19.559,31.312,62.228,73.684,73.134,58.906,27.526,9.319,18.953
1955,33.595,20.522,24.282,21.611,27.657,59.773,79.08,75.506,59.895,45.754,19.085,20.967
1956,31.826,13.644,29.753,22.524,41.105,70.597,76.598,73.691,57.394,43.453,19.389,21.243
1957,39.373,18.687,34.185,20.451,26.801,51.906,77.09,71.654,51.351,22.498,9.874,22.953
1958,25.218,20.653,25.156,26.14,30.201,50.36,76.85,76.144,59.782,39.318,22.458,26.775
1959,35.488,26.313,22.908,24.75,32.52,58.4,77.029,75.521,56.456,41.567,16.54,17.196
1960,23.097,5.649,37.701,20.495,29.951,52.68,77.195,76.274,56.349,33.721,12.684,18.342
1961,34.26,31.261,29.257,21.324,31.881,59.422,76.345,75.67,58.71,41.487,24.265,25.753
1962,25.411,31.452,28.516,26.835,29.19,57.298,71.309,72.934,57.766,27.483,8.927,20.415
1963,17.842,3.511,24.765,24.971,29.045,53.623,71.119,71.804,50.651,27.34,24.752,17.569
1964,18.417,15.878,19.594,24.869,29.627,51.677,75.365,71.449,58.029,25.46,9.964,19.306
1965,22.877,14.604,24.624,28.462,26.196,44.987,70.973,69.173,50.01,29.53,13.352,12.109
1966,19.112,13.74,19.623,17.048,24.515,57.251,70.361,72.885,43.917,18.004,21.714,14.034
1967,18.129,5.301,35.446,22.997,29.627,52.995,75.267,74.975,53.936,20.298,13.827,36.263
1968,35.733,21.401,26.61,23.046,27.753,60.512,75.572,71.189,47.787,25.303,12.963,16.541
1969,17.924,15.91,24.595,23.2,35.854,54.777,75.102,73.337,59.126,25.41,21.141,17.666
1970,27.497,28.271,35.246,21.614,33.397,62.884,72.865,73.48,57.736,32.09,9.393,10.618
1971,24.692,14.942,25.895,29.351,38.961,69.392,77.297,75.208,53.952,41.647,18.383,17.026
1972,19.229,22.871,26.568,22.959,22.508,47.124,70.561,70.815,50.79,28.908,18.497,20.541
1973,24.786,19.183,26.603,18.574,32.573,58.596,74.066,73.773,58.587,40.073,12.414,18.285
1974,18.204,14.76,26.553,25.38,30.923,54.17,71.655,71.189,48.361,29.192,10.114,19.407
1975,28.301,23.842,30.285,22.293,29.09,55.555,72.509,73.102,59.314,38.307,15.611,13.113
1976,24.105,19.786,29.258,22.908,31.57,55.501,72.178,72.462,54.897,18.366,19.375,15.758
1977,23.237,13.07,22.343,28.191,37.042,55.897,76.421,73.773,56.177,28.372,24.13,21.359
1978,26.297,28.948,34.068,24.397,32.677,62.592,75.103,74.49,56.615,28.681,19.218,21.41
1979,31.67,30.605,28.536,20.916,24.878,47.579,71.739,66.964,41.621,20.312,23.665,24.417
1980,27.497,20.138,30.837,19.241,32.381,65.692,77.572,72.428,53.71,25.451,14.52,19.302
1981,31.466,21.099,32.05,23.133,33.186,56.072,75.103,71.645,53.664,24.33,18.056,20.573
1982,26.485,23.847,31.772,24.564,31.896,56.791,72.509,73.496,47.691,29.86,17.686,20.25
1983,25.74,22.737,29.257,25.607,32.581,57.135,71.31,69.91,55.554,32.328,14.349,17.872
1984,25.144,21.261,23.504,24.789,31.305,60.286,75.103,70.364,53.477,29.017,13.061,18.781
1985,27.317,13.765,25.409,22.642,31.025,57.444,73.44,73.245,54.654,30.125,15.914,19.595
1986,24.621,18.373,25.865,24.749,29.678,54.17,73.738,71.297,51.827,30.359,19.092,19.576
1987,23.088,19.13,28.346,25.733,31.077,54.472,75.103,73.43,52.632,29.016,15.725,20.778
1988,26.296,19.795,29.366,24.906,32.07,59.378,77.556,74.54,54.171,28.767,15.916,20.802
1989,26.779,24.542,28.753,22.524,32.209,59.146,72.509,73.126,54.644,31.372,20.816,22.183
1990,25.249,24.662,30.539,26.322,35.394,59.286,76.305,73.873,58.808,33.733,16.817,22.774
1991,24.897,19.96,27.809,23.799,30.992,56.727,73.9,72.532,53.597,29.017,16.786,19.481
1992,24.897,19.96,27.809,23.799,30.992,56.727,73.9,72.532,53.597,29.017,16.786,19.481
1993,24.897,19.96,27.809,23.799,30.992,56.727,73.9,72.532,53.597,29.017,16.786,19.481
1994,24.897,19.96,27.809,23.799,30.992,56.727,73.9,72.532,53.597,29.017,16.786,19.481
1995,24.897,19.96,27.809,23.799,30.992,56.727,73.9,72.532,53.597,30.183,18.417,22.247
1996,17.207,17.808,47.203,15.61,27.056,49.295,69.18,74.247,47.125,29.634,7.482,19.008
1997,21.544,14.036,26.084,23.01,27.644,40.736,67.567,63.134,55.762,22.093,16.821,37.709
1998,26.309,18.284,21.445,40.143,29.091,49.673,69.54,75.495,56.281,28.489,17.977,23.296
1999,19.532,20.714,23.197,12.901,34.052,51.018,73.201,73.955,66.088,49.388,32.92,18.473
2000,18.566,23.008,18.768,15.188,27.751,55.644,68.643,68.316,50.214,21.482,14.412,13.458
2001,22.189,16.913,28.489,19.507,30.997,58.689,78.687,67.292,43.281,47.271,11.626,22.383
2002,22.717,22.57,22.208,22.42,30.96,52.244,61.641,78.959,55.323,28.568,9.249,27.573
