Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,22.234,9.497,19.466,18.621,27.206,55.06,69.991,69.892,44.461,26.169,19.192,21.546
1952,20.532,20.866,37.422,28.616,36.964,55.06,73.791,74.621,51.866,16.589,5.381,19.004
1953,35.752,20.469,29.592,21.941,35.368,60.175,76.824,73.692,54.858,26.175,12.964,22.984
1954,35.861,36.618,27.16,19.416,32.88,61.649,72.782,72.404,59.801,28.783,12.899,22.583
1955,34.184,22.938,25.513,21.098,29.289,59.167,77.448,73.692,59.851,45.718,23.193,25.05
1956,33.067,16.672,32.021,22.585,41.19,68.017,73.434,71.942,57.299,44.403,22.295,25.406
1957,41.593,22.815,34.191,20.431,29.298,51.58,75.257,70.027,50.937,23.253,12.59,26.201
1958,27.4,23.555,26.228,25.491,31.94,51.064,74.783,75.513,59.4,39.874,23.282,29.856
1959,37.501,28.999,24.188,24.855,34.897,57.662,75.287,73.868,55.991,42.462,19.586,19.926
1960,24.084,9.522,38.675,20.906,31.801,52.124,75.724,74.993,57.036,35.049,16.123,21.158
1961,35.247,33.487,30.542,21.4,33.708,57.684,73.732,74.792,58.536,41.998,28.237,29.322
1962,26.623,34.561,29.54,26.248,31.198,56.302,69.991,71.562,58.336,28.416,12.495,23.601
1963,18.08,6.847,27.275,25.308,31.847,53.93,70.505,70.981,51.072,28.689,28.346,19.852
1964,20.933,19.666,21.93,25.442,31.705,51.667,73.815,70.138,57.117,25.649,13.697,23.465
1965,23.847,18.14,26.232,29.717,28.679,47.008,70.504,68.909,50.255,31.13,17.84,13.734
1966,19.608,16.827,21.313,17.298,26.055,56.372,69.713,72.183,44.548,19.051,22.07,16.942
1967,18.143,8.755,35.871,23.348,31.502,52.755,73.401,73.737,53.369,22.515,18.505,38.524
1968,37.014,24.184,27.887,23.582,29.613,60.161,74.91,69.892,47.765,27.753,14.487,19.497
1969,19.948,19.089,24.788,23.823,36.745,54.058,73.769,72.086,59.261,27.639,23.521,20.707
1970,29.089,30.316,35.29,20.252,34.505,60.987,71.997,71.938,57.783,32.344,13.368,13.92
1971,26.381,18.364,26.689,29.329,40.648,67.238,75.724,74.651,52.687,39.17,21.901,21.152
1972,21.301,27.718,27.476,21.693,22.054,46.61,68.206,68.781,49.793,30.976,21.935,25.322
1973,28.631,22.609,27.703,17.536,34.593,58.82,71.729,72.487,58.508,41.299,17.748,21.021
1974,20.91,18.53,29.133,24.933,32.311,53.861,71.25,69.892,49.099,27.975,12.749,23.72
1975,31.336,27.454,31.864,21.267,30.335,55.712,71.192,71.487,59.4,37.948,18.202,16.973
1976,24.793,25.222,30.548,22.065,33.716,55.899,71.178,71.346,54.879,19.76,20.319,18.045
1977,25.249,16.646,21.975,28.084,38.836,56.113,74.998,72.494,55.707,30.761,25.647,25.083
1978,27.958,31.89,35.14,24.561,34.047,62.338,73.791,72.812,57.146,30.974,22.493,24.011
1979,31.7,33.856,30.369,22.332,26.546,48.991,71.192,65.183,40.406,24.023,26.823,28.033
1980,29.279,24.477,32.294,18.679,35.512,64.942,75.771,71.052,54.232,29.23,17.002,22.429
1981,34.144,24.403,33.649,22.764,35.71,55.324,73.791,70.21,53.327,22.959,20.911,23.53
1982,28.229,28.374,33.01,24.821,33.372,56.684,71.094,72.175,46.853,31.037,20.964,24.601
1983,27.847,26.156,30.542,25.909,35.306,56.271,69.983,67.616,56.051,33.191,16.156,20.994
1984,26.812,24.489,23.743,25.008,33.706,59.501,73.905,68.693,53.473,30.176,16.468,23.145
1985,29.899,16.719,26.816,22.701,33.03,57.2,72.537,72.215,55.176,31.448,19.676,23.369
1986,26.349,21.847,28.071,25.07,31.546,53.854,72.729,69.892,51.314,31.636,22.577,23.297
1987,24.431,22.474,29.827,26.382,32.91,54.184,73.791,72.428,53.259,30.703,18.822,24.79
1988,28.004,23.341,31.521,25.114,34.559,59.006,76.291,74.041,54.298,29.167,18.924,24.398
1989,28.738,30.037,30.882,22.6,34.145,59.489,71.192,72.099,54.872,32.728,24.573,26.372
1990,26.462,30.364,32.544,27.056,38.02,58.86,74.991,73.383,59.534,35.047,19.631,26.217
1991,26.564,23.561,29.148,23.8,32.861,56.385,72.593,71.3,53.58,30.176,19.869,22.861
1992,26.564,23.561,29.148,23.8,32.861,56.385,72.593,71.3,53.58,30.176,19.869,22.861
1993,26.564,23.561,29.148,23.8,32.861,56.385,72.593,71.3,53.58,30.176,19.869,22.861
1994,26.564,23.561,29.148,23.8,32.861,56.385,72.593,71.3,53.58,30.176,19.869,22.861
1995,26.564,23.561,29.148,23.8,32.861,56.385,72.593,71.3,53.58,31.653,21.934,25.77
1996,19.016,21.327,55.718,15.54,30.481,52.265,68.616,71.186,48.846,34.207,9.406,22.333
1997,23.63,18.681,27.706,24.263,30.881,39.8,67.436,61.18,56.153,28.224,17.162,39.274
1998,26.747,21.588,22.353,48.24,31.998,47.385,70.032,76.122,55.586,30.868,20.583,27.191
1999,22.797,23.572,25.546,13.359,36.288,50.138,72.012,71.786,64.267,47.249,41.207,22.208
2000,21.644,24.915,20.053,16.008,30.933,54.999,68.116,66.635,51.339,24.843,18.051,17.33
2001,24.141,20.571,30.288,19.625,33.303,56.539,76.662,65.189,43.052,43.343,14.374,25.49
2002,24.971,24.726,23.032,23.672,34.042,49.469,62.436,75.546,53.767,29.605,12.455,31.08
