Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.415,9.111,19.755,18.404,26.997,55.665,70.905,69.84,45.819,27.457,19.823,21.526
1952,19.357,19.956,37.012,28.201,37.315,55.665,74.706,74.362,53.082,18.545,6.551,18.927
1953,34.988,19.894,30.857,22.075,35.147,60.962,77.587,73.641,55.804,27.278,13.687,22.846
1954,34.772,34.33,27.145,19.539,33.08,62.431,73.86,72.38,60.569,29.779,12.814,22.745
1955,33.135,22.383,25.433,20.984,29.163,59.588,78.405,73.641,60.769,46.404,23.763,25.005
1956,31.834,15.799,31.761,22.562,41.583,69.007,74.529,71.763,58.159,45.278,22.999,25.185
1957,40.719,21.858,33.665,20.006,28.471,51.61,76.127,70.019,51.983,24.042,12.679,25.809
1958,26.432,23.009,26.151,25.536,32.162,51.509,75.155,75.52,60.093,40.887,24.216,29.729
1959,36.294,27.836,24.232,24.957,34.76,58.303,76.284,73.763,57.107,43.901,19.884,20.762
1960,23.152,8.575,38.327,20.6,31.922,52.961,76.738,74.942,58.025,35.863,16.566,21.048
1961,34.609,33.187,30.558,21.361,33.58,58.769,74.841,74.464,59.47,42.62,28.278,29.051
1962,25.537,33.047,28.811,25.907,31.434,57.352,70.905,71.715,58.539,29.933,12.494,23.385
1963,17.447,5.652,27.074,24.865,31.876,54.363,71.518,70.768,52.003,30.389,28.579,20.116
1964,20.049,18.947,22.388,25.461,31.878,52.381,74.742,70.298,57.813,27.053,14.326,23.15
1965,23.013,17.192,25.916,29.277,28.448,47.056,71.443,68.824,51.321,31.921,18.027,13.946
1966,19.268,15.558,21.451,17.081,26.368,56.888,70.51,71.922,45.479,20.003,22.293,17.039
1967,18.173,7.696,35.901,23.024,31.503,53.009,74.169,73.641,54.302,23.346,18.253,37.691
1968,36.09,23.316,27.933,23.809,29.778,60.788,75.906,69.84,49.001,28.878,15.853,19.665
1969,19.765,18.577,25.531,23.606,36.567,54.722,74.706,72.095,59.998,28.614,24.043,20.781
1970,28.35,29.836,35.361,20.692,34.21,61.074,72.884,72.056,58.494,33.323,13.537,13.239
1971,25.852,17.408,26.732,29.203,40.297,68.555,76.389,74.562,53.687,40.432,21.894,20.853
1972,20.37,27.074,27.455,21.287,19.564,46.734,68.617,68.604,50.379,30.795,22.05,25.442
1973,26.939,21.966,27.638,17.739,34.777,58.913,72.335,72.36,59.47,42.333,18.398,20.571
1974,19.911,17.393,29.461,25.367,32.344,54.465,72.181,69.84,50.263,28.942,13.703,23.326
1975,30.271,27.144,32.098,20.992,29.892,56.245,72.105,71.324,59.892,39.276,18.982,16.864
1976,23.804,24.275,30.558,21.706,33.331,55.993,71.868,70.969,55.935,20.633,20.828,17.863
1977,23.875,15.731,22.689,28.194,38.659,56.94,75.906,72.441,56.428,31.673,26.303,25.206
1978,27.149,31.158,34.942,24.718,34.635,63.216,74.706,73.019,58.337,32.687,22.903,24.305
1979,30.522,33.521,29.923,22.54,26.501,49.678,72.105,66.133,42.197,25.486,26.911,28.446
1980,28.469,23.692,32.549,19.037,35.694,66.315,76.725,71.194,55.439,29.722,17.176,22.215
1981,33.462,24.302,33.834,23.293,35.942,56.119,74.706,70.083,54.419,24.082,20.83,23.802
1982,27.117,27.612,33.057,24.819,32.891,57.248,71.812,72.158,47.812,31.822,21.54,24.523
1983,27.127,25.311,30.558,25.563,35.045,56.57,70.905,68.078,56.969,34.101,16.288,20.771
1984,26.149,23.635,23.576,24.703,33.721,60.482,74.883,68.682,54.31,31.195,16.471,22.89
1985,29.596,16.391,26.793,22.759,33.062,57.665,73.682,72.062,56.146,32.379,19.83,23.246
1986,25.739,21.432,27.796,24.863,31.503,54.428,73.484,69.818,52.324,32.777,23.206,23.501
1987,23.907,21.735,29.991,26.344,32.625,55.045,74.706,72.472,54.341,31.56,20.074,24.606
1988,27.244,22.792,31.991,25.34,34.779,59.82,77.206,73.94,55.107,29.866,19.347,24.64
1989,27.83,29.269,30.973,22.562,34.102,59.729,72.105,72.076,55.884,33.913,25.359,26.053
1990,25.872,29.667,33.574,28.052,38.235,59.465,75.906,73.477,60.053,36.079,20.344,25.909
1991,25.785,22.812,29.234,23.799,32.766,57.005,73.483,71.3,54.505,31.195,20.267,22.766
1992,25.785,22.812,29.234,23.799,32.766,57.005,73.483,71.3,54.505,31.195,20.267,22.766
1993,25.785,22.812,29.234,23.799,32.766,57.005,73.483,71.3,54.505,31.195,20.267,22.766
1994,25.785,22.812,29.234,23.799,32.766,57.005,73.483,71.3,54.505,31.195,20.267,22.766
1995,25.785,22.812,29.234,23.799,32.766,57.005,73.483,71.3,54.505,32.427,22.011,25.293
1996,19.064,20.877,57.53,15.609,29.647,52.547,69.399,71.146,49.961,35.202,9.731,22.542
1997,22.853,17.879,26.726,24.683,29.911,40.807,69.259,61.791,57.463,28.597,17.241,39.132
1998,26.491,21.037,22.592,49.438,31.345,48.669,71.052,75.999,56.454,31.973,21.566,27.013
1999,20.838,22.891,26.591,13.546,35.939,51.998,72.973,73.874,65.685,49.126,43.102,22.263
2000,20.222,24.834,19.991,14.711,30.282,55.632,68.912,67.03,52.762,25.962,17.819,18.032
2001,23.294,20.055,30.855,18.96,32.558,57.906,77.642,66.54,44.575,44.615,14.005,24.965
2002,23.722,24.315,23.571,23.373,32.803,51.401,63.137,75.953,54.862,30.389,11.427,30.637
