Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,25.593,13.784,23.423,21.183,30.125,53.749,67.085,69.156,41.09,22.85,18.912,23.643
1952,24.423,24.864,40.883,28.936,36.998,54.01,71.523,73.38,48.519,13.388,3.809,20.84
1953,38.39,22.487,30.595,23.432,37.854,58.747,75.129,73.622,53.026,24.457,12.987,25.751
1954,40.632,42.448,30.973,20.714,34.183,59.101,70.775,71.205,58.441,28.211,15.28,24.721
1955,38.427,25.008,30.144,24.214,32.493,58.094,74.708,73.006,58.491,45.228,22.647,27.81
1956,37.979,20.141,35.936,24.705,42.649,65.725,71.61,71.644,54.982,43.14,21.7,28.351
1957,43.578,26.45,37.887,24.355,33.897,53.1,73.043,69.722,48.77,23.786,14.531,29.07
1958,31.332,25.788,30.309,28.39,33.967,50.38,73.434,73.939,58.498,38.156,22.102,31.27
1959,39.737,32.095,27.917,26.225,37.523,56.189,73.274,72.935,54.007,39.571,20.515,21.54
1960,27.93,13.892,41.782,24.476,33.591,50.379,73.139,74.237,53.809,32.989,16.839,23.773
1961,37.278,36.45,33.962,23.836,36.653,55.976,71.923,75.009,57.186,42.012,30.091,32.398
1962,31.166,38.847,35.225,28.43,32.971,54.371,68.497,70.845,57.195,26.789,16.587,26.365
1963,20.611,13.239,31.783,29.11,34.441,53.517,68.311,71.246,50.305,26.791,29.479,20.741
1964,26.34,24.144,26.676,27.778,34.182,50.907,72.019,69.468,56.44,23.349,13.464,27.615
1965,27.318,23.236,30.963,33.462,33.047,48.807,68.917,68.534,48.964,30.662,19.729,16.97
1966,21.027,21.453,25.444,21.338,28.072,55.372,66.789,71.756,43.644,19.457,21.138,18.863
1967,21.547,13.101,38.353,25.933,33.299,52.102,71.66,73.31,50.831,22.51,20.771,39.292
1968,39.165,27.488,31.326,25.428,31.467,58.293,71.577,69.156,44.546,26.297,13.639,22.739
1969,24.287,22.321,25.736,25.884,39.462,52.809,71.024,70.876,57.253,27.014,22.637,21.754
1970,31.866,30.621,38.071,21.536,36.885,59.184,69.733,70.557,56.203,30.049,13.812,17.974
1971,28.794,21.31,30.422,30.108,42.952,64.432,73.892,73.29,50.31,36.302,23.344,23.045
1972,25.676,29.377,31.042,25.047,28.676,47.605,67.253,68.347,50.203,31.378,23.179,26.533
1973,33.957,25.341,31.326,20.067,35.845,58.68,70.537,71.756,55.381,38.558,18.009,24.51
1974,26.075,23.128,31.084,24.769,34.248,53.246,69.066,69.228,46.56,27.035,13.562,26.948
1975,35.059,28.427,34.636,24.6,33.889,55.102,69.286,71.043,59.1,34.526,17.882,19.633
1976,28.895,28.683,34.817,25.339,35.335,55.857,69.286,71.422,52.535,19.618,20.608,20.627
1977,29.95,20.067,22.645,28.673,40.693,54.507,74.026,71.756,54.75,30.127,24.134,26.805
1978,31.63,33.937,38.181,25.849,33.962,58.919,71.887,72.137,55.303,28.382,23.255,24.825
1979,33.951,35.346,35.895,23.88,29.712,48.639,69.286,64.3,37.508,22.071,26.761,29.753
1980,32.439,27.326,35.262,19.91,37.031,61.562,74.385,69.796,51.7,30.775,18.987,24.735
1981,36.689,25.739,35.535,22.804,37.239,54.01,71.887,69.611,50.935,22,23.556,24.967
1982,33,31.113,35.782,27.109,37.224,55.824,69.286,71.059,45.174,30.13,21.455,27.539
1983,31.043,29.052,33.96,29.095,37.931,56.703,68.521,66.344,53.933,32.484,18.043,23.975
1984,29.809,27.749,27.779,27.957,35.828,57.386,71.792,66.874,51.999,28.737,18.788,27.246
1985,32.84,17.146,31.051,24.749,35.39,56.839,69.778,71.969,53.229,30.609,20.771,25.88
1986,29.133,23.723,31.963,27.441,33.968,52.809,71.231,69.408,49.068,29.467,22.768,24.994
1987,26.678,24.526,32.684,28.529,36.075,52.809,71.887,71.525,50.226,30.023,16.363,27.455
1988,31.36,25.545,33.96,26.135,35.924,57.377,74.385,73.43,53.051,27.983,19.427,26.387
1989,32.909,33.085,34.439,24.969,36.566,58.988,69.262,71.347,53.049,31.227,24.234,29.472
1990,28.916,31.868,34.615,28.641,40.035,57.895,73.085,72.197,58.596,33.53,19.484,29.272
1991,29.983,26.438,32.482,25.951,35.318,55.336,70.687,70.558,51.827,28.996,20.534,25.317
1992,29.983,26.438,32.482,25.951,35.318,55.336,70.687,70.558,51.827,28.996,20.534,25.317
1993,29.983,26.438,32.482,25.951,35.318,55.336,70.687,70.558,51.827,28.996,20.534,25.317
1994,29.983,26.438,32.482,25.951,35.318,55.336,70.687,70.558,51.827,28.996,20.534,25.317
1995,29.983,26.438,32.482,25.951,35.318,55.336,70.687,70.558,51.827,31.727,22.954,29.462
1996,19.128,23.373,54.592,16.337,38.055,54.351,67.083,70.264,47.536,34.563,11.096,23.649
1997,26.83,22.484,35.39,23.794,35.827,38.739,62.874,58.193,53.733,35.731,19.246,41.183
1998,27.601,24.511,25.677,46.474,35.738,44.861,68.272,76.094,53.21,34.246,19.617,29.626
1999,30.728,26.273,25.816,14.046,40.215,45.616,70.58,63.373,61.098,38,38.439,23.591
2000,27.949,25.461,24.359,21.675,34.888,55.08,70.54,64.27,48.766,29.504,21.997,16.996
2001,27.429,23.151,32.06,23.06,38.447,53.64,74.546,59.502,40.341,36.592,18.423,30.225
2002,29.854,26.547,25.022,25.941,39.679,44.445,63.116,71.282,52.339,29.355,18.991,34.499
