Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,20.342,10.123,19.302,17.844,27.669,56.365,71.224,68.818,48.101,30.264,21.172,23.392
1952,17.587,20.94,35.929,27.548,38.232,55.975,75.016,72.716,55.091,22.409,9.399,20.172
1953,34.595,21.307,33.052,22.249,35.66,61.985,77.492,72.606,57.562,30.307,15.155,24.749
1954,33.661,32.964,25.841,19.774,34.513,62.959,74.717,71.933,62.069,32.075,13.04,25.148
1955,31.034,22.349,25.171,20.75,30.591,59.868,78.71,72.618,62.394,47.013,25.07,26.845
1956,28.673,16.476,31.275,22.566,42.642,69.366,74.637,70.429,59.435,46.892,24.34,26.826
1957,39.655,22.855,31.538,19.089,28.527,51.365,76.149,69.073,53.341,25.993,12.67,27.091
1958,25.653,24.548,25.285,25.403,33.871,51.802,75.016,74.393,61.285,42.615,24.541,31.334
1959,35.317,27.985,23.95,25.565,36.24,58.811,76.689,72.618,59.266,47.049,20.575,23.426
1960,21.941,9.5,37.489,20.037,33.415,53.891,76.661,73.918,60.248,37.515,17.478,22.541
1961,33.947,34.33,30.951,21.319,34.832,59.69,75.253,73.22,61.262,43.616,28.389,30.421
1962,24.084,32.931,26.649,25.1,33.278,58.639,71.224,71.03,58.763,33,13.345,24.701
1963,16.241,6.058,26.558,24.421,33.541,54.651,72.278,70.136,53.898,34.171,28.593,21.929
1964,19.74,20.5,23.468,25.932,33.527,53.256,75.362,69.724,58.722,30.631,16.397,24.796
1965,22.026,17.818,25.341,27.972,29.331,48.085,72.15,68.196,53.504,33.713,19.072,16.179
1966,19.323,16.214,21.015,17.075,27.761,57.044,70.836,70.698,47.917,22.967,21.988,19.428
1967,18.312,8.627,34.882,22.43,32.755,53.306,73.981,72.519,55.795,25.818,18.407,36.11
1968,34.427,23.887,27.65,24.578,31.586,61.623,76.216,68.818,51.439,32.165,18.769,22.123
1969,19.17,19.928,25.973,23.401,37.271,55.084,75.016,70.963,61.305,31.387,24.533,22.595
1970,27.509,30.309,34.556,20.852,34.712,60.511,73.324,71.241,60.042,35.167,14.865,13.96
1971,25.554,18.342,26.126,29.083,40.395,69.032,76.2,74.053,55,40.87,22.654,22.262
1972,19.556,28.69,27.099,19.913,19.208,46.047,68.1,66.858,51.434,30.304,22.694,27.732
1973,25.161,23.75,27.168,17.465,36.385,58.923,72.14,70.727,61.262,44.15,20.891,21.558
1974,19.984,17.706,29.429,25.779,33.529,55.001,72.64,68.818,52.486,32.311,15.64,24.326
1975,29.077,29.084,32.353,20.516,30.344,56.807,72.424,69.882,61.436,41.358,20.36,18.84
1976,23.097,25.755,30.235,21.221,34.612,55.456,71.858,69.571,58.838,22.909,21.254,18.657
1977,23.033,16.141,22.099,28.479,39.866,58.119,76.216,71.418,57.494,34.215,27.309,27.523
1978,26.625,31.895,33.865,25.582,37.099,63.575,75.016,72.764,60.931,36.54,23.855,26.501
1979,28.652,35.162,29.22,23.328,27.698,50.907,72.384,68.374,45.302,28.268,27.267,32.325
1980,28.052,25.242,32.834,19.521,37.818,67.856,76.877,70.442,57.74,33.484,18.145,23.87
1981,33.521,26.411,33.828,24.327,37.616,56.703,75.17,68.856,56.424,25.569,20.759,26.106
1982,26.032,29.266,32.731,24.988,33.224,57.825,71.681,70.653,49.908,33.566,22.746,26.701
1983,26.78,25.893,30.315,25.131,36.027,56.375,70.97,67.745,58.761,36.859,16.361,22.395
1984,25.67,24.577,22.832,24.076,35.392,61.251,75.497,67.843,55.642,33.256,17.031,24.696
1985,29.651,18.237,26.475,22.819,34.438,58.028,74.622,70.963,58.497,34.674,20.203,25.12
1986,25.847,22.88,27.193,24.595,32.766,54.941,73.427,68.158,54.023,35.385,24.49,26.002
1987,23.746,22.895,29.989,26.456,33.338,56.105,75.016,71.95,56.68,33.815,22.752,26.439
1988,26.943,24.268,32.751,25.849,37.102,60.701,77.717,73.214,56.611,31.683,20.262,27.109
1989,27.988,30.884,31.277,22.346,35.355,59.83,72.418,71.143,58.297,36.497,27.195,27.936
1990,25.437,32.182,35.65,29.107,40.167,59.988,76.216,72.026,61.229,38.374,21.28,27.326
1991,25.038,23.995,29.036,23.8,34.035,57.501,73.723,70.417,56.361,33.56,21.235,24.512
1992,25.185,23.995,29.036,23.8,34.035,57.501,73.723,70.417,56.361,33.542,21.235,24.512
1993,25.185,23.995,29.036,23.8,34.035,57.501,73.723,70.417,56.361,33.56,21.235,24.512
1994,25.185,23.995,29.036,23.8,34.035,57.501,73.723,70.417,56.361,33.56,21.235,24.512
1995,25.185,23.995,29.036,23.8,34.035,57.501,73.723,70.417,56.361,34.674,22.654,26.372
1996,19.97,22.854,62.286,15.046,30.866,54.617,69.798,69.307,51.875,37.288,10.319,24.732
1997,22.413,19.498,25.012,25.112,30.132,42.109,72.238,61.984,59.408,31.882,16.725,39.636
1998,26.146,23.231,22.678,52.95,32.104,49.569,72.077,75.434,56.865,34.781,23.598,28.268
1999,20.686,23.996,27.659,13.493,37.151,54.634,74.757,75.889,66.811,48.192,47.857,24.56
2000,19.197,27.697,19.726,12.494,31.029,56.237,70.586,65.966,55.142,28.322,18.905,21.69
2001,22.262,22.414,30.778,17.289,32.869,59.396,78.197,67.288,47.41,41.981,14.825,29.087
2002,23.017,25.72,23.965,22.124,32.936,52.487,65.818,74.059,56.44,30.503,11.059,31.043
