Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,24.949,13.551,21.259,19.662,30.587,55.138,69.643,69.859,43.819,26.6,21.495,24.939
1952,23.617,25.968,39.693,29.672,38.526,55.104,73.482,74.34,51.355,16.58,7.072,21.997
1953,38.629,24.413,30.848,22.822,38.419,60.122,76.731,74.096,55.171,27.627,15.183,26.886
1954,40.111,43.056,29.842,20.076,35.681,60.97,72.882,72.563,60.567,30.587,16.794,26.016
1955,37.652,26.751,28.813,23,33.149,58.966,76.957,73.659,60.326,46.861,25.338,28.793
1956,36.867,21.229,34.865,23.567,42.98,66.818,72.999,71.962,57.404,45.661,24.387,29.206
1957,44.051,27.891,36.45,22.502,34.262,53.535,74.909,70.327,51.058,25.765,15.538,29.901
1958,31.191,27.697,29.065,26.943,35.016,51.648,74.913,75.3,59.791,40.747,24.473,32.839
1959,40.064,33.852,26.828,25.586,38.711,57.486,74.802,73.635,55.908,42.861,22.443,22.816
1960,27.358,14.604,41.601,23.032,34.839,51.805,75.101,74.959,56.944,36.146,19.382,24.658
1961,37.329,36.492,33.166,22.59,37.399,57.081,73.318,75.393,58.806,43.605,31.677,33.169
1962,30.159,39.19,33.342,27.358,34.306,56.194,70.38,71.695,58.922,29.547,17.157,27.258
1963,20.418,12.97,30.732,27.314,35.655,54.222,70.578,71.572,52.025,29.337,31.56,21.735
1964,25.705,25.717,25.781,26.904,35.066,51.858,73.735,69.87,57.803,26.135,16.237,27.944
1965,26.846,23.283,29.741,31.652,32.879,49.335,70.759,69.463,50.775,32.939,21.674,17.517
1966,21.362,22.027,24.774,19.364,28.993,56.227,69.467,72.459,45.863,21.362,23.407,20.143
1967,21.365,13.763,37.296,24.688,34.492,52.925,73.253,74.103,53.275,24.665,22.297,40.09
1968,39.272,28.659,30.528,24.916,32.884,60.067,74.18,69.859,47.474,29.512,16.686,23.443
1969,23.751,23.853,25.357,25.128,39.836,53.91,73.11,71.292,59.276,29.856,25.489,23.778
1970,31.915,33.201,37.155,20.363,37.858,60.649,71.882,71.499,58.018,32.861,16.293,18.301
1971,29.11,23.058,29.411,29.412,43.521,65.666,75.621,74.477,52.262,38.961,24.856,24.532
1972,25.275,31.566,29.997,23.008,27.471,47.463,68.403,68.652,51.252,33.537,25.175,28.733
1973,33.422,27.227,30.494,18.578,37.335,59.564,71.671,72.46,58.195,42.703,21.205,24.789
1974,25.589,24.032,31.346,24.847,35.32,54.331,71.116,69.975,49.188,29.15,15.488,27.977
1975,34.939,30.936,34.33,22.796,33.976,56.175,71.1,71.418,61.043,37.514,20.211,20.852
1976,28.212,30.465,33.538,23.481,37.171,56.707,71.1,71.862,55.114,22.017,22.184,21.39
1977,30.035,21.355,22.166,28.681,41.961,56.081,75.062,72.46,56.256,32.958,27.01,28.351
1978,31.35,35.703,37.354,25.337,36.055,61.247,73.675,73.078,57.968,32.287,25.547,26.447
1979,34.34,37.266,34.31,23.61,29.959,49.766,71.1,65.205,40.149,25.991,28.897,31.212
1980,32.75,29.151,34.852,19.112,38.56,63.397,75.841,70.796,54.448,33.138,20.164,25.5
1981,37.283,27.736,35.756,22.775,38.832,55.11,73.861,70.15,53.226,23.536,24.845,26.297
1982,32.296,33.012,35.06,26.143,37.571,56.94,71.076,71.467,46.897,32.837,23.954,28.797
1983,31.247,30.442,33.166,27.947,39.116,56.984,69.912,66.883,56.371,34.845,19.45,24.636
1984,29.797,29.036,26.666,26.806,37.156,58.678,73.738,68.326,54.012,31.564,20.231,27.95
1985,33.158,19.723,29.913,23.836,36.479,57.517,72.14,72.476,55.8,33.564,22.956,27.083
1986,29.475,25.851,31.241,26.434,35.119,53.879,72.987,69.888,51.381,32.808,25.172,26.566
1987,26.76,26.704,32.251,27.634,36.706,53.941,73.701,72.542,53.295,32.673,19.9,28.64
1988,31.434,27.597,33.634,25.817,37.424,58.588,76.201,74.688,54.884,30.437,21.567,27.643
1989,32.688,35.078,34.024,24.125,37.615,59.758,71.1,72.177,55.636,34.05,26.865,30.683
1990,28.995,34.525,34.276,27.723,41.381,58.905,74.9,73.314,60.627,36.179,21.805,30.072
1991,29.877,27.986,31.728,24.938,36.269,56.453,72.5,71.3,54.014,31.678,22.667,26.381
1992,29.877,27.986,31.728,24.938,36.269,56.453,72.5,71.3,54.014,31.678,22.667,26.381
1993,29.877,27.986,31.728,24.938,36.269,56.453,72.5,71.3,54.014,31.678,22.667,26.381
1994,29.877,27.986,31.728,24.938,36.269,56.453,72.5,71.3,54.014,31.678,22.667,26.381
1995,29.877,27.986,31.728,24.938,36.269,56.453,72.5,71.3,54.014,33.81,25.068,30.129
1996,20.752,25.869,59.013,15.778,37.937,54.548,69.131,70.204,50.419,37.643,12.298,25.782
1997,27.028,24.402,32.545,24.584,37.096,39.013,66.631,59.699,56.712,36.731,20.382,41.923
1998,28.349,26.514,24.701,50.666,37.476,45.288,70.293,77.052,55.834,35.68,22.262,30.858
1999,28.949,28.136,26.93,13.811,41.547,47.636,72.257,67.53,63.591,42.365,44.221,25.963
2000,26.62,27.985,23.035,19.098,36.625,54.917,70.524,65.522,52.106,29.94,22.737,20.186
2001,27.514,25.43,32.055,21.271,39.702,54.273,76.232,62.259,44.076,39.109,18.744,30.555
2002,29.25,28.632,24.656,25.302,40.422,45.875,64.552,72.866,54.96,31.307,18.259,35.06
