Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.387,7.789,24.253,21.332,27.017,54.007,69.973,70.858,44.881,21.708,14.381,17.397
1952,19.603,17.997,38.636,28.063,35.981,54.391,74.413,75.311,51.097,13.999,0.066,15.308
1953,33.099,15.812,25.926,22.037,34.309,57.738,78.112,74.659,53.874,21.851,8.608,18.112
1954,32.65,33.032,27.238,20.352,30.551,59.684,72.253,72.234,58.231,25.45,9.652,17.69
1955,33.903,19.128,26.069,21.529,28.873,58.765,77.035,74.8,59.654,43.255,17.017,20.508
1956,31.272,12.601,30.232,23.254,40.439,69.839,76.08,73.46,55.856,41.966,17.967,20.88
1957,38.15,17.47,36.045,22.773,27.654,51.416,76.38,71.336,50.72,21.509,10.369,22.608
1958,24.489,19.319,26.25,26.917,29.475,48.986,76.992,74.517,60.56,36.955,20.458,25.393
1959,34.465,24.288,23.61,25.125,31.834,57.538,76.452,74.66,56.622,38.7,15.81,16.246
1960,22.852,4.743,38.163,21.829,29.209,51.464,75.534,75.958,54.825,30.815,11.009,17.552
1961,32.533,29.844,30.15,22.054,31.895,57.67,75.515,75.435,58.676,38.799,23.241,23.086
1962,24.688,29.91,30.255,26.536,28.255,55.067,70.977,72.25,57.215,23.74,9.042,19.999
1963,17.29,3.617,25.401,25.909,29.177,53.348,69.608,72.277,50.477,25.082,23.778,16.589
1964,18.051,14.292,20.602,25.191,29.208,50.71,75.008,71.186,62.048,23.466,7.93,18.822
1965,22.775,14.801,26.728,29.524,27.099,45.73,70.682,68.362,49.212,26.827,12.054,12.187
1966,18.539,13.999,20.206,19.193,24.513,56.758,68.824,72.497,43.702,16.641,22.611,13.141
1967,17.175,4.816,36.664,24.426,29.208,52.745,75.125,74.659,53.443,18.616,13.763,36.288
1968,34.582,20.256,27.31,22.617,27.189,58.554,74.007,70.858,46.461,22.372,10.898,16.169
1969,16.985,14.739,24.97,23.515,35.488,53.303,73.907,72.826,58.331,22.563,19.597,17.026
1970,26.655,26.713,35.677,23.007,33.486,62.228,71.934,72.928,57.655,29.64,8.464,11.393
1971,22.862,13.336,26.423,28.024,37.261,67.576,76.91,74.598,53.913,40.111,17.863,15.926
1972,18.936,20.638,27.31,25.358,25.805,46.935,70.528,71.389,50.142,26.002,16.124,18.701
1973,24.614,18.13,27.31,19.597,31.402,58.092,74.268,73.46,58.544,36.484,9.743,19.027
1974,17.568,14.54,27.041,25.098,30.727,53.213,70.635,70.858,46.337,30.014,8.243,18.678
1975,27.566,21.534,29.94,23.254,29.66,54.539,71.81,73.344,59.246,36.981,13.554,12.4
1976,24.563,19.356,30.272,25.117,31.513,55.66,71.81,72.492,54.27,16.733,20.422,15.9
1977,23.029,13.66,22.58,29.368,36.789,54.01,76.363,73.46,56.371,25.587,22.875,20.115
1978,25.156,28.349,34.435,25.159,30.947,61.047,74.436,74.606,55.089,24.018,18.462,20.473
1979,31.644,29.056,30.064,20.536,25.633,46.2,71.068,66.897,40.437,18.375,24.741,23.641
1980,26.471,18.725,31.416,19.911,31.263,63.064,76.91,71.734,52.319,22.21,14.537,19.444
1981,29.458,19.376,31.758,22.68,32.123,55.284,74.413,71.653,53.012,22.89,17.505,19.741
1982,26.045,22.133,32.325,25.2,31.828,55.689,71.81,73.062,48.647,27.844,15.939,19.586
1983,24.7,21.455,29.909,26.423,32.369,57.157,70.996,69.773,54.272,30.297,13.991,18.003
1984,24.099,20.256,24.835,25.599,30.532,58.424,74.413,70.111,53.213,26.656,12.876,18.099
1985,25.915,12.153,26.109,23.276,30.65,56.713,72.566,72.937,53.958,27.844,14.737,18.943
1986,23.467,17.185,27.277,25.741,29.505,53.213,73.046,71.301,51.419,27.581,17.484,18.247
1987,22.734,17.91,28.618,25.959,30.994,53.213,74.413,72.819,51.69,26.675,12.585,20.024
1988,25.455,18.136,29.656,24.737,31.02,57.89,76.078,73.393,53.857,27.134,14.889,19.999
1989,26.008,22.578,29.656,23.254,31.808,58.165,71.748,72.563,53.873,28.998,18.861,21.562
1990,23.401,22.439,30.524,26.932,33.881,58.7,75.611,73.46,58.296,30.971,15.587,21.155
1991,24.099,18.799,28.51,24.452,30.705,55.71,73.211,72.257,53.213,26.697,15.748,18.795
1992,24.099,18.799,28.51,24.452,30.705,55.71,73.211,72.257,53.213,26.697,15.748,18.795
1993,24.099,18.799,28.51,24.452,30.705,55.71,73.211,72.257,53.213,26.697,15.748,18.795
1994,24.099,18.799,28.51,24.452,30.705,55.71,73.211,72.257,53.213,26.697,15.748,18.795
1995,24.099,18.799,28.51,24.452,30.705,55.71,73.211,72.257,53.213,28.304,17.283,21.998
1996,14.07,15.866,40.705,17.378,31.032,48.842,67.671,75.603,45.059,26.594,7.749,17.227
1997,20.369,12.617,31.328,22.951,29.963,40.863,63.738,62.08,53.938,22.036,18.763,38.173
1998,24.784,16.92,24.001,33.873,31,51.152,67.036,74.768,55.374,27.324,16.266,21.925
1999,20.759,19.74,22.518,14.065,36.416,48.825,72.341,69.19,65.566,41.961,25.407,16.523
2000,18.408,21.182,21.824,19.877,29.637,56.562,69.667,67.513,47.903,19.959,15.096,10.088
2001,21.231,15.122,29.249,23.013,32.151,58.546,77.96,64.445,41.667,41.978,13.157,23.298
2002,22.595,21.435,23.951,24.209,34.027,51.12,60.639,78.217,55.254,25.836,12.252,27.115
