Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.971,9.983,22.355,20.299,28.046,53.401,68.421,69.476,41.696,22.959,17.009,20.915
1952,22.936,21.609,39.781,28.621,35.948,53.583,72.769,73.921,49.144,12.762,1.755,18.309
1953,36.859,19.349,28.147,22.361,35.964,58.385,76.279,73.372,52.822,23.445,10.956,22.444
1954,37.753,39.182,28.705,19.944,32.203,59.519,71.225,71.422,57.888,26.89,12.432,21.578
1955,36.573,21.711,27.823,22.605,29.81,58.008,75.773,73.346,58.24,44.751,20.699,24.618
1956,35.844,16.595,33.967,23.471,41.28,66.463,72.82,72.047,54.895,42.332,19.842,25.328
1957,41.999,22.409,36.638,22.739,30.597,51.964,74.202,69.645,48.656,22,11.884,26.098
1958,29.017,22.637,28.046,27.124,31.476,49.462,74.656,74.217,58.493,37.551,21.502,29.44
1959,38.837,28.923,25.605,25.233,34.67,56.113,74.282,73.275,54.08,39.111,18.259,18.742
1960,26.103,9.644,40.223,22.654,31.41,50.144,74.288,74.576,53.89,32.346,14.146,20.921
1961,36.184,33.312,31.936,22.277,34.058,55.988,72.954,74.983,56.899,41.125,27.248,29.081
1962,29.147,36.085,32.895,27.056,30.401,53.922,69.01,70.832,56.917,25.412,13.131,23.488
1963,19.357,8.004,29.02,27.078,31.577,52.962,69.02,71.236,49.316,25.761,26.952,18.884
1964,22.952,19.3,23.234,26.095,31.476,50.008,73.01,69.822,56.098,22.797,11.124,23.791
1965,25.529,18.68,28.34,31.41,29.838,46.962,69.483,68.262,48.222,29.178,16.48,13.764
1966,20.167,17.711,22.324,19.225,25.903,55.262,68.15,72.076,42.563,17.5,21.326,16.083
1967,19.59,9.104,37.453,24.649,31.211,51.96,72.914,73.306,51.052,20.951,17.809,38.346
1968,37.977,24.192,29.304,23.819,29.018,58.385,72.521,69.476,44.734,24.733,12.13,19.166
1969,20.858,18.156,25.442,24.361,37.57,52.41,72.494,71.655,57.544,25.107,21.328,19.946
1970,30.148,28.813,36.674,21.125,34.921,60.147,70.76,71.138,56.261,29.883,11.736,14.942
1971,26.867,17.599,28.138,30.432,40.632,64.957,75.102,74.135,50.833,37.081,21.331,20.37
1972,22.922,26.283,29.216,24.075,26.349,46.871,68.763,68.93,49.658,29.362,20.162,23.788
1973,31.248,21.851,29.304,18.834,33.944,58.527,71.628,72.078,56.067,38.06,14.672,21.682
1974,22.812,19.026,29.112,24.212,32.111,52.382,69.67,69.476,46.195,26.611,11.125,23.45
1975,32.913,25.415,32.348,23.359,31.566,54.309,70.207,71.488,58.353,35.092,15.533,16.404
1976,27.215,24.463,32.589,24.239,33.333,54.971,70.207,71.483,52.753,18.205,18.946,17.962
1977,27.19,16.526,21.462,28.509,38.948,53.863,74.589,72.078,54.474,28.438,23.471,23.941
1978,29.49,31.319,36.68,24.721,32.385,59.631,72.769,72.14,54.335,26.903,20.745,22.709
1979,33.567,32.542,32.976,22.045,27.11,47.542,70.207,64.789,37.088,19.705,25.243,27.176
1980,30.518,23.529,33.279,18.734,34.709,61.745,75.241,70.172,51.291,27.776,16.722,22.484
1981,34.459,22.676,34.009,22.243,34.836,53.583,72.769,69.977,51.014,21.627,20.604,22.516
1982,30.357,27.297,34.364,25.675,34.462,55.244,70.207,71.909,45.208,29.05,18.733,23.979
1983,28.807,25.51,31.936,27.17,35.252,56.042,69.386,67.151,53.768,31.335,15.678,21.136
1984,27.884,24.253,25.685,26.243,33.232,57.266,72.767,68.176,51.655,27.707,16.043,23.324
1985,30.401,15.097,28.473,23.473,32.917,56.121,70.804,71.91,52.751,29.211,18.181,22.85
1986,27.209,20.468,29.666,26.074,31.476,52.382,71.835,69.651,49.225,28.664,20.4,21.97
1987,25.228,21.678,30.789,26.996,33.416,52.382,72.769,71.803,50.534,28.577,14.918,24.243
1988,29.316,22.074,31.869,25.06,33.557,57.008,75.268,73.321,52.587,27.328,17.294,23.517
1989,30.419,29.077,31.928,23.473,34.05,58.523,70.203,71.536,52.681,30.192,21.769,26.27
1990,27.036,28.211,32.826,27.273,37.277,57.809,73.969,72.324,58.085,32.472,17.586,26.134
1991,27.917,22.95,30.438,24.673,32.919,54.981,71.609,70.877,51.622,27.851,18.285,22.45
1992,27.917,22.95,30.438,24.673,32.919,54.981,71.609,70.877,51.622,27.851,18.285,22.45
1993,27.917,22.95,30.438,24.673,32.919,54.981,71.609,70.877,51.622,27.851,18.285,22.45
1994,27.917,22.95,30.438,24.673,32.919,54.981,71.609,70.877,51.622,27.851,18.285,22.45
1995,27.917,22.95,30.438,24.673,32.919,54.981,71.609,70.877,51.622,30.153,20.582,26.162
1996,17.797,19.352,50.401,15.664,34.036,50.87,67.288,71.279,45.58,31.07,8.552,20.712
1997,24.708,17.524,32.634,22.861,32.595,37.696,63.529,59.055,52.587,29.076,17.495,39.47
1998,26.808,21.004,23.977,42.578,32.878,44.794,68.727,75.256,52.605,29.866,17.579,26.807
1999,26.959,22.409,24.139,13.151,37.636,45.37,71.07,65.541,61.247,40.745,33.935,20.471
2000,24.266,22.522,22.349,19.692,31.881,53.771,69.782,64.893,47.306,24.776,18.262,14.182
2001,25.35,18.918,30.149,21.771,35.443,53.62,75.573,61.047,38.582,39.547,16.326,26.568
2002,27.271,23.238,23.689,24.368,36.415,45.102,62.131,73.197,50.832,27.756,14.979,31.738
