Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,22.964,9.92,19.89,18.52,28.917,54.972,69.899,69.899,43.9,26.671,20.149,23.335
1952,21.523,22.166,38.205,28.649,38.057,54.971,73.7,74.557,51.429,16.557,6.103,20.663
1953,36.85,21.434,29.716,21.775,37.045,60.072,76.757,73.702,54.63,26.973,13.748,24.907
1954,37.141,38.925,27.934,19.204,34.402,61.27,72.714,72.543,59.803,29.56,14.365,24.278
1955,35.082,23.635,26.635,21.364,31.233,58.958,77.2,73.701,59.631,46.301,24.049,26.979
1956,34.182,17.751,33.162,22.533,42.014,67.355,73.085,71.957,56.987,45.158,23.148,27.407
1957,42.18,24.136,34.947,20.693,31.619,52.019,75.028,70.072,50.63,24.147,13.65,28.093
1958,28.511,24.634,27.163,25.662,33.473,51.172,74.772,75.514,59.216,40.315,23.619,31.592
1959,38.835,30.279,25.105,24.747,36.832,57.571,75.099,73.772,55.601,42.885,20.664,21.178
1960,24.994,10.794,39.75,21.164,33.472,51.913,75.47,75.001,56.815,35.801,17.179,22.892
1961,35.765,33.919,31.405,21.405,35.56,57.27,73.428,75.029,58.259,42.803,29.48,31.293
1962,27.625,35.922,30.694,26.106,32.873,56.185,69.901,71.472,58.36,28.773,14.082,25.422
1963,18.665,8.596,28.506,25.563,33.775,53.93,70.513,71.3,50.889,29.057,29.423,21.232
1964,22.24,21.31,22.964,25.69,33.402,51.614,73.701,70.042,56.946,26,14.72,25.594
1965,24.666,19.393,27.535,30.234,30.619,47.933,70.543,69.143,50.102,31.989,19.28,15.394
1966,20.076,18.209,22.492,17.492,27.573,56.227,69.772,72.429,44.775,19.918,22.734,18.535
1967,19.052,10.051,36.174,23.433,33.13,52.857,73.286,73.9,53.059,23.589,20.036,39.633
1968,37.551,25.222,28.805,23.69,31.416,60.072,74.684,69.899,47.372,28.687,15.248,21.422
1969,20.354,19.766,25.129,24.019,38.303,53.871,73.599,71.655,59.016,28.674,24.291,22.364
1970,29.88,30.918,35.791,19.761,36.345,60.899,71.971,71.8,57.658,32.843,14.707,16.009
1971,27.151,19.622,27.604,28.989,42.203,66.369,75.686,74.87,52.144,39.071,23.292,23.133
1972,22.41,28.834,28.333,21.676,24.621,46.702,68.201,68.686,49.662,32.318,23.094,27.292
1973,30.341,23.778,28.662,17.191,36.201,59.158,71.615,72.5,58.13,42.102,19.179,22.879
1974,22.383,19.981,30.132,24.559,33.931,53.772,71.185,69.9,48.874,28.544,13.606,25.837
1975,32.609,28.277,32.619,21.277,32.203,55.772,71.1,71.457,59.704,37.956,18.877,18.908
1976,25.796,26.708,31.435,22.078,35.689,56.073,71.1,71.487,54.63,20.732,20.991,19.651
1977,26.842,17.922,21.914,28.047,40.83,55.986,74.929,72.5,55.517,31.875,26.19,26.777
1978,28.91,32.721,35.862,24.517,35.314,62.055,73.701,72.944,56.947,31.701,23.607,25.404
1979,32.44,34.605,31.622,22.433,28.33,49.216,71.1,65.143,39.586,25.045,27.663,29.706
1980,30.352,25.679,33.119,18.346,37.33,64.254,75.557,70.972,54.015,30.935,18.079,24.02
1981,35.194,25.089,34.347,22.387,37.415,55.07,73.701,70.229,52.959,23.101,22.224,25.035
1982,29.298,29.607,33.762,24.946,35.376,56.672,71.029,71.814,46.515,31.918,22.021,26.679
1983,28.852,27.221,31.405,26.207,37.303,56.387,69.858,67.256,55.83,33.988,17.422,22.821
1984,27.651,25.593,24.763,25.306,35.473,58.871,73.87,68.7,53.288,30.929,17.822,25.366
1985,30.951,17.434,27.905,22.676,34.802,57.2,72.385,72.301,55.145,32.462,20.908,25.235
1986,27.294,22.706,29.205,25.275,33.332,53.771,72.801,69.899,50.959,32.301,23.478,25.049
1987,25.02,23.535,30.647,26.476,34.788,53.913,73.701,72.543,53.173,31.632,19.404,26.736
1988,29.052,24.378,32.261,24.989,36.244,58.813,76.2,74.316,54.159,29.845,19.936,26.077
1989,30.096,31.55,31.992,22.606,35.932,59.529,71.1,72.171,54.887,33.401,25.52,28.566
1990,27.108,31.421,33.031,26.69,39.817,58.772,74.9,73.414,59.59,35.701,20.406,28.121
1991,27.51,24.664,30.005,23.805,34.66,56.299,72.5,71.3,53.43,30.93,20.935,24.664
1992,27.51,24.664,30.005,23.805,34.66,56.299,72.5,71.3,53.43,30.93,20.935,24.664
1993,27.51,24.664,30.005,23.805,34.66,56.299,72.5,71.3,53.43,30.93,20.935,24.664
1994,27.51,24.664,30.005,23.805,34.66,56.299,72.5,71.3,53.43,30.93,20.935,24.664
1995,27.51,24.664,30.005,23.805,34.66,56.299,72.5,71.3,53.43,32.589,23.164,27.823
1996,19.506,21.951,57.388,15.344,33.64,52.801,68.815,70.67,48.89,35.959,10.321,24.123
1997,24.61,19.782,29.524,24.144,33.766,39.139,67.254,60.612,55.859,31.699,17.793,40.679
1998,27.077,22.309,23.361,49.131,34.678,46.266,70.143,76.416,55.244,32.948,21.09,28.996
1999,24.715,24.209,26.315,13.288,38.793,48.937,72.071,70.363,63.429,45.96,42.49,24.195
2000,23.17,25.021,21.291,16.737,33.708,54.598,68.876,66.212,51.131,26.649,19.625,18.949
2001,25.11,21.281,31.089,19.891,36.665,55.38,76.499,64.137,42.946,42.176,15.81,27.784
2002,26.269,25.137,23.774,24.019,37.052,47.849,63.246,74.567,53.718,30.571,14.357,32.982
