Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.718,7.397,22.798,20.751,27.285,54.981,70.758,71.223,45.861,23.083,15.08,17.396
1952,19.651,17.887,38.069,28.76,37.075,55.105,75.102,76.034,52.293,15.426,0.287,15.486
1953,33.872,15.611,26.64,22.358,34.889,59.242,78.731,75.024,54.794,22.894,9.337,18.041
1954,33.119,32.852,26.639,20.124,31.388,61.152,73.209,72.856,58.911,26.126,9.784,17.938
1955,33.732,19.404,24.915,21.739,28.962,59.717,78.647,75.266,60.219,44.61,17.838,20.297
1956,31.361,12.623,29.595,23.074,41.415,70.772,77.033,73.823,57.091,42.416,18.794,20.589
1957,38.645,17.395,35.006,21.845,27.604,51.864,77.22,71.742,51.581,21.914,10.029,22.491
1958,24.805,19.417,25.535,26.716,30.284,49.641,77.409,75.359,60.815,37.921,21.41,25.704
1959,35.096,24.732,23.003,25.145,32.461,58.258,77.118,75.241,57.132,39.879,16.294,16.555
1960,23.192,4.608,37.904,21.312,29.943,52.226,76.704,76.324,56.03,31.926,11.754,17.675
1961,33.741,30.184,29.381,21.872,32.317,58.777,76.358,75.822,59.238,39.691,23.54,23.881
1962,25.227,30.171,28.952,26.791,29.084,56.471,71.376,72.8,57.698,25.328,9.007,19.988
1963,17.9,3.143,24.437,25.478,29.381,53.449,70.593,72.192,51.019,25.771,24.124,16.91
1964,18.172,14.347,19.533,25.14,29.801,51.406,75.632,71.362,60.327,24.466,8.92,18.548
1965,22.934,14.16,25.76,28.954,26.996,44.974,71.055,68.731,49.971,27.618,12.485,12.255
1966,19.15,13.368,19.406,18.408,24.878,57.378,69.725,72.772,44.037,17.107,22.727,13.332
1967,17.927,4.393,35.829,23.91,29.801,53.139,75.709,75.024,54.224,19.135,13.535,36.096
1968,35.143,20.318,26.704,22.704,28.313,59.787,74.949,71.223,47.533,23.318,12.148,16.017
1969,17.198,14.673,24.622,23.5,36.096,54.252,74.837,73.173,59.286,23.467,20.827,17.112
1970,27.124,26.979,35.355,22.817,34.037,63.138,72.667,73.501,58.221,30.71,8.823,10.833
1971,23.748,13.742,25.981,28.642,38.419,68.551,77.599,74.857,54.67,41.339,18.136,16.019
1972,18.975,20.856,26.704,24.518,25.385,47.033,71.299,71.485,51.325,27.036,17.126,18.933
1973,24.188,18.089,26.704,19.438,32.23,58.627,74.751,73.823,59.046,38.37,10.684,18.452
1974,17.827,14.298,26.595,25.464,31.248,53.906,71.357,71.223,47.559,30.041,8.958,18.523
1975,27.616,22.213,29.781,23.074,29.963,55.224,72.507,73.499,59.78,37.599,14.762,12.4
1976,24.546,18.696,29.336,24.374,32.133,55.864,72.487,72.642,55.068,17.232,20.531,15.819
1977,23.172,12.49,22.733,28.99,37.395,55.074,76.762,73.823,56.866,26.399,23.776,20.327
1978,25.857,28.108,33.942,24.963,32.123,62.097,75.102,74.925,56.175,25.719,18.808,20.732
1979,31.968,29.206,29.13,20.354,25.828,46.778,71.462,67.173,41.747,18.654,24.503,23.673
1980,27.094,18.699,30.703,19.925,31.956,64.474,77.602,72.414,53.479,22.808,14.55,18.912
1981,30.418,19.584,31.727,23.116,32.934,55.894,75.102,71.961,53.907,23.728,17.952,19.907
1982,26.271,22.211,31.869,24.971,32.387,56.463,72.507,73.417,48.823,28.677,16.748,19.473
1983,25.119,21.519,29.304,26.157,32.778,57.482,71.465,70.287,55.079,31.122,14.434,17.693
1984,24.655,20.315,24.128,25.364,31.224,59.558,75.102,70.543,53.889,27.594,12.941,17.933
1985,26.56,12.463,25.505,23.085,31.256,57.329,73.316,73.315,54.726,28.685,15.197,18.893
1986,24.1,17.211,26.366,25.393,30.041,53.906,73.661,71.555,52.214,28.758,18.235,18.545
1987,23.146,17.96,28.179,25.892,31.41,53.915,75.102,73.283,52.472,27.549,14.001,19.992
1988,25.925,18.235,29.07,24.984,31.781,58.875,76.999,74.044,54.492,27.858,15.404,19.991
1989,26.382,22.46,28.922,23.074,32.397,58.902,72.507,72.987,54.668,29.887,19.708,21.3
1990,24.186,22.519,30.147,26.776,34.858,59.227,76.297,73.823,59.043,32.052,16.297,21.617
1991,24.525,18.751,27.904,24.276,31.29,56.402,73.902,72.621,53.902,27.594,16.3,18.801
1992,24.525,18.751,27.904,24.276,31.29,56.402,73.902,72.621,53.902,27.594,16.3,18.801
1993,24.525,18.751,27.904,24.276,31.29,56.402,73.902,72.621,53.902,27.594,16.3,18.801
1994,24.525,18.751,27.904,24.276,31.29,56.402,73.902,72.621,53.902,27.594,16.3,18.801
1995,24.525,18.751,27.904,24.276,31.29,56.402,73.902,72.621,53.902,28.945,17.746,21.771
1996,15.635,15.956,42.236,16.892,29.688,48.501,68.464,75.333,46.45,27.449,7.932,17.787
1997,20.916,12.221,28.461,23.083,29.623,40.962,65.473,62.715,55.554,20.628,18.459,37.641
1998,25.786,16.722,22.586,35.762,30.895,50.345,67.783,74.783,56.791,26.86,17.216,21.924
1999,19.883,19.46,22.406,13.716,36.104,50.054,72.971,71.675,66.898,45.699,28.208,17.075
2000,18.258,21.517,20.093,17.793,29.417,56.238,69.034,67.994,49.566,19.107,14.758,11.237
2001,21.651,15.047,28.503,21.644,33.039,59.024,78.659,66.022,43.699,44.7,12.643,22.557
2002,22.584,21.386,22.915,23.438,33.203,52.232,60.955,79,56.959,26.63,10.895,26.716
