Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.976,11.797,19.57,17.807,29.014,56.49,71.269,69.55,47.676,30.722,23.039,24.93
1952,19.744,24.04,37.122,27.72,39.122,56.129,75.07,73.675,54.895,21.929,10.751,21.757
1953,36.588,23.539,33.168,22.084,37.113,61.709,77.655,73.319,57.675,30.686,16.837,26.598
1954,36.017,37.615,27.788,19.481,35.624,62.633,74.645,72.884,62.709,32.972,15.785,26.618
1955,33.244,25.238,26.763,20.635,31.602,60.014,78.738,73.319,62.644,47.985,27.005,28.684
1956,31.807,19.028,32.952,22.554,43.095,68.462,74.098,71.105,59.39,48.068,26.168,28.883
1957,41.828,25.698,33.459,19.777,30.489,51.818,76.225,69.682,53.743,26.826,14.981,29.222
1958,27.811,26.752,27.056,25.236,34.939,52.16,75.07,75.367,61.419,43.094,25.722,32.874
1959,37.737,30.863,25.399,24.819,37.896,58.843,76.521,73.319,59.026,47.45,22.774,24.466
1960,23.772,12.267,38.811,20.567,34.623,53.565,76.739,74.619,60.514,38.776,19.697,24.136
1961,35.288,35.988,31.893,21.4,36.351,58.735,74.928,74.129,61.343,44.723,30.861,32.277
1962,26.103,35.901,28.698,25.103,34.518,58.333,71.3,71.548,59.466,33.127,15.663,26.465
1963,17.901,9.426,28.556,24.742,35.157,54.908,72.344,70.857,53.903,34.348,31.017,23.069
1964,21.686,23.085,24.749,25.962,34.963,53.274,75.384,70.231,59.035,30.142,17.934,26.957
1965,23.755,20.694,27.21,28.561,30.831,48.653,72.261,69.174,53.505,34.875,21.705,16.778
1966,20.166,18.759,22.997,17.379,29.19,57.05,71.047,71.8,47.947,23.477,23.748,20.876
1967,19.008,11.251,35.786,22.934,34.156,53.553,74.093,73.221,55.829,27.469,21.673,38.232
1968,36.669,26.426,29.099,24.543,32.949,61.426,76.302,69.55,51.153,32.987,20.34,23.819
1969,21.606,21.963,26.441,23.826,38.418,55.097,75.07,71.13,61.398,32.511,26.531,24.002
1970,29.462,32.445,35.572,19.943,36.179,60.082,73.515,71.702,60.18,35.849,16.969,16.103
1971,27.053,20.776,27.654,28.612,41.8,68.378,76.471,74.424,54.757,41.593,24.802,24.131
1972,21.681,31.076,28.414,20.18,20.336,46.339,67.949,67.715,51.444,32.489,24.772,29.629
1973,28.33,26.308,28.584,17.152,37.493,59.44,72.212,71.662,61.311,45.285,22.774,23.192
1974,22.07,20.838,31.163,25.514,34.81,55.076,73.111,69.614,52.658,31.809,16.822,26.707
1975,31.835,31.185,33.555,20.291,31.855,57.021,72.47,70.688,62.364,41.664,22.091,20.73
1976,24.994,28.805,31.645,21.494,36.275,56.39,72.264,70.721,58.839,24.038,23.055,20.416
1977,25.546,19.179,23.268,28.429,41.582,58.087,76.269,72.118,57.819,35.544,28.58,28.948
1978,28.308,34.335,35.586,25.042,37.733,63.667,75.07,73.03,61.166,37.039,26.034,27.655
1979,30.72,37.678,31.072,23.221,28.936,51.466,72.253,68.644,44.395,30.569,29.667,33.151
1980,29.971,27.709,34.042,19.102,39.287,66.966,76.737,71.034,57.803,33.922,20.007,25.156
1981,35.561,28.226,35.225,23.591,38.871,56.579,75.084,69.634,56.379,25.747,23.425,27.252
1982,28.009,31.849,34.003,25.046,35.024,57.975,71.871,70.99,49.523,34.761,24.908,28.576
1983,28.641,28.396,31.707,25.761,37.915,56.562,70.845,67.911,58.875,37.137,18.592,23.834
1984,27.43,26.971,24.5,24.644,36.717,60.521,75.56,68.556,55.801,34.042,19.513,26.746
1985,31.757,20.173,28.093,22.899,35.919,58.26,74.483,71.851,58.781,35.683,22.839,26.853
1986,27.443,25.255,29.294,24.948,34.298,54.647,73.803,69.269,53.943,36.116,26.322,27.363
1987,25.36,25.404,31.274,26.46,35.054,55.91,75.07,72.725,56.783,34.982,23.899,28.33
1988,28.801,26.672,33.785,25.683,37.899,60.449,77.599,74.175,56.892,32.279,22.342,28.531
1989,30.56,33.926,32.882,22.548,36.82,60.316,72.469,71.966,58.681,37.109,29.03,29.792
1990,26.966,34.486,35.62,29.119,41.563,60.041,76.269,72.945,61.973,39.193,23.248,29.024
1991,27.009,26.503,30.413,23.8,35.419,57.512,73.8,71.118,56.475,34.357,23.301,26.151
1992,27.093,26.503,30.413,23.8,35.419,57.512,73.8,71.118,56.475,34.372,23.301,26.151
1993,27.093,26.503,30.413,23.8,35.419,57.512,73.8,71.118,56.475,34.357,23.301,26.151
1994,27.093,26.503,30.413,23.8,35.419,57.512,73.8,71.118,56.475,34.357,23.301,26.151
1995,27.093,26.503,30.413,23.8,35.419,57.512,73.8,71.118,56.475,35.619,24.833,28.472
1996,21.064,25.026,64.479,15.371,33.823,54.571,70.273,69.617,52.689,39.914,12.281,26.249
1997,24.264,22.339,26.922,25.683,33.527,41.074,71.488,61.703,59.747,34.152,18.498,41.072
1998,27.381,24.97,23.453,55.37,35.094,48.37,72.076,76.667,57.545,35.805,24.902,30.091
1999,22.339,26.468,28.891,13.792,39.581,53.134,74.053,74.876,66.551,50.109,50.807,26.375
2000,21.741,28.346,20.819,13.803,34.125,55.856,70.464,66.745,55.508,30.548,21.384,22.811
2001,24.507,24.299,32.209,18.185,35.723,57.884,77.952,66.985,47.817,43.98,16.328,28.94
2002,24.872,27.643,24.732,23.678,36.406,51.383,65.47,74.341,57.082,32.783,13.445,33.133
