Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,24.666,11.999,26.45,23.568,27.735,48.052,61.75,65.134,36.755,15.203,11.535,17.215
1952,21.909,20.275,40.078,24.697,31.531,48.397,67.714,68.186,41.589,7.382,0,15.13
1953,33.778,17.54,24.382,21.581,31.937,52.266,71.603,68.934,47.163,17.125,6.121,18.294
1954,35.026,37.868,29.563,20.099,26.344,52.246,64.972,64.857,52.246,22.522,9.528,17.631
1955,36.029,19.403,29.899,22.379,29.807,51.59,68.432,70.167,53.099,37.789,12.971,22.566
1956,33.037,14.943,33.465,24.657,35.707,61.25,69.225,67.734,46.939,37.687,13.529,23.708
1957,38.164,19.587,38.791,27.145,29.375,48.081,68.536,65.497,43.047,18.846,12.699,24.5
1958,27.312,20.073,29.043,28.077,28.495,43.817,70.885,67.963,55.183,31.574,15.979,25.682
1959,33.944,24.607,26.098,25.674,31.789,51.852,70.367,68.934,50.943,32.825,14.863,16.65
1960,24.74,10.054,38.411,25.076,26.681,46.459,68.215,70.033,46.175,24.699,8.868,17.771
1961,32.477,30.467,31.767,24.846,31.831,51.941,69.744,69.48,52.586,32.188,22.936,23.252
1962,25.61,30.765,34.517,27.285,27.631,46.464,65.994,65.937,51.862,20.473,10.949,21.606
1963,18.46,12.7,29.708,28.665,30.176,49.228,63.375,68.061,44.084,21.309,22.947,17.608
1964,23.04,19.028,25.976,26.91,28.606,46.819,68.884,66.479,60.807,18.856,5.71,21.85
1965,25.464,20.935,29.073,33.784,29.803,45.145,65.447,62.651,42.591,24.201,12.216,13.351
1966,20.044,18.888,24.329,22.411,24.376,51.652,61.664,66.765,39.541,15.085,18.598,13.009
1967,18.73,8.849,38.495,26.775,27.652,46.957,67.272,68.934,47.298,16.882,15.207,35.698
1968,34.851,22.277,29.202,24.122,26.454,50.297,66.533,65.134,37.37,18.835,6.524,17.451
1969,19.925,17.065,25.405,25.015,34.186,47.836,66.436,66.408,50.078,20.095,14.561,15.004
1970,27.901,24.69,36.237,23.173,31.996,54.763,64.471,66.865,50.979,23.761,6.359,13.568
1971,24.74,15.299,28.785,27.376,34.612,61.271,69.752,68.295,46.843,29.876,15.263,16.478
1972,22.786,22.162,29.523,26.886,25.683,43.667,62.093,65.498,41.976,21.968,14.063,19.303
1973,26.657,20.081,29.523,21.857,29.146,54.607,67.73,68.001,50.988,28.364,8.117,21.753
1974,21.316,17.752,28.304,23.741,29.216,48.096,64.047,65.134,39.266,25.782,7.463,20.532
1975,30.626,22.162,30.882,24.627,29.432,49.96,65.397,67.734,53.976,31.559,9.575,13.309
1976,27.626,24.268,35.017,26.895,30.055,52.471,65.397,68.034,46.77,15.482,17.167,16.076
1977,26.303,17.837,21.342,29.816,35.428,48.175,71.709,67.713,51.222,22.705,18.306,21.247
1978,26.114,27.374,37.051,25.92,28.027,52.944,68.615,68.492,47.528,18.853,16.632,19.303
1979,30.463,29.212,33.738,23.112,26.799,43.247,65.397,60.109,33.749,17.204,23.363,24.29
1980,27.4,20.943,35.06,22.387,30.863,54.062,70.526,64.698,43.868,23.186,14.482,21.29
1981,30.925,19.874,33.034,21.613,30.935,49.581,67.997,66.126,45.312,18.459,16.913,19.781
1982,28.612,23.921,33.289,26.738,32.219,50.664,65.397,67.499,42.022,23.718,13.251,21.102
1983,26.814,23.329,32.341,28.571,32.167,53.446,65.39,63.742,48.086,25.898,12.475,19.671
1984,25.941,22.162,27.04,27.322,29.363,51.417,67.533,63.581,46.582,22.034,12.461,21.565
1985,27.605,12.971,29.944,24.667,30.204,52.935,65.733,67.592,47.053,23.718,13.655,20.171
1986,24.887,17.888,29.614,27.256,28.716,48.029,67.172,66.094,43.941,21.616,15.433,18.599
1987,23.36,19.301,31.102,27.293,31.037,48.029,67.997,66.056,43.943,23.46,9.177,21.456
1988,27.339,19.589,32.126,24.789,29.297,51.862,69.95,67.867,47.689,22.234,12.802,20.517
1989,29.646,26.052,31.997,24.657,31.044,53.313,64.409,66.516,45.64,24.385,16.573,22.218
1990,25.525,23.179,32.119,28.18,33.637,53.881,69.199,67.734,51.163,26,12.834,21.963
1991,26.038,21.039,30.881,25.881,30.017,50.444,66.71,66.434,46.494,22.606,13.869,19.769
1992,26.038,21.039,30.881,25.881,30.022,50.444,66.705,66.434,46.494,22.606,13.869,19.769
1993,26.038,21.039,30.881,25.881,30.022,50.444,66.705,66.434,46.494,22.606,13.869,19.769
1994,26.038,21.039,30.881,25.881,30.022,50.444,66.705,66.434,46.494,22.606,13.869,19.769
1995,26.038,21.039,30.881,25.881,30.022,50.444,66.705,66.434,46.494,26.384,16.345,24.598
1996,11.071,18.465,37.76,19.538,36.896,52.162,64.79,70.681,42.035,25.545,6.709,16.578
1997,22.095,17.767,41.264,23.451,31.661,38.737,56.219,54.033,48.841,30.162,18.312,39.671
1998,22.831,20.309,26.984,32.946,30.6,45.52,65.898,71.752,50.009,30.025,11.827,25.018
1999,29.666,23.162,21.256,15.917,36.597,41.554,69.586,52.898,59.168,30.816,18.666,15.694
2000,23.994,21.433,26.595,29.769,29.64,56.483,72.94,60.413,42.605,26.643,17.911,6.996
2001,23.111,18.506,29.811,29.217,34.496,53.614,74.165,52.206,33.284,34.977,16.153,27.775
2002,26.824,23.493,25.016,28.837,36.742,42.758,61.197,68.098,48.492,25.42,19.04,31.855
