Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.135,8.893,20.851,18.955,27.738,54.452,69.797,69.9,42.873,25.041,18.35,21.706
1952,21.879,20.933,38.865,28.844,36.583,54.452,73.7,74.683,50.414,14.666,3.759,19.158
1953,36.469,19.773,28.751,21.683,35.862,59.553,76.97,73.7,53.708,25.316,12.044,23.198
1954,37.064,38.232,28.018,19.183,32.739,60.812,72.431,72.279,58.748,28.245,12.979,22.481
1955,35.536,22.093,26.728,21.543,29.624,58.772,77.148,73.735,58.778,45.559,22.231,25.223
1956,34.653,16.51,33.19,22.6,40.948,67.215,73.429,72.212,56.174,43.828,21.332,25.758
1957,41.963,22.524,35.439,21.055,30.259,52.354,75.151,70.008,49.683,23.106,12.479,26.631
1958,28.382,23.05,27.267,25.852,31.767,50.549,75.269,75.154,58.647,39.179,22.523,30.183
1959,38.695,29.178,24.998,24.582,35.121,57.052,75.117,73.725,54.659,41.093,19.209,19.465
1960,25.209,9.324,39.948,21.343,31.758,51.234,75.418,75,55.479,34.258,15.407,21.483
1961,35.84,32.678,31.333,21.4,34.075,56.829,73.587,75.117,57.477,42,28.241,29.858
1962,27.936,35.299,31.514,26.556,31.045,55.306,69.9,71.373,57.577,27.185,13.022,24.075
1963,18.81,7.143,28.399,25.786,31.912,53.579,70.223,71.266,50.091,27.254,28.024,19.692
1964,22.138,19.505,22.326,25.35,31.741,50.918,73.777,69.977,56.447,24.493,12.737,24.099
1965,24.785,18.105,27.533,30.24,29.345,47.407,70.314,68.862,49.057,30.71,17.499,14.06
1966,19.881,17.196,21.969,17.812,25.901,55.93,69.579,72.474,43.511,18.737,21.975,16.939
1967,18.876,8.794,36.704,23.57,31.558,52.604,73.57,73.849,52.19,22.277,18.468,38.797
1968,37.814,23.995,28.732,23.288,29.437,59.553,74.15,69.9,46.178,26.722,13.139,19.541
1969,20.133,18.31,25.132,23.722,37.304,53.37,73.608,71.92,58.411,26.948,22.909,20.848
1970,29.716,29.592,36.052,20.046,35.076,61.038,71.857,71.774,56.868,31.71,13.024,14.995
1971,26.812,18.164,27.534,29.338,41.213,65.963,75.96,74.74,51.603,38.285,21.954,21.377
1972,22.282,27.086,28.411,22.358,25.12,46.942,68.942,69.012,49.507,31.059,21.571,25.142
1973,30.308,22.049,28.723,17.538,34.489,58.948,72.047,72.501,57.157,40.55,16.649,21.777
1974,22.104,18.81,29.34,24.105,32.4,53.251,70.797,69.9,47.619,27.582,12.01,24.138
1975,32.421,26.394,32.203,21.873,31.204,55.201,71.101,71.668,58.693,36.697,17.105,17.188
1976,26.087,24.887,31.528,22.673,34.087,55.527,71.101,71.717,53.708,19.337,19.739,18.469
1977,26.663,16.558,21.597,27.873,39.224,55.15,75.06,72.501,54.912,30.173,24.904,24.945
1978,28.832,31.436,35.992,24.24,33.388,61.132,73.7,72.714,55.662,29.435,21.976,23.748
1979,33.035,32.975,31.884,21.811,26.845,48.449,71.101,65.044,38.256,22.498,26.243,28.005
1980,30.055,23.906,32.764,18.165,35.18,63.408,75.846,70.832,52.706,29.271,17.039,22.838
1981,34.575,23.157,34.039,22.039,35.395,54.535,73.7,70.334,52.083,22.428,21.039,23.424
1982,29.493,27.821,33.833,24.792,34.227,56.143,71.101,72.229,45.85,30.668,20.123,24.803
1983,28.521,25.807,31.333,26.217,35.555,56.273,70.026,67.495,54.909,32.711,16.197,21.509
1984,27.414,24.219,24.859,25.283,33.707,58.412,73.757,68.7,52.5,29.485,16.545,23.746
1985,30.112,15.805,27.773,22.608,33.141,56.779,72.004,72.29,53.88,30.982,19.258,23.596
1986,26.873,21.025,29.116,25.191,31.741,53.251,72.749,69.934,50.116,30.725,21.75,23.103
1987,24.741,21.992,30.407,26.314,33.41,53.268,73.7,72.357,51.946,30.159,17.076,25.054
1988,28.797,22.589,31.626,24.614,34.304,58.092,76.2,74.005,53.335,28.763,18.376,24.314
1989,29.716,29.518,31.504,22.6,34.306,59.161,71.101,72.057,53.608,31.851,23.469,26.998
1990,26.963,29.292,32.48,26.4,37.769,58.321,74.9,73.098,58.809,34.235,18.792,26.8
1991,27.397,23.141,29.899,23.8,33.141,55.852,72.501,71.3,52.5,29.485,19.376,23.14
1992,27.397,23.141,29.899,23.8,33.141,55.852,72.501,71.3,52.5,29.485,19.376,23.14
1993,27.397,23.141,29.899,23.8,33.141,55.852,72.501,71.3,52.5,29.485,19.376,23.14
1994,27.397,23.141,29.899,23.8,33.141,55.852,72.501,71.3,52.5,29.485,19.376,23.14
1995,27.397,23.141,29.899,23.8,33.141,55.852,72.501,71.3,52.5,31.301,21.667,26.492
1996,18.623,20.046,53.768,15.156,32.697,51.612,68.463,71.288,47.247,33.163,9.104,22.051
1997,24.378,17.894,30.414,23.198,32.234,38.551,66.02,60.279,54.267,29.476,17.279,39.699
1998,26.854,20.606,23.382,45.471,32.925,45.836,69.871,75.985,53.996,30.521,19.14,27.523
1999,25.168,22.601,25.12,12.871,37.36,47.618,71.983,68.841,62.498,43.976,38.12,21.974
2000,23.173,23.226,21.433,17.474,31.94,54.228,69.413,65.905,49.304,24.919,18.363,16.296
2001,24.921,19.472,30.415,20.22,35.041,54.744,76.508,63.257,40.861,41.32,14.892,26.584
2002,26.299,23.583,23.538,23.662,35.753,47.007,62.896,74.464,52.242,29.003,13.878,31.861
