Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.91,10.842,21.641,19.711,28.502,54.098,69.046,69.9,42.822,24.914,18.969,22.435
1952,22.794,22.692,39.676,29.435,36.693,54.14,73.173,74.464,50.405,14.454,4.165,19.733
1953,37.436,21.287,29.612,22.411,36.466,59.24,76.446,73.862,54.034,25.483,12.685,24.096
1954,38.392,40.303,29.012,19.818,33.258,60.279,72.016,72.25,59.254,28.502,14.123,23.245
1955,36.629,23.521,27.975,22.59,30.555,58.313,76.446,73.674,59.22,45.531,22.783,26.154
1956,35.813,18.189,34.279,23.344,41.406,66.509,72.838,72.233,56.41,43.856,21.884,26.619
1957,42.659,24.36,36.285,22.139,31.542,52.495,74.521,70.16,49.91,23.664,13.286,27.434
1958,29.583,24.48,28.338,26.905,32.519,50.427,74.789,75.067,59.137,39.147,22.796,30.817
1959,39.153,30.916,26.104,25.243,35.995,56.631,74.504,73.658,54.925,40.906,19.995,20.151
1960,26.186,11.301,40.879,22.524,32.451,50.772,74.721,74.958,55.549,34.24,16.279,22.251
1961,36.39,34.124,32.338,22.212,34.945,56.363,73.089,75.32,57.895,42.19,29.229,30.762
1962,29.055,36.829,32.85,27.218,31.651,54.905,69.45,71.476,57.952,27.301,14.569,24.851
1963,19.457,9.347,29.707,26.957,32.779,53.341,69.775,71.435,50.722,27.282,28.887,19.895
1964,23.72,21.681,23.922,26.288,32.519,50.633,73.273,70.017,56.936,24.305,13.401,25.205
1965,25.702,19.959,28.84,31.507,30.54,47.79,69.916,69.07,49.528,31.001,18.641,15.03
1966,20.331,19.059,23.268,18.839,26.542,55.563,68.981,72.5,44.181,19.153,21.933,17.542
1967,19.855,10.599,37.307,24.455,32.184,52.221,73.047,73.935,52.274,22.644,19.606,38.773
1968,38.373,25.623,29.739,24.197,30.143,59.198,73.378,69.9,46.24,27.002,13.685,20.606
1969,21.46,20.145,25.42,24.536,37.966,52.972,72.827,71.746,58.608,27.261,23.255,21.443
1970,30.544,30.355,36.851,20.549,35.717,60.402,71.297,71.606,57.293,31.402,13.71,16.02
1971,27.569,19.646,28.537,29.824,41.8,65.193,75.38,74.632,51.614,37.943,22.827,22.169
1972,23.415,28.453,29.388,23.236,26.163,46.926,68.539,69.008,50.231,31.52,22.412,25.827
1973,31.735,23.683,29.739,18.413,35.015,58.826,71.564,72.5,57.105,40.508,17.674,22.628
1974,23.61,20.736,30.078,24.464,33.042,52.991,70.332,69.9,47.833,27.607,12.93,25.121
1975,33.464,27.609,33.197,22.83,32.128,55.017,70.598,71.65,59.525,36.183,17.641,18.07
1976,27.037,26.768,32.774,23.562,34.624,55.51,70.598,71.893,53.992,19.753,20.257,18.999
1977,28.027,18.189,21.608,28.418,39.816,54.79,74.699,72.5,55.311,30.545,25.112,25.618
1978,29.905,32.845,36.819,24.843,33.638,60.394,73.198,72.818,56.062,29.517,22.871,24.122
1979,33.523,34.259,33.376,22.68,27.627,48.393,70.598,65.043,38.267,22.787,26.723,28.667
1980,31.114,25.591,33.771,18.759,35.876,62.601,75.524,70.757,52.96,30.134,17.996,23.425
1981,35.401,24.495,34.811,22.423,36.169,54.155,73.224,70.292,52.216,22.431,22.224,23.932
1982,30.715,29.465,34.61,25.747,35.272,55.908,70.598,71.912,46.074,30.792,20.98,25.788
1983,29.531,27.388,32.338,27.299,36.411,56.209,69.598,67.314,55.234,32.891,17.18,22.309
1984,28.339,25.874,26.005,26.314,34.487,57.837,73.213,68.658,52.876,29.633,17.682,24.982
1985,31.198,16.975,28.956,23.437,33.92,56.566,71.421,72.368,54.295,31.21,20.197,24.402
1986,27.805,22.488,30.231,26.079,32.519,52.939,72.349,69.958,50.3,30.665,22.503,23.759
1987,25.476,23.463,31.339,27.246,34.304,52.939,73.198,72.367,52.065,30.427,17.262,25.911
1988,29.805,24.114,32.503,25.294,34.975,57.697,75.698,74.196,53.76,28.706,19.111,25.036
1989,30.908,31.325,32.692,23.463,35.102,58.941,70.598,72.108,54.106,31.974,24.033,27.955
1990,27.634,30.763,33.312,27.279,38.62,57.974,74.398,73.05,59.356,34.34,19.401,27.678
1991,28.38,24.729,30.88,24.61,33.894,55.539,71.997,71.299,52.835,29.633,20.135,23.892
1992,28.38,24.729,30.88,24.61,33.894,55.539,71.997,71.299,52.835,29.633,20.135,23.892
1993,28.38,24.729,30.88,24.61,33.894,55.539,71.997,71.299,52.835,29.633,20.135,23.892
1994,28.38,24.729,30.88,24.61,33.894,55.539,71.997,71.299,52.835,29.633,20.135,23.892
1995,28.38,24.729,30.88,24.61,33.894,55.539,71.997,71.299,52.835,31.695,22.571,27.539
1996,19.032,21.82,54.851,15.582,34.879,52.211,68.126,70.986,48.059,34.348,9.953,22.701
1997,25.386,20.074,32.127,23.633,33.849,38.114,65.213,59.76,54.764,32.486,17.992,40.096
1998,27.247,22.437,24.192,46.639,34.287,44.899,69.458,76.305,54.337,32.571,19.599,28.267
1999,27.199,24.411,25.581,13.333,38.694,46.472,71.591,67.282,62.583,42.235,38.94,22.651
2000,26.135,24.52,22.471,18.885,33.354,53.981,69.825,65.554,49.84,27.016,19.853,16.741
2001,25.946,21.346,31.083,21.171,36.638,53.756,75.903,62.188,41.473,39.819,16.293,27.848
2002,27.692,25.124,24.098,24.597,37.49,45.541,63.14,73.445,52.94,29.572,15.807,32.727
