Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.102,11.796,19.431,18.054,28.79,56.327,71.206,69.794,46.141,29.029,22.138,24.556
1952,21.269,24.2,37.36,28.082,38.525,56.193,75.006,74.162,53.491,19.669,9.13,21.567
1953,37.524,23.551,31.757,22.029,36.89,61.412,77.766,73.579,56.486,29.073,15.809,26.138
1954,37.387,39.169,27.954,19.357,35,62.522,74.361,72.911,61.62,31.547,15.486,25.901
1955,34.814,25.649,26.66,20.959,31.381,60.014,78.577,73.579,61.463,47.265,26.089,28.319
1956,33.733,19.339,32.965,22.586,42.339,68.382,74.079,71.482,58.374,46.892,25.203,28.519
1957,42.915,25.964,34.224,20.233,30.814,52.182,76.228,69.965,52.592,25.649,14.631,29.007
1958,28.912,26.627,27.043,25.294,34.14,52.242,75.28,75.724,60.617,41.881,25.045,32.621
1959,39.021,31.442,25.183,24.86,37.354,58.813,76.363,73.579,57.64,45.643,22.22,23.473
1960,25.038,12.516,39.138,20.93,33.977,53.378,76.831,74.88,59.103,37.635,18.983,23.93
1961,36.216,35.854,31.553,21.457,35.885,58.599,74.777,74.653,60.092,43.862,30.515,32.092
1962,27.489,36.607,29.352,25.434,33.703,57.99,71.22,71.587,59.115,31.178,15.026,26.315
1963,18.901,10.024,28.598,25.069,34.511,55.06,72.117,71.149,52.686,32.16,30.697,22.602
1964,22.648,23.386,23.91,25.789,34.197,53.111,75.203,70.262,58.181,28.31,16.858,26.668
1965,24.887,21.025,27.306,29.301,30.582,48.746,72.089,69.326,52.125,33.678,21.109,16.322
1966,20.791,19.306,22.867,17.363,28.448,57.188,71.049,72.194,46.756,21.771,23.542,20.137
1967,19.882,11.445,35.769,23.145,33.57,53.637,74.195,73.688,54.716,26.007,21.441,39.321
1968,37.694,26.648,28.941,24.113,32.232,61.321,76.22,69.794,49.661,31.255,18.534,23.165
1969,22.233,21.908,25.682,23.985,38.053,55.065,74.948,71.325,60.431,30.921,25.857,23.608
1970,30.436,32.549,35.589,19.846,36.103,60.662,73.398,71.852,59.115,34.514,16.218,16.26
1971,27.933,21.147,27.7,28.705,41.772,68.102,76.638,74.658,53.725,40.561,24.334,24.043
1972,22.814,30.883,28.263,20.788,20.607,46.879,68.471,68.191,50.554,32.661,24.357,29.051
1973,30.182,26.117,28.52,17.051,36.748,59.817,72.379,72.22,60.02,44.092,21.655,23.326
1974,23.03,21.347,31.02,25.235,34.257,55.028,72.918,69.822,51.153,30.132,15.465,26.773
1975,32.976,30.854,33.181,20.539,31.692,57.057,72.406,71.197,61.37,40.064,21.087,20.31
1976,26.042,28.869,31.534,21.507,35.747,56.961,72.343,71.173,57.07,22.724,22.442,20.368
1977,26.921,19.526,22.751,28.321,41.157,57.751,76.206,72.379,56.925,34.073,27.743,28.317
1978,29.364,34.468,35.716,24.841,36.558,63.78,75.006,73.026,59.721,34.829,25.354,26.868
1979,32.183,37.411,31.2,23.003,28.521,51.035,72.294,66.819,42.392,28.455,29.174,31.938
1980,30.947,27.757,33.624,18.755,38.451,66.296,76.737,71.279,56.404,32.724,19.217,24.895
1981,36.302,27.86,34.847,23.089,38.168,56.414,75.006,69.974,54.969,24.612,23.217,26.582
1982,29.295,31.784,33.806,24.992,34.975,57.905,72.037,71.299,48.149,33.578,24.067,28.101
1983,29.576,28.769,31.548,26.028,37.55,56.977,70.931,67.553,57.663,35.705,18.368,23.616
1984,28.32,27.253,24.515,25.017,36.097,60.214,75.413,68.7,54.83,32.758,18.991,26.383
1985,32.645,19.775,27.998,22.878,35.334,58.286,74.096,72.152,57.367,34.36,22.491,26.448
1986,28.217,25.092,29.255,25.101,33.799,54.717,73.928,69.761,52.737,34.51,25.447,26.659
1987,26.14,25.493,30.998,26.47,34.759,55.59,75.006,72.783,55.39,33.603,22.318,27.933
1988,29.747,26.636,33.166,25.446,37.032,60.22,77.506,74.405,55.837,31.108,21.646,27.766
1989,31.208,33.845,32.53,22.78,36.314,60.473,72.406,72.172,57.244,35.59,27.892,29.533
1990,27.754,34.174,34.323,28.228,40.695,60.014,76.206,73.39,61.052,37.69,22.446,28.887
1991,28.078,26.594,30.184,23.8,34.913,57.501,73.8,71.299,55.263,32.933,22.583,25.828
1992,28.084,26.594,30.184,23.8,34.913,57.501,73.8,71.299,55.263,32.933,22.583,25.828
1993,28.084,26.594,30.184,23.8,34.913,57.501,73.8,71.299,55.263,32.933,22.583,25.828
1994,28.084,26.594,30.184,23.8,34.913,57.501,73.8,71.299,55.263,32.933,22.583,25.828
1995,28.084,26.594,30.184,23.8,34.913,57.501,73.8,71.299,55.263,34.332,24.429,28.43
1996,21.232,25.01,61.846,15.568,33.471,54.443,70.354,70.215,51.541,38.686,11.723,25.904
1997,25.248,22.496,28.017,25.324,33.656,40.627,70.263,61.404,58.514,33.194,18.387,41.186
1998,27.997,25.084,23.297,53.422,34.954,47.779,71.787,76.87,56.995,34.609,23.607,30.002
1999,23.923,26.556,27.988,13.793,39.13,51.733,73.505,73.169,65.535,48.993,47.98,25.859
2000,23.207,28.091,20.914,15.27,33.968,55.714,69.861,66.814,54.067,29.164,20.985,21.66
2001,25.628,24.281,32.013,19.104,36.14,57.119,77.755,65.954,46.251,43.711,16.369,28.183
2002,26.279,27.764,24.217,24.145,36.602,50.144,64.699,74.93,56.059,32.178,14.139,33.478
