Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,24.585,12.25,23.987,21.793,28.518,51.382,65.375,67.468,39.262,18.768,15.082,19.355
1952,22.727,21.576,39.638,26.333,34.469,51.972,70.598,71.159,45.842,10.145,0.032,16.973
1953,35.96,19.188,25.933,21.763,34.929,56.163,74.242,71.297,50.471,20.343,9.108,20.943
1954,37.127,39.243,28.886,20.295,30.874,56.113,68.6,68.331,55.65,24.806,11.443,20.021
1955,36.643,21.123,28.743,22.831,30.476,55.657,72.516,71.88,56.59,41.859,17.652,23.855
1956,35.91,16.543,33.774,24.186,39.417,64.459,71.305,70.057,51.461,40.361,17.292,24.812
1957,40.668,21.701,37.55,25.016,30.905,51.053,71.786,67.792,46.254,20.438,12.652,25.573
1958,28.636,21.883,28.424,27.925,30.748,47.536,73.139,71.303,57.644,34.728,19.282,26.955
1959,36.631,27.433,25.791,25.506,33.804,54.481,72.588,71.258,52.793,35.97,16.85,17.878
1960,26.1,10.654,39.192,24.199,30.418,48.494,71.034,72.558,50.473,29.02,12.138,19.731
1961,34.376,32.602,31.866,23.596,33.807,54.556,71.481,72.608,55.127,37.479,25.807,26.397
1962,28.262,34.517,33.841,27.267,29.62,51.458,67.644,68.692,54.855,22.922,12.982,22.414
1963,19.068,12.861,29.227,28.067,31.453,51.911,66.208,70.241,47.267,23.544,25.44,18.509
1964,23.242,19.523,24.692,26.71,30.797,49.009,71.2,68.3,59.755,20.637,8.505,23.181
1965,25.651,20.35,28.591,32.856,30.647,46.954,68.056,65.376,45.919,26.644,15.034,13.691
1966,20.277,18.698,23.059,20.838,25.815,53.958,64.97,69.714,41.365,16.182,20.253,14.796
1967,19.54,9.77,37.565,25.82,30.299,50.329,70.383,71.258,49.199,19.058,16.995,37.805
1968,36.624,23.784,29.245,23.952,28.601,55.264,69.863,67.468,41.49,21.632,9.997,18.713
1969,20.835,18.247,25.168,24.694,36.921,50.854,69.8,69.405,54.281,22.684,18.485,17.611
1970,29.299,26.94,36.333,22.119,34.202,58.228,68.186,68.966,54.242,26.822,9.479,14.492
1971,26.121,16.672,28.385,27.84,38.268,64.003,72.801,71.393,48.894,32.913,19.484,18.769
1972,23.392,24.466,29.245,26.031,27.856,46.142,65.701,67.388,47.138,26.555,18.214,21.3
1973,29.607,21.558,29.245,20.868,32.425,57.148,70.374,70.067,53.723,33.195,11.908,21.893
1974,22.598,19.14,28.3,23.635,31.34,50.927,67.287,67.468,43.166,26.715,9.775,22.479
1975,32.406,23.82,31.493,24.186,31.274,52.805,68.095,69.897,56.719,32.99,13.155,15.201
1976,27.756,24.715,33.244,25.874,31.99,54.37,68.095,69.817,49.92,16.903,19.555,17.236
1977,27.2,17.661,20.971,29.163,37.92,51.574,73.631,70.057,53.26,25.796,20.701,22.425
1978,28.566,29.626,36.692,25.136,30.389,56.562,70.695,70.353,51.302,22.741,18.934,21.098
1979,32.257,31.559,33.326,22.739,27.499,45.993,68.095,62.649,35.423,18.032,24.45,25.968
1980,29.483,22.764,33.691,20.052,33.608,58.544,73.196,67.754,48.149,25.751,16.03,21.798
1981,33.174,21.845,33.045,21.425,33.541,52.237,70.695,68.185,48.553,20.178,19.383,21.145
1982,30.038,26.237,33.481,26.321,34.206,53.731,68.095,69.935,43.894,26.524,16.576,23.112
1983,28.243,24.984,31.844,28.033,34.527,55.638,67.723,65.29,50.863,29.013,14.654,20.533
1984,27.397,23.784,26.161,27.168,32.144,54.976,70.46,65.705,49.595,24.982,14.881,22.931
1985,29.535,13.996,29.263,24.186,32.267,55.131,68.499,69.849,50.321,26.564,16.422,21.78
1986,26.398,19.832,29.544,26.785,30.771,50.854,69.84,68.01,46.886,25.229,18.335,20.264
1987,24.764,20.987,30.651,27.278,33.08,50.854,70.695,69.204,47.425,26.181,11.607,23.081
1988,28.722,21.398,31.844,24.913,32.111,55.092,72.911,70.49,50.793,25.085,15.577,22.376
1989,30.53,28.289,31.758,24.186,33.344,56.586,67.535,69.364,49.835,27.666,19.652,24.372
1990,26.54,26.068,32.287,27.855,36.356,56.902,71.896,70.083,55.336,29.27,15.657,24.029
1991,27.421,22.559,30.454,25.316,32.234,53.43,69.485,68.84,49.485,25.325,16.6,21.313
1992,27.421,22.559,30.454,25.316,32.234,53.43,69.485,68.84,49.485,25.325,16.6,21.313
1993,27.421,22.559,30.454,25.316,32.234,53.43,69.485,68.84,49.485,25.325,16.6,21.313
1994,27.421,22.559,30.454,25.316,32.234,53.43,69.485,68.84,49.485,25.325,16.6,21.313
1995,27.421,22.559,30.454,25.316,32.234,53.43,69.485,68.84,49.485,28.686,18.991,25.614
1996,14.963,19.204,43.995,16.727,35.586,52.065,66.032,70.746,43.311,27.751,7.971,18.654
1997,23.939,18.005,36.198,22.388,32.468,38.423,59.902,56.428,50.035,29.184,18.033,39.358
1998,25.229,20.613,24.75,37.66,32.069,45.198,67.409,73.62,50.526,29.49,15.085,26.001
1999,28.969,22.985,22.083,13.648,37.375,43.656,70.254,59.106,59.351,34.956,27.178,18.08
2000,24.698,22.076,23.734,23.887,31.076,55.302,71.339,62.568,44.36,25.148,18.562,10.622
2001,24.804,19.014,29.476,24.607,35.285,53.679,74.762,56.492,35.226,36.325,16.072,27.119
2002,27.627,23.469,23.574,25.845,36.888,43.978,61.811,70.4,48.906,25.842,17.372,31.84
