Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.215,8.384,20.234,18.826,25.708,55.002,71.041,70.362,44.839,25.841,17.842,19.599
1952,19.12,18.892,37.368,28.818,36.024,55.002,74.883,75.06,52.045,17.049,4.032,17.39
1953,34.182,18.348,29.849,22.099,33.781,60.229,77.946,74.162,54.732,25.57,11.823,20.775
1954,34.071,32.977,26.941,19.594,31.31,61.854,73.816,72.646,59.224,28.129,10.94,20.725
1955,33.045,21.399,25.073,21.286,27.295,59.219,78.618,74.232,59.733,45.634,21.486,22.838
1956,31.68,14.714,31.069,22.543,40.498,69.156,75.351,72.524,57.232,43.875,21.042,23.107
1957,39.951,20.372,33.996,20.188,26.861,51.149,76.541,70.654,51.016,22.716,11.119,23.786
1958,25.645,21.92,25.897,25.78,30.281,50.605,75.913,75.801,59.292,39.631,23.896,27.973
1959,35.538,27.044,23.837,24.873,32.771,57.736,76.574,74.522,56.095,42.141,18.108,18.743
1960,22.874,7.196,38.161,20.579,30.03,52.262,77.064,75.462,56.59,34.35,14.642,19.366
1961,34.207,32.4,30.144,21.343,31.79,58.577,75.415,74.946,58.433,41.636,26.364,27.182
1962,25.293,32.222,29.108,26.643,29.447,56.686,71.081,72.181,57.941,28.352,10.556,21.664
1963,17.32,4.423,26.417,24.961,29.664,53.601,71.382,71.086,50.815,28.375,26.686,18.557
1964,19.079,17.503,21.226,25.191,29.801,51.533,74.922,70.692,57.249,25.654,12.13,21.001
1965,22.681,15.885,25.427,29.036,26.469,45.612,71.326,68.928,50.071,30.359,15.729,12.667
1966,18.837,14.62,20.865,16.956,24.552,56.466,70.504,72.278,44.056,18.402,21.49,15.265
1967,18.122,6.554,36.143,23.022,29.66,52.509,74.639,74.162,53.488,21.394,15.995,36.987
1968,36.029,22.337,27.535,23.457,27.663,60.113,75.934,70.362,47.822,26.667,14.073,17.814
1969,18.748,17.31,25.205,23.457,35.404,54.224,74.883,72.748,59.066,26.607,22.509,18.987
1970,27.724,29.054,35.606,20.982,32.882,61.287,72.863,72.618,57.514,32.112,11.364,11.748
1971,25.105,16.22,26.376,29.308,38.972,68.321,76.749,74.773,53.075,40.302,20.098,18.911
1972,19.601,25.287,27.26,21.97,19.697,46.634,69.426,69.455,49.788,29.807,20.38,22.943
1973,26.002,20.499,27.369,18.144,32.879,58.235,72.975,72.955,58.433,40.712,15.444,19.16
1974,18.745,16.153,28.439,25.37,30.686,53.801,72.018,70.362,48.807,27.936,11.861,21.301
1975,29.217,25.573,31.484,21.507,28.478,55.414,72.281,72.031,58.663,38.15,17.184,14.725
1976,23.583,22.288,30.144,22.202,31.54,55.317,72.043,71.581,54.735,19.014,19.554,16.534
1977,23.068,14.473,22.73,28.106,36.779,56.004,76.082,72.961,55.63,29.651,25.006,23.135
1978,26.526,30.021,34.746,24.573,32.745,62.408,74.883,73.409,56.876,30.323,20.978,22.587
1979,30.78,32.078,29.525,21.955,24.661,48.235,72.232,65.918,41.072,22.709,25.192,26.157
1980,27.737,22.09,31.935,19.06,33.295,65.683,77.105,71.54,54.003,27.259,15.648,20.437
1981,32.187,22.762,33.187,23.223,33.75,55.549,74.883,70.694,53.385,23.475,19.288,21.952
1982,26.641,25.903,32.644,24.709,31.402,56.514,72.155,72.816,47.031,30.297,19.598,22.25
1983,26.266,24.132,30.144,25.618,32.981,56.331,71.081,68.714,55.932,32.649,14.948,19.101
1984,25.485,22.475,23.453,24.78,31.696,60.107,74.896,69.296,53.325,29.616,14.689,20.721
1985,28.096,15.127,26.345,22.707,31.127,57.039,73.584,72.477,54.678,30.728,17.92,21.214
1986,24.9,19.981,27.091,24.843,29.66,53.801,73.676,70.359,51.416,31.091,21.084,21.341
1987,23.154,20.401,29.47,26.175,31.02,54.24,74.883,72.824,52.939,29.748,17.865,22.517
1988,26.528,21.326,31.102,25.147,32.628,59.07,77.382,74.117,54.029,28.747,17.564,22.532
1989,26.973,27.154,30.064,22.543,32.259,58.815,72.281,72.521,54.593,32.15,23.054,23.932
1990,25.507,27.488,32.386,27.012,36.027,58.802,76.082,73.627,58.871,34.424,18.494,24.203
1991,25.127,21.453,28.795,23.801,30.994,56.393,73.674,71.764,53.433,29.616,18.417,20.931
1992,25.127,21.453,28.795,23.801,30.994,56.393,73.674,71.764,53.433,29.616,18.417,20.931
1993,25.127,21.453,28.795,23.801,30.994,56.393,73.674,71.764,53.433,29.616,18.417,20.931
1994,25.127,21.453,28.795,23.801,30.994,56.393,73.674,71.764,53.433,29.616,18.417,20.931
1995,25.127,21.453,28.795,23.801,30.994,56.393,73.674,71.764,53.433,30.783,20.25,23.546
1996,17.958,19.266,53.359,15.467,27.14,50.757,69.351,72.432,48.305,32.176,8.146,20.45
1997,22.015,15.952,26.515,23.878,27.638,40.299,68.561,62.397,56.219,25.129,16.48,38.245
1998,26.078,19.583,22.133,45.524,29.058,48.556,70.921,75.833,55.885,29.635,19.525,25.274
1999,20.044,21.664,25.203,13.109,33.76,51.029,73.069,73.836,65.339,48.515,38.31,20.061
2000,19.253,23.718,19.512,14.814,27.915,55.129,68.726,67.598,51.17,23.191,15.843,15.484
2001,22.543,18.422,29.919,19.118,30.778,57.684,78.096,66.844,42.856,45.001,12.382,23.235
2002,23.056,23.252,23.007,22.89,30.772,51.169,62.463,77.283,53.793,28.886,9.961,29.203
