Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.516,11.228,24.792,21.966,27.611,50.865,65.055,67.858,39.435,18.154,13.993,17.843
1952,21.466,19.801,39.624,25.683,33.326,51.449,70.509,71.421,45.326,10.036,0,15.748
1953,34.422,17.602,24.838,21.319,33.034,55.495,74.21,71.66,49.879,19.714,8.041,18.898
1954,35.41,37.57,28.475,20.189,29.309,55.386,68.055,68.245,54.89,24.327,10.215,18.237
1955,35.741,19.327,28.43,22.032,29.075,55.016,71.78,72.493,56.267,41.233,15.933,22.352
1956,33.945,14.56,32.478,23.794,37.831,64.477,71.49,70.459,50.725,40.199,16.22,23.237
1957,38.884,19.327,37.931,25.005,29.177,50.196,71.736,68.012,45.998,20.169,12.162,24.355
1958,26.742,20.138,27.838,27.599,28.988,46.676,73.273,71.393,57.515,34.278,18.632,25.793
1959,34.845,25.145,25.074,25.126,31.751,54.564,72.59,71.66,52.873,35.59,15.816,16.285
1960,24.385,8.617,38.652,23.666,28.379,48.412,70.764,72.959,49.832,28.498,10.745,18.107
1961,32.692,30.754,31.441,23.291,32.156,54.517,71.66,72.429,54.887,36.544,24.335,23.881
1962,25.907,31.856,33.268,26.768,27.798,50.646,67.822,68.79,54.327,22.195,11.556,21.225
1963,17.925,11.237,28.233,27.405,30,51.609,65.657,70.605,46.496,23.18,24.147,17.565
1964,21.17,17.554,23.933,26.072,28.988,48.589,71.173,68.787,61.645,20.527,6.868,21.542
1965,24.462,18.62,27.933,32.157,29.063,46.332,67.914,65.36,45.185,25.833,13.371,12.711
1966,19.463,17.195,22.333,20.585,24.537,53.889,64.649,69.826,41.176,15.679,20.797,13.465
1967,18.177,7.716,37.804,25.634,28.566,49.978,70.218,71.66,49.326,18.271,15.725,37.163
1968,35.155,21.884,28.711,23.422,26.833,54.637,69.523,67.858,41.037,20.729,8.681,17.344
1969,18.976,16.518,25.218,24.008,35.187,50.45,69.506,69.673,53.716,21.908,17.15,16.481
1970,27.786,26.193,36,22.463,32.741,58.358,67.838,69.523,53.853,26.621,8.141,13.37
1971,24.385,14.522,27.832,27.213,35.973,64.417,72.736,71.723,49.11,33.398,18.121,17.095
1972,21.896,22.053,28.711,26.223,26.682,45.761,65.198,68.219,45.728,25.3,16.341,19.655
1973,26.261,19.743,28.711,21.115,30.533,56.616,70.632,70.47,53.842,32.092,10.011,20.998
1974,20.335,16.847,27.505,23.48,29.8,50.45,66.846,67.858,42.277,27.84,8.652,20.751
1975,30.497,21.884,30.556,23.794,29.768,52.239,67.908,70.459,56.127,33.657,11.67,13.663
1976,26.604,22.949,33.074,25.827,30.634,54.105,67.908,70.182,49.646,16.474,20.477,16.186
1977,25.516,16.975,20.729,29.176,36.435,50.743,73.599,70.459,53.172,24.728,20.158,21.159
1978,26.314,27.885,36.133,25.065,28.684,56.369,70.653,71.104,50.475,21.548,17.779,20.112
1979,31.421,29.859,32.33,22.087,26.223,45.033,67.908,62.916,35.241,17.809,24.321,24.669
1980,27.542,20.666,33.401,20.456,31.713,58.366,73.009,68.032,47.336,23.923,15.166,20.948
1981,31.089,20.028,32.489,21.316,31.671,52.168,70.509,68.676,48.292,20.413,18.04,19.981
1982,28.09,23.93,32.861,25.853,32.408,53.188,67.908,70.213,44.298,25.999,15.041,21.516
1983,26.42,23.074,31.304,27.447,32.746,55.453,67.636,66.116,50.398,28.477,13.775,19.367
1984,25.684,21.884,25.8,26.653,30.166,54.513,70.288,66.484,49.16,24.44,13.605,21.201
1985,27.446,12.348,28.682,23.794,30.546,54.743,68.357,70.17,49.997,25.999,14.972,20.28
1986,24.675,18.068,28.805,26.4,29.151,50.45,69.555,68.487,46.72,24.586,17.003,18.622
1987,23.515,19.291,30.169,26.625,31.309,50.45,70.509,69.31,47.393,25.456,10.814,21.527
1988,26.983,19.433,31.311,24.34,30.315,54.534,72.382,70.496,50.255,24.839,14.473,21.017
1989,28.792,26.047,31.153,23.794,31.588,55.918,67.124,69.568,49.202,27.171,18.246,22.409
1990,24.902,23.423,31.643,27.4,34.327,56.275,71.71,70.459,54.383,28.461,14.622,22.052
1991,25.684,20.685,29.928,25,30.546,53.04,69.299,69.16,49.16,24.799,15.473,19.927
1992,25.684,20.685,29.928,25,30.546,53.04,69.299,69.16,49.16,24.799,15.473,19.927
1993,25.684,20.685,29.928,25,30.546,53.04,69.299,69.16,49.16,24.799,15.473,19.927
1994,25.684,20.685,29.928,25,30.546,53.04,69.299,69.16,49.16,24.799,15.473,19.927
1995,25.684,20.685,29.928,25,30.546,53.04,69.299,69.16,49.16,27.872,17.692,24.247
1996,12.928,17.511,40.206,17.397,34.61,51.422,65.913,72.425,42.943,25.965,7.227,17.371
1997,22.141,15.984,36.804,22.285,31.044,39.293,59.207,57.293,50.118,27.155,18.227,39.182
1998,23.922,18.993,25.143,33.993,30.654,46.558,66.859,73.621,51.111,28.854,13.812,24.783
1999,27.132,21.76,21.41,14.016,36.303,44.113,70.452,59.383,60.423,36.305,22.996,16.59
2000,22.675,20.961,24.123,24.685,29.549,56.14,71.628,63.362,44.163,24.394,17.315,8.825
2001,23.058,17.316,29.223,25.447,33.949,54.937,75.3,57.092,35.428,38.678,15.302,26.422
2002,25.906,22.41,23.889,26,35.592,45.266,61.289,71.812,49.922,25.989,16.693,30.903
