Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,22.61,9.519,24.052,21.709,26.875,51.922,67.215,69.442,41.584,19.456,13.94,17.571
1952,21.061,19.348,39.263,27.405,34.158,52.452,72.106,73.455,47.856,11.084,0,15.389
1953,34.088,17.138,25.423,21.827,33.525,56.188,75.807,73.241,51.612,20.185,8.134,18.781
1954,34.527,36.361,27.796,20.462,29.571,57.044,69.886,70.426,56.402,24.246,9.604,17.914
1955,35.271,19.479,27.276,22.074,28.173,56.398,73.867,73.701,57.734,41.727,16.71,21.358
1956,33.726,13.951,31.554,23.738,38.945,66.147,72.977,72.041,53.018,40.523,16.985,22.083
1957,39.07,18.996,37.156,24.083,28.27,50.457,73.645,69.613,47.926,19.907,10.671,23.402
1958,26.049,20.081,27.03,27.538,28.843,47.437,74.703,73.181,58.771,34.867,19.226,25.644
1959,35.437,25.292,24.319,25.392,31.47,55.453,74.094,73.241,54.293,36.453,15.621,15.628
1960,23.986,7.196,38.5,23.122,28.781,49.224,72.673,74.542,52.183,29.234,10.662,17.716
1961,33.056,30.971,30.792,22.796,31.754,55.565,72.943,74.104,56.403,37.41,23.768,23.396
1962,25.811,31.909,32.034,26.83,27.647,52.129,68.944,70.428,55.504,22.229,10.241,20.384
1963,17.687,8.544,26.916,27.036,29.307,52.174,67.34,71.57,48.09,23.441,23.802,16.751
1964,19.924,16.232,22.411,25.893,28.841,49.013,72.692,70.081,61.387,20.869,6.984,20.218
1965,23.854,16.908,27.258,31.239,27.852,45.762,69.123,66.944,46.791,25.795,12.727,11.681
1966,19.062,16.026,21.135,20.098,24.148,54.713,66.632,71.552,42.096,15.293,21.347,13.055
1967,17.814,6.761,37.439,25.35,28.759,51.177,72.3,73.241,50.742,17.783,14.749,36.519
1968,35.505,21.542,28.02,23.203,26.427,56.406,71.456,69.442,43.434,21.015,9.575,16.623
1969,18.328,15.963,24.998,24.051,35.054,51.264,71.391,71.548,55.982,21.637,17.891,16.909
1970,27.593,27.184,35.813,22.677,32.762,59.63,69.761,71.184,55.574,27.497,8.232,12.312
1971,23.737,14.486,26.887,28.605,36.32,65.557,74.573,73.699,50.996,35.55,18.066,16.554
1972,20.823,22.213,28.02,26.036,26.178,45.991,67.44,69.683,47.974,25.238,16.237,19.466
1973,26.553,19.354,28.02,20.445,30.851,57.021,72.011,72.041,56.023,33.65,9.776,19.707
1974,19.393,15.982,27.225,24.323,29.878,51.264,68.433,69.442,44.126,27.96,8.201,19.778
1975,29.747,21.911,30.259,23.738,29.458,52.832,69.507,71.949,57.481,34.513,12.156,12.891
1976,25.863,21.621,31.737,25.69,30.448,54.263,69.507,71.481,51.796,15.842,19.721,15.826
1977,24.67,15.592,21.028,29.351,36.354,51.865,74.453,72.041,54.358,24.706,21.02,20.378
1978,26.182,28.585,35.347,25.16,29.504,58.212,72.12,72.699,52.49,22.247,17.787,19.909
1979,32.056,30.093,31.145,21.662,25.497,45.34,69.432,65.134,37.05,17.255,24.201,24.055
1980,27.372,20.279,32.45,19.995,31.454,60.27,74.608,69.83,49.517,22.977,14.675,20.277
1981,30.948,20.068,31.969,22.154,31.731,53.078,72.106,70.153,50.16,20.682,17.404,19.572
1982,27.451,23.68,32.761,25.764,31.888,53.984,69.507,71.762,45.889,26.268,15.315,20.395
1983,25.983,22.742,30.62,27.202,32.542,55.67,68.959,67.76,51.929,28.766,13.31,18.537
1984,25.285,21.542,25.074,26.304,30.272,55.846,72.095,68.374,50.728,24.833,13.113,19.663
1985,27.073,12.577,27.344,23.738,30.336,55.079,70.074,71.674,51.783,26.268,14.708,19.518
1986,24.355,18.049,28.044,26.338,29.016,51.264,70.977,69.889,48.626,25.385,17.007,18.268
1987,23.372,19.107,29.413,26.647,30.859,51.264,72.106,71.217,49.29,25.461,11.051,20.653
1988,26.588,19.236,30.553,24.777,30.357,55.613,73.958,72.004,51.717,25.223,14.442,20.36
1989,27.803,25.285,30.443,23.738,31.416,56.828,69.145,71.254,51.408,27.466,18.238,22.171
1990,24.333,23.738,31.203,27.425,33.943,57.104,73.309,72.041,56.31,29.106,14.775,21.587
1991,25.285,20.273,29.22,24.936,30.351,53.863,70.908,70.831,50.858,25.068,15.352,19.256
1992,25.285,20.273,29.22,24.936,30.351,53.863,70.908,70.831,50.858,25.068,15.352,19.256
1993,25.285,20.273,29.22,24.936,30.351,53.863,70.908,70.831,50.858,25.068,15.352,19.256
1994,25.285,20.273,29.22,24.936,30.351,53.863,70.908,70.831,50.858,25.068,15.352,19.256
1995,25.285,20.273,29.22,24.936,30.351,53.863,70.908,70.831,50.858,27.62,17.379,23.074
1996,13.853,16.858,41.144,16.89,32.369,49.307,66.092,73.687,42.955,25.332,6.846,17.04
1997,21.68,14.628,33.7,22.354,30.014,38.617,60.685,59.508,50.771,23.246,17.578,38.043
1998,24.508,18.737,24.033,34.654,30.259,46.721,66.541,74.402,51.799,26.683,14.428,23.261
1999,24.602,20.86,21.69,13.631,35.672,44.963,70.602,64.073,61.318,38.996,24.506,16.268
2000,21.172,21.032,22.514,21.996,28.992,54.937,70.001,65.288,44.816,21.158,15.877,9.167
2001,22.576,16.436,28.745,23.801,33.065,55.028,75.691,60.564,36.994,40.211,13.758,24.497
2002,24.703,21.95,23.344,24.872,34.246,46.4,60.429,74.619,50.897,25.167,14.073,28.981
