Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.47,12.726,19.908,17.816,30.628,57.356,71.234,70.006,47.808,31.903,25.584,27.01
1952,21.471,26.107,37.539,28.058,40.169,56.831,75.014,74.05,55.161,22.666,13.342,23.81
1953,38.301,25.241,33.95,22.256,38.653,62.273,77.581,73.819,58.174,32.063,19.371,29.064
1954,38.137,40.441,28.988,19.622,37.158,63.053,74.798,73.585,63.375,34.322,18.825,28.838
1955,34.977,26.848,28.081,21.107,33.303,60.747,78.594,73.76,63.139,48.853,29.36,31.09
1956,33.967,20.883,34.027,22.665,43.756,68.49,73.636,71.517,59.508,49.283,28.63,31.348
1957,43.826,27.932,34.547,20.546,32.563,52.638,76.166,70.266,54.207,28.182,17.39,31.537
1958,29.915,28.48,28.171,25.227,36.528,53.004,75.034,75.967,61.408,43.946,27.655,35.033
1959,39.908,32.82,26.54,24.687,39.821,59.547,76.327,73.76,59.367,48.293,25.401,26.387
1960,25.512,14.449,39.451,21.107,36.179,54.169,76.61,75.059,61.259,40.243,22.629,26.366
1961,36.7,37.103,32.908,21.661,38.239,59.187,74.573,74.819,61.713,45.827,33.515,34.464
1962,27.88,37.709,29.734,25.371,36.324,59.152,71.395,71.981,60.073,34.163,18.501,28.775
1963,19.285,11.992,30.067,25.282,37.176,55.799,72.442,71.496,54.443,35.526,34.435,24.94
1964,23.921,25.675,26.225,26.368,36.804,54.069,75.424,70.601,59.573,31.061,20.692,29.445
1965,25.445,22.949,28.685,28.797,32.497,50.17,72.42,69.914,54.062,36.31,24.868,18.664
1966,21.395,21.053,24.505,17.918,30.954,57.557,71.131,72.446,48.878,24.757,25.679,23.139
1967,21.044,13.329,36.126,23.253,35.764,54.585,73.909,73.731,56.162,29.513,25.075,39.777
1968,38.326,28.195,30.241,24.866,34.809,62.046,76.329,70.006,51.482,34.775,23.339,26.474
1969,23.955,23.828,26.772,24.4,39.755,55.746,75.034,71.016,61.713,34.209,28.769,26.127
1970,31.315,33.534,36.322,19.815,38,60.281,73.59,72.02,60.355,36.91,19.858,18.591
1971,28.729,22.824,28.715,28.296,43.375,68.376,76.443,74.639,54.714,42.7,27.435,26.441
1972,23.745,32.709,29.555,20.175,22.256,46.89,67.705,67.98,51.557,34.332,27.426,32.162
1973,31.139,28.43,29.67,16.951,38.993,60.476,72.146,72.075,61.652,46.608,25.568,25.4
1974,24.612,22.995,32.84,25.627,36.379,55.961,73.407,70.281,53.143,32.988,18.994,29.403
1975,33.746,33.012,34.656,20.384,33.753,57.884,72.471,71.036,63.449,42.46,24.497,23.265
1976,27.009,31.183,32.841,21.991,38.471,57.581,72.434,71.513,59.558,25.675,25.125,22.578
1977,28.165,21.239,23.961,28.635,43.385,58.851,76.233,72.559,58.344,37.344,30.614,31.259
1978,30.288,35.997,36.682,25.16,39.195,64.181,75.034,73.47,61.881,38.402,28.795,29.734
1979,32.52,39.679,32.62,23.666,30.39,52.589,72.167,68.806,44.564,32.343,32.36,35.603
1980,32.111,29.862,35.208,19.067,41.4,67.145,76.559,71.477,58.363,36.289,22.368,27.18
1981,37.795,29.687,36.285,23.579,40.569,57.107,75.074,70.036,56.686,26.306,26.263,29.263
1982,29.991,33.964,34.831,25.394,36.886,58.748,71.829,71.058,49.737,36.139,27.744,31.238
1983,30.744,30.112,33.01,26.436,39.959,57.402,70.564,67.728,59.372,38.345,21.28,26.054
1984,29.249,28.761,25.671,25.233,38.412,60.707,75.67,69.113,56.183,35.285,22.484,29.39
1985,34.027,21.779,29.426,23.121,37.721,59.031,74.472,72.38,59.463,37.341,25.69,29.23
1986,29.25,27.084,30.681,25.346,36.294,55.089,73.904,69.823,54.373,37.508,28.768,29.64
1987,27.121,27.316,32.508,26.809,36.971,56.53,75.034,73.349,57.497,36.634,26.242,30.882
1988,30.944,28.898,34.979,25.835,39.585,60.941,77.603,75.008,57.458,33.414,24.938,30.774
1989,32.506,36.107,34.391,22.952,38.62,61.085,72.434,72.498,59.343,38.307,31.709,32.434
1990,28.65,36.727,36.336,29.072,43.424,60.713,76.233,73.284,62.764,40.353,25.571,31.413
1991,28.987,28.454,31.54,24.041,37.219,58.199,73.8,71.54,56.974,35.713,25.954,28.454
1992,29.055,28.454,31.54,24.041,37.219,58.199,73.8,71.54,56.974,35.747,25.954,28.454
1993,29.055,28.454,31.54,24.041,37.219,58.199,73.8,71.54,56.974,35.713,25.954,28.454
1994,29.055,28.454,31.54,24.041,37.219,58.199,73.8,71.54,56.974,35.713,25.954,28.454
1995,29.055,28.454,31.54,24.041,37.219,58.199,73.8,71.54,56.974,37.098,27.5,30.944
1996,22.768,26.66,67.104,15.487,36.993,56.226,70.696,69.552,53.989,42.351,14.782,28.918
1997,26.297,24.433,28.257,26.117,36.76,41.2,71.659,61.744,60.655,37.144,20.572,42.64
1998,28.718,26.591,24.155,57.812,38.169,47.945,72.239,77.76,58.257,37.38,27.246,32.343
1999,24.891,28.053,29.884,14.076,42.305,52.959,74.001,74.356,66.686,50.219,54.773,28.947
2000,24.279,29.357,21.727,14.674,37.271,56.203,70.743,67.049,56.565,32.723,25.001,25.237
2001,26.562,25.979,33.213,18.597,37.896,57.461,77.755,66.673,49.089,43.671,19.298,30.95
2002,27.119,28.889,25.265,24.373,39.041,50.563,65.995,74.151,58.159,34.142,16.822,35.305
