Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,23.243,9.573,22.675,20.722,27.345,53.178,68.159,69.265,41.546,21.845,15.503,19.621
1952,22.014,20.797,39.625,28.291,35.191,53.458,72.608,73.601,48.724,12.248,0.364,17.101
1953,35.751,18.446,27.162,22.258,35.129,57.913,76.222,73.079,52.36,22.402,9.68,21.059
1954,36.431,38.153,28.275,20.098,31.08,59.076,70.846,70.937,57.3,26.004,10.97,20.191
1955,35.687,20.86,27.446,22.45,28.902,57.835,75.286,73.236,57.935,44.015,19.11,23.299
1956,34.881,15.658,33.163,23.524,40.457,66.761,72.906,71.861,54.171,41.685,18.433,24.03
1957,40.86,21.185,36.665,23.066,29.313,51.746,74.131,69.413,48.317,21.158,10.873,24.993
1958,27.711,21.677,27.582,27.217,30.315,49.024,74.75,73.661,58.448,36.718,20.627,28.042
1959,37.601,27.618,25.003,25.279,33.341,56.101,74.31,73.065,54.043,38.334,16.883,17.442
1960,25.213,8.699,39.542,22.727,30.267,50.085,73.997,74.367,53.243,31.399,12.504,19.68
1961,35.163,32.549,31.367,22.397,32.992,56.084,72.983,74.581,56.584,40.02,25.563,27.065
1962,28.059,35.218,32.462,26.963,29.205,53.55,68.929,70.507,56.205,24.394,11.646,22.263
1963,18.571,7.821,28.114,27.023,30.354,52.934,68.543,71.16,48.687,24.979,25.38,17.957
1964,21.403,17.838,22.643,25.961,30.291,49.868,72.951,69.695,56.233,22.208,9.26,22.357
1965,24.58,17.914,27.742,31.202,28.78,46.552,69.354,67.604,47.578,28.051,14.7,12.635
1966,19.517,16.963,21.552,19.428,25.034,55.345,67.722,71.709,42.096,16.676,20.954,14.867
1967,18.681,8.225,37.426,24.815,30.125,51.993,72.833,73.065,50.826,19.827,16.283,37.705
1968,36.963,23.262,28.768,23.58,27.829,57.978,72.237,69.265,44.186,23.425,11.114,17.999
1969,19.703,17.286,25.242,24.223,36.587,52.286,72.256,71.617,56.921,23.897,19.891,18.684
1970,29.014,28.292,36.323,21.635,33.965,60.251,70.479,70.993,55.874,29.157,10.103,13.816
1971,25.538,16.49,27.619,30.276,39.005,65.256,75.002,73.777,50.777,36.636,19.87,18.813
1972,21.84,24.802,28.762,24.637,25.943,46.809,68.559,68.961,49.4,27.932,18.358,22.145
1973,29.71,20.922,28.768,19.315,32.712,58.306,71.798,71.864,55.99,36.718,12.497,20.787
1974,21.195,17.905,28.358,24.183,31.081,52.258,69.323,69.265,45.4,26.989,9.616,21.975
1975,31.543,24.236,31.56,23.507,30.571,54.041,70.035,71.441,57.997,35.021,13.942,14.939
1976,26.463,23.082,32.105,24.704,32.121,54.907,70.035,71.24,52.312,17.389,18.436,17.02
1977,25.986,15.679,21.292,28.764,37.854,53.49,74.568,71.864,54.289,27.189,22.323,22.575
1978,28.325,30.375,36.232,24.708,31.225,59.458,72.608,72.027,53.609,25.387,19.264,21.623
1979,32.882,31.663,32.15,21.803,26.242,47.017,70.015,64.788,36.93,18.361,24.364,25.918
1980,29.306,22.32,32.839,18.897,33.481,61.576,75.099,69.878,50.537,26.203,15.527,21.484
1981,33.017,21.715,33.243,22.189,33.54,53.578,72.608,69.814,50.619,21.336,19.129,21.381
1982,29.125,26.02,33.747,25.663,33.31,55.071,70.035,71.709,45.171,28.126,17.094,22.527
1983,27.538,24.471,31.367,27.125,34.068,56.113,69.265,67.151,53.06,30.543,14.396,20.044
1984,26.775,23.263,25.314,26.201,31.892,57.048,72.596,68.035,51.244,26.762,14.547,21.826
1985,28.978,14.16,27.894,23.524,31.738,56.002,70.591,71.606,52.264,28.167,16.504,21.536
1986,25.988,19.529,29,26.123,30.291,52.258,71.597,69.523,48.913,27.613,18.804,20.549
1987,24.354,20.749,30.043,26.813,32.238,52.258,72.608,71.449,49.879,27.505,13.271,22.809
1988,28.142,21.033,31.26,24.955,32.111,56.792,75.015,72.691,52.13,26.638,15.869,22.267
1989,29.238,27.677,31.264,23.524,32.892,58.282,69.926,71.21,52.184,29.326,20.192,24.809
1990,25.842,26.754,32.165,27.273,35.89,57.988,73.807,71.923,57.493,31.413,16.194,24.429
1991,26.787,21.942,29.88,24.712,31.79,54.858,71.433,70.666,51.196,26.925,16.84,21.155
1992,26.787,21.942,29.88,24.712,31.79,54.858,71.433,70.666,51.196,26.925,16.84,21.155
1993,26.787,21.942,29.88,24.712,31.79,54.858,71.433,70.666,51.196,26.925,16.84,21.155
1994,26.787,21.942,29.88,24.712,31.79,54.858,71.433,70.666,51.196,26.925,16.84,21.155
1995,26.787,21.942,29.88,24.712,31.79,54.858,71.433,70.666,51.196,29.418,19.021,24.835
1996,16.296,18.344,47.028,15.819,32.478,50.163,66.838,71.793,44.211,28.794,7.444,19.081
1997,23.393,16.313,32.43,22.488,31.065,37.969,62.63,59.004,51.51,26.276,16.924,38.787
1998,25.831,19.327,23.596,39.71,31.325,45.382,68.265,74.615,51.84,28.552,16.095,25.515
1999,25.677,21.675,23.022,13.029,36.365,45.272,70.856,65.741,60.88,40.577,30.304,18.676
2000,24.212,21.915,21.961,19.998,30.28,54.073,69.656,64.779,45.967,23.004,16.805,12.203
2001,24.089,17.877,29.43,22.084,34.074,54.124,75.594,60.738,37.073,40.112,14.823,25.359
2002,26.069,22.621,23.204,24.22,35.041,45.614,61.418,73.512,49.841,26.672,13.932,30.682
