Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,24.297,13.667,20.017,18.864,31.508,57.202,71.201,70.366,47.202,30.774,25.381,28.178
1952,22.67,27.545,38.371,29.236,40.446,56.812,74.912,74.477,54.594,21.156,12.504,25.115
1953,38.78,26.264,32.905,22.977,39.473,61.93,77.605,74.426,57.997,31.14,19.164,30.239
1954,39.336,42.75,29.581,20.235,37.642,62.794,74.726,73.807,63.47,33.586,19.567,29.726
1955,36.347,28.388,28.521,22.366,34.061,60.62,78.375,74.16,62.997,48.507,29.191,32.21
1956,35.436,22.319,34.449,23.435,43.833,68.127,73.67,71.913,59.418,48.745,28.386,32.676
1957,44.452,29.48,35.447,21.939,34.218,52.932,76.2,70.791,54.055,27.883,17.845,32.85
1958,30.979,29.595,28.632,25.987,36.891,53.091,75.229,76.495,61.393,43.308,27.477,36.22
1959,40.473,34.59,26.839,25.482,40.545,59.418,76.122,74.16,58.973,47.006,25.552,26.832
1960,26.517,15.934,40.111,22.408,36.731,53.924,76.617,75.46,60.72,39.634,22.813,27.614
1961,37.226,37.91,33.144,22.56,39.04,58.853,74.339,75.477,61.331,45.527,33.97,35.802
1962,29.1,39.507,30.938,26.406,36.769,58.731,71.645,72.391,60.869,33.187,19.121,30.097
1963,19.962,13.935,30.61,26.378,37.799,55.713,72.342,71.859,54.28,33.949,35.093,25.552
1964,25.046,27.347,26.344,27.28,37.222,53.86,75.3,70.736,59.626,29.796,20.458,30.917
1965,26.328,24.699,29.345,30.194,33.362,50.595,72.337,70.291,53.791,35.769,25.155,20.081
1966,21.656,22.579,25.136,19.015,31.469,57.53,70.965,72.949,48.664,24.053,25.988,24.022
1967,21.807,14.744,36.315,24.165,36.379,54.543,74.005,74.431,55.967,28.661,25.554,41.879
1968,39.004,29.662,30.545,25.508,35.363,61.919,76.033,70.366,50.936,33.771,22.519,27.577
1969,24.895,25.5,25.996,25.432,40.572,55.619,74.87,71.127,61.749,33.5,28.743,27.267
1970,31.987,34.508,36.628,20.404,39.086,60.314,73.542,72.235,60.225,36.067,19.841,20.262
1971,29.346,24.391,29.191,28.885,44.272,67.584,76.506,74.94,54.494,41.877,27.52,27.323
1972,24.878,33.618,29.755,21.505,24.148,47.377,68.14,68.517,52.139,35.425,27.87,33.247
1973,32.644,29.609,30.132,17.906,39.438,60.904,72.394,72.789,61.409,46.074,25.483,27.037
1974,25.646,24.815,32.987,25.792,36.978,56.027,73.153,70.692,52.757,31.909,18.759,31.141
1975,34.623,33.718,34.72,21.631,34.509,57.897,72.4,71.653,63.719,41.212,24.286,24.44
1976,27.902,32.492,33.144,22.891,39.177,58.103,72.4,72.002,58.904,25.146,25.155,24.181
1977,29.522,22.661,23.498,29.282,43.807,58.478,76.2,72.96,58.473,36.649,30.319,32.215
1978,31.112,37.147,37.065,25.699,39.173,64.046,75,73.843,61.717,37.1,28.981,30.403
1979,33.534,40.247,33.287,24.314,31.042,52.286,72.194,67.389,44.134,31.172,32.286,36.034
1980,32.95,31.108,35.345,19.594,41.895,66.21,76.47,71.688,58.05,36.293,22.458,28.33
1981,38.278,30.523,36.373,23.776,41.073,56.835,75.136,70.513,56.361,25.375,26.989,30.054
1982,31.267,35.204,35.029,26.207,38.116,58.614,71.994,71.695,49.236,35.711,27.783,32.471
1983,31.508,31.53,33.197,27.708,40.87,57.731,70.699,67.321,59.197,37.674,21.818,27.35
1984,29.888,30.266,26.133,26.425,39.015,60.442,75.507,69.231,56.19,34.503,22.854,30.889
1985,34.932,22.523,29.869,23.877,38.403,59.049,74.159,72.849,59.146,36.842,26.165,30.445
1986,29.841,28.09,31.122,26.347,37.04,55.028,74.125,70.36,54.196,36.503,28.715,30.521
1987,27.173,28.484,32.649,27.565,37.845,56.095,75,73.608,57.104,35.96,25.42,32.128
1988,31.706,30.015,34.868,26.395,39.933,60.594,77.499,75.521,57.433,32.786,24.963,31.58
1989,33.129,37.351,34.711,24.173,39.351,61.106,72.4,72.813,58.998,37.404,31.328,33.864
1990,29.245,37.538,35.75,28.598,43.863,60.62,76.2,73.717,62.953,39.456,25.491,32.833
1991,29.866,29.72,31.797,24.865,37.909,58.113,73.8,71.865,56.797,34.98,26.046,29.656
1992,29.866,29.72,31.797,24.865,37.909,58.113,73.8,71.865,56.797,34.98,26.046,29.656
1993,29.866,29.72,31.797,24.865,37.909,58.113,73.8,71.865,56.797,34.98,26.046,29.656
1994,29.866,29.72,31.797,24.865,37.909,58.113,73.8,71.865,56.797,34.98,26.046,29.656
1995,29.866,29.72,31.797,24.865,37.909,58.113,73.8,71.865,56.797,36.557,27.745,32.516
1996,22.639,27.966,65.755,16.116,38.437,56.371,70.861,70.05,54.119,41.595,15.081,30.253
1997,27.149,26.146,29.934,26.318,38.661,40.538,70.549,61.481,60.524,38.148,21.061,44.353
1998,28.944,28.013,24.507,57.248,39.7,46.952,72.043,78.388,58.663,37.39,26.745,34.094
1999,26.807,29.55,29.408,14.606,43.404,51.272,73.607,72.566,66.406,47.243,53.325,30.431
2000,25.816,30.286,22.374,16.81,38.796,55.905,70.422,67.106,56.36,31.823,25.063,26.083
2001,27.495,27.354,33.331,20.13,39.519,56.311,77.523,65.65,48.755,41.559,20.302,32.72
2002,28.455,30.103,25.199,25.449,39.692,48.828,65.777,74.449,58.247,33.405,18.577,37.429
