Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.111,9.93,19.705,18.084,27.762,56.242,71.28,69.746,47.159,29.079,20.873,22.931
1952,18.807,20.928,36.723,27.792,38.241,56.121,75.08,73.995,54.315,20.566,8.196,20.041
1953,35.093,20.921,32.065,22.12,35.906,61.672,77.772,73.547,56.945,28.928,14.763,24.29
1954,34.534,34.339,26.978,19.545,34.286,62.901,74.461,72.565,61.782,31.236,13.413,24.432
1955,32.452,22.959,25.672,20.828,30.184,59.975,78.78,73.547,61.924,47.087,24.804,26.475
1956,30.742,16.519,31.877,22.554,42.496,69.312,74.715,71.483,59.098,46.508,24.02,26.584
1957,40.459,22.746,32.994,19.65,28.962,51.823,76.371,69.937,53.149,25.273,13.13,27.033
1958,26.322,24.105,26.165,25.463,33.475,51.984,75.146,75.456,60.963,42.021,24.671,31.024
1959,36.097,28.322,24.438,24.992,36.002,58.8,76.669,73.572,58.388,45.725,20.622,22.555
1960,22.767,9.412,38.241,20.411,33.175,53.619,76.938,74.845,59.416,37.044,17.42,22.269
1961,34.426,34.03,30.924,21.354,34.685,59.343,75.216,74.222,60.623,43.46,28.815,30.314
1962,25.087,33.416,28.188,25.381,32.837,58.172,71.28,71.745,58.914,31.648,13.35,24.579
1963,17.097,6.368,27.256,24.578,33.223,54.751,72.116,70.808,53.145,32.453,29.049,21.406
1964,20.095,20.029,23.268,25.696,33.237,53.062,75.242,70.399,58.579,28.695,15.54,24.658
1965,22.74,17.958,26.022,28.833,29.438,47.799,71.996,68.953,52.653,33.164,18.981,15.285
1966,19.328,15.997,21.785,17.118,27.611,57.213,70.889,71.791,46.837,21.697,22.516,18.654
1967,18.295,8.458,35.659,22.812,32.631,53.311,74.297,73.513,55.302,24.922,18.88,37.39
1968,35.582,23.986,28.137,24.279,31.192,61.393,76.279,69.746,50.396,30.755,17.519,21.336
1969,19.864,19.557,26.052,23.564,37.351,55.185,75.08,71.884,60.927,30.335,24.728,22.143
1970,28.223,30.517,35.213,20.71,34.951,60.84,73.343,72.011,59.526,34.491,14.482,14.112
1971,25.947,18.164,26.849,28.934,40.835,69.055,76.526,74.649,54.564,40.822,22.596,22.035
1972,20.266,28.272,27.529,20.669,19.402,46.678,68.461,68.23,51.22,31,22.667,27.192
1973,26.41,23.226,27.728,17.672,36.049,59.205,72.417,72.04,60.623,43.683,19.965,21.463
1974,20.092,18.039,29.822,25.5,33.447,54.975,72.686,69.746,51.74,30.361,14.953,24.478
1975,30.219,28.428,32.51,20.675,30.549,56.785,72.48,71.039,61.061,40.554,20.024,18.384
1976,23.611,25.446,30.704,21.367,34.355,56.087,72.071,70.663,57.531,22.079,21.444,18.789
1977,23.642,16.464,22.767,28.328,39.795,57.77,76.279,72.346,57.283,33.298,27.005,26.819
1978,27.023,31.939,34.796,24.909,36.225,63.741,75.08,73.243,59.977,34.99,23.775,25.826
1979,29.811,34.723,29.868,22.871,27.598,50.771,72.412,67.937,43.909,27.704,27.438,30.57
1980,28.465,24.759,32.964,19.243,37.23,67.252,76.963,71.22,56.907,31.521,17.945,23.411
1981,33.712,25.718,34.165,23.642,37.284,56.665,75.1,69.893,55.677,25.021,21.269,25.376
1982,26.77,28.801,33.203,24.909,33.616,57.808,71.972,71.803,48.96,33.063,22.533,26.137
1983,27.185,25.981,30.704,25.424,36.096,56.705,71.178,68.393,58.124,35.521,16.697,21.989
1984,26.137,24.394,23.584,24.483,35.013,60.992,75.389,68.607,55.283,32.533,17.131,24.364
1985,30.076,17.585,26.992,22.835,34.265,58.11,74.34,71.956,57.605,33.816,20.512,24.676
1986,25.967,22.56,27.965,24.79,32.631,54.851,73.735,69.519,53.381,34.315,24.219,25.193
1987,24.01,22.681,30.276,26.354,33.504,55.806,75.08,72.617,55.762,33,21.657,26.03
1988,27.285,23.808,32.617,25.607,36.27,60.473,77.579,74.018,56.146,30.905,20.201,26.352
1989,28.287,30.58,31.462,22.5,35.232,60.09,72.48,72.055,57.368,35.455,26.635,27.496
1990,25.832,31.003,34.728,28.858,39.725,59.975,76.279,73.339,60.99,37.516,21.29,27.061
1991,25.679,23.757,29.457,23.8,33.876,57.5,73.801,71.3,55.698,32.635,21.121,24.113
1992,25.713,23.757,29.457,23.8,33.876,57.5,73.801,71.3,55.698,32.616,21.121,24.113
1993,25.713,23.757,29.457,23.8,33.876,57.5,73.801,71.3,55.698,32.635,21.121,24.113
1994,25.713,23.757,29.457,23.8,33.876,57.5,73.801,71.3,55.698,32.635,21.121,24.113
1995,25.713,23.757,29.457,23.8,33.876,57.5,73.801,71.3,55.698,33.816,22.641,26.395
1996,19.719,22.15,60.913,15.516,31.014,53.465,69.787,70.55,51.258,36.977,10.404,24.204
1997,22.885,19.104,26.222,25.221,30.829,41.479,70.725,62.088,58.709,30.81,17.308,39.952
1998,26.587,22.182,22.957,52.162,32.471,49.297,71.684,76.19,56.999,33.855,22.861,28.228
1999,20.598,23.865,27.738,13.699,37.207,53.455,73.771,75.331,66.449,49.473,46.436,23.982
2000,19.986,26.117,20.188,13.7,31.427,56.11,69.846,67.032,54.226,27.811,18.334,20.306
2001,23.172,21.363,31.351,18.288,33.577,58.679,78.004,67.417,46.262,44.124,14.263,26.965
2002,23.407,25.315,24.209,23.26,33.322,52.457,64.423,75.395,56.006,31.166,11.196,31.514
