Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.669,7.553,21.242,19.411,25.519,54.636,70.695,70.953,43.713,23.731,15.865,18.547
1952,19.809,18.876,38.514,28.995,35.112,54.636,74.657,75.825,50.85,14.672,1.268,16.366
1953,34.525,16.985,28.294,21.988,33.416,59.674,78.016,74.705,53.769,23.569,10.129,19.604
1954,34.282,33.79,27.173,19.499,30.182,61.294,73.22,72.984,58.174,26.496,9.977,19.314
1955,33.756,20.39,25.538,21.486,26.477,59.383,78.347,75.061,58.811,44.693,19.383,21.668
1956,32.4,13.978,31.241,22.6,39.839,69.052,75.384,73.4,56.217,42.46,19.122,22.105
1957,39.886,19.362,35.164,20.859,26.462,51.7,76.494,71.247,50.046,21.459,10.005,23.307
1958,25.751,20.786,26.2,25.821,29.168,49.989,76.443,75.888,58.811,38.086,22.109,27.143
1959,35.975,26.656,23.9,24.709,31.785,57.483,76.399,74.993,55.098,40.153,16.61,16.972
1960,23.323,6.336,38.75,20.907,28.973,51.723,76.605,76.005,55.289,32.686,12.676,18.568
1961,34.337,31.526,30.212,21.401,31.096,57.854,75.232,75.742,57.639,40.606,24.815,26.316
1962,25.991,32.44,30.13,26.725,28.205,55.905,70.857,72.509,57.218,26.031,9.571,20.969
1963,17.647,3.873,26.276,25.387,28.436,53.448,70.821,71.859,49.796,25.983,24.983,17.455
1964,18.992,16.124,20.465,24.98,28.79,50.971,74.895,71.088,56.862,23.829,9.87,20.25
1965,23.027,15.284,25.99,29.108,25.829,45.409,70.803,69.185,48.831,28.672,13.901,11.741
1966,18.788,14.362,20.568,17.472,23.44,56.377,70.043,72.928,42.737,17.046,21.151,14.224
1967,17.477,5.957,36.584,23.407,28.79,52.615,74.769,74.705,52.625,19.757,14.792,36.575
1968,36.304,21.721,27.613,22.895,26.52,59.704,75.119,70.953,46.409,24.444,11.967,16.729
1969,18.033,16.048,24.918,23.432,34.959,53.814,74.637,73.252,58.231,24.633,20.967,17.983
1970,27.796,27.943,35.899,21.151,32.506,61.905,72.51,73.015,56.784,30.696,9.919,11.531
1971,24.772,15.438,26.691,29.565,38.32,67.614,76.949,75.175,52.453,39.154,18.836,17.663
1972,19.718,23.603,27.533,23.012,22.425,46.985,70.191,70.448,49.834,28.435,18.561,21.267
1973,26.717,19.518,27.581,18.241,31.658,58.423,73.369,73.505,57.522,38.981,12.746,18.842
1974,18.905,15.553,27.74,24.812,29.82,53.435,71.5,70.953,47.259,27.198,9.682,20.243
1975,29.221,23.96,31.137,22.232,28.387,54.988,72.057,72.847,58.446,36.677,15.227,13.599
1976,24.382,20.9,30.233,23.001,31.019,55.214,72.031,72.416,53.779,17.492,18.49,16.04
1977,23.741,13.641,22.561,28.082,36.25,55.139,76.037,73.505,55.117,27.733,23.534,21.777
1978,26.623,29.25,35.074,24.324,31.239,61.559,74.657,73.792,55.483,27.379,19.261,21.395
1979,31.658,30.76,30.014,21.226,24.118,47.557,71.731,66.421,39.596,19.641,24.261,24.825
1980,27.812,20.895,31.685,18.795,31.865,64.409,77.015,71.9,52.5,25.418,14.616,19.887
1981,31.802,21.083,33.01,22.702,32.273,55.081,74.657,71.373,52.352,22.441,18.343,20.734
1982,27.045,24.614,32.769,24.642,31.12,56.151,72.057,73.31,46.419,28.941,17.576,20.956
1983,26.07,23.125,30.212,25.9,32.108,56.477,70.888,69.251,54.695,31.209,13.93,18.426
1984,25.394,21.683,24.217,24.991,30.501,59.179,74.657,69.93,52.475,27.902,13.48,19.648
1985,27.595,13.701,26.412,22.631,30.2,56.83,72.929,73.095,53.616,29.076,16.198,20.18
1986,24.806,18.638,27.398,25.012,28.801,53.435,73.473,71.032,50.526,29.212,19.062,19.974
1987,23.152,19.471,29.263,25.957,30.338,53.571,74.657,73.225,51.557,28.099,15.142,21.464
1988,26.613,20.049,30.286,24.746,31.135,58.465,77.127,74.442,53.178,27.572,15.898,21.203
1989,27.261,25.537,29.948,22.6,31.343,58.822,72.057,72.926,53.575,30.302,20.728,22.995
1990,25.162,25.93,31.456,26.401,34.521,58.615,75.857,73.736,58.229,32.707,16.538,23.45
1991,25.211,20.424,28.8,23.801,30.211,56.024,73.457,72.303,52.501,27.902,16.804,19.946
1992,25.211,20.424,28.8,23.801,30.211,56.024,73.457,72.303,52.501,27.902,16.804,19.946
1993,25.211,20.424,28.8,23.801,30.211,56.024,73.457,72.303,52.501,27.902,16.804,19.946
1994,25.211,20.424,28.8,23.801,30.211,56.024,73.457,72.303,52.501,27.902,16.804,19.946
1995,25.211,20.424,28.8,23.801,30.211,56.024,73.457,72.303,52.501,29.382,18.683,23.001
1996,16.873,17.798,48.531,15.277,27.164,49.76,68.895,73.608,46.173,29.283,7.178,18.942
1997,21.988,14.601,27.782,22.799,27.319,39.658,66.691,62.363,54.241,22.165,16.261,37.776
1998,25.877,18.366,21.98,41.075,28.421,48.028,69.887,75.89,54.63,27.147,17.348,24.094
1999,21.22,20.56,23.471,12.625,33.169,49.216,72.795,71.941,63.96,47.222,33.143,18.551
2000,19.745,22.29,19.667,16.091,27.227,54.875,69.022,67.728,48.841,20.465,14.999,13.153
2001,22.598,16.999,28.905,19.846,30.322,56.95,77.962,65.886,40.827,45.06,12.066,22.958
2002,23.527,22.166,22.495,22.75,30.75,49.93,62.004,77.581,52.79,27.529,10.31,28.485
