Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,22.355,7.84,22.038,19.877,26.625,53.508,69.49,70.078,42.45,22.529,15.105,18.436
1952,20.966,19.583,38.969,27.946,35.427,53.627,73.712,74.649,49.477,13.452,0.136,16.063
1953,34.982,17.228,26.672,21.636,34.611,58.034,77.316,73.876,52.71,22.73,9.541,19.571
1954,35.159,36.029,27.233,19.349,30.754,59.64,71.955,71.918,57.364,26.132,10.26,18.911
1955,34.907,20.204,26.114,21.42,27.883,58.295,76.577,74.017,58.074,44.371,18.812,21.778
1956,33.655,14.443,31.572,22.599,40.466,67.629,74.176,72.669,54.716,42.101,18.347,22.304
1957,40.293,19.729,35.803,21.729,28.014,51.378,75.442,70.306,48.894,21.319,10.169,23.56
1958,26.509,20.738,26.411,26.13,29.72,48.944,75.83,74.444,58.503,37.325,20.826,26.869
1959,36.872,26.612,23.9,24.502,32.554,56.468,75.44,73.879,54.428,39.146,16.398,16.338
1960,24.224,6.884,38.69,21.379,29.611,50.464,75.276,75.177,53.914,31.832,12.014,18.449
1961,34.728,31.463,30.266,21.401,32.199,56.478,74.118,75.176,56.868,40.196,24.687,25.626
1962,27.017,33.809,30.955,26.18,28.693,54.014,69.953,71.458,56.188,24.673,10.219,21.027
1963,18.131,4.715,26.415,25.734,29.419,52.907,69.627,71.563,48.948,25.362,24.722,16.938
1964,19.861,16.083,20.604,24.88,29.609,49.927,74.06,70.369,56.566,22.949,8.891,20.554
1965,23.727,16.291,26.593,29.623,27.477,45.563,70.101,68.135,47.73,28.094,13.745,11.293
1966,19.08,15.426,20.337,18.296,24.395,55.565,68.755,72.312,42.002,16.787,21.322,13.846
1967,17.929,6.602,36.838,23.801,29.609,52.199,74.11,73.876,51.436,19.582,15.137,36.616
1968,36.543,22.086,27.665,22.613,27.167,58.369,73.521,70.078,44.858,23.576,11.257,16.688
1969,18.571,16.129,24.574,23.262,35.908,52.53,73.468,72.434,57.295,23.895,20.024,17.784
1970,28.319,27.852,35.658,21.21,33.542,60.82,71.571,71.993,56.052,29.901,9.682,12.282
1971,24.754,15.451,26.617,29.605,38.623,65.928,76.204,74.421,51.482,38.117,18.966,17.389
1972,20.518,23.514,27.657,23.721,24.944,46.571,69.831,69.831,49.567,27.753,17.638,20.836
1973,28.326,19.785,27.665,18.23,32.1,58.051,72.883,72.677,56.767,37.735,11.82,19.395
1974,19.729,16.22,27.475,23.902,30.63,52.426,70.275,70.078,45.677,27.769,8.983,20.356
1975,30.053,23.574,30.624,22.569,29.803,54.006,71.112,72.215,57.998,36.171,14.104,13.442
1976,25.527,21.284,30.68,23.674,31.82,54.719,71.112,71.859,52.764,17.271,18.213,16.109
1977,24.747,14.316,21.446,28.061,37.209,53.755,75.457,72.677,54.501,27.131,22.663,21.404
1978,27.298,29.613,35.094,24.031,31.241,60.146,73.712,72.979,54.036,25.767,18.885,20.888
1979,32.42,30.875,30.518,20.679,25.451,46.614,70.948,65.717,37.832,18.355,24.226,24.636
1980,28.404,21.067,31.634,18.38,32.614,62.431,76.197,70.788,51.022,25.289,14.813,20.341
1981,32.108,20.776,32.715,21.904,32.87,53.897,73.712,70.598,51.193,21.935,18.433,20.386
1982,27.986,24.771,32.781,24.684,32.385,55.192,71.112,72.449,45.725,28.456,16.784,20.913
1983,26.547,23.302,30.266,26.051,33.249,55.974,70.203,68.241,53.352,30.782,13.825,18.678
1984,25.846,22.085,24.368,25.084,31.191,57.555,73.712,68.999,51.563,27.216,13.645,19.882
1985,27.985,13.416,26.448,22.599,31.082,56.023,71.736,72.341,52.558,28.457,15.773,20.128
1986,25.156,18.567,27.734,25.185,29.644,52.426,72.577,70.29,49.506,28.241,18.39,19.42
1987,23.721,19.687,29.055,25.763,31.407,52.427,73.712,72.264,50.255,27.614,13.455,21.387
1988,27.226,19.997,30.093,24.278,31.552,57.151,76.032,73.391,52.362,27.11,15.429,21.035
1989,28.015,25.82,30.122,22.599,32.209,58.225,71.092,71.984,52.531,29.657,19.851,23.267
1990,25.067,25.734,31.182,26.38,34.908,58.008,74.913,72.707,57.707,31.911,15.922,22.96
1991,25.844,20.679,28.801,23.799,31.11,55.012,72.513,71.476,51.563,27.257,16.387,19.834
1992,25.844,20.679,28.801,23.799,31.11,55.012,72.513,71.476,51.563,27.257,16.387,19.834
1993,25.844,20.679,28.801,23.799,31.11,55.012,72.513,71.476,51.563,27.257,16.387,19.834
1994,25.844,20.679,28.801,23.799,31.11,55.012,72.513,71.476,51.563,27.257,16.387,19.834
1995,25.844,20.679,28.801,23.799,31.11,55.012,72.513,71.476,51.563,29.341,18.364,23.16
1996,16.095,17.571,45.402,15.224,30.405,49.073,67.627,72.985,44.021,28.055,7.113,18.099
1997,22.402,14.916,29.959,21.912,29.469,38.422,64.056,60.497,51.856,23.102,16.764,37.779
1998,25.691,18.429,22.32,38.134,30.124,46.457,68.619,74.841,52.436,27.219,16.217,23.868
1999,23.324,20.873,22.202,12.315,35.174,46.568,71.759,69.964,61.764,43.928,29.895,17.64
2000,21.014,21.806,20.38,18.013,28.918,54.156,69.433,66.08,46.223,21.074,15.594,11.442
2001,23.093,16.968,28.406,20.83,32.453,55.245,76.83,62.899,37.983,43.173,12.932,23.55
2002,24.591,22.186,22.306,23.011,33.313,47.405,61.423,75.588,50.69,26.852,12.185,28.853
