Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,24.939,12.959,23.674,21.564,28.866,52.389,66.325,68.118,39.835,21.196,16.896,21.723
1952,23.528,23.397,40.27,27.859,35.485,52.833,71.106,72.119,47.004,11.857,1.303,19.059
1953,37.123,20.788,28.199,22.815,36.272,57.338,74.715,72.301,51.484,22.454,10.922,23.655
1954,38.769,40.971,29.893,20.542,32.335,57.505,69.701,69.62,56.73,26.586,13.205,22.574
1955,37.307,23.082,29.399,23.7,31.138,56.817,73.805,72.169,57.198,43.897,20.289,25.996
1956,37.044,18.3,35.156,24.561,40.991,64.954,71.447,70.719,52.971,41.784,19.512,26.691
1957,42.076,24.203,37.669,24.669,32.046,51.923,72.428,68.542,47.14,22.007,13.188,27.413
1958,29.914,23.836,29.378,28.286,32.067,48.77,73.345,72.491,57.755,36.585,20.692,29.323
1959,38.233,29.766,26.903,25.917,35.336,55.095,72.938,71.919,53.046,37.827,18.582,19.971
1960,26.978,12.267,40.561,24.416,31.72,49.19,72.362,73.22,51.867,31.128,14.316,21.958
1961,35.934,34.665,32.889,23.746,34.935,55.067,71.672,73.825,55.827,40.158,27.877,29.862
1962,29.935,37.232,34.552,27.922,30.955,52.777,67.789,69.608,55.86,24.892,14.696,24.467
1963,19.697,13.127,30.53,28.676,32.495,52.511,67.298,70.58,48.473,25.205,27.371,19.834
1964,24.598,21.52,25.673,27.307,32.173,49.782,71.628,68.676,56.876,22.118,10.973,25.548
1965,26.273,21.608,29.763,33.309,31.514,47.567,68.507,66.934,47.173,28.729,17.277,15.35
1966,20.47,20.031,24.112,21.049,26.644,54.451,65.9,70.669,41.977,17.766,20.585,16.965
1967,20.418,11.486,37.95,25.918,31.571,51.11,71.143,71.966,49.561,20.928,18.725,38.718
1968,37.887,25.784,30.258,24.751,29.701,56.715,70.779,68.118,42.78,24.049,11.81,20.943
1969,22.267,20.032,25.54,25.368,38.117,51.642,70.555,70.165,55.576,24.772,20.62,19.906
1970,30.486,28.604,37.243,21.926,35.283,58.479,69.02,69.565,55.055,28.593,11.648,16.341
1971,27.331,18.985,29.343,29.294,40.503,63.878,73.405,72.284,49.266,34.842,21.624,21.155
1972,24.174,27.135,30.18,25.571,28.041,46.742,66.721,67.652,48.742,29.103,20.69,24.041
1973,31.979,23.429,30.258,20.328,33.991,57.877,70.471,70.719,54.235,35.996,14.684,23.19
1974,24.278,21.193,29.707,24.286,32.526,51.818,68.2,68.118,44.648,26.31,11.559,24.806
1975,33.689,26.126,33.071,24.561,32.358,53.77,68.719,70.276,57.607,33.801,15.424,17.557
1976,28.17,26.517,33.991,25.711,33.299,54.838,68.719,70.403,50.953,18.379,19.241,19.053
1977,28.241,18.472,21.766,29.045,39.075,52.896,73.882,70.719,53.651,28.11,22.397,24.71
1978,30.241,31.915,37.484,25.468,31.916,57.703,71.319,70.826,52.947,25.694,20.893,23.078
1979,32.988,33.526,34.602,23.333,28.279,47.11,68.719,63.435,36.094,19.682,25.35,28.014
1980,31.007,25.086,34.386,19.783,35.034,59.746,73.82,68.601,49.626,28.315,17.396,23.375
1981,34.899,23.806,34.172,22.203,35.127,52.846,71.319,68.698,49.441,21.162,21.364,23.131
1982,31.454,28.723,34.803,26.774,35.435,54.586,68.719,70.356,44.174,28.401,18.895,25.433
1983,29.515,27.048,32.889,28.582,35.882,55.961,68.161,65.604,51.995,30.869,16.177,22.323
1984,28.472,25.847,26.914,27.621,33.693,56.011,71.189,66.077,50.449,26.909,16.703,25.136
1985,31.139,15.769,30.082,24.561,33.476,55.736,69.164,70.621,51.304,28.63,18.521,23.921
1986,27.611,21.73,30.716,27.178,32.067,51.642,70.543,68.489,47.632,27.459,20.455,22.725
1987,25.573,22.754,31.528,28.018,34.297,51.642,71.319,70.253,48.464,28.177,13.936,25.402
1988,29.961,23.414,32.889,25.657,33.776,56.072,73.805,71.775,51.588,26.612,17.396,24.467
1989,31.605,30.7,32.999,24.577,34.665,57.676,68.479,70.194,51.187,29.539,21.881,27.244
1990,27.592,29.085,33.504,28.339,37.912,57.311,72.519,70.927,56.816,31.504,17.458,26.992
1991,28.598,24.518,31.457,25.693,33.495,54.189,70.121,69.52,50.326,27.216,18.466,23.466
1992,28.598,24.518,31.457,25.693,33.495,54.189,70.121,69.52,50.326,27.216,18.466,23.466
1993,28.598,24.518,31.457,25.693,33.495,54.189,70.121,69.52,50.326,27.216,18.466,23.466
1994,28.598,24.518,31.457,25.693,33.495,54.189,70.121,69.52,50.326,27.216,18.466,23.466
1995,28.598,24.518,31.457,25.693,33.495,54.189,70.121,69.52,50.326,30.271,20.87,27.645
1996,16.946,21.124,49.384,16.273,35.66,52.751,66.371,70.13,44.695,31.483,9.428,21.174
1997,25.258,20.03,35.541,22.998,33.583,38.027,61.296,57.027,51.172,32.757,18.511,40.213
1998,26.323,22.655,24.993,42.12,33.35,44.483,67.701,74.616,51.147,32.144,17.306,27.767
1999,29.592,24.469,23.864,13.6,38.268,44.217,70.23,61.094,59.529,36.791,32.92,20.88
2000,25.857,23.627,23.816,22.547,32.418,54.681,70.648,63.129,45.86,27.485,20.205,13.89
2001,25.968,20.917,30.497,23.525,36.289,53.123,74.45,57.776,37.075,36.684,17.134,28.543
2002,28.523,24.861,24.099,25.692,37.722,43.667,62.223,70.58,49.858,27.829,18.069,33.079
