Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,22.438,7.872,20.356,19.17,26.345,54.248,69.84,69.901,43.341,24.03,16.764,19.451
1952,20.945,19.559,38.21,28.945,35.629,54.248,73.702,74.778,50.659,14.254,2.229,17.038
1953,35.417,18.068,28.15,21.843,34.356,59.348,76.992,73.701,53.817,24.085,10.742,20.765
1954,35.732,35.485,27.157,19.343,31.273,60.842,72.367,72.161,58.587,26.944,11.109,20.259
1955,34.595,20.918,25.615,21.309,27.702,58.773,77.245,73.886,58.873,44.777,20.751,22.733
1956,33.551,14.933,31.751,22.6,40.18,67.649,73.682,72.286,56.266,42.761,19.896,23.273
1957,41.253,20.665,34.815,20.899,28.056,51.628,75.336,70.09,49.904,21.736,10.838,24.296
1958,27.18,21.492,26.256,25.748,30.195,49.982,75.317,75.069,58.758,38.216,22.086,27.991
1959,37.325,27.614,23.966,24.697,33.24,56.893,75.286,73.844,54.96,40.273,17.55,17.381
1960,24.3,7.548,38.841,21.107,30.097,51.191,75.596,75.001,55.618,33.127,13.713,19.335
1961,35.235,31.748,30.321,21.401,32.332,56.976,73.748,74.953,57.618,40.944,26.218,27.407
1962,26.951,33.566,30.296,26.656,29.343,55.018,69.902,71.45,57.608,26.234,10.783,21.837
1963,18.276,4.885,26.951,25.603,29.918,53.295,70.117,70.969,50.028,26.307,26.165,17.916
1964,20.475,17.204,20.747,25.171,30.002,50.659,73.848,70.017,56.599,23.706,11.023,21.47
1965,23.948,16.402,26.224,29.641,27.272,46.151,70.123,68.533,48.943,29.383,15.349,11.898
1966,19.382,15.432,20.693,17.654,24.39,55.834,69.367,72.214,43.104,17.429,21.066,14.927
1967,17.972,6.994,36.351,23.59,29.979,52.335,73.637,73.707,52.444,20.611,16.423,37.197
1968,37.214,22.572,27.716,23.171,27.655,59.348,74.291,69.901,46.368,25.222,12.093,17.307
1969,19.126,16.947,24.459,23.609,35.939,53.288,73.696,72.368,58.468,25.408,21.615,18.695
1970,28.862,28.458,35.522,20.568,33.456,61.081,71.763,71.895,56.873,30.794,11.249,12.539
1971,25.917,16.476,26.607,29.673,39.705,66.419,75.943,74.473,52.035,38.057,20.013,18.865
1972,21.079,25.177,27.506,22.606,23.43,46.626,69.019,69.138,49.634,29.428,19.792,22.546
1973,28.734,20.491,27.661,17.828,32.929,58.365,72.221,72.501,57.537,39.375,14.382,19.575
1974,20.464,16.853,28.144,24.49,30.874,53.049,70.722,69.901,47.541,26.697,10.332,21.523
1975,30.952,24.987,31.229,21.928,29.469,54.809,71.102,71.697,58.524,36.37,15.79,14.678
1976,25.279,22.696,30.389,22.771,32.403,55.066,71.101,71.554,53.817,17.99,18.651,16.514
1977,25.088,14.794,21.561,27.95,37.431,54.912,75.054,72.501,55.052,28.52,23.855,22.71
1978,27.775,30.076,35.196,24.303,32.081,61.1,73.702,72.567,55.68,28.076,20.259,21.881
1979,32.358,31.685,30.443,21.589,25.187,47.786,71.102,65.186,38.95,20.756,24.876,25.717
1980,28.973,22.252,31.735,18.486,33.505,63.732,75.904,70.854,52.779,26.955,15.348,20.83
1981,33.386,21.944,33.125,22.391,33.614,54.487,73.702,70.347,52.261,21.883,19.291,21.395
1982,28.366,26.012,32.82,24.711,32.371,55.855,71.097,72.397,46.141,29.371,18.552,22.182
1983,27.384,24.187,30.321,26.051,33.692,55.943,69.959,67.742,54.972,31.478,14.448,19.286
1984,26.473,22.683,23.896,25.101,31.906,58.63,73.708,68.702,52.562,28.281,14.569,20.94
1985,28.92,14.483,26.534,22.649,31.395,56.499,72.017,72.207,53.787,29.493,17.377,21.256
1986,25.921,19.506,27.922,25.145,29.991,53.049,72.609,69.952,50.355,29.58,20.118,20.904
1987,24.106,20.442,29.425,26.121,31.632,53.157,73.702,72.263,51.792,28.705,15.762,22.566
1988,27.769,21.046,30.548,24.753,32.51,57.997,76.202,73.729,53.322,27.707,16.753,22.109
1989,28.527,27.3,30.247,22.6,32.585,58.715,71.102,71.961,53.672,30.686,21.773,24.279
1990,26.156,27.569,31.604,26.441,35.953,58.196,74.902,73.059,58.629,33.177,17.308,24.446
1991,26.369,21.497,28.87,23.801,31.43,55.644,72.502,71.301,52.567,28.281,17.704,20.85
1992,26.369,21.497,28.87,23.801,31.43,55.644,72.502,71.301,52.567,28.281,17.704,20.85
1993,26.369,21.497,28.87,23.801,31.43,55.644,72.502,71.301,52.567,28.281,17.704,20.85
1994,26.369,21.497,28.87,23.801,31.43,55.644,72.502,71.301,52.567,28.281,17.704,20.85
1995,26.369,21.497,28.87,23.801,31.43,55.644,72.502,71.301,52.567,29.934,19.854,24.049
1996,17.921,18.492,51.189,15.385,29.429,50.623,68.134,71.848,46.51,30.758,7.763,19.635
1997,23.273,15.867,28.622,23.224,29.363,39.002,65.904,60.78,54.027,25.21,16.367,37.954
1998,26.432,18.988,22.262,43.833,30.261,46.767,69.623,75.498,54.036,28.385,18.077,25.118
1999,23.249,21.218,24.006,12.908,34.796,48.365,71.818,69.984,62.959,45.058,35.609,19.435
2000,21.595,22.392,20.12,16.903,29.16,54.414,68.583,66.285,48.847,22.013,16.315,13.952
2001,23.868,17.797,29.377,20.138,32.007,55.728,76.641,64.128,40.268,42.508,13.082,23.777
2002,25.021,22.445,22.615,23.372,32.804,48.355,61.921,75.485,51.778,27.65,11.644,29.499
