Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,22.792,9.353,23.441,21.044,27.329,52.697,67.696,69.038,41.337,20.422,14.868,18.759
1952,21.386,19.843,39.56,27.553,34.834,53.139,72.41,73.162,48.142,11.391,0,16.404
1953,34.674,17.545,26.225,21.735,34.616,57.13,76.11,72.837,51.823,21.099,9.129,20.091
1954,35.332,37.051,28.095,20.09,30.532,58.141,70.367,70.285,56.722,24.98,10.44,19.191
1955,35.266,19.905,27.442,22.044,28.791,57.289,74.553,73.119,57.704,42.697,18.098,22.537
1956,34.186,14.537,32.465,23.425,39.886,66.634,72.991,71.638,53.377,40.929,17.861,23.271
1957,39.759,19.856,37.051,23.48,28.991,51.367,73.938,69.172,47.961,20.361,11.006,24.408
1958,26.705,20.634,27.362,27.224,29.77,48.423,74.788,73.058,58.553,35.54,20.123,27.05
1959,36.439,26.155,24.695,25.121,32.592,55.979,74.25,72.837,54.079,37.203,16.406,16.672
1960,24.537,7.784,39.079,22.769,29.768,49.805,73.377,74.139,52.51,30.131,11.696,18.795
1961,33.906,31.529,31.065,22.37,32.577,56.015,73.055,74.024,56.339,38.556,24.834,25.327
1962,26.815,33.518,32.367,26.65,28.603,52.957,68.961,70.131,55.602,23.073,11.211,21.5
1963,17.952,8.47,27.584,26.855,30.019,52.745,67.961,71.112,48.196,24.018,24.738,17.523
1964,20.447,16.721,22.68,25.719,29.769,49.612,72.881,69.581,58.248,21.321,8.15,21.499
1965,24.029,17.196,27.499,31.061,28.592,46.422,69.323,66.755,46.957,26.768,13.896,12.26
1966,19.067,16.293,21.31,19.604,24.848,55.212,67.229,71.298,41.947,15.791,21.397,14.069
1967,18.085,7.311,37.598,24.9,29.637,51.805,72.635,72.837,50.633,18.676,15.739,37.348
1968,36.001,22.167,28.424,23.144,27.343,57.357,71.868,69.038,43.553,21.966,10.647,17.483
1969,18.874,16.383,25.166,23.917,36.033,51.939,71.835,71.327,56.215,22.573,19.01,17.929
1970,28.041,27.501,36.125,21.941,33.572,60.111,70.137,70.737,55.57,28.107,9.29,13.247
1971,24.471,15.195,27.292,29.25,37.799,65.509,74.844,73.399,50.777,35.804,19.253,17.798
1972,21.222,23.243,28.424,25.253,26.386,46.614,68.054,68.985,48.658,26.394,17.427,20.944
1973,28.182,19.905,28.424,19.784,31.924,57.901,71.996,71.638,55.838,34.871,11.244,20.487
1974,20.072,16.672,27.777,23.951,30.676,51.938,68.872,69.038,44.545,27.504,9.07,21.065
1975,30.472,22.774,30.877,23.425,30.245,53.632,69.811,71.411,57.599,34.569,13.093,14.065
1976,26.029,22.086,32.001,25.041,31.429,54.785,69.811,71.043,51.891,16.488,19.504,16.585
1977,25.18,15.23,21.062,28.863,37.33,52.823,74.624,71.638,54.211,25.766,21.825,21.624
1978,27.117,29.217,35.882,24.664,30.491,58.922,72.41,72.078,52.877,23.54,18.664,20.898
1979,32.279,30.602,31.66,21.524,26.06,46.364,69.778,64.705,36.779,17.571,24.464,25.166
1980,28.156,21.058,32.73,19.125,32.72,61.054,74.911,69.531,49.784,24.488,15.285,21.082
1981,31.759,20.634,32.604,21.879,32.824,53.485,72.41,69.675,50.258,20.87,18.493,20.63
1982,28.104,24.587,33.312,25.522,32.805,54.707,69.811,71.405,45.388,27.01,16.361,21.664
1983,26.572,23.366,31.025,26.959,33.502,56.123,69.154,67.115,52.247,29.507,14.046,19.477
1984,25.872,22.167,25.238,26.059,31.236,56.565,72.409,67.872,50.86,25.573,14.006,20.966
1985,27.765,13.036,27.699,23.425,31.209,55.776,70.346,71.304,51.862,27.01,15.762,20.732
1986,24.968,18.536,28.522,26.025,29.842,51.938,71.345,69.412,48.63,26.263,18.055,19.49
1987,23.681,19.7,29.672,26.485,31.74,51.938,72.41,71.023,49.391,26.339,12.175,21.929
1988,27.171,19.901,30.96,24.615,31.335,56.366,74.53,71.981,51.798,25.751,15.334,21.5
1989,28.345,26.26,30.892,23.425,32.334,57.761,69.569,70.935,51.649,28.208,19.353,23.77
1990,24.877,24.966,31.748,27.126,35.126,57.809,73.611,71.638,56.745,30.029,15.632,23.079
1991,25.872,20.871,29.593,24.626,31.271,54.538,71.211,70.438,50.835,25.809,16.267,20.366
1992,25.872,20.871,29.593,24.626,31.271,54.538,71.211,70.438,50.835,25.809,16.267,20.366
1993,25.872,20.871,29.593,24.626,31.271,54.538,71.211,70.438,50.835,25.809,16.267,20.366
1994,25.872,20.871,29.593,24.626,31.271,54.538,71.211,70.438,50.835,25.809,16.267,20.366
1995,25.872,20.871,29.593,24.626,31.271,54.538,71.211,70.438,50.835,28.477,18.364,24.141
1996,14.71,17.086,43.551,15.823,32.675,49.722,66.422,72.287,42.997,26.464,7.286,18.095
1997,22.268,14.987,33.004,21.796,30.59,38.213,61.483,58.745,50.537,24.071,17.385,38.658
1998,24.838,19.179,23.605,36.481,30.786,45.885,67.496,74.044,51.219,27.008,15.294,24.622
1999,25.001,20.802,22.023,12.814,36.055,44.941,70.735,63.85,60.495,39.547,27.233,17.487
2000,22.927,20.96,22.044,20.63,29.644,54.518,69.925,64.548,44.763,21.647,16.46,10.634
2001,23.045,16.688,28.771,22.515,33.617,54.506,75.637,59.991,36.222,40.091,14.014,25.098
2002,25.15,21.803,23.027,24.025,34.727,45.832,60.923,73.523,49.616,25.563,14.227,30.073
