Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.265,8.118,20.946,18.699,26.358,55.982,71.228,70.616,46.785,26.895,17.592,19.263
1952,18.784,17.634,37.241,28.452,36.938,55.982,75.091,74.983,53.784,18.948,4.097,17.138
1953,34.032,17.513,31.15,22.248,34.374,61.511,78.035,74.417,56.181,26.819,11.841,20.29
1954,33.637,30.14,26.677,19.712,32.238,62.996,74.17,72.861,60.474,28.868,9.945,20.545
1955,32.808,20.443,25.062,21.915,28.371,59.81,78.791,74.417,61.182,46.29,20.947,22.331
1956,31.021,13.724,30.629,22.501,41.647,70.954,76.102,72.747,58.682,44.423,20.94,22.387
1957,39.626,19.22,33.447,19.718,26.791,51.723,76.721,71.065,52.544,23.31,10.463,22.664
1958,25.327,21.23,25.694,26.07,31.18,51.384,75.706,75.971,60.511,40.396,24.587,27.622
1959,35.16,25.786,23.862,24.99,33.264,58.855,76.963,74.746,57.869,43.195,17.592,19.155
1960,22.702,5.992,38.092,20.184,30.942,53.51,77.407,75.717,57.968,34.725,14.248,19.08
1961,34.295,31.5,30.212,21.275,32.346,60.345,76.082,74.829,59.881,41.997,25.449,26.624
1962,24.915,30.413,28.55,26.563,30.38,58.445,71.29,72.631,58.696,29.635,9.866,21.178
1963,17.499,3.408,26.054,24.518,30.258,54.256,71.574,71.224,52.196,29.822,26.074,18.529
1964,18.882,17.167,21.576,25.26,30.684,52.551,75.153,71.159,58.531,26.866,11.996,20.269
1965,22.618,14.663,25.074,28.595,26.791,46.066,71.473,69.128,51.725,30.839,14.88,13.016
1966,19.439,13.214,20.932,16.727,25.337,57.499,70.545,72.256,45.749,19.146,21.196,15.097
1967,19.688,5.322,36.009,22.56,30.338,53.123,74.793,74.417,54.998,21.645,14.586,35.86
1968,35.16,21.296,27.563,23.93,28.497,61.284,76.166,70.616,49.611,27.522,14.963,17.72
1969,18.394,16.595,26.073,23.115,36.168,55.327,75.091,72.871,60.279,27.102,22.078,18.808
1970,27.576,28.657,35.908,21.633,33.498,62.029,73.032,73.089,58.767,32.945,10.821,10.762
1971,25.347,15.294,26.424,28.969,39.276,70.227,76.719,75.299,54.769,41.164,19.368,18.333
1972,19.327,24.305,27.292,21.742,19.485,47.217,69.556,69.618,51.161,29.243,19.677,22.553
1973,24.512,19.588,27.334,18.53,33.752,58.765,73.349,73.135,59.881,41.379,14.978,18.543
1974,18.403,14.663,28.514,25.711,31.511,54.782,71.91,70.616,50.407,29.572,12.329,20.359
1975,28.521,25.138,31.732,21.45,28.998,56.236,72.49,72.247,59.584,39.156,17.137,14.28
1976,23.337,20.871,30.162,21.896,31.821,55.486,71.688,71.486,56.184,19.54,19.521,15.982
1977,22.462,13.239,22.937,28.19,37.202,57.166,76.29,73.216,56.898,30.127,25.145,22.918
1978,26.4,29.114,34.491,24.718,34.17,63.581,75.091,74.214,58.382,31.709,20.548,22.699
1979,30.55,31.572,29.031,22.066,25.337,48.958,72.304,67.075,43.433,23.403,24.163,26.161
1980,27.603,21.011,32.143,19.503,33.953,67.478,77.411,72.021,55.694,28.007,15.016,20.195
1981,32.027,22.48,33.294,23.797,34.684,56.755,75.116,70.888,54.993,24.594,18.421,21.975
1982,26.257,24.814,32.662,24.704,31.8,57.486,72.234,73.057,48.642,30.825,19.338,21.758
1983,26.171,23.048,30.162,25.246,33.291,57.243,71.29,69.71,57.382,33.412,14.728,18.631
1984,25.428,21.462,23.219,24.558,32.403,61.613,75.097,69.689,54.666,30.365,13.804,20.045
1985,28.241,14.697,26.362,22.79,31.865,57.867,73.999,72.63,56.096,31.469,17.133,20.777
1986,24.919,19.326,26.343,24.574,30.338,54.782,73.659,70.539,52.965,31.983,20.919,21.21
1987,23.243,19.546,29.616,26.055,31.467,55.515,75.091,73.057,54.48,30.296,18.34,21.989
1988,26.403,20.553,31.527,25.433,33.571,60.287,77.589,74.275,55.304,29.312,17.145,22.409
1989,26.661,25.889,30.015,22.476,32.937,59.283,72.49,72.754,56.02,32.997,22.95,23.418
1990,25.746,26.024,32.657,27.601,36.864,59.78,76.29,73.816,59.532,35.082,18.461,23.592
1991,25,20.494,28.799,23.8,31.637,57.382,73.799,72.044,54.881,30.365,18.035,20.535
1992,25,20.494,28.799,23.8,31.637,57.382,73.799,72.044,54.881,30.341,18.035,20.535
1993,25,20.494,28.799,23.8,31.637,57.382,73.799,72.044,54.881,30.365,18.035,20.535
1994,25,20.494,28.799,23.8,31.637,57.382,73.799,72.044,54.881,30.365,18.035,20.535
1995,25,20.494,28.799,23.8,31.637,57.382,73.799,72.044,54.881,31.469,19.514,22.718
1996,18.824,18.702,54.686,15.36,27.191,50.87,69.239,72.784,48.895,32.326,7.807,20.492
1997,21.956,14.857,25.688,23.981,27.362,41.586,69.604,63.233,57.263,25.764,16.071,38.022
1998,26.729,18.907,22.694,45.428,29.154,50.37,70.806,75.597,56.551,31.332,19.788,24.692
1999,18.923,20.983,26.248,13.058,34.268,53.332,73.708,76.342,66.729,48.847,38.744,19.944
2000,18.456,23.792,19.677,13.179,27.906,56.057,69.065,68.044,52.234,24.305,14.674,15.972
2001,22.292,17.799,30.461,18.183,30.482,59.618,78.544,68.536,44.437,45.141,11.279,23.431
2002,22.4,22.85,23.938,22.104,29.898,53.802,62.757,77.781,55.179,29.168,8.038,28.321
