Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.486,10.11,18.689,9.69,4.896,128.447,315.541,399.3,177.712,13.423,13.476,0
1952,1.611,14.146,14.965,1.236,9.826,196.835,231.035,276.319,142.124,9.368,2.594,0
1953,33.256,16.287,0.384,3.081,1.64,145.862,414.903,335.685,184.109,1.893,0,3.646
1954,15.345,14.63,4.45,1.11,3.337,79.29,319.164,289.17,216.119,17.927,0,0.044
1955,26.225,18.913,2.009,2.89,2.048,106.643,558.817,194.779,132.375,104.232,0,1.803
1956,24.544,12.769,8.275,2.8,2.374,189.928,224.417,301.752,315.425,113.561,49.646,7.391
1957,10.09,1.23,26.884,1.381,1.48,94.337,310.678,309.883,116.284,1.233,1.065,4.836
1958,21.118,4.368,29.525,2.216,0.6,91.803,223.133,277.575,123.996,30.862,0.661,3.038
1959,56.674,4.196,0.2,0.196,35.72,44.226,211.656,354.118,173.865,151.253,3.564,0
1960,8.921,0,7.726,1.305,0.995,56.456,391.832,447.78,129.445,47.445,0,0.072
1961,20.622,15.633,0,0.174,3.934,87.661,291.571,384.82,217.689,58.759,4.882,3.584
1962,19.388,10.555,6.12,13.349,3.661,58.794,304.497,319.651,354.196,0.435,1.524,4.827
1963,13.371,6.221,16.003,7.267,20.285,101.188,498.315,341.81,189.011,19.623,10.773,2.118
1964,0.764,3.818,2.546,3.614,7.142,57.041,394.878,281.365,205.286,11.641,0,0.911
1965,2.178,2.81,16.176,17.525,3.014,22.437,255.05,164.2,119.117,30.695,2.528,2.022
1966,9.892,13.907,0.013,0,0.866,185.86,155.82,157.48,43.915,2.772,40.885,8.085
1967,1.259,0.274,22.1,4.434,2.759,40.495,283.4,501.818,211.574,3.063,1.681,23.093
1968,21.856,5.871,3.216,1.331,1.804,76.961,238.151,154.378,73.858,39.147,0.187,4.726
1969,8.3,5.123,1.03,2.311,29.926,40.582,526.462,213.258,155.589,1.432,11.921,0
1970,25.201,45.181,1.647,0.528,37.939,124.978,339.995,235.876,543.023,39.298,0.37,0
1971,9.82,10.844,3.634,19.125,46.421,208.245,219.422,397.112,201.829,99.24,0.701,0
1972,18.334,30.44,2.262,2.747,2.812,16.433,148.058,274.765,183.197,118.845,18.971,0
1973,12.532,5.414,1.783,0.845,4.458,49.423,395.395,445.831,188.697,95.483,1.619,0
1974,5.277,1.633,0.737,0.858,5.259,58.335,403.356,203.651,115.4,9.404,0.898,1.307
1975,15.834,8.53,13.706,4.089,3.429,161.846,353.553,251.318,199.288,36.474,0,0
1976,27.149,5.399,0.799,4.594,8.376,35.811,206.226,147.225,346.648,1.165,1.347,0
1977,17.505,14.991,0.632,7.799,9.845,102.275,387.522,185.569,120.313,74.728,4.71,8.427
1978,21.192,42.607,15.706,3.466,1.845,134.317,155.988,240.522,278.9,37.336,0.959,4.041
1979,19.642,8.514,1.097,5.708,2.145,112.719,287.321,174.706,84.432,3.794,50.656,3.661
1980,0.57,4.418,4.689,0.858,2.522,198.11,537.457,533.354,210.436,9.658,0.098,12.427
1981,19.278,2.569,5.886,1.76,9.104,121.992,442.062,422.257,198.283,1.099,21.436,3.399
1982,49.514,10.719,27.228,3.362,33.523,88.731,212.088,369.046,417.666,7.076,28.789,4.892
1983,9.312,2.31,3.046,12.621,35.637,89.359,297.839,187.731,185.792,62.081,0,3.474
1984,28.167,25.748,0.688,8.383,2.051,115.559,208.184,236.854,222.505,29.367,0.16,1.468
1985,16.919,1.164,0.392,9.255,3.868,58.27,264.014,236.932,283.288,107.455,0.294,6.858
1986,11.558,24.238,2.092,2.339,53.938,61.274,282.288,334.908,245.622,11.257,0.664,18.16
1987,15.095,11.977,8.556,2.664,12.214,28.471,182.856,210.059,82.093,100.31,0,2.916
1988,9.669,6.178,13.284,1.284,15.05,147.39,289.336,294.897,104.009,16.057,2.067,23.144
1989,8.19,6.326,5.006,1.735,12.884,92.521,346.182,147.41,173.732,25.846,8.437,11.999
1990,0.031,15.227,3.087,7.986,18.469,114.444,353.619,248.648,250.164,7.074,0.355,3.09
1991,11.762,8.754,5.794,7.27,13.428,44.45,89.265,109.814,128.829,0.627,1.282,19.703
1992,22.506,6.36,0.683,1.962,15.837,30.509,153.554,152.925,179.733,59.999,15.193,0
1993,10.012,0,7.932,2.372,21.731,32.645,146.138,179.619,311.331,30.356,0.014,0
1994,50.57,19.231,18.042,6.484,3.366,108.671,304.229,280.168,172.224,8.817,1.376,0
1995,27.591,19.114,14.219,6.864,4.459,24.465,208.353,291.09,184.552,1.433,24.865,14.154
1996,31.618,16.568,1.447,1.715,3.658,123.188,210.599,301.353,133.096,89.637,0,0
1997,12.18,1.507,2.951,7.965,29.965,109.847,149.884,217.318,241.733,25.006,17.308,12.805
1998,0.695,3.095,9.899,6.442,36.551,10.747,225.234,294.697,136.953,13.614,4.18,0
1999,34.227,30.347,0.068,0,14.101,23.146,222.015,184.708,154.423,26.478,0.052,1.561
2000,11.427,16.286,1.26,4.025,8.774,87.356,129.521,153.447,201.183,0.399,0,0.031
2001,3.321,2.001,11.942,5.993,8.915,100.648,243.408,200.764,44.511,72.25,0.324,0.512
2002,17.825,14.787,6.428,3.052,2.892,20.562,130.813,239.482,228.071,90.192,10.357,0.218
