Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.928,10.194,22.48,10.497,4.031,130.277,324.644,373.6,179.075,17.735,15.911,0
1952,0.993,15.044,17.496,1.369,8.199,203.359,225.337,266.11,154.104,13.322,1.379,0.068
1953,37.162,17.692,0.373,3.017,1.464,148.893,397.535,341.435,191.295,2.206,0,2.849
1954,15.482,13.644,4.38,1.039,3.521,82.457,300.975,284.228,215.19,16.913,0,0
1955,27.933,21.044,1.932,2.522,1.667,106.364,557.745,182.491,119.953,95.222,0,1.396
1956,27.717,13.906,8.565,2.785,5.67,198.432,212.858,315.828,327.913,98.768,78.299,5.756
1957,17.179,1.36,27.887,1.082,1.057,95.496,314.302,302.262,108.636,0.383,0.568,2.447
1958,24.155,4.651,31.205,2.786,0.493,92.708,222.07,266.164,133.263,34.425,0.362,1.618
1959,66.096,3.849,0,0,32.204,45.973,191.862,350.649,174.982,146.93,1.887,0
1960,8.467,0,9.964,1.425,0.715,56.441,386.948,449.738,125.501,39.094,0,0
1961,21.611,17.918,0,0,3.349,89.834,275.811,379.793,214.614,53.328,6.944,2.818
1962,20.276,11.067,6.251,12.765,2.816,54.692,297.327,310.52,338.972,1.738,0.811,3.553
1963,14.59,6.552,18.396,6.678,21.401,100.6,500.899,344.825,176.122,22.599,14.457,1.4
1964,0.369,4.148,2.895,4.098,6.306,61.206,377.067,306.161,198.147,14.577,1.667,0.254
1965,1.972,1.449,17.099,17.933,2.807,22.638,255.598,157.674,124.498,29.775,3.91,1.702
1966,12.473,14.646,0,0,0.074,189.302,146.973,150.192,41.813,1.661,66.648,6.555
1967,1.865,0.12,24.667,4.239,3.241,36.036,294.663,496.945,202.381,3.697,0.956,15.865
1968,25.904,5.224,3.016,1.136,1.548,90.096,237.911,180.063,68.715,36.416,0.12,4.382
1969,5.967,9.174,0.939,2.581,28.435,64.733,485.365,226.491,151.826,1.515,20.707,0
1970,25.365,42.916,2.77,0.498,32.492,128.877,356.317,235.325,509.083,36.141,0.242,0
1971,11.513,12.132,3.656,18.304,44.09,234.097,221.23,413.09,179.033,89.997,0.182,0
1972,18.779,38.865,2.263,4.503,2.423,10.879,126.379,288.361,160.673,118.194,27.491,0
1973,26.678,3.631,1.697,0.659,3.748,60.375,407.59,423.62,192.496,96.176,2.35,0
1974,5.016,1.296,0.679,0.797,5.318,73.254,439.899,204.665,114.539,17.713,1.139,1.079
1975,29.9,7.793,15.664,3.548,3.956,139.125,319.018,227.976,204.139,36.948,0.045,0
1976,25.024,10.041,0.717,5.79,7.066,47.15,208.366,145.798,367.288,0.838,1.83,0
1977,15.792,13.918,0.619,9.794,18.859,86.879,361.763,203.053,138.555,68.113,5.561,8.579
1978,22.816,46.667,15.863,6.326,1.745,132.329,175.089,248.832,293.033,38.099,0.86,4.323
1979,23.141,9.021,0.939,5.935,1.464,107.591,326.935,171.336,88.926,4.16,82.078,4.132
1980,1.442,3.118,5.809,0.484,4.156,181.487,485.917,492.55,178.278,9.318,0.117,8.289
1981,18.114,3.348,8.592,2.044,9.793,106.299,419.834,383.787,192.422,0.709,24.281,2.748
1982,49.967,11.731,31.071,3.749,29.902,84.776,207.591,321.535,408.206,8.674,42.864,3.41
1983,12.536,1.324,1.959,11.641,33.763,87.376,319.695,173.429,154.337,57.811,0,3.183
1984,31.873,27.111,1.132,8.575,2.067,126.103,213.112,211.722,277.255,27.654,0.258,0.509
1985,20.267,1.418,0.383,8.178,3.506,61.893,277.091,245.753,256.326,91.348,0.182,5.62
1986,11.835,23.56,2.178,2.679,45.375,65.939,283.854,335.929,227.096,8.988,0.627,12.696
1987,13.337,11.892,8.83,2.53,10.921,58.138,186.166,248.165,156.202,90.577,1.006,2.189
1988,10.184,8.163,16.025,1.467,14.977,133.989,272.217,271.791,105.173,17.572,1.258,14.754
1989,6.775,7.595,5.33,1.595,14.959,92.417,337.017,165.183,164.506,28.066,13.304,11.654
1990,0.079,15.993,4.246,6.998,20.974,127.512,306.961,246.092,238.657,12.338,0,1.558
1991,13.625,7.547,9.221,6.98,9.965,59.275,103.624,176.861,132.496,1.068,0.901,13.897
1992,24.486,6.047,0.619,2.739,13.124,20.698,146.698,141.643,162.8,57.83,18.772,0
1993,10.157,0,8.384,2.071,20.016,30.511,110.68,176.5,293.836,34.063,0.151,0
1994,56.584,18.822,21.266,6.634,3.09,124.651,280.026,283.549,146.402,20.983,0.871,0
1995,25.206,20.126,15.236,5.913,5.263,22.703,204.97,276.779,181.118,2.281,33.382,9.395
1996,34.925,16.175,1.389,1.534,3.566,122.904,203.917,303.373,133.974,90.841,0,0
1997,13.807,1.38,2.757,6.932,30.056,103.764,154.245,237.62,215.235,22.966,29.039,10.026
1998,0.224,4.18,9.487,6.045,35.557,11.409,209.715,281.742,137.51,21.404,11.758,0
1999,35.827,27.613,0.108,0,13.855,30.627,228.382,195.735,143.378,23.868,0.108,0.944
2000,11.406,16.361,1.291,4.376,7.392,87.52,121.812,141.248,205.179,0.383,0,0
2001,3.002,1.792,14.7,5.836,7.217,82.744,234.342,215.41,42.262,69.77,0.592,0.285
2002,20.239,14.174,6.347,3.046,3.026,20.165,130.149,246.793,207.85,86.061,17.144,0.169
