Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.98,11.031,19.157,13.145,14.821,136.819,254.788,378.512,219.172,27.326,12.815,0
1952,5.408,14.746,17,4.712,28.04,231.915,218.536,330.748,113.592,6.232,4.917,0
1953,37.982,9.491,1.155,6.407,4.693,158.969,466.928,321.086,152.845,2.03,0,3.645
1954,21.384,26.97,5.918,1.624,5.346,89.018,364.534,300.58,213.064,62.753,0,0.674
1955,25.107,12.274,4.693,9.474,6.84,140.095,487.535,254.293,187.839,163.995,0,2.272
1956,18.447,9.437,10.315,3.833,29.884,194.181,257.596,268.262,246.593,190.301,12.47,10.789
1957,23.71,1.049,26.405,6.266,8.444,118.7,296.103,278.284,241.293,14.665,1.972,19.152
1958,18.567,5.348,26.866,6.135,2.297,132.257,247.231,356.93,184.36,123.157,1.305,11.091
1959,43.789,6.93,3.181,3.9,54.637,63.165,313.428,304.315,188.549,153.513,6.857,0
1960,13.523,0.047,10.768,4.32,4.212,80.943,346.465,395.592,179.012,123.104,0,1.018
1961,28.554,23.444,0.047,3.574,12.376,129.185,332.687,401.21,214.747,121.474,1.34,10.983
1962,24.892,11.908,10.236,15.853,13.351,124.857,296.597,324.721,384.421,1.379,2.919,8.571
1963,11.67,5.548,23.878,12.43,36.776,143.357,379.824,356.555,288.484,30.19,8.372,5.266
1964,3.364,3.373,5.503,4.974,26.229,68.916,454.015,229.506,256.145,8.085,0,5.778
1965,4.411,11.391,16.936,22.273,8.952,35.474,256.683,210.708,98.417,34.616,1.02,1.819
1966,9.66,16.727,0.767,0.193,12.701,178.785,251.954,297.047,99.205,20.269,12.926,9.59
1967,1.201,1.75,28.408,5.875,4.758,75.333,288.695,513.934,184.825,6.011,1.677,31.98
1968,31.353,10.688,5.159,4.763,3.652,135.308,243.132,172.266,104.077,45.47,0,5.624
1969,14.769,4.601,3.925,9.019,41.874,59.552,445.124,277.593,354.175,4.219,3.561,0
1970,24.978,32.213,2.628,0.92,64.533,170.924,286.67,270.604,374.972,66.15,0.051,0
1971,12.014,11.753,6.457,23.029,72.333,242.139,309.328,391.254,275.91,171.133,4.973,0.002
1972,13.736,25.95,3.973,8.194,5.051,52.202,266.887,271.467,295.242,111.973,6.661,0.554
1973,12.87,9.424,6.178,1.228,15.966,150.63,283.655,423.647,190.833,138.153,0.498,0
1974,8.056,4.288,1.908,1.773,12.769,85.517,333.382,199.153,100.343,13.973,0.279,9.14
1975,25.214,12.078,15.304,6.302,7.284,199.549,292.374,287.347,279.613,38.427,0,0
1976,19.123,14.644,2.822,10.716,16.253,67.924,212.835,319.552,253.274,5.757,0.346,0.297
1977,18.452,11.07,1.021,13.744,34.308,144.595,370.016,187.798,141.541,64.033,1.742,13.188
1978,14.954,29.809,33.904,5.059,4.51,160.954,166.742,293.836,274.848,39.589,1.953,6.336
1979,17.621,13.432,6.118,8.989,20.298,117.472,249.708,191.544,59.99,3.613,19.084,5.924
1980,2.307,7.834,11.475,2.578,4.97,262.047,598.252,511.003,321.41,35.267,0.59,14.43
1981,24.003,4.88,14.251,2.707,23.058,150.162,473.976,324.958,184.84,1.107,11.603,3.957
1982,39.829,11.551,36.216,10.092,54.888,92.638,212.699,433.647,306.305,16.859,8.334,9.418
1983,22.267,4.495,7.155,29.421,56.173,152.087,287.737,185.381,350.766,75.368,0,6.681
1984,20.99,36.16,1.768,13.815,2.859,168.021,208.677,231.303,157.007,24.456,0,4.393
1985,11.772,1.302,0.609,13.714,18.967,107.484,276.97,274.938,288.995,122.905,0.002,20.118
1986,8.239,22.284,4.488,9.558,83.953,82.656,361.51,285.642,262.663,26.564,3.396,38.835
1987,14.2,15.197,8.25,4.011,38.254,5.98,100.305,221.876,86.617,96.063,0,5.498
1988,8.265,11.377,13.606,7.693,24.826,175.161,388.654,358.153,129.33,11.013,1.055,31.321
1989,20.35,7.468,7.766,2.308,25.072,146.949,317.783,197.963,212.391,17.067,3.502,3.861
1990,0.182,21.645,8.232,10.394,37.221,100.144,409.833,259.498,219.214,19.039,4.052,16.68
1991,8.897,11.764,8.435,13.461,47.846,40.694,45.869,90.891,118.681,0.515,0.133,22.82
1992,23.668,10.534,3.042,5.519,27.666,71.844,176.473,211.389,154.4,57.718,11.295,0.002
1993,14.15,1.97,13.655,7.578,38.482,116.144,279.72,203.737,377.091,14.343,0,0
1994,37.602,13.486,23.364,11.173,16.639,85.365,325.15,273.45,147.797,3.646,0.134,0.398
1995,28.333,20.937,23.883,11.13,7.141,54.635,228.534,359.829,269.368,1.056,15.981,22.517
1996,32.424,19.474,3.543,4.895,6.841,154.845,226.737,308.595,113.261,81.225,0,0
1997,12.502,2.837,6.134,9.184,47.831,148.836,125.976,237.133,191.428,44.803,10.072,18.101
1998,4.432,7.978,22.318,14.601,52.732,13.015,272.612,369.615,132.452,10.016,2.053,0
1999,27.552,25.302,0.223,0,25.454,69.252,178.624,153.517,203.269,44.907,0.002,4.489
2000,13.066,22.62,3.742,5.535,24.707,98.022,155.333,213.375,177.546,0.495,0,0.149
2001,5.275,4.008,10.393,13.122,35.904,133.734,222.408,154.672,55.423,55.44,0.097,1.579
2002,18.836,20.786,13.916,6.75,4.904,33.378,137.091,222.87,305.582,77.012,3.04,0.365
