Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,8.039,6.814,28.881,11.977,4.371,119.449,357.911,325.851,185.683,40.869,17.251,0
1952,0.456,15.582,19.996,2.174,7.873,251.38,200.522,255.642,177.371,30.755,0.189,0.453
1953,47.97,11.669,0.85,2.835,2.517,152.831,386.704,350.447,202.625,5.64,0,1.591
1954,13.551,14.321,4.101,1.198,6.893,99.086,274.024,283.299,206.277,21.326,0,0.115
1955,18.876,20.122,1.843,2.39,2.07,117.777,537.219,166.115,105.19,97.805,0.167,1.603
1956,24.25,11.537,7.232,3.229,23.477,223.518,191.579,344.206,325.311,88.989,64.111,6.554
1957,21.295,1.87,22.538,0.777,1.311,110.33,349.373,270.051,108.003,0.468,0.073,2.126
1958,26.43,5.947,27.385,5.024,0.711,128.175,254.849,260.339,165.523,77.762,0.044,0.739
1959,76.049,2.581,0,0,26.128,74.372,195.817,328.024,213.928,154.076,0.267,0
1960,4.862,0.161,15.653,2.122,0.54,69.127,335.631,433.167,139.93,40.492,0,0
1961,19.425,30.114,0,0,3.847,129.924,255.223,360.92,203.228,63.461,6.401,3.83
1962,20.635,11.822,6.053,8.638,2.278,78.856,268.481,294.278,298.155,8.362,0.112,3.68
1963,11.176,4.856,28.148,4.045,34.802,118.183,429.815,356.389,163.519,50.515,17.566,0.704
1964,0.19,4.038,3.632,5.133,8.686,91.2,371.411,376.991,179.942,27.488,8.202,0.029
1965,1.639,0.443,13.588,16.287,4.093,34.011,288.07,158.237,121.814,32.464,4.871,1.507
1966,21.98,18.323,0,0,0.154,150.754,144.23,166.056,48.805,1.281,56.912,7.503
1967,4.686,0.161,26.576,3.476,6.787,41.063,305.377,482.198,164.255,7.756,0.126,9.394
1968,30.063,4.453,1.857,1.323,2.194,126.809,256.288,267.397,67.611,50.072,0,4.967
1969,4.764,16.225,1.3,4.183,30.744,123.302,401.417,279.497,167.268,3.123,24.001,0
1970,17.924,32.078,6.383,0.559,24.213,173.483,372.094,252.947,345.664,37.51,0.029,0
1971,14.735,13.294,3.881,13.725,48.146,305.71,272.322,440.549,125.839,93.694,0.029,0
1972,13.681,56.032,3.361,9.176,3.506,14.511,137.952,325.944,128.833,147.58,26.198,0.224
1973,47.449,3.4,2.527,0.493,5.777,110.076,352.304,373.414,207.208,129.95,3.083,0
1974,6.372,2.241,0.981,0.895,8.34,108.339,491.718,209.83,126.462,48.122,1.664,1.775
1975,53.258,8.431,17.98,1.987,8.359,102.014,311.785,208.071,224.112,45.126,0.528,0
1976,16.453,20.919,0.981,8.838,7.131,81.098,225.801,176.742,382.74,1.215,0.934,0
1977,8.906,9.648,0.882,14.759,54.405,76.912,333.095,241.623,171.027,59.359,12.178,11.959
1978,18.953,52.078,22.692,13.125,3.128,148.74,215.971,283.088,296.933,61.559,0.778,8.04
1979,22.466,12.111,1.352,6.231,2.404,95.697,402.205,187.032,89.042,8.053,76.86,7.439
1980,5.743,2.978,10.733,0.254,10.529,186.59,400.803,389.657,117.061,13.623,0.2,4.031
1981,16.781,6.407,16.28,3.194,17.21,74.489,379.187,297.376,192.021,0.537,15.873,2.729
1982,37.848,15.584,36.818,5.045,30.166,89.057,200.017,265.39,343.197,16.559,35.018,2.594
1983,18.106,1.509,2.19,9.814,39.251,103.193,368.32,171.408,125.894,69.152,0,4.565
1984,32.496,29.233,2.295,8.307,3.244,167.175,239.436,201.002,341.604,30.322,0.3,0.122
1985,17.912,2.643,0.507,4.623,6.401,82.173,317.469,267.9,211.664,85.516,0.029,7.96
1986,9.158,20.851,3.347,4.348,32.29,97.694,324.782,331.329,203.204,7.467,1.935,10.915
1987,7.343,12.992,7.331,3.064,15.231,120.329,230.673,358.852,318.598,89.307,4.934,2.246
1988,9.494,15.591,21.071,2.491,20.303,136.632,264.715,248.87,111.414,25.734,0.175,10.43
1989,7.539,12.333,5.76,1.511,31.667,116.262,302.4,229.901,150.702,37.982,10.141,10.791
1990,0.161,20.642,7.717,3.778,32.774,135.616,280.687,229.117,205.283,34.366,0,0.739
1991,17.829,5.495,17.757,5.938,11.572,78.334,121.696,361.486,134.484,7.321,0.658,10.779
1992,22.672,5.376,0.939,2.801,10.672,15.996,162.278,134.978,116.975,60.253,9.521,0
1993,10.472,0.161,8.736,2.113,21.96,36.019,83.477,190.946,256.307,48.132,0.214,0
1994,65.092,17.021,23.299,6.959,5.795,129.43,241.67,287.124,82.382,60.876,0.126,0
1995,18.535,20.693,16.257,3.183,10.859,23.281,193.617,282.459,186.571,5.818,27.087,4.657
1996,33.949,14.63,1.684,1.567,5.551,112.094,194.912,317.389,127.902,113.577,0,0
1997,15.405,2.052,2.685,4.525,41.857,91.17,169.692,301.092,145.794,28.22,33.523,9.6
1998,0.596,9.034,8.008,5.084,45.469,16.154,183.817,280.838,135.534,67.001,22.278,0
1999,31.357,18.925,0.643,0,19.192,61.12,237.166,229.84,128.813,25.626,0.633,0.561
2000,11.226,17.354,3.494,5.21,6.828,104.214,113.422,127.979,201.562,0.468,0,0.237
2001,3.117,1.881,19.305,5.517,7.965,53.437,225.88,254.599,40.531,75.993,0,0.397
2002,22.005,12.791,6.366,3.404,5.858,26.199,148.57,269.792,166.435,98.593,19.515,0.294
