Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,8.877,8.069,18.767,15.894,12.847,138.752,347.924,409.008,221.721,25.793,12.953,0
1952,3.565,13.38,14.651,4.518,23.246,288.753,244.278,311.661,144.702,10.731,4.055,0
1953,38.262,7.298,1.209,6.293,5.219,179.734,498.715,322.139,189.034,4.306,0,2.758
1954,16.757,21.636,5.639,2.676,8.189,106.469,393.528,303.889,232.537,35.338,0,0.472
1955,18.09,12.256,3.528,9.134,6.383,163.381,583.541,231.822,186.766,145.906,0,2.98
1956,16.529,7.204,8.761,6.503,19.384,228.169,248.642,280.741,288.024,169.979,15.044,11.869
1957,15.221,1.281,24.73,4.804,6.162,140.183,342.235,284.211,197.8,9.49,1.639,15.849
1958,17.892,4.63,26.667,6.384,2.158,172.016,257.688,329.865,174.999,88.671,1.076,8.176
1959,48.575,5.023,1.812,2.738,52.956,90.399,301.492,329.309,248.753,157.83,5.652,0
1960,9.042,0.025,9.26,3.476,3.171,90.682,357.91,410.789,191.046,96.211,0,0.775
1961,20.836,22.34,0,2.461,10.075,152.063,345.986,384.525,239.184,99.276,2.163,8.223
1962,21.351,11.102,8.313,19.234,10.207,133.936,309.447,333.537,403.505,0.95,2.424,8.506
1963,9.17,4.082,24.69,11.896,37.433,161.909,423.751,348.63,264.112,36.551,8.783,3.909
1964,2.217,2.493,3.877,5.391,19.836,83.3,488.212,266.606,242.391,9.378,0,4.276
1965,2.925,8.128,14.805,25.394,7.493,44.303,303.25,197.786,105.288,34.398,1.539,1.368
1966,11.567,17.685,0.429,0.095,8.289,154.257,238.947,247.992,87.274,12.851,13.411,9.557
1967,0.997,1.158,23.599,6.984,6.586,74.357,301.173,501.208,202.331,5.754,1.798,29.448
1968,23.722,8.127,4.047,4.789,4.819,131.396,283.126,187.728,107.858,59.817,0.103,5.33
1969,13.295,3.893,2.918,8.434,42.589,63.65,518.799,260.734,288.768,3.693,4.405,0
1970,20.442,36.22,2.686,1.354,59.066,202.911,336.836,268.125,421.941,56.28,0.265,0
1971,9.122,10.63,5.494,25.757,69.645,260.297,300.44,381.487,251.593,148.555,3.153,0
1972,12.973,25.128,4.259,7.41,7.181,52.788,252.054,277.332,272.808,130.221,8.016,0.304
1973,10.13,10.147,4.749,2.164,15.43,132.916,321.373,437.434,221.092,130.371,0.933,0
1974,7.904,3.702,1.703,2.409,12.043,90.298,382.014,203.835,140.498,12.402,0.447,6.101
1975,19.095,11.687,13.983,6.792,8.857,227.721,380.856,301.549,287.936,38.193,0,0
1976,21.506,10.458,2.133,10.096,17.39,70.292,223.26,251.942,313.974,4.346,0.417,0.082
1977,15.738,12.364,1.176,14.999,27.504,160.692,407.888,182.544,136.601,72.348,3.113,12.697
1978,14.689,31.576,25.666,5.895,5.254,168.767,179.208,276.08,278.705,54.615,1.53,5.935
1979,14.67,11.659,3.96,9.719,13.789,129.706,300.074,205.504,72.141,5.911,19.662,6.558
1980,1.449,7.33,9.568,2.943,5.761,306.908,627.659,515.82,291.612,24.067,0.4,14.464
1981,22.196,4.205,10.193,4.204,21.624,165.935,492.998,386.117,231.8,1.936,12.185,3.907
1982,37.697,11.88,30.85,8.666,56.539,119.021,228.396,426.906,371.664,14.472,9.694,8.096
1983,14.868,4.6,6.896,27.209,58.299,154.762,326.394,208.531,317.805,82.225,0,6.58
1984,20.932,29.103,1.431,13.841,4.005,163.966,236.947,266.201,198.522,30.216,0.027,4.36
1985,12.589,1.647,0.697,14.484,15.786,105.157,295.142,255.241,335.601,138.648,0.214,18.169
1986,7.417,21.139,4.345,8.745,83.126,101.482,378.86,305.949,302.009,21.958,2.285,33.639
1987,13.105,14.214,7.921,6.523,34.416,25.626,190.18,234.203,102.156,115.763,0,5.281
1988,8.004,9.968,13.479,6.094,25.861,213.099,388.507,352.393,132.284,14.618,1.585,36.952
1989,15.66,9.01,6.517,3.605,32.096,150.48,350.867,190.369,218.547,20.579,2.916,2.857
1990,0.103,17.637,5.77,11.511,31.96,94.196,433.284,240.6,255.939,15.32,2.51,10.911
1991,9.978,10.301,6.878,13.168,38.676,46.149,66.948,127.102,133.025,0.613,0.752,23.192
1992,19.219,8.099,2.092,4.784,29.048,73.5,205.692,196.841,178.161,59.582,9.229,0
1993,11.91,1.433,10.709,7.576,37.863,92.989,245.786,213.485,376.833,20.609,0,0
1994,40.313,16.625,18.483,11.912,13.706,73.804,338.371,271.499,170.52,4.174,0.774,0.231
1995,27.1,19.198,18.279,11.54,9.639,51.901,225.999,358.645,259.523,1.836,15.246,19.715
1996,26.889,17.599,2.837,5.003,8.579,130.668,229.005,312.391,137.156,91.441,0,0
1997,11.015,2.919,5.069,13.277,51.326,163.395,152.553,239.53,233.439,41.68,7.685,16.221
1998,2.653,6.466,15.952,13.339,61.688,19.002,271.671,355.878,149.01,16.279,1.413,0
1999,29.823,29.362,0.579,0.025,27.116,54.936,211.083,179.287,207.044,40.845,0.157,3.556
2000,12.018,19.297,4.416,6.914,20.319,131.845,161.013,193.662,203.13,0.493,0,0.467
2001,4.884,3.424,10.607,12.474,28.189,159.821,262.862,185.654,59.859,69.431,0,1.548
2002,15.492,17.652,10.372,7.279,7.23,38.388,164.75,237.608,289.498,99.803,4.003,0.532
