Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,19.529,15.738,34.078,4.644,2.412,149.137,250.628,528.061,195.047,2.495,11.056,0
1952,0.872,16.753,33.864,1.711,2.05,156.369,269.094,521.709,82.439,0.276,0.008,10.677
1953,30.274,18.663,0,2.584,0.109,123.073,374.175,371.478,146.019,2.306,0,8.114
1954,29.184,17.986,7.843,0,0,66.544,278.815,373.663,252.749,23.817,0,0
1955,58.663,16.612,2.311,0.001,1.073,123.461,448.938,427.168,178.612,91.927,0,1.133
1956,35.658,14.243,15.317,0,0.681,194.896,413.403,426.793,251.061,89.818,80.877,11.76
1957,24.079,0.546,47.496,3.217,2.286,73.721,327.98,419.893,152.311,3.511,1.937,2.404
1958,21.826,4.053,38.508,0.47,0,33.754,342.248,392.487,168.688,46.283,0.004,4.653
1959,54.642,4.603,0.001,2.02,22.601,22.305,233.798,507.212,101.44,97.365,2.406,0
1960,25.974,0,17.288,1.624,1.374,45.073,451.87,732.983,73.611,59.004,0,2.301
1961,45.601,10.471,0.611,1.083,2.732,70.192,299.927,621.252,190.455,64.888,10.682,4.73
1962,27.011,9.851,9.164,17.378,1.562,25.397,359.159,474.131,334.34,0.276,0.005,6.217
1963,31.004,8.863,12.611,9.181,6.883,84.001,520.103,452.809,263.986,0.99,6.443,6.882
1964,0.201,4.263,8.805,2.841,6.677,48.377,375.076,382.667,245.632,7.854,0,1.165
1965,5.59,2.086,23.207,19.029,1.311,13.844,237.788,209.386,160.458,29.031,0,7.604
1966,1.382,5.47,0,0,2.827,266.408,168.371,227.395,20.326,1.051,84.86,12.714
1967,1.924,0,41.001,3.354,0.09,43.33,305.371,719.192,221.34,0.562,0.002,57.845
1968,33.414,4.674,7.378,0,0,64.073,275.537,150.798,47.736,25.967,0,7.054
1969,3.45,4.814,0.314,0.002,14.611,16.366,568.511,309.373,124.201,0.276,34.486,0
1970,49.821,43.526,7.718,0,17.825,101.939,279.404,366.93,524.141,24.651,0,0
1971,20.949,9.196,3.24,17.942,19.672,250.271,256.773,514.24,194.37,87.464,0.953,0
1972,25.336,23.983,0,0.47,0.522,10.397,104.643,413.969,159.963,77.383,27.327,2.416
1973,10.463,2.493,0.002,0,0.875,13.96,500.313,631.217,163.247,63.455,0,4.017
1974,0.202,0.249,0.132,0.378,2.583,45.437,355.447,319.981,44.274,29.094,0.811,0.003
1975,6.566,6.581,17.306,3.497,0,172.338,337.406,293.91,157.849,32.742,0,0
1976,32.848,0.423,1.522,7.062,4.053,62.95,234.849,261.169,266.066,0.276,21.716,0
1977,31.12,11.019,1.106,6.865,2.898,128.549,434.453,304.088,156.744,59.571,8.486,8.193
1978,27.721,48.722,29.473,4.812,0,183.734,189.255,369.727,268.117,7.33,0.274,15.628
1979,39.693,16.965,1.056,2.515,5.467,118.131,260.877,172.22,41.373,0.277,74.284,2.774
1980,0.254,2.682,5.616,0,0.199,176.03,485.601,714.602,144.03,8.807,0.945,33.248
1981,15.572,1.006,11.225,0,4.992,170.638,417.736,498.854,117.54,0.276,20.661,6.763
1982,96.032,7.626,29.105,3.923,12.919,72.191,218.6,602.125,322.549,2.386,73.41,10.244
1983,12.514,0.913,0.133,14.621,15.699,89.99,270.814,312.836,217.572,44.13,0,3.066
1984,48.087,23.68,0,12.524,1.121,127.525,170.893,308.262,154.406,16.692,0,0
1985,22.301,0,0.897,12.831,2.085,56.861,345.507,374.898,218.015,92.684,0,6.528
1986,22.916,28.736,5.132,0.002,24.49,69.483,228.725,398.238,139.112,17.676,0.006,34.738
1987,29.439,14.15,12.542,0,7.549,10.127,115.49,243.015,40.407,54.117,0.001,9.772
1988,11.773,1.805,18.076,4.355,3.365,149.227,269.871,344.19,77.868,7.714,0,23.461
1989,5.234,0.001,12.788,0.589,0.11,77.923,337.782,223.448,120.232,14.232,14.906,24.314
1990,0.2,18.449,2.815,7.199,10.541,212.145,412.62,427.604,284.083,1.635,0.008,5.786
1991,9.098,10.1,9.344,12.075,7.088,68.254,93.723,140.685,108.825,0.276,2.445,40.116
1992,37.114,7.265,3.248,1.142,10.175,18.737,95.21,233.772,207.159,52.799,27.339,0
1993,9.676,2.785,11.146,1.224,9.449,53.91,172.814,198.926,228.347,21.053,0,0.132
1994,49.537,17.956,31.435,5.888,3.113,179.912,467.018,390.237,139.702,5.597,0,0
1995,44.134,14.44,16.476,9.313,0.433,46.72,244.172,314.48,165.336,2.566,26.904,26.537
1996,47.583,12.769,2.124,7.97,2.786,187.564,239.955,412.283,164.198,63.219,0,0
1997,12.389,0,2.877,7.038,7.044,109.803,78.675,270.318,217.375,28.601,47.913,33.326
1998,0.201,1.337,23.825,5.502,12.449,115.86,318.843,499.27,166.928,15.941,10.679,0
1999,43.182,35.898,0,0,8.512,49.102,442.63,303.488,259.311,46.979,0,1.939
2000,11.285,4.916,0.477,0.374,6.623,75.3,347.088,201.601,235.031,0.276,0,0
2001,7.798,2.538,7.946,6.539,8.734,154.889,241.565,270.66,94.45,51.117,10.04,0
2002,25.205,18.691,1.064,0.774,3.24,43.776,91.829,341.198,166.949,54.436,14.072,7.1
