Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,12.077,11.572,18.362,7.612,5.355,130.688,205.246,391.714,170.194,15.406,9.861,0
1952,3.425,13.234,18.567,1.768,12.409,160.868,199.489,323.805,98.124,2.755,3.857,0
1953,25.302,15.432,0.426,3.609,1.509,134.157,387.384,309.09,140.736,1.022,0,6.387
1954,17.589,18.425,4.023,0.542,1.605,68.497,294.231,289.54,189.744,39.713,0,0.407
1955,29.594,15.412,2.75,3.592,3.341,95.665,440.302,248.394,138.065,132.998,0,1.845
1956,22.025,12.781,8.422,1.255,10.6,167.105,237.003,284.564,247.051,149.01,21.93,9.592
1957,17.322,0.791,24.363,2.998,3.336,82.984,256.982,301.361,172.58,7.663,1.562,11.871
1958,17.554,4.472,25.258,2.561,0.727,68.492,214.455,320.181,135.635,75.354,1.027,8.431
1959,38.987,5.627,1.382,1.519,37.16,26.371,240.613,321.326,107.218,153.598,5.427,0
1960,12.445,0,7.741,2.227,1.865,53.814,366.464,426.514,118.509,84.197,0,0.64
1961,25.552,14.514,0,1.387,5.853,77.924,282.354,408.41,181.866,89.865,1.499,8.969
1962,19.324,9.722,6.742,12.011,6.256,63.645,286.036,311.942,322.08,0.675,2.295,7.291
1963,13.749,6.644,13.309,8.551,20.251,95.341,424.857,354.485,219.048,14.897,6.816,4.994
1964,1.911,4.098,3.554,3.609,12.33,48.564,366.412,232.699,216.363,10.33,0,3.475
1965,3.457,6.19,15.611,16.776,4.287,17.978,204.772,185.629,102.768,32.645,0.703,3.478
1966,5.284,10.765,0.338,0,4.511,207.804,180.683,225.874,59.633,11.489,20.526,12.085
1967,1.268,0.937,22.939,4.17,1.486,48.751,261.788,522.308,182.282,3.429,1.285,38.324
1968,25.11,7.824,3.82,1.767,1.135,85.012,194.467,131.903,70.673,28.329,0,6.819
1969,8.705,3.771,1.669,3.374,29.973,33.097,444.346,234.612,233.17,2.139,4.983,0
1970,26.135,35.141,1.05,0.322,43.519,109.04,270.253,242.988,457.545,53.321,0,0
1971,11.126,10.001,3.898,19.169,49.147,196.942,237.612,406.309,228.247,133.027,4.033,0
1972,16.252,24.536,1.601,3.348,1.547,22.997,184.437,266.272,213.022,106.531,8.95,0.338
1973,9.319,4.557,2.565,0.381,5.373,73.984,327.819,438.003,148.37,109.867,0.344,0
1974,4.339,2.126,0.76,0.615,5.893,54.458,326.177,199.236,68.853,9.181,0.325,5.542
1975,15.362,8.027,12.875,4.368,2.346,156.641,268.678,245.872,187.617,38.397,0,0
1976,20.681,7.529,1.2,5.496,8.181,35.242,192.999,237.321,253.185,2.961,0.661,0.146
1977,18.037,11.788,0.421,7.434,12.267,103.579,349.232,188.316,116.055,71.481,1.368,11.785
1978,17.806,33.613,21.917,2.427,1.437,137.631,135.954,263.846,255.467,24.483,1.534,6.07
1979,18.898,9.092,2.585,4.83,7.181,108.941,214.035,162.223,54.437,1.628,26.545,3.877
1980,1.341,4.773,5.148,0.926,1.636,182.624,520.487,541.83,248.144,22.644,0.462,19.003
1981,17.725,2.756,7.705,0.904,10.419,121.431,424.723,359.828,142.077,0.519,10.754,3.947
1982,43.911,8.652,25.802,5.001,33.905,72.804,193.686,397.51,321.268,9.791,13.68,9.114
1983,14.572,2.205,2.893,16.702,35.226,98.636,246.417,166.99,234.07,60.494,0,5.016
1984,22.865,28.942,0.732,9.314,1.307,126.178,175.183,205.737,147.94,25.391,0,2.489
1985,12.376,0.612,0.26,10.141,6.535,66.78,239.296,259.596,230.347,104.744,0,12.267
1986,10.8,22.2,1.812,3.58,57.311,50.126,270.172,310.83,200.839,17.85,2.719,34.062
1987,14.301,11.372,7.872,1.365,15.773,2.354,82.577,187.671,43.885,88.123,0,5.813
1988,8.219,6.312,11.25,2.964,12.867,130.973,301.311,314.327,97.796,12.504,0.8,29.159
1989,11.674,3.512,5.308,1.086,7.954,100.059,304.254,155.63,164.912,22.414,5.178,15.344
1990,0.002,17.14,4.318,8.297,21.577,106.534,348.411,273.615,200.391,10.18,3.326,11.948
1991,8.598,9.403,5.574,8.582,22.569,23.921,49.725,54.301,105.767,0.4,0.223,29.8
1992,23.156,7.624,1.277,2.513,15.97,38.701,131.537,183.58,149.078,61.58,13.038,0
1993,10.56,0.132,9.403,3.065,22.93,63.105,207.515,179.442,306.263,23.603,0,0
1994,41.457,13.428,18.991,6.777,5.709,99.018,295.415,283.258,144.748,4.769,0.085,0.232
1995,24.725,17.758,12.212,7.665,2.665,28.816,210.303,303.267,194.228,0.519,16.606,24.758
1996,31.795,16.162,1.55,2.134,2.829,150.097,208.6,296.811,103.171,82.87,0,0
1997,10.929,1.346,3.402,7.101,21.89,107.465,78.374,212.801,187.442,31.026,11.297,21.223
1998,2.471,4.06,13.846,8.489,33.096,42.239,273.177,366.899,133.418,8.421,1.608,0
1999,28.953,25.584,0,0,17.179,31.977,254.44,158.81,187.956,39.138,0,3.327
2000,12.373,13.424,1.23,2.167,13.789,73.217,169.407,186.622,204.569,0.399,0,0
2001,3.92,2.708,7.121,7.507,15.237,102.194,197.673,164.285,69.648,61.432,1.525,0.862
2002,18.189,16.048,6.298,2.599,1.485,25.322,108.882,225.461,225.442,77.036,4.182,2.515
