Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,9.188,7.99,15.72,9.403,7.156,126.932,325.189,409.54,187.469,15.868,12.169,0
1952,2.148,11.965,12.19,1.579,13.581,216.346,232.081,282.744,141.277,9.113,3.112,0
1953,33.352,11.238,0.545,3.137,2.535,150.618,436.609,328.766,183.698,2.576,0,3.996
1954,14.826,14.639,4.217,1.289,4.722,84.401,339.505,291.753,218.427,20.546,0,0.202
1955,21.43,14.301,2.047,3.614,3.094,118.659,560.97,202.55,147.994,115.425,0,2.557
1956,20.055,9.271,7.117,3.08,5.788,194.902,227.554,290.876,302.736,128.968,27.646,10.086
1957,10.747,1.1,22.375,1.722,2.565,103.937,317.406,297.401,138.459,3.345,1.242,8.755
1958,18.705,3.846,24.545,2.652,0.975,111.029,230.696,290.96,137.678,45.815,0.8,4.978
1959,50.667,3.819,0.603,0.661,42.115,55.777,237.077,342.399,199.522,152.56,4.284,0
1960,8.307,0,6.962,1.462,1.532,63.798,372.895,429.67,148.501,60.553,0,0.33
1961,19.212,15.566,0,0.561,5.539,102.257,304.842,378.781,222.56,69.509,3.15,5.405
1962,18.9,9.294,5.748,12.334,5.296,76.505,300.497,320.984,365.824,0.401,1.841,6.758
1963,10.943,4.701,16.019,6.928,25.501,114.28,465.183,339.239,209.33,24.843,8.972,2.944
1964,1.26,2.858,2.475,3.334,10.251,62.482,420.393,274.115,213.147,10.896,0,1.962
1965,2.275,3.998,13.387,16.155,4.208,27.701,268.699,173.288,112.655,31.651,1.868,2.184
1966,10.051,13.258,0.059,0,2.514,170.559,176.236,180.501,54.99,4.979,22.662,10.024
1967,1.128,0.459,19.194,4.279,3.792,48.58,279.414,495.224,208.316,3.62,1.755,29.646
1968,20.318,5.751,3.017,1.749,2.677,83.082,250.078,160.101,84.051,46.79,0.143,5.497
1969,10.098,3.246,1.347,2.885,35.39,38.607,528.897,221.493,184.941,1.976,6.97,0
1970,22.19,38.038,1.56,0.645,46.333,141.944,331.139,243.495,507.441,43.464,0.342,0
1971,8.805,9.121,3.604,17.667,55.337,210.259,237.826,383.217,214.199,112.098,1.503,0
1972,15.699,23.684,2.548,2.711,4.136,25.94,179.834,270.463,208.185,123.659,12.116,0.001
1973,8.208,6.569,2.263,1.017,7.177,62.437,361.72,443.976,197.178,103.742,1.225,0
1974,6.065,2.104,0.845,1.046,7.04,60.193,382.813,201.701,125.563,8.168,0.642,2.479
1975,13.107,8.526,11.761,4.108,4.768,181.193,373.853,270.994,221.395,36.733,0,0
1976,24.969,4.83,1.045,4.541,11.315,39.793,207.319,171.725,332.335,1.963,0.77,0
1977,16.391,12.79,0.716,7.434,11.281,118.979,395.268,178.349,118.112,76.249,4.148,10.287
1978,17.869,33.937,15.722,2.822,2.806,141.215,155.408,245.387,270.033,43.384,1.099,4.972
1979,16.231,8.169,1.578,5.611,4.38,116.393,279.431,184.886,80.479,4.532,29.694,4.674
1980,0.76,4.965,5.067,1.147,3.006,226.395,565.282,530.14,233.356,12.46,0.229,15.82
1981,19.713,2.562,5.54,1.963,12.037,134.225,452.697,420.515,211.151,1.558,15.853,4.226
1982,43.416,9.694,24.185,3.598,41.979,96.972,214.215,392.483,404.513,8.473,16.931,6.686
1983,9.691,2.878,3.836,13.263,43.723,102.734,298.513,198.158,224.178,69.077,0,4.788
1984,24.043,22.854,0.674,8.001,2.632,121.082,213.878,252.983,203.442,30.527,0.142,2.689
1985,14.328,1.144,0.443,9.001,6.436,66.187,265.761,234.89,304.297,121.016,0.272,10.685
1986,9.64,20.61,2.376,2.985,66.457,69.712,305.557,323.801,266.037,14.136,1.216,25.624
1987,14.16,11.169,7.358,3.08,17.768,20.756,191.523,209.401,72.634,108.49,0,4.015
1988,8.617,6.027,11.346,1.768,18.761,166.365,314.335,313.857,110.432,15.655,1.968,32.823
1989,10.39,6.181,4.676,1.89,17.706,104.205,343.662,155.313,186.162,24.205,4.363,10.002
1990,0.143,13.731,3.021,7.668,21.611,97.271,384.526,241.447,253.407,7.762,1.075,5.411
1991,10.788,8.322,4.776,7.202,19.801,27.77,73.711,105.33,128.229,0.501,1.125,25.086
1992,19.849,5.951,0.875,1.836,20.678,42.352,172.675,165.377,181.878,60.385,10.712,0
1993,10.151,0.003,7.45,2.955,27.169,43.512,176.84,189.457,327.913,27.426,0,0
1994,47.083,16.592,15.149,6.415,5.563,84.759,313.826,273.344,176.171,4.928,1.196,0.001
1995,26.882,16.485,13.439,6.87,5.852,28.447,208.229,312.274,202.632,1.387,17.757,18.553
1996,27.852,14.827,1.618,2.078,5.065,120.084,212.623,301.636,133.452,90.602,0,0
1997,10.961,1.704,3.133,8.359,37.563,120.654,152.924,218.922,243.545,29.604,10.247,15.896
1998,1.318,3.424,9.856,6.659,45.347,9.254,232.331,307.754,137.346,14.589,1.537,0
1999,31.317,27.952,0.216,0,17.637,25.507,207.994,181.009,165.914,29.943,0.143,2.36
2000,11.678,15.302,1.892,4.022,11.749,96.981,133.743,164.574,195.294,0.4,0,0.144
2001,3.835,2.133,10.114,6.173,13.449,120.095,249.396,193.963,46.05,72.991,0,0.944
2002,15.849,13.687,6.608,3.452,4.107,24.137,140.616,236.028,245.886,96.975,6.271,0.215
