Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,21.966,22.119,44.497,6.63,2.342,179.393,248.066,548.738,160.395,5.425,1.472,0
1952,1.137,22.38,47.967,0.832,3.258,172.556,253.187,448.961,101.138,0.476,0.009,2.606
1953,22.786,32.689,0,3.957,0.068,160.737,396.51,380.427,167.049,2.358,0,10.488
1954,26.864,17.89,8.101,0.011,0.076,84.71,282.425,377.419,236.606,13.124,0,0
1955,63.905,29.115,3.467,0.269,1.642,107.081,491.538,385.903,152.607,85.28,0,1.51
1956,45.079,24.636,16.454,0,2.449,225.224,349.928,428.385,294.194,80.295,109.031,10.497
1957,18.853,0.964,57.315,4.153,1.628,89.923,299.488,447.899,124.756,0.977,0.251,2.033
1958,28.546,6.587,55.434,1.238,0,39.538,281.235,371.574,123.619,34.545,2.968,4.692
1959,63.056,8.087,0.002,2.059,28.21,15.287,216.631,503.747,80.24,114.466,0.321,0
1960,28.462,0.139,15.162,2.522,1.472,57.028,493.065,678.66,67.64,45.178,0,0.338
1961,42.945,11.096,0.601,0.657,3.499,64.827,315.703,577.808,208.235,56.649,8.159,7.387
1962,23.643,15.915,11.428,19.475,2.814,28.588,360.542,448.27,328.201,0.387,1.358,9.783
1963,30.727,14.293,16.997,11.338,10.114,94.152,592.769,468.358,205.839,4.018,4.098,5.159
1964,0.211,8.275,8.757,4.27,6.129,58.387,353.099,364.92,208.98,9.887,0.305,0.186
1965,6.223,1.345,34.25,23.137,1.807,16.664,207.684,209.582,149.081,23.967,0,7.761
1966,2.563,8.447,0.639,0.271,2.004,323.703,153.614,176.2,22.756,1.586,93.135,16.92
1967,2.533,0.139,49.903,5.137,0.638,48.813,309.891,711.017,221.099,0.712,0.002,61.116
1968,32.437,8.241,8.55,0.745,0,73.284,234.513,137.576,58.755,16.637,0,9.101
1969,2.956,4.902,0.607,0.028,20.106,21.642,596.791,280.807,119.326,0.291,29.648,0
1970,52.126,65.117,5.801,0,26.458,104.111,328.272,325.846,604.208,28.703,0,0
1971,19.81,13.588,5.254,25.585,29.607,261.74,220.651,558.836,203.336,84.279,0.134,0
1972,32.421,37.619,0,1.011,0.32,6.446,114.412,397.011,149.18,82.987,34.265,0.816
1973,8.844,1.804,0.002,0.022,0.573,17.751,529.248,634.991,148.105,61.684,0.016,2.385
1974,0.212,0.305,0.232,0.293,2.632,54.101,408.049,315.323,52.523,16.155,1.139,0.003
1975,7.112,10.216,26.112,4.87,0.033,193.212,322.754,285.096,131.651,32.829,0.02,0
1976,41.388,0.231,1.35,7.962,5.394,31.826,235.611,209.552,303.978,0.291,13.681,0
1977,31.141,19.807,1.152,6.672,3.02,138.7,424.348,286.707,126.413,60.947,9.152,12.189
1978,37.928,70.863,31.127,5.032,0.422,190.002,160.125,349.546,271.109,9.322,0.659,12.709
1979,45.875,13.328,0.518,3.634,3.254,147.695,258.022,193.475,51.957,1.426,96.845,1.946
1980,0.38,3.509,2.6,0.011,0.028,196.207,527.097,766.884,174.4,6.804,0.125,30.783
1981,18.54,1.337,9.751,0.376,4.414,150.342,450.178,546.389,134.626,0.448,25.266,7.971
1982,101.952,11.513,36.624,3.751,18.61,90.436,233.589,531.529,384.791,3.321,68.736,9.646
1983,9.279,0.444,0.123,14.475,20.103,92.136,287.767,248.714,180.066,41.99,0,3.392
1984,55.858,38.073,0.011,10.835,0.92,142.403,185.807,273.973,160.983,20.063,0,0
1985,26.966,0.199,0.154,14.59,1.747,59.784,289.067,357.799,212.514,81.597,0,2.352
1986,26.783,41.307,2.813,0.022,35.682,55.448,226.399,455.35,157.077,9.115,0.579,34.582
1987,28.89,17.458,18.07,0,5.436,7.74,112.08,233.094,24.71,63.402,2.601,9.798
1988,14.122,2.363,22.963,2.344,5.163,159.355,255.849,344.313,86.131,8.857,0.922,30.518
1989,2.034,0.141,13.178,0.75,0.176,98.415,364.652,172.194,118.67,15.53,16.365,29.791
1990,0.216,23.408,4.099,10.516,13.715,233.554,396.73,405.819,245.349,2.627,0.009,5.398
1991,11.76,12.385,10.506,12.739,7.224,85.991,111.934,69.357,105.985,0.318,0.453,43.779
1992,39.977,9.234,0.586,1.492,11.137,20.314,97.764,209.986,201.387,50.049,23.711,0
1993,9.759,3.813,12.455,1.15,13.062,37.395,138.048,193.663,222.872,23.141,0,0.086
1994,57.85,26.546,40.16,7.093,2.051,202.298,404.356,382.528,170.137,8.243,0,0
1995,44.04,24.212,21.468,10.238,0.697,47.082,257.959,304.025,155.065,2.086,36.367,32.511
1996,56.238,21.642,1.554,6.92,1.339,203.608,247.491,405.325,115.494,66.927,0.832,0
1997,17.032,0.139,3.26,9.721,7.324,111.013,56.842,261.495,221.833,19.972,41.712,35.327
1998,1.783,1.872,25.7,5.978,19.101,118.972,354.041,518.145,184.458,7.912,10.11,0
1999,54.108,51.486,0,0,12.948,11.917,483.762,273.681,239.991,35.817,0,1.64
2000,11.088,8.164,0.093,0.084,8.824,91.297,321.373,199.645,276.375,0.361,0,0
2001,6.17,2.552,10.549,7.263,7.346,148.054,245.276,262.362,107.51,56.651,13.346,0
2002,29.803,23.632,0.639,0.598,2.319,45.516,106.209,342.801,156.518,60.967,17.553,7.258
