Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,7.351,6.004,21.534,15.232,6.562,127.043,407.332,347.244,189.878,30.204,17.624,0
1952,0.897,12.91,14.927,2.918,11.363,279.711,236.015,263.906,172.486,25.049,1.455,0
1953,42.317,10.093,0.956,4.167,3.748,172.501,421.762,327.77,207.414,6.094,0,1.754
1954,13.08,12.307,4.491,2.279,8.467,103.463,333.78,287.467,216.598,22.469,0,0
1955,16.467,16.579,2.011,4.712,3.42,144.189,615.638,179.279,130.338,103.601,0,2.076
1956,20.786,8.005,7.264,6.228,10.272,231.592,185.469,311.503,317.185,109.536,52.512,7.23
1957,19.991,1.583,23.473,1.276,1.748,127.591,337.527,282.532,98.898,0.447,0.558,3.966
1958,21.597,3.83,27.316,5.121,1.118,156.039,214.329,266.599,141.353,42.823,0.354,1.489
1959,66.341,2.467,0,0.062,40.474,87.003,189.986,351.196,251.062,159.648,2.025,0
1960,4.928,0,9.704,1.743,0.938,74.202,338.331,432.302,153.896,41.548,0,0.062
1961,15.593,20.793,0,0.062,4.751,127.57,280.025,355.219,222.714,57.125,6.218,2.689
1962,19.482,10.399,6.102,17.023,3.599,86.052,277.953,320.012,338.78,2.571,0.852,4.338
1963,9.689,3.701,24.369,7.662,33.348,134.204,461.575,335.606,169.191,41.617,14.28,1.052
1964,0.393,2.281,2.456,5.276,8.233,78.371,410.9,331.97,179.939,16.511,0,0.455
1965,1.238,1.586,13.873,23.109,4.208,37.742,295.79,162.497,110.528,32.712,4.358,1.03
1966,14.972,17.681,0,0,0.324,138.689,171.833,169.956,54.015,1.877,44.761,5.606
1967,0.703,0.096,20.972,5.475,7.389,39.359,305.563,470.655,180.493,6.23,1.001,12.276
1968,24.053,3.897,2.293,2.544,3.682,129.435,277.649,232.636,81.48,60.183,0.065,4.916
1969,7.265,11.5,1.541,5.516,35.562,110.692,446.386,253.313,167.006,2.862,15.71,0
1970,17.348,32.566,4.055,1.107,35.389,180.505,386.678,251.638,384.928,38.081,0.235,0
1971,8.085,11.727,3.928,20.249,54.992,281.201,232.467,396.181,153.659,99.839,0.204,0
1972,13.207,37.843,3.627,8.338,5.798,19.752,133.607,298.373,164.234,143.327,17.964,0
1973,32.195,5.188,2.749,1.481,8.989,102.343,386.581,401.057,218.475,118.666,2.475,0
1974,6.717,1.686,1.11,1.75,9.214,111.9,467.071,204.287,147.85,28.498,0.59,1.963
1975,37.831,8.035,14.014,4.081,9.032,145.432,317.834,253.457,250.644,39.692,0,0
1976,19.175,15.12,1.142,9.23,11.488,80.894,203.003,166.278,370.628,1.668,0.941,0
1977,10.583,10.493,1.008,15.89,39.324,92.321,330.726,204.987,145.56,67.515,3.1,11.717
1978,17.31,37.576,16.276,11.225,4.21,126.401,206.369,261.634,276.398,64.039,0.941,4.81
1979,18.533,9.349,1.541,8.061,3.487,103.416,393.636,198.486,84.468,8.029,57.21,6.564
1980,0.829,2.802,8.249,1.265,9.114,225.903,468.72,440.102,160.907,10.766,0.139,6.199
1981,18.286,4.24,10.109,4.407,17.827,107.797,405.439,366.387,223.737,1.231,18.721,2.49
1982,36.693,12.297,28.529,5.766,40.447,103.007,205.8,312.056,377.655,14.353,25.732,3.182
1983,13.562,2.026,3.462,15.168,47.253,110.236,357.926,190.68,168.803,74.165,0,4.391
1984,26.177,22.892,1.662,10.777,4.019,144.175,236.701,234.457,314.523,31.472,0.27,1.097
1985,17.188,2.057,0.579,8.916,8.253,84.111,295.001,244.576,274.535,109.421,0.204,9.713
1986,6.673,16.49,3.465,5.587,51.921,97.417,332.85,322.945,252.649,10.773,0.236,13.337
1987,8.963,11.285,6.924,5.634,20.39,112.682,241.123,299.386,226.38,108.535,0,2.555
1988,8.456,10.695,15.576,3.015,22.611,154.188,292.109,286.075,115.102,21.678,1.337,17.107
1989,8.753,11.407,5.118,3.011,34.159,110.039,330.987,201.049,172.053,30.486,5.594,5.829
1990,0.062,12.708,4.992,7.422,30.689,97.065,273.545,217.192,234.944,21.684,0,1.395
1991,13.72,5.383,10.27,8.656,14.893,45.607,98.668,265.667,134.932,2.571,0.852,10.348
1992,18.659,5.013,1.009,4.107,18.338,26.471,185.427,151.111,148.187,58.252,9.6,0
1993,10.107,0.002,7.594,4.096,27.627,42.239,106.232,198.271,288.756,37.265,0.109,0
1994,54.934,16.777,18.761,9.379,7.237,81.352,256.531,271.208,125.168,32.571,0.939,0
1995,21.078,18.344,13.305,6.648,11.264,27.185,191.576,308.781,198.652,4.159,24.311,7.302
1996,27.127,13.669,1.78,2.862,7.623,89.53,187.498,308.788,143.97,104.531,0,0
1997,12.706,2.043,3.191,8.265,46.307,128.334,164.268,264.367,199.242,30.736,21.584,9.236
1998,0.215,5.817,8.391,7.673,51.8,19.921,204.599,301.562,143.826,31.508,11.815,0
1999,28.012,19.753,0.738,0,22.819,55.503,232.005,216.221,155.558,28.889,0.584,0.944
2000,11.387,14.555,3.888,6.69,9.958,108.707,128.17,142.969,208.001,0.447,0,0.364
2001,2.399,2.127,13.552,7.935,11.773,82.253,248.089,234.694,49.507,78.67,0,0.612
2002,15.644,12.161,6.154,5.137,7.283,30.294,160.124,256.663,194.799,101.076,12.793,0.41
