Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,9.911,2.293,20.01,3.855,3.836,58.433,117.488,275.557,222.689,4.712,26.336,0
1952,1.1,16.465,7.727,7.294,6.089,57.445,170.335,561.431,15.513,0.199,1.744,29.716
1953,39.156,1.759,0.167,0.894,0.37,18.089,211.778,225.28,44.869,0.304,0,0.648
1954,14.439,39.685,7.317,0,0.047,7.565,263.04,238.864,146.001,55.363,0.02,0.047
1955,32.099,1.625,1.562,1.386,1.425,128.64,287.403,389.948,161.906,98.122,0,0.087
1956,4.315,3.161,20.472,0.148,3.93,76.253,386.41,202.78,48.372,110.081,2.523,15.935
1957,25.267,0.031,24.213,7.158,7.915,27.436,370.645,158.081,199.161,14.084,4.819,7.164
1958,4.47,5.787,4.159,0.791,0.453,9.187,382.323,339.154,256.182,41.691,0.677,6.013
1959,16.591,1.442,0.747,0.777,40.86,29.234,231.258,222.324,56.206,14.705,7.498,0
1960,2.796,0,29.406,0.77,11.66,16.765,258.779,464.574,88.703,80.145,0,8.252
1961,33.322,31.771,0,3.114,2.916,61.619,164.103,568.985,58.747,43.713,4.006,1.997
1962,26.346,2.026,9.721,1.73,1.683,24.076,235.044,249.386,199.804,0.231,1.173,1.372
1963,14.555,1.362,7.427,3.57,10.553,42.871,176.752,265.695,341.429,2.154,9.219,11.848
1964,0.651,0.696,1.15,0.606,13.739,6.236,413.777,281.805,297.308,0.722,0,5.159
1965,1.079,8.745,2.736,10.312,2.872,7.847,289.811,147.984,119.992,39.547,0.031,0.264
1966,0.63,5.128,0.183,0.011,31.267,88.617,162.245,369.987,27.743,3.219,32.443,1.192
1967,0.082,0.423,20.878,0.609,1.396,33.356,235.845,558.739,130.682,1.031,0.666,33.439
1968,31.324,5.166,5.636,0.668,0.218,33.369,238.772,178.845,49.95,35.093,0,0.716
1969,5.528,12.68,0.834,1.285,19.113,13.354,311.014,230.741,145.979,0.496,3.535,0
1970,28.361,33.677,3.339,0.233,27.748,84.538,124.694,369.674,165.655,7.62,0,0
1971,16.161,11.757,1.041,4.651,12.111,146.81,272.067,221.833,130.679,54.248,4.035,0
1972,4.234,20.853,0.381,1.306,0.152,27.175,98.155,265.91,146.139,8.983,3.444,5.524
1973,13.532,14.692,1.111,0,1.624,25.797,218.471,360.158,151.046,63.658,0,0.076
1974,0.917,0.887,0.306,0.466,8.433,10.647,112.654,113.985,16.489,70.814,0,1.798
1975,7.102,1.906,2.327,1.662,0.509,91.493,323.91,182.724,176.125,22.961,0,0
1976,1.508,5.541,1.586,2.514,3.319,111.032,169.009,302.064,92.938,0.761,15.38,0.041
1977,22.008,1.888,0.133,15.738,10.223,21.795,380.343,193.479,215.919,38.243,0.234,1.787
1978,1.899,14.952,33.26,2.235,0.28,119.044,197.083,188.763,173.643,1.885,0.815,11.745
1979,7.18,49.302,2.686,1.501,18.297,26.482,151.761,73.198,6.114,1.078,12.387,6.093
1980,0.505,5.496,20.003,0.868,2.872,73.051,252.519,323.859,54.76,18.578,2.168,35.517
1981,9.024,1.006,25.314,0.032,24.522,219.799,336.127,175.537,71.176,0.27,11.747,0.493
1982,20.67,5.83,23.798,6.398,21.192,21.372,133.061,428.395,48.794,2.441,35.759,12.276
1983,16.547,4.982,0.988,36.321,36.783,74.678,58.294,383.199,161.891,25.2,0,3.594
1984,2.367,6.991,0.464,39.661,2.008,76.869,144.128,250.815,104.543,1.806,0,0.53
1985,4.238,0.032,3.995,11.052,3.094,41.711,429.449,288.009,157.417,99.92,0,21.862
1986,9.711,21.191,7.765,1.418,28.571,83.905,176.317,122.994,79.401,41.481,1.412,21.637
1987,18.405,7.607,3.805,0.354,41.814,9.522,81.766,153.008,25.578,9.514,0,5.911
1988,4.598,3.569,14.187,16.319,4.188,83.325,260.747,286.18,53.845,2.668,0.031,2.646
1989,13.86,0.713,14.34,0.662,1.244,16.111,198.092,273.674,117.153,8.199,8.133,8.103
1990,0,25.544,1.67,1.779,20.328,76.833,277.494,311.72,261.319,2.288,1.779,11.571
1991,2.072,18.364,4.051,3.718,28.434,5.748,8.318,267.281,103.526,0.199,10.681,29.803
1992,16.628,10.945,14.024,4.044,15.413,22.5,82.105,214.507,116.558,54.495,25.611,0
1993,8.487,0.584,12.801,3.64,14.4,101.426,261.494,150.972,233.281,6.057,0,0
1994,18.517,17.111,12.938,6.723,6.706,69.751,492.928,273.999,34.598,0.4,0,0.016
1995,29.422,3.682,3.853,11.592,0.306,24.82,141.456,325.837,145.737,0.422,3.187,1.685
1996,9.184,4.182,1.38,1.583,18.097,144.003,171.518,288.226,310.061,35.639,0,0
1997,3.291,0.37,4.015,2.212,23.468,110.485,47.968,195.95,168.686,46.107,25.503,13.399
1998,0.584,8.964,22.176,11.845,14.077,90.832,175.436,278.139,36.9,46.993,1.327,0.284
1999,9.99,9.905,0,0,4.582,150.934,175.74,254.688,227.76,62.588,0,2.317
2000,9.454,6.07,2.505,2.644,9.232,18.939,215.352,161.731,75.542,0.209,0.386,0.241
2001,6.781,7.176,3.469,17.495,28.869,95.811,133.302,246.445,56.341,20.138,0.341,0.181
2002,13.32,13.464,2.2,0.912,8.046,33.408,33.025,178.017,180.588,17.559,1.931,6.576
