Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.907,10.118,15.782,8.653,5.955,124.274,265.505,411.377,179.267,14.612,9.752,0
1952,2.577,13.036,13.76,1.458,12.26,177.434,216.325,295.97,123.2,5.523,2.986,0
1953,30.002,14.445,0.401,3.226,1.774,136.125,406.829,328.442,165.244,1.389,0,4.914
1954,16.35,16.16,3.807,0.879,2.831,72.599,311.974,291.246,207.44,23.406,0,0.217
1955,26.674,16,2.115,3.361,2.706,100.182,503.107,216.89,140.947,121.866,0,2.064
1956,22.401,11.771,7.298,2.147,6.605,173.73,231.024,292.168,286.23,135.492,25.629,9.115
1957,13.371,0.997,22.396,2.105,2.522,87.667,286.695,304.158,150.916,4.636,1.169,8.573
1958,19.094,4.209,24.011,2.38,0.754,81.917,220.739,300.455,135.122,54.877,0.826,5.678
1959,47.6,4.702,0.721,0.86,38.46,37.037,231.269,337.811,151.33,155.36,4.146,0
1960,10.377,0,6.791,1.652,1.515,54.624,375.22,435.167,131.384,68.09,0,0.401
1961,22.57,14.964,0,0.769,5.198,82.935,290.281,394.834,206.126,76.513,2.272,6.214
1962,19.395,9.776,5.69,12.142,5.2,62.213,294.796,317.514,349.063,0.435,1.76,6.352
1963,12.961,5.965,13.146,7.459,21.687,97.41,455.729,347.686,212.169,18.99,7.137,3.516
1964,1.418,3.671,2.708,3.46,10.177,52.2,387.253,258.413,216.834,11.062,0,2.162
1965,2.821,4.589,13.834,16.38,3.876,20.646,234.391,176.395,112.184,32.389,1.196,2.667
1966,7.963,12.205,0.183,0,2.857,185.407,170.577,191.814,53.995,7.095,22.067,10.405
1967,1.252,0.609,19.742,4.201,2.442,44.535,269.783,511.141,202.372,3.282,1.349,31.569
1968,22.672,6.643,3.15,1.524,1.714,76.433,219.944,143.676,76.127,37.154,0.017,5.716
1969,9.251,3.565,1.252,2.715,31.879,32.328,493.616,222.984,199.001,1.824,6.022,0
1970,25.223,39.398,1.165,0.458,43.459,116.526,303.194,241.158,510.84,47.254,0.139,0
1971,10.152,9.804,3.398,18.448,50.627,193.37,230.367,397.558,222.015,119.265,2.235,0
1972,17.075,25.318,1.839,2.668,2.608,20.927,172.896,269.672,206.943,117.089,10.549,0.069
1973,8.676,5.503,1.986,0.688,5.444,58.134,354.347,446.303,174.824,105.086,0.722,0
1974,5.203,1.946,0.7,0.814,5.931,52.63,358.445,202.052,98.505,8.276,0.5,3.109
1975,13.529,8.327,11.707,4.161,3.231,160.216,322.167,256.501,200.734,38.023,0,0
1976,24.568,5.431,0.925,4.626,9.194,33.25,199.642,190.145,305.304,2.11,0.768,0
1977,17.917,13.219,0.508,7.098,10.006,104.293,374.197,183.817,117.849,76.015,2.608,10.032
1978,19.114,36.264,16.636,2.473,1.896,133.039,143.645,250.948,269.598,33.745,1.118,5.014
1979,18.408,8.533,1.639,5.317,4.72,108.715,246.637,172.528,73.147,3.068,28.16,3.846
1980,0.934,4.817,4.388,0.939,2.088,191.682,538.854,542.688,238.97,15.935,0.326,16.432
1981,19.082,2.546,5.692,1.402,10.134,121.502,436.845,401.831,179.485,1.003,12.848,4.113
1982,46.388,9.425,23.656,3.887,36.479,81.048,203.782,392.382,379.941,8.458,15.689,7.136
1983,11.354,2.5,2.907,14.061,37.932,92.451,271.279,183.586,221.555,64.572,0,4.382
1984,25.033,25.974,0.591,8.381,1.874,115.595,193.168,230.976,182.309,28.755,0,2.256
1985,14.286,0.888,0.299,9.424,5.524,60.388,250.693,244.993,271.373,112.472,0.139,9.781
1986,10.953,22.533,1.808,2.806,60.099,55.459,279.749,323.745,235.633,15.128,1.622,26.594
1987,14.944,11.437,7.345,2.181,15.061,10.702,138.169,196.901,55.751,100.223,0,4.145
1988,8.899,5.915,10.758,1.927,15.489,140.778,299.449,310.32,104.042,14.592,1.296,29.063
1989,10.409,4.896,4.562,1.454,11.62,94.475,326.177,150.858,176.077,24.333,5.025,13.235
1990,0,15.498,3.143,7.956,20.421,103.176,362.857,258.635,233.931,8.036,1.742,6.982
1991,10.164,8.995,4.696,7.564,19.042,28.521,65.898,76.616,120.117,0.458,0.596,25.928
1992,22.31,6.748,0.86,1.935,17.515,36.061,147.623,168.722,171.149,62.241,11.369,0
1993,10.372,0,7.656,2.698,23.914,45.502,182.303,182.493,319.388,27.095,0,0
1994,46.326,16.158,16.061,6.401,4.801,95.548,303.873,280.645,166.507,5.077,0.604,0.069
1995,26.885,17.646,12.598,7.113,3.935,26.218,208.459,302.982,195.884,0.936,16.454,20.086
1996,30.937,15.873,1.435,1.923,3.548,129.73,210.032,300.71,119.703,88.598,0,0
1997,11.15,1.52,2.889,8.003,29.857,106.514,125.798,214.49,224.115,29.248,9.413,17.163
1998,1.67,3.452,10.452,7.157,38.932,16.083,239.765,320.879,133.319,11.278,1.054,0
1999,33.629,29.461,0,0,15.532,21.955,215.842,171.111,167.601,32.301,0,2.51
2000,11.955,15.436,1.09,3.318,11.451,83.717,139.186,170.974,195.422,0.401,0,0
2001,4.203,2.234,8.954,6.422,12.71,108.021,224.027,182.406,50.625,69.461,0.541,0.766
2002,17.602,14.936,6.107,2.982,2.507,21.203,121.108,232.113,240.587,90.337,5.236,0.67
