Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.724,9.455,16.178,11.118,8.654,129.579,266.591,396.762,197.235,19.039,9.709,0
1952,3.375,12.652,13.723,2.575,16.832,203.577,214.753,300.416,125.017,6.369,3.236,0
1953,32.606,11.601,0.586,4.454,2.679,147.172,422.716,323.041,166.3,1.778,0,4.651
1954,17.379,18.157,4.379,1.291,3.875,80.644,327.232,290.817,213.952,33.762,0,0.394
1955,24.65,13.787,2.701,5.524,3.806,116.976,496.285,223.023,160.529,134.99,0,2.38
1956,20.254,9.957,7.89,3.153,12.486,185.861,233.646,279.956,279.077,153.415,17.345,10.618
1957,15.98,0.966,22.998,3.351,4.093,101.19,288.682,290.022,182.208,7.596,1.31,12.927
1958,18.469,4.267,24.423,3.714,1.214,103.953,226.197,314.021,154.693,75.247,0.858,7.832
1959,45.976,4.926,1.292,1.729,43.891,49.192,254.447,322.82,176.015,155.46,4.522,0
1960,10.806,0,7.711,2.512,2.249,64.915,355.915,414.932,153.286,84.661,0,0.661
1961,23.446,16.774,0,1.603,7.181,101.668,300.286,388.721,215.021,90.025,1.712,8.146
1962,20.699,9.784,6.735,14.563,7.392,84.608,289.209,316.611,369.21,0.729,1.91,7.716
1963,11.912,5.29,16.145,9.483,26.615,115.599,420.647,344.541,241.235,23.957,6.73,4.273
1964,1.982,3.244,3.318,4.222,14.474,59.831,406.578,248.232,232.739,10.158,0,3.558
1965,3.169,6.185,14.26,19.737,5.308,26.805,242.66,185.147,108.798,33.201,1.04,2.488
1966,8.717,13.113,0.309,0,5.329,181.619,194.884,222.944,70.84,10.915,15.589,10.876
1967,1.165,0.862,21.431,5.159,3.337,54.994,271.328,502.37,199.918,4.256,1.325,33.788
1968,24.577,7.289,3.583,2.643,2.427,96.107,227.997,154.712,88.472,42.179,0,6.094
1969,11.044,3.583,1.909,4.79,35.608,42.07,471.849,238.414,253.61,2.628,4.35,0
1970,24.098,35.053,1.599,0.696,50.043,139.251,295.547,248.41,468.609,52.911,0.084,0
1971,10.313,9.724,4.172,21.491,57.816,213.141,252.724,387.414,242.288,135.336,2.78,0
1972,15.397,23.879,2.496,4.495,3.574,31.535,201.688,266.96,241,117.821,7.788,0.277
1973,9.792,6.566,3.058,1.04,8.575,87.218,323.189,432.31,187.132,116.271,0.598,0
1974,6.178,2.549,1.022,1.224,7.975,64.532,345.762,198.361,105.847,10.161,0.374,5.292
1975,16.977,9.051,12.447,5.176,4.636,177.78,314.035,266.417,235.243,38.202,0,0
1976,22.391,7.694,1.39,6.801,11.537,45.277,200.654,228.091,296.114,3.273,0.496,0.084
1977,17.46,11.824,0.687,9.846,16.615,120.358,367.59,181.688,127.769,72.879,2.086,11.948
1978,17.135,32.054,21.003,3.552,2.779,144.174,150.094,261.171,274.931,37.909,1.225,5.876
1979,17.386,9.47,2.723,7.094,8.722,113.879,247.776,179.153,71.422,3.553,20.889,5.074
1980,1.33,5.466,6.238,1.586,3.073,221.789,550.574,522.324,269.99,21.513,0.357,16.891
1981,20.401,3.082,7.723,2.071,13.981,133.746,441.618,374.005,189.916,1.136,10.334,4.492
1982,42.794,9.603,26.659,5.93,42.801,88.651,203.737,401.239,363.63,11.214,10.874,8.388
1983,14.353,3.016,4.12,19.595,44.292,113.251,275.267,184.612,270.547,69.508,0,5.615
1984,23.058,26.974,0.897,10.689,2.289,133.363,197.45,232.333,179.822,27.992,0,3.262
1985,13.206,1.028,0.393,11.537,9.264,76.207,256.212,249.954,287.593,118.525,0.084,14.314
1986,9.595,20.944,2.605,5.025,68.302,67.153,305.223,306.566,254.148,18.682,1.953,32.7
1987,14.251,11.897,7.451,3.169,21.75,11.528,132.023,205.244,70.739,101.476,0,4.869
1988,8.483,7.233,11.438,3.692,18.918,157.704,325.002,323.294,115.551,13.778,1.073,32.981
1989,13.397,5.662,5.305,1.967,16.488,113.01,318.677,165.792,193.129,22.195,3.357,7.972
1990,0.084,16.155,4.359,9.402,25.241,90.022,373.919,252.198,235.482,11.556,2.238,10.507
1991,10.105,9.21,5.557,9.931,27.252,25.709,56.148,86.027,122.725,0.483,0.441,26.767
1992,21.84,7.221,1.416,3.093,20.989,48.406,162.445,180.112,169.494,60.945,9.59,0
1993,11.432,0.389,9.041,4.393,28.642,66.6,212.013,190.699,345.486,23.308,0,0
1994,44.156,14.659,17.414,8.426,8.048,74.721,305.462,273.053,163.887,4.636,0.441,0.211
1995,26.848,17.446,15.775,8.914,5.193,32.234,210.101,320.232,225.672,1.094,14.009,22.175
1996,30.225,15.881,2.026,2.975,4.733,136.167,210.987,299.822,121.644,87.403,0,0
1997,11.263,1.914,3.672,9.405,36.91,123.098,129.824,220.259,219.241,34.553,8.012,18.576
1998,2.475,4.58,13.159,9.834,44.791,11.506,241.415,328.342,134.307,11.665,1.21,0
1999,31.173,26.808,0.077,0,18.402,35.979,192.407,164.46,179.791,35.766,0,3.342
2000,13.04,16.907,1.857,4.602,14.925,94.561,137.971,181.814,189.067,0.425,0,0.077
2001,4.527,2.622,9.611,8.897,18.974,120.674,222.751,172.59,50.308,66.342,0.183,1.138
2002,17.329,15.615,8.245,4.523,3.499,25.279,126.804,226.495,268.735,88.752,3.794,0.359
