Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,8.364,7.08,19.843,15.423,7.064,129.659,387.612,367,186.084,19.644,15.709,0
1952,1.591,13.295,14.355,2.656,12.673,266.018,240.655,266.002,159.786,17.306,2.453,0
1953,41.076,10.634,0.905,4.621,3.402,169.117,441.786,318.246,201.307,4.611,0,2.013
1954,14.497,14.544,5.032,2.468,7.21,99.629,347.849,285.915,220.262,20.874,0,0
1955,18.682,16.215,2.22,5.374,3.494,140.453,610.261,185.509,141.286,103.816,0,2.07
1956,20.982,8.669,7.943,6.367,4.207,223.765,206.713,292.669,312.921,114.735,41.213,7.411
1957,11.129,1.427,25.806,1.801,1.997,123.569,339.437,287.528,106.45,0.987,0.991,5.212
1958,21.244,4.047,29.197,4.508,1.177,146.582,227.391,269.486,131.348,32.043,0.639,2.342
1959,62.737,3.281,0.229,0.372,43.806,79.508,217.523,347.58,240.49,151.932,3.478,0
1960,6.503,0,8.406,1.769,1.223,73.629,356.502,424.787,154.108,45.463,0,0.143
1961,17.289,19.218,0,0.314,5.116,124.09,299.967,355.989,227.728,57.048,5.184,2.789
1962,20.281,10.594,6.452,19.416,4.421,88.588,292.908,319.569,357.845,0.686,1.507,4.628
1963,10.404,4.236,22.237,9.411,29.439,132.707,468.349,326.425,183.136,31.874,12.159,1.457
1964,0.859,2.579,2.477,5.145,8.624,75.279,429.451,297.412,191.34,11.949,0,0.922
1965,1.756,3.058,15.042,24.936,4.106,35.868,295.303,163.048,109.788,31.024,3.187,1.112
1966,13.853,17.147,0,0,0.956,151.047,171.919,162.73,51.815,2.094,33.53,6.324
1967,1.011,0.316,21.36,6.474,5.861,47.78,289.993,469.842,198.444,4.444,1.715,16.787
1968,21.645,5.19,2.981,2.753,3.606,101.976,274.377,189.364,84.628,55.561,0.245,4.036
1969,10.292,6.226,1.56,4.964,36.871,66.548,518.935,224.989,158.849,2.19,11.322,0
1970,20.781,41.358,2.76,1.191,43.244,172.739,364.763,242.048,458.33,37.898,0.445,0
1971,8.5,10.746,4.181,24.782,56.637,246.393,233.672,373.201,181.111,99.584,0.351,0
1972,15.617,30.908,3.533,5.636,5.721,26.685,161.403,275.429,184.822,131.519,16.465,0
1973,16.938,7.62,2.693,1.921,8.656,75.975,374.298,422.309,212.961,104.229,2.02,0
1974,7.233,2.237,1.112,1.919,8.157,82.208,424.011,199.302,146.867,14.086,0.797,1.44
1975,22.177,9.6,13.857,5.536,7.113,185.026,384.157,267.483,235.259,36.073,0,0
1976,25.648,8.176,1.183,7.744,12.573,57.31,207.285,150.41,357.072,1.546,0.976,0
1977,14.926,13.737,1.013,13.537,20.155,120.562,381.779,180.978,124.075,72.587,5.107,8.721
1978,18.761,38.958,15.852,7.139,3.737,142.704,177.498,241.647,266.414,54.589,0.951,3.842
1979,17.371,9.325,1.56,8.497,3.348,118.605,336.017,192.443,82.913,6.388,43.368,4.665
1980,0.664,4.939,6.88,1.778,5.505,251.32,538.828,486.081,195.885,8.79,0.057,9.008
1981,21.126,3.405,7.287,4.04,14.738,135.028,439.108,410.084,229.577,1.708,19.997,2.659
1982,43.647,12.065,27.913,5.275,44.164,111.239,214.833,357.537,404.81,9.829,22.93,3.902
1983,10.421,3.219,4.634,17.941,47.7,111.646,331.572,200.461,195.455,71.595,0,3.78
1984,26.684,23.652,1.123,11.578,3.597,131.987,231.325,255.359,251.253,31.484,0.229,1.735
1985,17.148,1.796,0.621,12.088,7.241,75.231,280.864,229.15,306.117,119.725,0.351,8.398
1986,8.876,21.078,3.29,4.994,64.244,88.988,323.297,320.155,272.489,11.763,0.445,15.605
1987,13.164,12.551,8.017,5.997,19.587,58.983,241.658,241.534,132.955,111.521,0,2.821
1988,9.197,8.31,14.346,2.57,21.285,181.447,308.863,299.297,112.225,17.946,2.317,22.326
1989,10.237,9.596,5.324,3.39,26.877,112.343,346.632,167.975,181.425,25.891,5.131,5.293
1990,0.143,13.993,3.77,10.208,24.379,95.375,353.007,219.612,253.825,11.358,0,2.107
1991,13.162,7.978,7.035,10.016,17.113,35.446,88.641,172.038,132.715,0.956,1.507,14.613
1992,19.73,5.887,1.013,3.521,21.546,40.742,188.625,155.13,173.541,57.6,10.672,0
1993,10.748,0,7.989,4.588,28.632,39.438,141.669,192.039,309.447,30.683,0.057,0
1994,54.315,19.514,17.176,9.886,6.279,78.884,295.534,264.08,161.317,13.425,1.607,0
1995,27.233,18.65,14.032,9.098,8.792,29.309,199.008,308.536,197.329,2.554,22.006,10.205
1996,28.279,15.863,1.847,3.147,6.932,103.121,202.245,298.692,143.567,94.914,0,0
1997,12.475,2.141,3.547,10.596,43.18,135.117,163.468,229.74,239.633,28.921,16.409,9.835
1998,0.6,4.369,9.688,8.939,49.868,17.009,222.861,300.158,143.749,19.924,6.552,0
1999,30.585,25.584,0.576,0,21.211,44.015,228.211,197.568,164.402,28.28,0.348,1.264
2000,12.162,15.945,3.412,6.729,11.045,108.955,135.508,149.666,205.998,0.414,0,0.261
2001,2.982,2.378,12.439,8.727,12.377,105.923,263.14,212.923,50.05,76.873,0,0.684
2002,15.952,14.132,6.812,5.408,6.235,29.637,158.432,242.404,218.414,95.924,9.835,0.332
