Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,12.421,9.745,21.179,6.099,4.507,111.737,137.013,337.219,183.029,12.554,13.363,0
1952,3.446,13.766,19.904,3.94,10.362,116.845,175.101,406.031,55.333,0.332,4.004,9.129
1953,27.631,11.701,0.463,3.474,1.035,93.331,316.28,267.334,92.937,0.45,0,4.321
1954,18.02,25.306,5.19,0.081,0.366,45.123,269.423,270.895,162.835,59.528,0,0.391
1955,32.903,10.69,3.199,3.641,3.112,109.369,344.969,307.171,144.09,131.025,0,0.768
1956,15.94,10.383,12.912,0.202,11.225,133.417,279.103,249.782,155.27,148.956,13.831,10.056
1957,23.556,0.471,25.939,5.47,5.096,62.197,266.43,252.87,196.557,12.677,2.433,11.096
1958,12.472,4.841,20.103,2.542,0.59,41.047,255.187,338.286,175.857,80.343,1.07,8.317
1959,26.214,5.1,1.984,2.135,35.573,22.017,241.729,274.289,65.54,100.236,6.659,0
1960,11.043,0,14.919,2.593,4.815,41.521,316.369,420.68,103.223,97.198,0,3.072
1961,31.045,18.591,0,2.673,5.226,72.333,236.634,455.537,125.901,83.797,1.422,7.289
1962,22.423,7.43,8.693,9.553,5.42,54.167,256.977,286.866,265.055,0.72,2.42,4.688
1963,14.745,5.444,12.083,8.763,15.767,78.31,315.572,329.388,264.772,8.293,7.02,7.212
1964,2.024,3.349,3.811,3.147,13.71,31.799,361.471,220.786,242.583,6.092,0,4.46
1965,3.243,8.069,13.598,16.476,4.02,13.454,208.045,180.89,100.741,36.39,0.275,2.326
1966,2.145,8.102,0.463,0.049,12.983,182.532,181.235,294.404,53.789,11.86,20.84,7.411
1967,0.977,0.98,25.438,3.405,0.842,48.262,242.734,531.551,150.823,2.664,1.08,33.759
1968,30.023,7.791,4.988,1.872,0.477,76.268,187.92,135.65,61.79,26.672,0,4.318
1969,7.786,6.189,1.925,3.819,24.066,28.001,359.451,242.144,229.586,1.84,3.452,0
1970,27.836,30.148,1.528,0.07,36.868,99.583,198.983,277.355,319.093,41.178,0,0
1971,13.818,10.278,3.7,16.835,35.182,187.691,250.671,353.672,200.149,116.109,5.253,0
1972,11.843,22.214,1.047,3.867,0.458,27.87,166.065,258.589,197.545,62.921,6.244,2.034
1973,11.649,6.51,2.954,0,4.165,72.682,265.022,401.258,133.496,98.591,0,0
1974,2.924,1.946,0.768,0.413,6.312,41.868,231.239,169.837,34.365,34.559,0.114,5.445
1975,15.034,6.089,10.96,3.649,1.262,136.673,287.687,218.481,178,32.865,0,0
1976,11.757,8.598,1.603,5.948,5.731,67.676,175.907,293.894,165.529,2.867,3.701,0.181
1977,19.77,7.697,0.205,10.825,12.989,76.066,332.72,190.1,147.683,55.989,0.125,7.725
1978,11.647,25.163,31.53,2.543,0.848,138.273,146.373,250.112,217.853,10.677,1.67,7.37
1979,15.592,19.814,3.763,3.874,11.824,80.743,169.879,129.04,26.697,0.447,21.199,3.928
1980,1.458,4.858,10.439,1.014,1.628,142.763,418.733,470.42,192.153,26.809,0.928,21.927
1981,14.551,2.412,15.058,0.331,17.374,162.902,381.952,267.768,96.39,0.311,8.317,1.952
1982,34.864,7.12,27.522,6.897,26.92,49.666,163.927,406.734,191.959,8.249,16.141,9.799
1983,18.406,2.724,2.489,26.696,34.564,98.984,168.608,212.51,221.839,45.554,0,4.16
1984,14.789,24.663,0.792,20.031,1.067,120.457,150.999,196.76,111.1,14.184,0,1.712
1985,8.439,0.258,1.222,11.748,6.058,65.441,283.442,277.839,182.298,115.995,0,15.202
1986,10.275,20.798,3.601,4.156,44.532,61.94,234.398,241.933,141.124,29.972,3.211,31.327
1987,15.364,9.99,7.134,1.022,23.229,5.876,75.694,170.283,31.186,46.103,0,5.964
1988,6.664,5.839,12.435,8.331,8.252,111.039,295.385,307.261,79.501,7.465,0.275,15.282
1989,14.014,1.865,8.608,0.707,3.648,76.991,250.955,192.704,143.697,15.889,5.696,10.894
1990,0.007,19.994,4.948,7.28,20.992,98.177,312.147,290.072,197.703,9.292,3.993,13.533
1991,5.556,11.733,6.097,8.821,26.047,11.361,22.058,148.58,95.712,0.311,3.779,26.228
1992,21.217,8.833,5.463,3.774,14.084,37.061,105.967,205.155,129.698,59.355,16.439,0
1993,10.476,0.293,12.399,3.947,18.839,100.405,238.639,170.086,276.237,14.355,0,0
1994,31.567,11.839,18.021,7.729,6.296,91.002,340.974,278.185,93.715,2.846,0,0.07
1995,25.252,13.612,9.755,10.054,1.113,29.93,185.45,308.62,179.293,0.311,10.358,12.229
1996,25.605,12.771,1.632,2.347,9.984,167.566,191.581,281.771,216.995,62.049,0,0
1997,8.548,0.956,4.169,5.031,16.536,125.641,39.104,204.852,156.978,39.4,15.33,17.359
1998,1.909,5.738,20.112,11.58,22.508,78.616,256.73,370.65,97.851,35.188,1.863,0.037
1999,19.343,17.477,0,0,13.714,87.16,240.245,172.454,211.217,53.718,0,3.378
2000,11.94,9.935,1.834,1.522,13.365,44.937,193.219,190.693,163.128,0.311,0,0
2001,4.753,4.131,4.251,12.203,19.998,98.726,156.399,170.927,75.044,40.647,1.794,0.63
2002,17.507,15.597,5.632,2.088,3.6,31.897,76.628,202.716,203.864,46.191,2.724,4.522
