Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,14.063,13.449,30.195,8.24,2.558,146.203,276.31,405.284,175.666,13.51,9.827,0
1952,0.886,16.887,27.17,0.781,6.841,185.06,219.248,294.934,146.587,8.885,0.405,0.057
1953,33.239,24.035,0.253,2.608,0.825,153.01,377.657,344.752,191.579,1.448,0,4.297
1954,17.607,14.242,5.081,0.548,2.133,80.102,278.543,295.088,221.781,14.978,0,0.01
1955,38.194,25.106,2.335,1.374,1.726,97.932,524.786,209.317,115.707,94.695,0.019,1.408
1956,34.339,18.604,11.108,1.38,5.421,202.592,225.499,335.971,341.817,96.315,88.45,6.334
1957,20.784,1.27,36.181,1.042,0.918,88.845,296.579,327.938,117.146,0.327,0.166,1.919
1958,26.745,5.262,39.743,1.995,0.27,69.058,220.8,277.709,133.091,34.077,0.059,1.986
1959,67.816,4.804,0.005,0.004,32.838,29.157,184.933,365.163,128.065,146.613,0.561,0
1960,11.371,0.01,12.174,1.391,0.731,52.514,416.182,482.075,109.06,39.422,0,0
1961,26.853,16.428,0,0.004,3.248,77.966,268.743,413.234,211.922,54.133,5.939,3.625
1962,21.161,11.783,7.499,11.395,2.856,42.068,307.399,317.222,341.622,1.759,0.24,3.939
1963,19.063,8.783,18.713,6.471,20.069,93.011,529.178,368.321,182.881,15.339,10.597,1.891
1964,0.242,5.586,3.757,3.87,6.52,57.642,351.113,308.38,213.064,15.07,1.791,0.061
1965,2.452,0.923,22.606,16.568,2.711,16.854,228.132,161.596,136.582,29.628,2.665,2.556
1966,10.16,12.754,0,0,0.036,236.321,131.831,144.735,34.611,1.566,75.852,8.575
1967,2.425,0.031,31.982,3.917,2.108,36.141,291.741,537.104,218.072,2.779,0.265,21.431
1968,28.497,6.026,4.018,0.56,0.866,82.822,212.764,159.228,60.676,26.178,0.019,5.479
1969,4.195,8.94,0.634,1.492,29.574,53.509,495.139,222.917,145.837,0.954,21.267,0
1970,32.165,49.62,2.445,0.224,35.451,114.597,342.691,236.42,590.252,36.662,0.038,0
1971,14.01,13.008,4.125,18.275,45.931,237.818,209.977,446.73,194.936,88.637,0.038,0
1972,23.511,41.873,1.631,3.211,1.318,5.6,113.14,298.229,157.89,111.588,29.413,0.025
1973,25.95,1.809,1.258,0.294,2.083,47.554,428.689,454.791,179.178,90.486,1.561,0
1974,3.393,0.791,0.472,0.424,4.574,65.077,431.689,214.859,94.174,14.897,1.149,0.966
1975,27.206,7.236,19.895,3.418,2.559,144.467,300.968,218.88,178.258,37.579,0.097,0
1976,29.103,8.154,0.526,4.704,6.141,37.475,209.165,141.149,373.934,0.499,2.283,0
1977,19.695,16.054,0.454,7.823,14.756,87.895,368.525,214.53,139.98,70.452,4.053,9.535
1978,27.802,53.927,19.041,4.739,1.032,145.299,160.899,254.483,311.261,27.52,0.486,5.142
1979,28.005,8.88,0.635,4.57,0.846,118.882,296.235,161.625,84.405,2.584,90.071,4.045
1980,1.541,2.755,5.209,0.144,3.013,173.057,483.043,543.329,187.509,9.276,0.008,11.304
1981,17.889,2.836,9.32,1.197,8.137,113.02,422.281,406.104,173.693,0.371,23.285,3.052
1982,61.177,11.498,36.767,3.164,29.539,82.543,206.458,337.088,431.252,6.67,49.247,4.353
1983,12.094,0.679,1.206,10.688,33.028,83.55,297.126,168.766,143.46,52.122,0,3.259
1984,37.157,30.515,0.96,8.079,1.556,130.555,198.013,203.691,265.33,26.84,0.123,0.217
1985,22.72,0.992,0.264,8.184,2.121,57.568,267.044,260.068,243.305,84.454,0.029,4.924
1986,15.778,28.153,1.622,1.556,48.292,56.372,253.009,360.394,210.458,8.259,0.462,15.272
1987,16.441,12.194,11.815,1.279,8.608,43.472,148.184,233.619,127.186,84.464,1.072,3.012
1988,11.742,6.806,19.415,0.879,12.825,131.734,255.67,272.403,100.848,16.571,0.344,16.364
1989,4.816,5.288,6.424,1.037,9.651,91.18,338.923,153.5,160.471,28.344,17.423,17.955
1990,0.181,18.187,4.571,7.086,20.56,156.698,306.962,275.867,242.262,9.501,0.008,1.978
1991,13.818,8.683,10.459,6.618,9.448,73.732,108.132,139.109,133.603,0.817,0.299,18.727
1992,29.76,6.701,0.464,2.195,12.561,17.042,120.929,146.414,171.388,60.078,22.619,0
1993,10.246,0.032,10.475,1.27,19.659,27.943,108.179,170.834,297.776,34.51,0.181,0
1994,58.874,20.099,27.67,5.773,1.907,159.63,286.404,304.922,157.32,18.652,0.243,0
1995,27.84,21.91,14.301,5.8,3.741,22.725,212.188,267.789,172.794,1.593,34.194,12.732
1996,41.689,17.878,1.096,1.035,2.402,151.701,210.548,312.814,129.308,88.78,0,0
1997,15.206,0.863,2.902,6.623,23.307,99.105,111.932,235.541,223.155,20.124,29.621,13.217
1998,0.535,3.213,11.994,5.584,34.157,39.877,247.369,322.726,155.549,19.536,9.347,0
1999,42.571,32.88,0,0,15.213,21.45,297.181,200.181,172.192,26.503,0,1.02
2000,11.514,13.408,0.733,2.705,8.37,84.761,155.288,147.416,248.575,0.314,0,0
2001,3.428,1.911,15.162,5.191,6.328,88.651,221.847,219.369,66.988,68.232,4.201,0.21
2002,24.323,15.508,5.208,1.764,1.804,22.274,116.72,257.014,197.959,82.416,17.397,1.248
