Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.285,5.252,22.784,4.109,2.567,93.346,137.597,340.448,220.654,5.187,16.909,0
1952,1.144,12.841,15.665,4.372,5.377,88.308,183.209,510.56,40.242,0.289,1.414,21.409
1953,33.265,7.727,0.126,1.522,0.272,56.557,253.617,256.972,79.501,0.327,0,2.909
1954,15.008,24.967,6.342,0,0.083,25.755,263.701,267.425,172.31,54.478,0,0.084
1955,35.141,6.944,1.812,1.048,1.652,129.929,339.525,362.556,158.4,117.07,0,0.472
1956,11.271,6.872,17.19,0,3.195,116.335,351.62,250.128,120.595,131.166,13.564,13.705
1957,22.014,0.209,27.678,4.796,5.042,43.505,341.408,227.766,193.918,12.525,2.959,5.899
1958,8.573,4.389,15.093,0.857,0.126,17.085,336.23,335.696,233.454,46.739,0.326,5.603
1959,23.622,2.253,0.587,0.569,35.359,24.831,222.187,277.825,54.551,57.799,5.001,0
1960,5.596,0,22.555,1.06,7.133,25.873,313.618,492.167,92.108,84.891,0,5.982
1961,32.287,19.364,0,1.95,2.738,66.115,193.799,546.383,96.175,55.762,3.067,3.022
1962,24.154,3.699,8.601,5.664,2.118,27.733,259.866,283.325,246.546,0.331,0.869,2.307
1963,16.205,3.153,8.702,5.196,11.182,57.181,282.28,310.479,324.801,2.381,6.451,9.585
1964,0.588,1.885,1.93,1.74,10.491,17.271,390.045,279.81,297.742,4.176,0,3.806
1965,1.412,5.277,9.291,12.499,2.515,8.793,260.951,157.652,131.011,44.304,0.083,1.682
1966,0.74,4.638,0.126,0,18.341,152.923,152.998,309.537,27.955,3.554,30.63,4.767
1967,0.6,0.23,23.369,1.933,0.857,38.005,247.115,580.087,163.753,0.877,0.326,35.673
1968,29.565,4.449,5.124,0.504,0.125,45.71,220.983,153.177,53.266,35.606,0,2.672
1969,4.86,7.861,0.587,1.09,20.63,15.765,371.503,227.58,153.142,0.562,4.248,0
1970,29.849,30.688,2.034,0,29.138,92.981,174.373,334.226,307.813,18.927,0,0
1971,15.482,9.11,1.821,10.725,21.763,180.933,252.295,304.158,163.575,77.402,2.893,0
1972,9.269,19.058,0.272,1.225,0.101,23.161,102.137,277.6,161.93,37.967,6.014,4.027
1973,11.913,7.968,0.859,0,1.203,28.549,280.82,413.525,157.738,81.032,0,0.079
1974,0.819,0.451,0.189,0.083,5.81,20.451,182.852,150.575,26.463,64.283,0.084,1.531
1975,6.823,2.555,7.267,2.601,0.314,121.074,316.008,196.269,172.717,30.822,0,0
1976,8.491,3.375,1.036,2.866,3.522,96.239,176.405,259.638,158.024,0.835,10.065,0
1977,22.066,5.18,0.012,10.935,7.011,44.416,382.672,203.51,203.65,56.636,0.157,3.891
1978,7.998,20.155,29.812,1.795,0.23,141.353,176.257,211.413,216.213,5.172,0.597,10.028
1979,11.765,28.315,1.869,2.013,11.303,57.884,168.209,96.189,19.038,0.675,19.824,4.766
1980,0.367,3.67,13.842,0.582,1.678,106.427,326.58,434.333,101.333,19.736,1.385,31.982
1981,10.186,0.776,18.588,0.083,16.498,217.312,367.091,266.658,90.82,0.289,7.666,1.338
1982,31.266,5.294,24.629,4.588,21.568,38.176,152.239,429.097,150.683,2.725,29.434,11.064
1983,14.19,2.704,0.723,25.742,31.59,83.695,106.796,322.129,169.888,36.037,0,3.344
1984,9.975,11.309,0.189,26.052,1.391,98.308,150.173,238.558,129.783,9.232,0,0.42
1985,7.505,0,2.631,10.089,2.069,48.098,377.955,293.394,185.543,114.749,0,16.424
1986,11.593,18.708,5.211,1.183,34.171,79.728,186.556,207.31,111.193,39.888,1.141,26.242
1987,18.381,6.728,6.342,0.272,26.649,7.774,82.851,159.952,21.235,32.58,0,6.282
1988,6.05,2.488,14.295,9.727,5.178,105.038,277.207,291.723,63.435,5.956,0.083,9.154
1989,10.752,0.451,11.32,0.588,0.995,37.502,240.067,229.926,131.463,13.791,7.266,12.934
1990,0.001,17.884,1.97,4.41,17.441,108.773,296.917,316.126,269.558,2.714,1.414,9.599
1991,3.854,12.224,4.587,5.108,21.249,15.262,24.677,189.567,113.834,0.289,6.605,31.318
1992,19.669,7.353,9.444,2.814,13.198,24.439,87.154,211.489,140.332,67.659,19.331,0
1993,8.434,0.166,11.847,2.609,14.568,91.871,229.301,162.169,258.619,13.626,0,0
1994,26.55,13.777,16.738,5.99,4.098,101.368,444.172,290.592,74.407,1.997,0,0
1995,28.683,6.839,4.522,9.497,0.462,28.32,163.771,310.426,156.803,0.332,6.727,8.33
1996,16.872,6.598,0.884,1.189,11.113,170.051,186.038,287.98,283.671,56.501,0,0
1997,5.356,0.23,3.477,3.772,16.767,119.271,37.916,202.581,197.042,45.966,19.476,17.074
1998,0.463,4.817,19.351,9.276,17.826,101.444,223.4,332.337,72.736,43.527,0.73,0.216
1999,17.124,13.916,0,0,8.471,126.938,247.172,240.265,245.93,66.003,0,2.755
2000,10.176,4.493,1.674,1.612,8.915,33.314,220.114,168.503,142.905,0.289,0,0
2001,5.802,4.371,4.312,12.171,18.754,106.972,152.936,236.509,76.957,37.68,1.773,0.147
2002,15.599,11.11,1.742,0.652,6.708,35.072,51.943,207.052,190.209,38.825,3.049,6.224
