Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,16.192,8.217,23.569,4.636,1.395,120.497,165.8,404.309,213.566,4.243,15.086,0
1952,0.985,14.161,19.535,2.986,3.438,111.951,205.698,498.315,61.061,0.3,0.571,19.818
1953,37.381,13.247,0.048,1.749,0.072,86.868,289.896,289.545,109.987,0.708,0,5.923
1954,20.169,22.303,5.543,0,0,40.422,271.684,296.216,197.212,44.628,0,0.048
1955,49.937,11.833,1.641,0.353,1.298,127.17,395.62,361.077,154.929,120.06,0,0.899
1956,22.743,10.703,14.543,0,0.963,148.965,351.833,300.598,182.6,131.069,30.201,15.167
1957,24.622,0.379,29.007,3.688,2.936,54.723,341.146,290.096,177.506,9.297,2.63,4.657
1958,15.498,4.543,20.776,0.577,0.048,20.046,326.479,339.22,211.303,41.402,0.135,5.851
1959,39.227,2.996,0.203,0.339,27.437,19.987,217.39,338.845,54.614,91.562,3.803,0
1960,10.245,0,17.675,0.997,4.035,31.88,375.18,548.243,87.026,77.557,0,5.393
1961,40.853,16.737,0.011,1.206,2.101,66.103,222.377,559.872,127.575,59.605,4.04,3.973
1962,28.904,5.427,7.419,8.87,1.611,24.238,294.87,320.757,280.939,0.3,0.334,3.788
1963,23.45,5.132,8.528,6.259,9.106,65.763,383.814,353.465,302.396,1.497,5.957,9.988
1964,0.432,3.053,2.328,2.391,6.929,26.39,387.994,304.24,291.317,7.309,0,3.053
1965,2.21,3.827,12.477,15.02,1.751,8.607,254.331,166.111,143.881,44.358,0,3.653
1966,0.866,5.049,0.048,0,9.918,206.597,144.718,263.502,22.753,2.324,44.211,9.386
1967,1.148,0.102,23.919,2.745,0.448,38.913,268.522,622.366,193.404,0.761,0.135,47.917
1968,35.572,4.691,4.669,0.154,0,49.609,223.985,141.817,51.534,32.968,0,5.202
1969,4.721,7.175,0.208,0.353,17.851,15.472,446.447,228.823,137.232,0.427,8.624,0
1970,41.689,37.98,1.735,0,24.305,96.113,220.551,325.061,435.842,25.178,0,0
1971,19.561,9.784,1.943,14.912,21.663,205.222,242.62,374.42,181.551,86.925,1.888,0
1972,17.731,22.682,0.102,0.704,0.017,16.761,96.77,304.096,160.837,62.454,10.956,3.674
1973,13.371,6.131,0.305,0,0.391,19.931,356.673,476.464,161.726,86.15,0,0.384
1974,0.537,0.21,0.078,0.009,3.774,26.223,249.881,187.097,34.561,53.143,0.339,0.675
1975,6.437,3.272,9.535,3.215,0.102,141.451,324.009,212.461,162.331,36.255,0,0
1976,19.129,1.89,0.623,3.033,3.135,80.333,194.348,222.729,216.362,0.556,11.233,0
1977,29.479,8.385,0.018,9.259,3.478,63.419,409.957,221.885,191.253,69.751,0.8,6.353
1978,17.397,29.739,24.059,1.896,0.072,157.822,172.85,234.648,249.141,7.404,0.244,11.435
1979,21.016,24.149,1.009,2.324,6.202,84.328,193.152,113.35,30.924,0.511,33.82,4.627
1980,0.332,3.263,9.276,0.349,0.897,129.356,387.585,531.063,123.989,16.824,1.286,37.834
1981,13.818,0.641,13.333,0,9.626,210.532,401.324,354.429,105.996,0.3,10.924,3.135
1982,54.516,6.264,22.802,3.788,17.858,52.83,175.452,447.389,238.935,2.389,39.494,12.553
1983,14.617,2.035,0.254,21.536,23.621,84.798,150.374,301.52,163.101,42.815,0,3.705
1984,22.173,15.162,0.078,21.42,1.035,109.969,161.388,246.427,152.856,15.666,0,0.187
1985,13.774,0,1.783,10.843,0.946,48.637,363.905,302.775,204.724,116.239,0,14.37
1986,17.938,22.48,3.588,0.38,30.341,73.823,192.396,278.751,130.901,33.855,0.452,33.636
1987,25.005,7.977,7.634,0.102,15.519,6.71,89.637,170.217,19.25,51.844,0,7.934
1988,9.588,1.934,13.902,6.785,4.394,121.323,273.286,301.186,69.585,8.159,0,17.331
1989,9.727,0.205,9.264,0.642,0.302,50.335,283.549,206.22,134.275,16.851,9.203,20.085
1990,0.178,18.028,1.62,6.127,12.986,140.652,323.432,334.886,281.603,1.714,0.571,9.012
1991,6.657,11.898,4.572,6.237,13.064,36.856,51.074,143.438,121.454,0.3,6.102,41.619
1992,29.37,7.257,6.29,2.095,10.285,21.805,91.547,206.852,164.336,73.62,21.079,0
1993,10.293,0.629,9.915,1.966,11.891,74.465,204.957,168.299,261.145,19.668,0,0
1994,39.552,15.973,18.264,5.914,2.46,128.199,440.577,312.225,107.796,3.611,0,0
1995,37.893,9.971,5.539,9.297,0.382,32.475,188.631,304.749,156.461,0.421,11.464,17.213
1996,29.69,9.123,0.583,1.481,6.061,183.469,205.38,315.909,249.646,70.344,0,0
1997,8.911,0.102,2.745,5.507,11.059,117.896,38.058,214.445,222.568,41.395,23.138,25.505
1998,0.386,3.491,16.281,7.885,15.986,109.054,266.138,378.697,108.045,34.628,0.912,0.141
1999,31.223,20.911,0,0,8.516,99.378,326.17,249.79,258.135,63.335,0,2.795
2000,12.263,4.506,1.012,1.092,7.012,48.742,246.93,173.324,198.814,0.3,0,0
2001,6.828,3.773,4.664,9.876,11.473,117.395,180.101,243.683,92.095,51.372,3.923,0.078
2002,22.265,12.772,0.889,0.397,3.927,36.268,66.872,241.339,186.987,55.278,5.597,7.637
