Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,6.676,4.051,21.051,26.032,11.46,132.759,461.538,375.945,200.054,32.533,16.208,0
1952,1.615,11.567,14.156,5.756,18.769,364.38,253.044,288.17,178.772,29.121,2.579,0
1953,48.561,5.029,1.413,7.431,7.181,202.951,475.193,331.263,219.757,8.85,0,1.152
1954,14.151,13.599,5.358,5.05,15.193,128.654,381.772,311.726,227.284,27.458,0.002,0.068
1955,12.684,12.728,2.435,10.212,6.768,188.952,667.226,200.152,152.392,118.336,0,2.8
1956,18.314,4.541,7.608,13.445,8.785,272.383,193.233,313.87,312.837,133.65,28.965,9.409
1957,10.985,1.555,24.708,2.563,3.323,165.336,371.805,297.655,98.534,1.133,1.004,7.183
1958,21.728,3.57,28.763,9.058,2.291,224.073,235.167,291.405,138.221,37.772,0.664,2.529
1959,68.821,2.297,0.158,0.489,62.096,129.084,228.654,380.591,304.94,174.454,3.583,0
1960,4.702,0,8.792,2.56,1.78,98.45,326.218,449.261,178.217,49.873,0,0.191
1961,14.791,20.589,0,0.45,7.772,176.256,313.644,366.983,239.884,62.699,4.877,2.889
1962,21.608,9.902,6.874,31.167,6.292,131.858,285.503,355.755,367.001,0.792,1.525,5.801
1963,8.019,2.181,28.429,13.427,48.217,178.044,443.115,345.814,179.325,50.912,12.095,1.313
1964,0.992,1.355,2.292,8.021,12.084,101.387,470.024,341.873,180.159,13.196,0,1.26
1965,1.457,3.181,13.99,38.811,6.375,55.072,338.496,179.814,101.467,35.805,3.313,0.589
1966,17.408,18.726,0.038,0.04,1.432,104.262,195.978,192.55,62.767,2.577,23.19,6.36
1967,0.77,0.36,20.164,9.951,12.328,58.15,305.231,488.006,185.554,7.07,1.799,15.201
1968,22.759,4.261,2.633,5.733,7.291,145.359,314.195,248.271,96.367,82.363,0.239,4.711
1969,11.902,7.463,2.06,10.701,50.799,112.138,505.602,266.338,176.041,3.602,9.183,0
1970,17.169,33.397,3.957,2.422,53.215,241.529,396.139,275.094,370.519,42.025,0.407,0
1971,7.62,10.107,4.619,33.463,77.9,308.725,256.812,392.172,165.1,115.439,0.379,0
1972,13.161,29.871,4.777,12.687,11.531,41.046,178.864,307.29,191.175,162.671,12.694,0
1973,23.161,8.592,3.639,3.826,17.547,123.564,358.879,437.714,238.357,131.237,2.065,0
1974,8.988,2.561,1.499,3.943,14.53,122.565,455.601,215.509,175.464,24.032,0.673,2.298
1975,30.515,9.683,13.621,7.777,15.039,210.819,404.959,307.93,276.926,40.29,0,0
1976,23.643,11.219,1.599,14.743,20.854,93.108,212.727,180.532,369.275,2.498,0.564,0
1977,12.58,11.116,1.325,25.924,47.303,142.042,374.686,198.908,134.321,76.348,5.033,12.013
1978,16.682,32.515,16.697,16.014,7.733,153.182,206.703,272.837,261.749,82.882,0.98,4.955
1979,15.952,9.466,2.079,13.515,6.847,124.43,395.792,229.479,80.483,10.535,32.028,7.23
1980,0.889,4.855,9.253,3.54,12.463,321.753,542.764,482.158,185.751,10.668,0.107,7.993
1981,22.797,4.018,9.187,8.689,27.369,149.158,441.7,426.425,258.363,2.548,17.183,2.64
1982,38.302,12.289,27.874,9.589,65.083,140.175,220.54,377.954,389.332,15.508,15.67,4.068
1983,12.604,3.583,5.991,27.768,72.234,145.441,373.796,229.906,210.503,92.083,0,5.282
1984,25.563,20.569,1.582,17.58,6.81,160.685,258.411,293.034,288.391,37.093,0.253,2.399
1985,17.175,2.166,0.817,16.095,15.048,103.245,305.691,247.711,325.282,146.553,0.341,12.607
1986,6.445,16.209,4.469,10.784,82.915,129.393,374.018,335.947,297.063,14.474,0.48,17.723
1987,11.225,11.988,7.121,12.396,35.804,109.931,295.654,304.631,196.359,136.229,0,3.495
1988,8.874,10.024,15.141,5.651,33.906,223.553,335.125,333.967,122.813,22.604,2.324,26.453
1989,12.442,11.814,5.546,6.459,56.757,142.319,350.072,211.812,191.268,29.041,2.293,2.049
1990,0.152,12.037,4.751,13.295,38.902,79.832,348.989,215.215,255.899,20.212,0.038,2.202
1991,14.253,6.504,8.56,14.955,26.5,40.318,93.648,260.538,138.07,2.005,1.512,13.291
1992,17.829,5.106,1.378,6.559,32.394,53.984,223.129,175.75,164.86,60.922,6.653,0
1993,11.566,0.33,7.927,9.042,42.957,54.462,140.718,225.048,312.356,34.598,0,0
1994,56.228,17.644,16.29,16.51,13.01,52.04,288.358,276.613,146.666,23.337,1.612,0
1995,26.578,16.955,12.997,12.505,17.996,39.661,194.574,358.624,216.056,4.433,17.863,9.236
1996,25.914,13.816,2.151,6.095,13.641,77.059,197.367,327.672,154.894,112.432,0,0
1997,13.011,2.529,4.039,15.336,69.439,173.208,172.307,272.403,228.789,38.381,13.392,10.617
1998,0.659,5.569,9.521,13.516,78.164,33.009,231.311,345.6,154.646,29.084,6.78,0
1999,28.222,19.77,1.093,0.04,37.163,73.272,248.481,231.262,181.859,35.736,0.609,1.462
2000,12.828,13.997,5.65,11.693,16.616,140.478,150.486,163.254,218.636,0.555,0,0.637
2001,2.829,2.56,12.153,14.107,20.901,116.255,282.166,247.001,60.401,89.249,0,1.028
2002,14.61,12.505,6.812,9.882,13.018,43.792,188.869,270.967,210.491,115.949,8.103,0.757
