Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,14.19,12.185,20.663,6.62,2.888,135.49,174.521,393.508,159.029,12.371,8.754,0
1952,3.336,13.151,22.37,1.532,8.195,141.352,194.145,347.076,85.429,0.913,3.566,1.353
1953,22.759,17.545,0.307,3.452,0.781,129.653,363.012,296.435,131.083,0.844,0,7.789
1954,18.962,17.344,3.931,0.187,0.5,63.042,275.13,288.848,181.389,41.407,0,0.376
1955,36.862,16.207,2.678,2.628,2.653,89.105,416.053,269.387,126.713,131.592,0,1.466
1956,25.628,14.155,9.087,0.423,7.218,163.416,245.783,290.885,234.798,145.548,27.911,9.681
1957,19.201,0.656,25.839,3.062,2.49,74.3,247.958,310.513,163.63,7.351,1.516,10.352
1958,18.51,4.397,26.041,2.044,0.437,48.558,215.167,319.726,128.897,70.275,0.934,8.568
1959,38.367,5.528,1.254,1.351,29.974,14.745,227.953,324.995,69.642,152.095,5.171,0
1960,14.146,0,8.288,2.226,1.634,47.736,380.076,444.092,98.053,81.848,0,0.915
1961,29.524,12.353,0,1.312,4.301,66.331,269.446,428.131,164.636,86.781,1.49,9.095
1962,20.269,9.044,6.675,12.386,4.571,49.667,288.423,309.211,298.841,0.601,2.123,6.923
1963,16.887,7.232,11.367,9.021,14.769,84.986,437.154,360.135,210.301,9.114,6.038,5.785
1964,1.758,4.472,3.512,3.766,9.363,42.887,345.806,230.46,212.904,10.649,0,3.273
1965,3.742,5.249,16.456,17.754,3.113,13.014,188.748,181.78,104.728,33.831,0.373,4.274
1966,3.069,8.55,0.294,0,3.767,229.445,166.274,219.672,49.472,10.582,26.672,13.218
1967,1.463,0.751,23.883,4.275,0.598,45.072,259.163,540.139,178.484,2.777,1.039,43.367
1968,27.535,7.35,3.973,1.337,0.46,76.944,178.869,116.348,59.851,21.845,0,7.485
1969,7.213,3.896,1.287,2.631,23.928,27.258,440.376,226.862,209.128,1.665,5.835,0
1970,30.749,35.459,0.708,0.094,34.893,95.223,259.422,241.373,468.615,51.641,0.007,0
1971,12.988,9.733,3.604,20.765,38.643,195.046,226.083,417.121,217.935,128.357,4.15,0
1972,18.756,24.305,0.918,2.84,0.567,17.319,164.585,268.052,192.764,100.66,10.369,0.586
1973,9.753,3.1,2.005,0.078,2.996,60.687,342.289,446.425,131.322,105.585,0.081,0
1974,3,1.531,0.558,0.364,4.194,47.998,318.051,199.558,50.042,11.556,0.329,5.105
1975,14.089,6.661,13.072,4.32,1.051,150.728,277.674,229.122,159.798,39.196,0,0
1976,21.903,6.081,0.932,5.212,5.585,32.304,190.502,229.249,238.277,2.496,1.253,0.163
1977,20.673,11.55,0.206,7.2,7.983,94.737,348.295,193.781,114.622,73.149,0.673,11.552
1978,20.234,34.18,21.869,2.104,0.673,139.844,130.344,259.767,249.045,16.875,1.459,6.636
1979,21.738,9.137,2.237,4.009,5.208,109.432,197.563,148.078,44.941,0.639,32.205,3.26
1980,1.268,3.906,4.494,0.662,0.839,164.16,498.978,556.949,227.802,22.095,0.503,22.585
1981,16.928,2.156,7.651,0.4,8.927,124.747,417.27,359.588,118.777,0.385,10.959,3.496
1982,49.774,7.639,24.856,4.863,25.77,66.787,189.098,394.073,306.854,8.291,17.927,10
1983,15.014,1.513,1.88,17.39,28.252,90.85,227.405,163.641,205.37,55.422,0,4.62
1984,25.146,27.633,0.553,10.629,0.794,123.435,163.771,192.411,137.165,24.354,0,1.791
1985,13.288,0.297,0.234,10.941,4.033,60.622,238.389,264.952,203.392,108.856,0,10.864
1986,13.218,22.481,1.377,2.84,45.242,44.008,243.644,316.102,172.08,18.182,2.733,35.292
1987,16.318,10.25,8.289,0.805,11.345,2.135,77.723,173.997,27.425,78.699,0,6.869
1988,8.967,4.916,11.47,2.886,8.407,121.403,283.539,304.195,87.165,12.143,0.401,27.189
1989,10.526,1.86,5.426,0.799,3.322,91.411,300.547,147.799,149.36,23.216,7.154,22.378
1990,0.12,16.827,3.919,8.882,16.945,124.131,333.94,289.777,192.165,8.422,3.389,12.3
1991,8.256,9.229,5.404,8.827,16.834,31.955,52.446,64.993,100.273,0.38,1.212,34.022
1992,25.852,7.339,1.417,2.345,11.908,32.14,111.094,183.942,147.21,64.49,15.507,0
1993,10.565,0.027,9.542,2.561,17.407,62.664,198.424,169.726,285.114,24.852,0,0
1994,42.278,12.91,18.956,6.76,3.631,121.582,300.379,292.075,136.983,4.963,0.02,0.154
1995,26.24,16.827,8.463,8.215,1.277,27.237,210.136,288.307,174.01,0.385,16.148,24.212
1996,35.424,15.251,1.084,1.785,3.45,163.68,208.502,295.354,134.453,82.317,0,0
1997,11.467,0.818,3.074,7.038,12.521,108.381,42.586,206.499,179.606,29.714,13.746,23.906
1998,1.916,3.232,13.929,8.757,24.342,69.53,297.845,394.716,137.006,16.1,1.604,0
1999,30.927,24.552,0,0,14.633,32.111,311.821,163.565,202.347,43.433,0,3.207
2000,12.427,9.249,0.936,1.058,11.208,64.157,198.457,185.266,223.8,0.38,0,0
2001,3.987,2.66,5.215,7.774,11.248,97.278,186.197,168.035,86.39,60.728,3.184,0.631
2002,20.585,15.14,4.216,1.642,0.787,27.354,98.29,227.646,197.192,72.494,4.789,4.738
