Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,7.278,4.399,23.006,26.534,14.837,141.553,469.743,409.727,202.5,26.483,15.167,0
1952,2.581,11.754,15.88,6.233,24.7,395.932,268.173,301.321,167.018,22.082,3.254,0
1953,49.665,3.831,1.686,8.421,8.487,217.658,525.72,325.288,212.65,8.174,0,1.166
1954,15.829,16.316,6.819,5.688,16.422,138.726,422.436,317.39,229.099,27.783,0,0.266
1955,13.105,11.344,3.277,12.452,8.56,210.286,691.545,215.678,168.634,125.526,0,3.531
1956,17.288,4.059,9.058,14.223,11.64,287.773,221.592,300.8,298.574,146.124,20.556,12.051
1957,10.013,1.458,28.228,4.022,5.293,182.434,393.309,294.458,125.857,3.717,1.323,11.769
1958,21.376,3.762,32.295,9.663,2.944,250.456,260.774,309.657,146.619,50.001,0.884,4.67
1959,66.028,2.939,0.856,1.737,68.946,143.058,277.494,366.625,306.816,161.799,4.583,0
1960,6.045,0,10.033,3.39,2.784,111.955,343.367,434.603,190.732,65.877,0,0.467
1961,16.969,21.778,0,1.553,10.432,199.968,350.7,371.037,241.761,73.837,3.753,4.794
1962,23.105,10.136,8.469,31.877,9.383,161.335,307.689,355.624,380.737,0.542,1.97,7.804
1963,7.906,2.13,32.883,14.973,53.204,201.697,446.218,347.298,207.186,48.776,10.838,2.157
1964,1.62,1.329,3.097,8.111,17.711,110.785,521.361,321.052,196.367,10.536,0,2.52
1965,2.048,5.073,15.633,39.48,8.162,62.593,360.676,190.727,97.611,34.029,2.58,0.502
1966,17.273,19.103,0.219,0.094,4.987,104.711,218.886,205.519,67.645,4.411,15.601,8.219
1967,0.992,0.614,23.891,11.416,12.572,77.628,304.557,494.791,194.423,5.98,2.14,22.952
1968,21.656,5.523,3.826,6.882,8.787,136.973,332.067,222.411,103.706,82.897,0.3,4.492
1969,15.505,3.48,2.772,11.293,58.286,78.571,583.829,255.43,188.317,3.419,6.378,0
1970,19.365,38.418,3.684,2.747,70.472,267.77,390.113,277.236,397.749,44.587,0.458,0
1971,7.951,9.364,5.956,38.44,89.563,299.735,282.347,376.076,191.731,123.59,0.827,0
1972,14.371,24.008,5.888,9.516,13.817,59.684,229.515,293.47,219.976,154.949,10.944,0
1973,10.815,11.214,4.699,4.839,21.555,122.061,343.388,461.214,236.345,124.745,1.698,0
1974,10.134,3.303,1.963,4.521,15.92,106.304,428.95,214.677,177.872,11.842,0.716,2.888
1975,19.095,11.395,15.657,9.963,15.439,278.755,483.946,334.246,276.193,37.323,0,0
1976,28.377,6.985,2.105,13.225,26.206,82.625,226.488,188.723,345.886,2.927,0.528,0
1977,15.985,13.091,1.644,23.359,30.51,193.074,435.29,181.159,116.562,80.431,5.699,11.449
1978,17.035,31.804,21.751,10.148,8.806,184.182,193.253,266.732,247.136,78.566,1.089,5.02
1979,14.336,9.984,2.985,14.232,9.85,149.224,362.662,234.105,75.011,9.614,22.825,7.009
1980,0.919,6.921,10.457,4.858,9.766,393.745,639.196,525.189,223.99,11.201,0.177,12.381
1981,26.181,3.685,9.005,8.808,28.646,194.952,494.664,464.175,266.369,3.158,16.819,3.244
1982,42.52,12.357,32.35,9.68,79.87,164.845,238.494,432.921,395.569,12.852,12.727,5.974
1983,11.375,4.822,8.706,33.391,83.203,169.819,369.912,246.137,251.703,93.942,0,6.106
1984,25.16,21.652,1.515,18.72,7.464,165.884,268.669,321.32,227.785,37.448,0.164,4.158
1985,16.384,2.048,1.014,20.468,17.953,110.306,309.768,240.322,356.119,162.177,0.4,15.516
1986,7.566,18.999,5.493,11.287,110.197,139.091,398.28,333.895,319.545,17.256,0.802,25.525
1987,14.486,13.239,9.133,13.97,43.202,61.933,310.84,265.59,121.272,142.506,0,4.81
1988,9.387,8.97,16.512,6.017,37.196,281.293,379.573,361.164,123.423,19.228,2.667,39.363
1989,15.334,10.969,6.867,7.474,58.004,165.503,375.735,195.411,203.607,24.025,2.315,1.383
1990,0.247,13.334,4.963,16.95,36.026,90.425,445.552,218.89,268.072,12.542,0.386,4.522
1991,13.27,8.603,7.236,17.222,37.441,56.589,92.714,189.731,134.435,0.83,1.715,20.289
1992,18.447,5.957,1.816,5.693,42.079,82.348,239.654,190.053,182.167,60.105,6.901,0
1993,12.59,1.029,10.029,10.872,51.051,66.78,191.679,229.803,334.505,27.034,0,0
1994,51.434,19.349,17.531,17.771,15.394,62.5,338.016,273.523,173.091,5.523,1.815,0
1995,31.978,17.248,16.232,16.158,17.913,55.058,209.735,376.807,224.383,3.115,16.054,14.452
1996,26.662,15.448,2.8,7.24,15.126,90,219.275,326.631,150.598,104.048,0,0
1997,12.848,2.843,5.444,20.027,75.487,195.26,176.807,254.493,252.055,39.985,9.781,13.327
1998,1.588,5.271,13.266,15.998,87.756,36.447,264.977,362.55,154.996,25.507,3.426,0
1999,30.481,25.285,1.25,0.094,41.503,68.384,254.539,219.018,196.743,37.961,0.501,2.376
2000,13.327,15.34,6.817,11.937,21.823,159.59,169.737,178.597,214.982,0.542,0,0.809
2001,4.017,2.996,12.773,16.052,27.938,167.317,307.687,230.524,63.843,86.276,0,1.521
2002,15.167,14.284,9.101,11.052,14.164,50.591,202.019,263.277,235.049,116.507,6.008,0.998
