Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,9.503,8.575,24.414,11.77,4.362,127.97,349.725,354.106,182.572,25.662,18.276,0
1952,0.717,14.845,17.701,1.867,8.279,229.38,220.02,261.322,164.759,19.589,0.864,0.156
1953,41.247,15.077,0.59,3.129,1.984,155.106,394.456,345.952,196.569,3.548,0,2.157
1954,14.423,13.206,4.329,1.217,4.929,90.569,296.944,284.957,211.232,18.507,0,0
1955,23.51,20.295,1.899,2.747,1.861,116.085,562.822,175.111,115.273,94.667,0.039,1.503
1956,25.875,12.337,8.041,3.335,11.259,211.866,198.725,326.366,324.968,94.807,79.627,5.911
1957,21.604,1.547,25.807,0.976,1.171,105.05,325.399,289.294,106.671,0.4,0.356,2.261
1958,24.569,4.781,29.735,3.898,0.592,112.415,225.418,264.713,145.768,47.064,0.226,1.141
1959,69.837,3.184,0,0,30.609,60.045,186.661,345.063,198.764,147.719,1.2,0
1960,6.699,0.039,11.816,1.689,0.629,62.392,362.497,443.93,133.704,38.364,0,0
1961,19.944,21.704,0,0,3.489,105.451,267.164,371.253,211.216,54.962,7.471,2.944
1962,20.216,11.163,6.234,12.076,2.63,64.514,283.841,307.537,323.531,3.536,0.507,3.5
1963,12.89,5.642,22.419,5.982,25.91,110.512,475.463,348.503,169.214,32.302,17.012,1.032
1964,0.241,3.776,3.095,4.652,6.914,71.257,377.196,334.982,188.05,18.055,3.429,0.13
1965,1.692,0.954,15.798,18.289,3.232,27.906,269.612,158.681,121.279,30.294,4.859,1.437
1966,15.573,16.207,0,0,0.068,172.473,150.265,158.674,45.867,1.52,68.914,6.14
1967,2.33,0.08,25.036,4.153,4.666,36.224,301.607,489.711,185.047,5.114,0.582,12.039
1968,27.338,4.604,2.58,1.346,1.93,109.976,249.191,218.405,69.757,42.487,0.041,4.586
1969,5.298,12.293,1.171,3.502,29.025,93.324,443.922,249.418,159.167,2.12,23.724,0
1970,21.646,37.281,4.164,0.598,29.306,148.712,368.851,244.228,431.645,35.886,0.151,0
1971,11.746,12.623,3.802,17.161,45.131,265.092,234.347,422.031,155.639,90.069,0.13,0
1972,16.222,44.189,2.819,6.686,3.02,11.727,124.563,303.817,148.857,127.04,28.245,0.039
1973,36.173,3.385,2.132,0.65,4.806,82.929,392.877,403.839,200.852,106.528,2.877,0
1974,5.573,1.468,0.836,0.928,6.48,92.982,464.335,207.002,122.941,27.568,1.219,1.456
1975,40.552,7.713,16.348,3.092,5.69,125.47,303.392,224.391,219.979,38.792,0.149,0
1976,20.744,14.819,0.862,7.36,7.336,64.5,210.249,159.812,372.786,1.035,1.598,0
1977,12.42,11.845,0.762,12.387,31.186,80.724,339.044,217.758,151.261,63.771,6.961,10.147
1978,20.814,46.358,17.931,9.413,2.383,132.729,195.319,263.339,291.829,47.304,0.905,5.275
1979,22.636,9.842,1.171,6.438,1.916,102.272,366.623,180.7,89.084,5.663,87.111,5.522
1980,2.46,2.615,7.785,0.403,6.569,185.307,448.385,450.279,152.85,10.533,0.199,5.942
1981,17.272,4.379,11.421,2.74,12.607,95.232,400.476,351.402,195.796,0.639,22.383,2.578
1982,43.604,12.827,33.086,4.493,30.081,87.423,203.424,295.966,380.513,11.803,42.246,2.883
1983,14.952,1.178,2.023,11.475,35.81,94.602,343.03,173.131,143.706,61.369,0,3.715
1984,31.212,26.946,1.649,8.886,2.585,140.941,223.879,207.58,312.395,28.008,0.3,0.362
1985,19.902,1.874,0.453,7.122,4.776,71.763,291.826,254.222,241.382,88.213,0.13,6.911
1986,9.924,20.992,2.764,3.628,40.73,79.628,303.064,333.579,220.903,8.531,0.942,11.372
1987,10.348,11.866,8.18,3.044,12.905,90.627,205.412,294.943,225.307,90.182,2.068,2.06
1988,9.633,10.778,17.76,2.013,17.067,133.291,270.019,265.88,108.546,20.047,0.789,12.428
1989,7.028,9.732,5.484,1.746,21.588,100.437,324.248,193.36,159.936,30.584,12.434,9.941
1990,0.09,16.315,5.507,5.987,25.244,125.903,278.89,237.116,225.262,19.69,0,1.121
1991,14.54,6.257,12.267,6.909,9.962,63.657,108.793,254.706,133.28,2.384,0.727,11.005
1992,23.027,5.582,0.762,3.258,12.531,17.925,155.978,140.195,143.553,57.165,15.925,0
1993,10.101,0.039,8.47,2.286,20.808,34.26,90.399,184.738,278.608,37.757,0.199,0
1994,58.639,17.671,22.156,7.137,4.257,120.553,258.857,284.056,119.508,33.676,0.562,0
1995,21.746,20.04,15.934,5.072,7.438,23.271,198.227,283.326,184.998,3.488,33.466,6.871
1996,33.466,15.098,1.588,1.692,4.515,113.821,195.727,310.035,133.78,96.991,0,0
1997,14.133,1.595,2.822,6.315,34.855,104.187,162.971,264.387,186.867,24.887,32.901,9.024
1998,0.156,5.871,8.926,5.988,39.183,11.069,195.004,280.805,135.611,33.281,17.143,0
1999,33.149,23.375,0.345,0,15.703,43.384,224.275,210.508,136.109,24.032,0.345,0.74
2000,11.261,16.565,2.265,5.045,7.169,94.915,115.368,136.829,200.331,0.4,0,0.102
2001,2.825,1.812,16.518,6.05,7.713,72.422,231.253,232.098,39.962,70.957,0,0.342
2002,20.019,13.231,6.602,3.48,4.232,22.706,139.019,256.655,191.936,89.681,19.32,0.141
