Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,16.622,15.54,32.159,8.357,1.465,166.336,234.395,465.628,161.129,7.098,7.063,0
1952,1.464,17.125,32.963,0.581,5.804,174.994,223.627,348.188,119.816,2.818,1.404,0.262
1953,25.944,27.164,0.105,3.267,0.433,162.812,378.845,340.122,174.847,1.1,0,6.507
1954,19.543,15.307,5.493,0.38,0.893,79.431,281.323,317.079,214.688,15.612,0,0.022
1955,46.27,25.705,2.647,1.198,2.035,98.987,508.565,260.265,116.828,102.746,0,1.366
1956,37.232,20.567,12.594,0.951,1.525,209.967,248.51,348.716,317.797,107.996,82.395,7.242
1957,15.423,1.015,40.672,1.701,1.001,87.724,281.497,367.984,120.936,0.88,0.651,2.653
1958,25.931,5.211,43.321,1.462,0.105,53.177,220.493,306.489,115.411,29.253,0.358,3.479
1959,60.026,5.717,0.203,0.094,32.83,15.776,194.944,395.878,81.305,152.434,2.083,0
1960,14.508,0,10.95,1.611,0.874,51.753,448.154,526.756,90.553,45.827,0,0.093
1961,30.709,12.256,0,0.112,3.097,69.362,278.552,462.357,198.063,58.174,4.793,4.424
1962,21.386,11.564,8.09,15.691,3.03,36.27,324.939,343.451,334.836,0.419,0.815,4.702
1963,22.098,9.947,15.746,9.454,15.719,92.52,557.198,395.14,185.8,6.904,7.3,3.116
1964,0.378,6.125,3.865,4.513,6.156,52.372,350.097,292.747,216.222,12.617,0,0.391
1965,3.102,1.776,25.484,21.62,2.401,12.71,208.064,174.901,132.246,31.074,1.155,3.707
1966,4.833,10.48,0,0,0.527,284.715,130.32,152.658,28.287,2.428,70.341,11.029
1967,1.941,0.06,33.831,5.238,0.813,40.8,284.607,593.645,223.348,1.644,0.718,32.939
1968,27.257,6.939,4.99,0.499,0.452,71.862,196.141,120.183,54.531,21.313,0.01,6.229
1969,4.818,5.322,0.492,0.989,27.91,28.414,539.225,213.069,134.615,0.491,16.677,0
1970,38.501,55.396,0.821,0.201,36.89,105.356,322.756,245.502,641.544,39.667,0.134,0
1971,14.378,12.429,4.282,25.755,43.289,232.242,198.473,472.587,213.467,95.694,0.805,0
1972,27.352,35.371,0.955,1.71,0.707,5.823,117.637,302.174,164.028,107.703,27.393,0.05
1973,11.854,1.998,0.866,0.312,1.267,30.597,444.613,515.539,153.936,86.822,0.694,0
1974,2.197,0.599,0.338,0.338,3.54,51.033,398.305,228.167,71.892,7.37,0.974,0.669
1975,11.284,7.215,20.176,5.161,0.992,175.676,312.787,237.667,144.632,38.036,0,0
1976,34.685,2.747,0.375,4.48,5.69,24.401,207.965,143.465,335.449,0.473,2.841,0
1977,25.107,18.148,0.263,7.316,4.252,104.22,395.778,214.509,117.864,77.935,2.449,8.497
1978,30.682,53.719,21.733,2.519,0.49,162.624,137.006,258.069,292.908,19.352,0.563,4.634
1979,29.1,8.386,0.608,4.619,0.846,137.889,243.596,159.108,67.48,1.129,80.533,2.213
1980,0.323,3.326,3.316,0.309,0.883,187.381,526.3,641.055,208.192,9.726,0.093,17.958
1981,18.694,1.646,6.694,0.665,5.764,140.242,446.507,471.386,151.522,0.353,24.477,3.38
1982,70.684,10.218,34.112,3.539,28.267,87.697,210.97,399.861,427.555,4.277,48.6,6.339
1983,9.104,0.837,1.244,14.997,30.07,86.563,264.102,182.094,150.216,51.385,0,2.815
1984,37.898,31.009,0.346,10.748,1.046,131.013,183.013,221.532,199.073,27.527,0,0.507
1985,21.117,0.426,0.129,12.313,1.23,54.441,251.967,271.374,239.083,92.416,0.016,3.633
1986,18.946,31.177,0.993,1,50.335,47.853,228.802,389.304,197.837,10.038,0.578,21.002
1987,21.116,12.089,13.431,0.926,7.134,11.638,114.439,189.626,33.09,87.891,0,4.614
1988,12.547,3.76,18.36,0.721,9.517,146.314,259.084,301.962,89.534,13.999,0.797,22.778
1989,4.569,2.437,6.755,1.151,3.688,93.176,352.287,131.25,151.553,25.048,16.131,21.696
1990,0.189,18.285,3.289,10.714,16.407,172.11,341.214,308.403,239.755,3.412,0.583,3.653
1991,12.019,10.342,7.262,9.027,10.527,72.769,98.239,46.655,122.754,0.393,0.699,27.837
1992,32.511,7.361,0.5,1.712,12.61,22.464,111.011,168.066,181.1,64.212,24.342,0
1993,10.335,0.303,11.001,1.601,18.3,30.652,137.914,173.384,286.69,30.614,0.051,0
1994,54.741,21.001,28.418,7.099,1.045,170.176,315.67,321.404,176.36,7.549,0.482,0
1995,32.758,21.853,10.921,8.868,1.758,28.278,222.523,280.403,157.684,0.528,33.199,19.885
1996,44.706,19.009,0.712,1.205,1.599,182.811,222.339,326.583,121.316,87.05,0,0
1997,14.386,0.545,3.099,9.699,14.627,111.051,59.41,220.073,237.531,20.239,24.275,18.002
1998,0.401,1.441,14.369,7.546,29.779,78.664,308.933,398.552,166.189,9.344,2.084,0
1999,46.913,38.077,0,0,15.49,11.226,379.156,202.633,208.182,33.011,0,1.41
2000,11.766,9.68,0.506,1.56,9.33,85.799,207.812,169.334,278.573,0.316,0,0
2001,3.937,2.253,10.508,6.94,6.194,112.78,221.012,217.165,95.532,69.542,7.723,0.212
2002,25.257,16.687,3.019,1.211,0.828,27.995,109.39,267.256,186.77,83.04,13.91,3.371
