Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,16.207,13.558,25.34,6.863,1.209,155.452,192.433,453.285,161.394,7.839,9.156,0
1952,2.247,14.701,27.069,1.028,4.807,150.349,213.942,386.11,94.167,0.601,2.998,2.547
1953,23.035,22.011,0.138,3.274,0.285,144.269,370.281,323.983,147.051,0.869,0,8.401
1954,19.579,16.379,4.435,0.162,0.194,68.572,280.936,316.689,197.088,29.024,0,0.13
1955,44.825,19.968,2.448,1.43,1.787,96.298,462.58,294.94,122.322,119.985,0,1.411
1956,31.752,17.065,10.65,0.34,2.6,187.335,268.983,335.332,266.785,129.088,53.214,9.7
1957,17.548,0.734,31.37,2.471,1.357,77.691,275.389,357.043,145.72,4.247,1.543,5.859
1958,21.55,4.679,31.682,1.47,0.138,41.315,234.392,330.302,127.328,46.722,0.789,6.319
1959,46.168,5.431,0.615,0.71,25.073,10.636,217.231,377.237,57.441,152.939,4.715,0
1960,14.603,0,9.618,1.848,1.211,47.533,434.166,519.967,87.067,64.836,0,0.912
1961,32.212,11.416,0,0.746,2.706,64.811,276.766,483.601,172.654,71.814,2.869,6.986
1962,21.278,9.46,6.903,14.012,2.788,37.677,319.397,339.941,310.299,0.365,1.799,6.015
1963,20.839,8.423,11.312,9.408,11.227,85.526,512.86,396.474,206.719,5.076,6.644,5.462
1964,0.951,5.185,3.34,4.094,5.917,44.962,356.275,273.013,223.105,11.765,0,1.783
1965,3.445,3.405,19.367,19.873,2.008,10.757,201.875,184.665,122.135,34.648,0.32,4.724
1966,2.329,8.015,0.116,0,2.161,271.087,148.329,197.472,34.889,5.772,49.787,13.75
1967,1.744,0.359,26.939,4.749,0.284,43.146,279.698,606.422,202.125,1.793,0.879,44.772
1968,28.203,6.871,4.307,0.723,0.162,70.486,189.167,115.042,53.68,20.268,0,7.642
1969,5.261,4.345,0.639,1.412,20.369,23.087,506.662,225.487,165.153,0.795,10.564,0
1970,36.759,44.011,0.47,0.024,28.348,96.88,290.09,258.989,561.581,44.896,0.016,0
1971,14.694,10.568,3.431,23.734,31.533,216.66,218.368,465.47,215.365,111.262,3.592,0
1972,23.454,27.913,0.483,1.892,0.25,10.617,138.095,298.877,174.461,102.648,18.316,0.611
1973,9.47,2.307,1.022,0.039,1.126,39.236,409.893,509.198,137.793,95.911,0.049,0
1974,1.735,0.835,0.311,0.212,2.848,45.138,356.849,221.893,51.187,12.48,0.634,2.352
1975,9.85,6.123,15.029,4.804,0.423,166.103,303.763,236.386,143.151,39.904,0,0
1976,27.922,3.347,0.521,4.537,4.077,30.527,205.499,193.351,276.731,1.166,3.19,0
1977,24.394,14.053,0.024,7.104,3.379,97.73,391.148,215.809,121.147,79.012,0.961,10.258
1978,25.488,41.786,20.8,1.877,0.227,158.121,136.765,266.35,269.851,14.759,1.233,6.545
1979,25.622,9.655,1.173,3.86,2.334,125.562,214.828,151.167,50.264,0.391,55.786,2.634
1980,0.701,3.368,3.656,0.384,0.421,171.437,519.232,633.976,210.643,15.774,0.563,25.1
1981,16.845,1.498,6.974,0.243,5.515,145.069,445.675,434.143,124.825,0.314,17.13,3.613
1982,61.495,8.104,26.293,4.109,20.812,75.535,204.441,420.908,356.903,5.272,35.089,9.479
1983,11.893,1.028,0.97,16.888,22.651,88.428,237.639,188.458,171.434,52.373,0,3.714
1984,30.991,27.499,0.303,11.711,0.652,128.453,173.496,214.373,159.238,25.949,0,0.849
1985,16.75,0.155,0.252,12.068,1.509,55.948,260.918,283.62,213.287,102.655,0,7.081
1986,17.136,26.205,1.065,1.555,37.489,46.254,230.365,367.192,172.901,15.727,2.251,31.026
1987,19.987,10.353,10.107,0.497,7.189,1.83,86.789,179.117,16.01,82.444,0,6.786
1988,10.788,3.45,13.738,1.981,6.201,134.3,275.476,314.162,83.87,12.695,0.321,26.746
1989,7.045,1.137,5.961,0.823,1.384,89.012,334.695,144.562,145.176,23.884,12.022,26.09
1990,0.2,17.283,3.031,9.991,12.757,156.968,348.316,321.464,220.038,4.451,2.799,8.318
1991,9.311,9.887,5.519,8.957,10.511,55.32,76.258,47.608,110.984,0.307,1.716,36.896
1992,30.056,7.22,1.325,1.857,9.489,26.157,106.695,187.469,164.532,68.361,22.3,0
1993,10.19,0.216,9.629,1.949,13.638,49.021,177.341,174.885,278.631,27.94,0,0
1994,46.449,16.179,22.027,6.887,1.466,153.273,333.196,322.452,154.08,5.453,0.042,0
1995,30.444,17.875,7.268,8.893,0.788,29.427,223.237,292.842,160.235,0.314,24.372,25.124
1996,40.11,15.976,0.603,1.331,1.976,186.529,224.138,324.602,136.569,86.407,0,0
1997,12.438,0.464,2.747,8.427,8.785,111.953,33.071,218.302,210.338,25.907,20.839,24.297
1998,1.075,2.063,13.65,8.3,20.494,91.864,327.313,429.754,152.874,13.527,1.329,0
1999,39.066,29.861,0,0,12.006,26.98,385.477,197.03,220.623,42.557,0,2.37
2000,11.836,7.345,0.585,0.761,8.116,72.588,229.005,185.754,260.473,0.307,0,0
2001,4.255,2.557,5.978,7.611,6.682,109.338,204.616,205.954,101.014,66.602,6.49,0.303
2002,23.495,15.177,2.241,0.909,0.613,30.271,100.393,258.835,184.444,78.063,8.742,5.642
