Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,13.072,12.71,18.634,8.448,8.496,129.57,176.678,356.425,181.885,20.991,11.689,0
1952,5.065,14.482,19.531,3.113,18.165,164.521,188.308,337.398,83.761,2.044,4.93,0.436
1953,28.371,13.821,0.69,4.786,2.332,132.587,392.15,295.47,122.267,0.798,0,5.153
1954,20.703,24.906,4.561,0.583,1.779,68.308,301.67,284.128,181.091,63.274,0,0.587
1955,30.16,13.778,3.846,5.908,4.804,104.766,399.155,264.99,154,152.681,0,1.458
1956,19.905,12.332,9.485,1.243,20.31,161.269,243.265,261.127,210.439,175.919,14.299,8.9
1957,24.098,0.79,24.372,5.017,5.816,87.54,245.637,276.967,213.683,13.28,2.041,15.964
1958,16.857,5.162,23.996,3.891,1.264,77.864,218.775,343.441,155.722,111.489,1.292,10.573
1959,34.485,7.1,2.599,2.943,42.189,30.867,270.226,289.427,108.8,146.146,6.968,0
1960,14.627,0,9.277,3.396,3.106,60.1,335.938,392.271,132.648,113.136,0,1.002
1961,29.908,18.811,0,2.73,8.62,89.43,286.834,404.637,172.856,112.319,0.975,10.606
1962,22.466,10.869,8.436,12.446,9.462,84.642,272.937,303.613,320.611,1.196,2.922,7.256
1963,13.513,6.849,15.659,10.483,24.538,106.251,363.764,348.758,250.46,18.023,7.477,5.59
1964,3.066,4.221,4.782,4.037,18.826,50.059,377.781,204.845,229.191,8.326,0,5.102
1965,4.508,10.05,15.999,18.201,6.189,21.486,200.863,198.756,91.944,33.275,0.577,2.708
1966,5.289,12.476,0.612,0.107,9.05,200.398,212.399,281.567,78.804,18.666,15.52,9.989
1967,1.26,1.572,25.678,4.497,1.797,59.615,257.933,511.166,164.012,4.617,1.462,34.106
1968,30.689,10.249,4.593,2.949,1.492,106.038,191.772,139.012,79.446,28.595,0,5.84
1969,11.309,4.537,2.747,5.853,32.349,41.942,391.962,257.224,302.404,3.255,3.541,0
1970,26.654,31.381,1.473,0.366,50.566,120.856,242.502,251.988,368.088,62.073,0,0
1971,12.583,11.231,4.938,20.06,55.397,205.613,266.007,390.955,246.009,157.224,5.57,0
1972,14.357,25.225,2.029,5.632,1.851,35.036,220.966,258.022,246.669,96.297,6.681,0.623
1973,11.811,6.242,4.309,0.315,8.812,111.992,275.797,410.35,144.9,123.479,0.204,0
1974,5.524,3.32,1.188,0.824,8.254,64.272,291.588,189.976,59.62,13.159,0.217,8.331
1975,21.86,9.732,13.395,4.625,3.274,161.538,267.135,249.668,213.785,37.58,0,0
1976,16.674,12.628,1.95,7.887,10.024,49.248,189.528,306.929,208.194,4.838,0.588,0.282
1977,18.649,10.535,0.478,9.722,21.499,111.776,328.354,185.713,124.539,62.244,0.782,11.624
1978,15.266,30.439,30.412,3.19,2.112,142.374,140.023,279.292,246.275,23,2.016,6.032
1979,18.685,12.265,4.657,5.873,13.783,104.737,198.374,162.698,44.077,1.327,21.296,4.181
1980,2.144,6.248,7.987,1.467,2.373,194.236,518.877,506.929,277.134,33.244,0.644,15.867
1981,19.842,3.928,11.616,1.027,17.941,127.735,420.908,297.534,130.262,0.516,9.138,3.293
1982,39.995,9.546,29.529,7.717,38.75,68.774,186.749,407.286,261.715,13.782,9.717,9.389
1983,21.289,3.094,4.154,23.392,42.326,118.746,235.547,160.865,286.686,62.007,0,5.434
1984,20.089,35.156,1.18,11.829,1.36,143.262,170.582,193.19,123.698,21.295,0,3.104
1985,10.493,0.693,0.346,11.616,11.492,83.811,241.707,270.768,220.708,118.414,0,16.036
1986,9.464,22.578,2.713,6.269,63.827,56.528,292.648,276.87,196.885,24.132,3.743,36.5
1987,13.944,13.276,7.614,1.878,24.402,2.645,73.335,191.117,52.941,74.252,0,5.774
1988,7.741,9.038,11.373,5.691,15.15,132.166,329.816,328.755,104.085,9.67,0.624,24.446
1989,17.232,4.241,6.472,1.104,10.609,115.826,282.127,176.641,173.055,17.675,4.056,6.656
1990,0.091,21.106,6.515,8.91,27.809,89.916,351.559,270.234,181.254,15.613,4.57,16.32
1991,7.914,11.19,6.925,10.827,34.686,22.274,32.513,95.574,98.786,0.435,1.104,24.354
1992,23.617,9.747,2.403,4.024,18.72,51.41,138.412,201.857,137.65,57.851,13.2,0
1993,12.689,0.975,11.965,4.931,27.27,100.756,251.99,186.042,319.197,15.686,0,0
1994,36.576,11.628,19.809,8.409,10.187,76.336,294.279,271.741,125.514,3.849,0,0.273
1995,25.172,19.616,16.077,9.165,3.087,36.586,210.623,322.121,220.381,0.5,14.282,19.645
1996,32.817,18.192,2.333,3.235,6.839,159.877,207.22,290.763,141.726,74.839,0,0
1997,11.542,1.861,4.599,6.45,26.048,127.754,72.489,216.609,158.743,38.424,11.979,19.066
1998,3.517,6.505,19.173,11.65,34.678,40.628,274.319,380.244,122.954,18.855,2.192,0
1999,24.306,22.743,0,0,19.923,55.521,218.07,141.433,195.328,45.452,0,4.035
2000,13.26,17.228,1.987,2.519,18.943,67.24,167.752,205.14,181.281,0.435,0,0
2001,4.432,3.686,6.436,10.322,24.488,103.794,181.977,140.848,67.165,50.147,1.084,1.137
2002,19.158,19.471,9.237,3.82,1.871,28.804,106.204,210.674,248.351,63.421,2.886,2.188
