Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,12.757,12.272,22.065,8.886,3.129,134.157,252.96,429.235,167.204,10.456,10.552,0
1952,2.023,14.655,20.865,1.08,7.891,166.134,219.152,310.833,121.32,4.352,2.932,0
1953,27.625,19.776,0.35,3.374,0.955,139.343,392.22,329.484,169.407,1.309,0,5.157
1954,17.002,15.471,4.599,0.719,1.643,71.255,296.14,297.992,209.049,19.705,0,0.107
1955,33.251,20.167,2.329,2.46,2.109,93.049,506.206,229.591,127.215,113.421,0,1.539
1956,27.619,15.409,9.403,1.748,2.825,178.694,236.09,312.465,300.363,122.828,47.567,7.238
1957,12.559,1.003,29.972,1.938,1.45,82.458,283.209,328.646,131.034,2.32,1.195,4.864
1958,21.303,4.566,32.155,1.973,0.372,65.153,218.29,296.065,121.22,39.772,0.794,4
1959,51.566,5.08,0.504,0.51,32.365,25.962,211.531,359.832,118.648,158.007,4.123,0
1960,11.583,0,8.303,1.682,1.02,50.035,407.429,468.955,110.323,56.166,0,0.119
1961,24.728,13.566,0,0.46,3.621,71.938,283.421,416.281,201.485,67.243,3.548,4.602
1962,19.532,10.528,6.686,14.385,3.573,47.055,307.268,324.399,339.508,0.408,1.739,4.949
1963,16.068,7.586,14.49,8.704,16.654,89.216,502.709,362.069,194.388,12.987,8.446,2.883
1964,0.925,4.696,3.11,4.04,7.075,49.293,367.38,269.9,212.147,12.02,0.001,1.118
1965,2.783,3.205,18.599,19.483,2.704,16.069,221.447,171.998,120.331,32.235,1.441,2.874
1966,6.643,11.542,0.012,0,1.177,215.319,148.261,166.79,40.05,4.361,40.27,9.625
1967,1.48,0.362,25.33,4.917,1.383,39.938,273.596,537.867,211.524,2.433,1.445,28.898
1968,23.227,6.697,3.881,1.127,0.953,67.897,208.015,129.72,65.036,30.076,0.099,5.337
1969,7.45,3.969,0.974,1.963,27.221,26.863,518.157,212.246,160.49,1.07,10.318,0
1970,29.684,46.822,0.998,0.36,36.52,104.432,311.685,237.743,574.341,43.914,0.242,0
1971,11.378,10.785,3.823,22.72,42.589,196.022,211.493,422.955,214.665,108.367,1.878,0
1972,20.753,29.135,1.634,2.174,1.522,13.025,145.091,278.79,182.809,115.799,17.761,0.012
1973,8.648,4.127,1.589,0.603,2.816,40.213,395.325,471.534,163.542,96.789,0.878,0
1974,3.96,1.383,0.609,0.614,4.105,47.469,375.245,210.547,86.864,6.894,0.787,1.535
1975,11.143,7.908,15.159,4.812,1.767,158.401,322.084,245.533,170.203,38.806,0,0
1976,28.541,3.656,0.716,4.609,6.667,25.724,202.002,160.355,318.986,1.211,1.454,0
1977,20.302,15.556,0.46,7.312,5.357,98.893,384.498,192.87,113.926,79.549,3.393,8.064
1978,23.29,43.88,18.582,2.414,1.009,137.356,137.752,247.962,276.666,27.4,1.05,4.187
1979,21.884,8.214,1.187,5.167,2.057,115.129,242.992,164.597,70.689,2.147,48.724,2.596
1980,0.624,4.259,3.977,0.715,1.153,179.371,532.613,580.343,221.184,12.228,0.247,15.386
1981,18.648,2.054,5.853,1.129,6.817,122.002,439.132,432.724,166.769,0.713,19.088,3.22
1982,55.112,9.65,28.427,3.749,29.396,79.89,206.524,390.457,403.962,6.115,28.523,5.961
1983,9.576,1.833,2.491,14.878,30.738,83.434,266.69,180.763,183.163,59.455,0,3.156
1984,29.553,27.733,0.472,9.654,1.335,113.514,187.627,225.934,187.038,29.231,0.01,1.219
1985,16.622,0.725,0.26,11.221,2.683,53.044,247.61,249.305,256.409,105.433,0.148,5.655
1986,13.866,26.339,1.586,2.013,50.415,48.421,252.985,349.316,217.766,12.298,1.383,21.007
1987,17.135,11.748,9.89,1.744,9.509,9.2,130.939,188.586,40.067,97.543,0.001,3.901
1988,10.142,4.786,13.866,1.3,11.166,135.951,276.708,301.567,95.648,15.22,1.457,23.447
1989,7.677,3.852,5.441,1.403,6.562,87.746,337.951,136.946,164.129,26.658,9.924,17.526
1990,0.089,16.463,3.133,9.597,16.244,128.455,353.588,277.683,235.994,5.146,1.433,4.564
1991,10.703,9.542,5.598,8.566,12.777,47.802,82.832,58.988,120.243,0.416,0.799,24.191
1992,25.543,6.901,0.667,1.785,13.635,28.143,127.964,164.32,176.19,64.744,17.695,0
1993,10.018,0,9.091,2.183,19.044,34.192,157.865,175.057,305.512,30.739,0,0
1994,48.478,18.496,20.815,6.979,2.355,127.709,307.357,297.632,172.505,5.808,0.848,0.012
1995,28.792,19.39,11.933,8.242,2.516,23.761,213.176,287.409,173.734,0.696,24.41,17.961
1996,35.39,17.194,1.183,1.618,2.195,142.794,214.33,307.007,118.697,90.163,0,0
1997,12.198,1.132,3.04,9.15,19.741,101.535,96.731,211.871,231.849,24.68,15.663,15.714
1998,1.077,2.395,11.786,7.657,30.801,40.211,268.406,346.884,147.405,10.116,1.548,0
1999,37.613,33.18,0,0,14.081,14.719,288.655,182.395,182.778,32.699,0,1.706
2000,11.52,12.727,0.873,2.679,9.242,79.497,168.068,166.126,232.163,0.399,0,0
2001,3.866,2.19,9.986,6.832,8.036,103.07,223.512,195.198,70.122,71.976,2.654,0.422
2002,19.935,15.587,5.225,2.262,1.433,22.429,115.684,244.032,212.149,89.375,8.928,1.795
