Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,16.053,10.03,22.095,5.011,1.728,130.488,159.224,394.544,182.746,8.19,10.845,0
1952,2.43,13.47,21.502,2.105,5.327,123.836,194.478,418.188,71.02,0.331,2.354,10.05
1953,29.958,15.414,0.164,2.411,0.294,109.566,320.66,288.692,118.14,0.632,0,7.142
1954,20.31,19.82,4.548,0.001,0.063,51.487,268.341,290.023,184.763,45.142,0,0.194
1955,45.59,13.855,2.207,1.365,1.876,107.004,396.622,312.534,136.83,128.995,0,1.115
1956,25.646,12.472,11.582,0.003,3.784,156.642,291.452,292.296,205.991,141.641,27.744,12.146
1957,23.022,0.465,27.009,3.189,2.572,64.052,286.527,299.485,170.775,8.687,1.929,7.606
1958,17.827,4.431,23.361,1.211,0.195,31.826,263.208,327.903,167.017,56.437,0.614,7.424
1959,39.36,4.221,0.776,0.783,27.272,15.085,219.859,326.052,53.768,123.508,4.561,0
1960,12.852,0,12.537,1.515,2.85,39.567,374.895,486.816,90.4,81.432,0,3.058
1961,36.647,14.384,0,1.213,2.931,64.991,241.71,488.458,142.308,73.954,2.197,6.851
1962,25.343,6.945,6.959,9.46,2.844,36.307,287.482,308.93,284.945,0.393,1.385,5.319
1963,20.954,6.128,9.544,7.056,11.123,74.86,406.675,356.123,252.716,4.504,5.669,7.889
1964,1.198,3.74,2.803,2.855,7.628,33.966,359.511,258.932,250.117,9.115,0,3.195
1965,3.208,4.575,14.584,15.031,2.28,10.063,214.315,173.656,121.858,40.063,0.064,4.009
1966,1.664,6.403,0.164,0,6.922,224.292,153.1,240.849,36.349,6.764,32.826,11.594
1967,1.417,0.422,23.611,3.221,0.374,42.244,260.097,577.689,183.309,1.754,0.614,45.989
1968,33.025,6.033,4.22,0.68,0.093,63.759,192.798,124.226,54.611,26.339,0,6.515
1969,6.116,5.593,0.746,1.396,19.793,21.247,433.818,224.585,175.553,0.942,5.919,0
1970,37.628,36.038,0.907,0,28.244,94.348,235.517,276.671,451.588,39.284,0,0
1971,16.87,9.692,2.79,16.51,28.337,200.734,230.37,397.111,200.388,109.006,3.332,0
1972,19.282,23.24,0.422,1.7,0.094,16.687,130.44,280.75,176.156,80.925,10.118,2.05
1973,12.056,4.474,1.167,0,1.424,41.228,342.715,456.507,141.738,97.681,0,0.013
1974,1.684,0.812,0.322,0.094,3.721,36.882,279.357,189.97,38.941,33.208,0.301,3.137
1975,11.09,4.65,11.347,3.437,0.423,147.164,302.497,216.332,156.835,38.353,0,0
1976,21.161,4.003,0.731,3.684,3.899,55.312,189.073,226.151,222.987,1.491,4.92,0.062
1977,25.996,9.753,0.062,7.614,5.181,77.556,372.24,204.779,150.544,72.673,0.316,9.098
1978,19.852,30.942,22.756,1.685,0.262,149.758,146.965,244.574,247.549,10.952,0.969,8.638
1979,22.256,16.672,1.645,2.791,5.351,98.247,188.228,128.424,36.168,0.406,32.059,3.774
1980,0.877,3.485,6.594,0.435,0.749,145.361,438.821,543.467,178.31,20.264,0.819,29.997
1981,15.983,1.342,10.25,0.064,9.245,168.571,405.924,351.63,108.047,0.33,10.328,2.945
1982,53.557,6.709,23.754,4.052,20.566,59.354,179.297,412.504,269.596,5.361,25.633,11.348
1983,15.814,1.702,0.972,18.415,24.969,88.106,183.109,222.434,180.654,48.696,0,4.13
1984,24.27,21.082,0.322,15.126,0.814,118.242,159.029,210.895,141.715,20.025,0,0.959
1985,13.844,0.063,0.943,10.061,2.12,54.836,293.755,281.121,198.427,116.136,0,12.404
1986,16.184,22.077,2.244,1.525,35.762,57.522,213.58,297.068,148.139,26.797,1.871,34.694
1987,21.147,8.703,7.93,0.392,12.929,4.261,81.927,167.414,18.086,63.887,0,7.446
1988,9.674,3.295,12.455,4.568,5.74,120.238,275.027,300.558,77.326,10.283,0.064,22.029
1989,10.638,0.785,7.049,0.574,1.201,71.401,288.062,171.838,141.137,20.741,8.011,22.786
1990,0.199,17.311,2.814,6.951,14.176,134.21,321.394,310.779,230.287,5.051,2.353,11.068
1991,7.663,10.542,4.879,6.83,14.281,35.677,50.157,104.392,109.278,0.33,3.538,38.061
1992,28.619,7.281,3.679,2.121,10.258,26.945,97.484,194.112,152.678,70.83,17.681,0
1993,10.941,0.116,9.786,2.079,13.765,70.96,201.227,166.452,273.735,22.71,0,0
1994,42.454,13.997,18.199,5.872,2.509,129.167,361.169,301.311,121.021,4.251,0,0.061
1995,32.622,13.085,5.697,8.144,0.655,29.127,197.324,293.298,163.069,0.333,13.079,20.307
1996,34.42,11.933,0.728,1.214,5.054,180.633,204.984,301.264,200.693,77.906,0,0
1997,10.779,0.392,2.834,5.615,10.421,117.124,29.308,207.01,197.247,35.975,17.037,24.715
1998,1.134,3.379,14.713,7.992,18.877,95.973,285.603,391.404,122.532,29.17,1.114,0.005
1999,32.112,21.707,0,0,11.039,66.11,322.841,199.994,230.845,54.959,0,3.015
2000,12.943,6.024,0.909,0.794,8.67,55.026,221.055,179.27,215.042,0.33,0,0
2001,5.442,3.319,4.469,8.48,10.603,105.793,176.812,204.134,93.318,56.715,3.641,0.354
2002,22.78,13.331,2.18,0.755,2.208,32.178,79.747,230.633,189.069,64.116,4.826,6.65
