Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,14.491,15.132,41.499,9.908,1.559,152.344,229.402,393.333,185.121,19.796,4.979,0
1952,0.907,19.898,37.235,1.055,5.394,189.316,180.041,299.555,163.983,12.325,0,0.877
1953,39.389,25.36,0.089,2.788,0.548,149.965,364.082,363.559,204.332,1.584,0,3.456
1954,18.144,18.792,5.02,0.299,2.155,89.329,224.82,298.419,227.876,13.934,0,0.173
1955,39.507,27.946,2.411,0.667,1.422,86.014,440.266,207.956,102.543,88.313,0.371,0.862
1956,36.034,23.767,12.059,0.695,14.393,222.168,245.935,372.71,369.111,81.128,77.48,5.929
1957,21.919,1.463,38.403,0.987,0.838,86.071,332.821,323.122,130.703,0.329,0,0.987
1958,31.967,8.572,43.095,3.483,0.04,59.089,294.148,278.452,165.247,53.821,0,1.457
1959,73.536,5.576,0,0,27.133,27.301,223.056,351.359,116.834,138.239,0,0
1960,11.561,0.173,19.367,2.333,0.519,59.466,412.503,491.457,109.042,37.943,0,0
1961,31.827,25.613,0,0,3.132,105.546,259.466,425.57,208.839,56.648,4.375,4.741
1962,22.004,13.009,7.847,9.513,2.377,54.956,303.248,301.182,325.338,5.42,0,3.398
1963,19.844,10.69,23.384,5.877,24.325,95.614,477.388,394.899,188.568,21.053,11.601,1.457
1964,0.2,8.418,5.37,5.444,7.601,87.959,333.374,358.56,223.881,21.412,15.992,0
1965,3.658,0.72,24.104,18.091,3.062,19.209,239.952,162.108,153.359,28.501,1.417,3.038
1966,20.951,11.074,0,0,0,266.655,105.291,146.232,34.525,1.184,67.641,11.467
1967,9.778,0.173,40.643,4.008,2.554,53.02,286.153,555.95,213.578,3.694,0,18.724
1968,32.972,8.019,3.947,0.299,0.374,79.841,201.125,198.339,54.225,19.878,0,4.648
1969,3.687,8.588,0.347,2.007,29.561,55.522,488.519,253.528,158.242,1.153,25.53,0
1970,33.196,55.251,4.822,0.083,31.24,135.461,320.174,244.367,567.626,35.158,0,0
1971,24.316,12.697,4.291,19.44,46.321,287.293,279.643,495.287,176.782,82.255,0,0
1972,24.136,57.675,1.147,6.446,0.555,10.345,152.583,330.627,135.824,111.214,37.505,0.433
1973,30.983,1.589,0.926,0.203,1.179,58.037,361.875,438.875,185.295,94.892,1.684,0
1974,3.49,2.129,0.293,0.134,4.939,56.223,446.713,224.89,87.107,26.446,3.311,0.468
1975,32.34,8.925,25.63,3.015,3.196,141.712,362.123,185.486,144.468,39.68,1.778,0
1976,29.059,7.21,0.306,7.211,4.586,34.785,248.292,155.319,409.911,0.355,2.137,0
1977,19.603,17.298,0.144,11.719,28.149,107.174,413.122,252.312,173.689,63.267,23.044,7.854
1978,28.825,74.005,25.037,9.756,0.865,207.146,165.139,280.55,346.81,25.83,0.147,9.267
1979,29.724,12.268,0.347,5.312,0.808,134.413,290.284,157.323,90.914,2.569,88.785,4.388
1980,10.167,5.476,7.896,0,4.023,196.311,450.484,506.643,155.514,10.712,0.007,9.188
1981,20.068,4.83,16.077,1.449,9.649,106.216,416.23,352.58,161.722,0.329,23.027,3.241
1982,65.836,15.168,46.429,4.414,27.862,91.688,207.455,358.149,407.391,5.386,52.383,4.039
1983,11.474,3.745,2.958,11.545,32.255,96.109,287.502,179.781,132.419,51.023,0,2.719
1984,45.068,37.078,0.816,9.228,1.535,174.855,211.701,219.984,238.231,27.29,0.03,0
1985,27.425,1.463,0.093,7.572,1.967,63.135,300.012,286.854,204.459,79.614,0,2.463
1986,20.854,38.534,1.32,2.198,40.356,70.293,260.314,375.118,183.283,6.018,3.702,13.651
1987,16.891,15.075,13.324,0.764,7.658,31.741,163.308,296.371,234.13,70.647,9.686,2.97
1988,13.488,10.524,26.428,1.295,13.169,159.346,245.723,246.69,105.773,18.05,0,11.535
1989,4.686,3.168,7.562,0.699,12.047,121.412,314.267,185.78,150.275,30.541,20.37,20.088
1990,0.2,31.106,7.519,6.482,21.947,208.444,384.518,287.099,229.64,17.01,0,1.457
1991,18.108,11.306,18.766,7.114,6.999,109.258,130.97,235.316,142.223,1.915,1.041,21.291
1992,34.496,7.581,0.293,3.324,9.572,21.45,114.204,137.822,150.822,59.351,19.371,0
1993,10.466,0.421,12.227,0.878,18.684,25.093,92.248,170.48,278.724,38.9,0.2,0
1994,69.184,21.746,31.967,6.621,1.825,212.285,295.851,319.768,123.766,35.405,0,0
1995,27.935,23.721,17.093,5.048,4.751,26.33,219.225,252.977,176.02,2.578,30.713,9.865
1996,44.708,20.28,0.813,0.811,1.885,197.708,231.428,327.512,122.944,91.703,0,0
1997,20.85,0.461,2.46,6.183,23.648,85.093,111.539,275.871,185.032,18.132,37.838,13.607
1998,5.727,6.044,12.881,5.718,35.096,56.467,251.333,327.642,164.311,43.207,17.703,0
1999,45.221,35.841,0,0,16.186,32.799,337.31,221.152,170.302,25.239,0,0.683
2000,11.244,15.172,0.422,3.144,7.615,98.608,162.446,138.098,269.929,0.329,0,0
2001,3.611,1.827,20.59,5.711,5.173,80.833,213.969,245.283,71.876,64.597,5.922,0.027
2002,30.944,17.317,4.388,1.666,1.812,26.164,117.593,276.856,176.889,77.693,21.852,1.537
