Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.558,16.661,24.157,29.437,34.095,36.852,32.913,29.111,29.952,28.596,21.759,16.856
1902,16.625,19.041,26.324,30.623,34.446,34.593,30.496,30.401,28.795,26.805,20.754,15.206
1903,15.425,17.177,22.996,28.505,33.15,36.787,32.927,29.11,29.603,25.874,19.872,14.808
1904,14.976,18.039,23.39,30.658,33.426,35.115,29.093,27.949,28.436,26.542,20.229,15.922
1905,13.561,13.278,20.697,27.44,34.858,36.789,31.611,29.802,30.704,27.482,22.646,16.316
1906,14.492,16.166,21.877,29.562,36.173,34.26,30.79,29.515,28.208,26.916,21.852,16.54
1907,16.724,16.183,21.377,27.623,32.42,35.52,33.613,28.632,29.996,27.312,21.471,14.609
1908,14.343,17.832,23.269,30.722,33.81,36.036,29.294,28.181,28.811,26.091,20.479,14.939
1909,14.592,16.785,23.937,27.623,32.741,33.32,29.265,28.664,28.414,26.64,22.275,14.989
1910,14.276,17.965,23.81,28.889,34.322,34.091,30.902,29.384,28.974,25.219,20.008,15.461
1911,16.894,18.165,21.876,29.602,35.607,35.421,32.419,29.969,28.133,27.099,19.293,15.428
1912,15.793,18.781,22.898,29.853,34.69,36.839,31.68,29.346,27.817,26.607,19.973,15.459
1913,15.575,17.728,21.746,30.99,32.358,33.173,31.07,30.744,30.998,28.26,21.09,15.955
1914,17.156,17.932,23.393,30.625,34.57,34.4,30.627,29.112,29.554,26.112,21.779,14.961
1915,14.976,15.926,23.212,29.178,35.955,35.639,32.993,30.168,30.892,28.559,21.127,16.445
1916,15.896,17.206,26.18,31.262,34.138,33.532,31.137,28.571,28.818,25.659,18.873,14.579
1917,15.629,17.752,23.182,26.764,30.244,33.697,29.643,28.349,27.949,25.068,18.037,15.638
1918,14.06,17.972,23.372,27.771,35.704,34.72,33.861,31.266,30.237,27.494,21.129,14.788
1919,15.274,16.717,24.18,29.072,33.525,36.596,29.71,28.448,28.861,26.125,20.393,15.041
1920,15.012,17.316,24.093,29.422,31.11,33.588,29.609,29.727,31.033,28.497,22.51,16.465
1921,16.205,18.667,26.524,32.471,36.536,35.999,33.403,28.762,28.059,26.075,20.831,17.573
1922,15.08,19.26,25.096,30.61,34.52,34.237,30.813,28.217,28.064,26.19,20.525,15.343
1923,14.941,17.23,24.336,30.455,33.604,37.502,31.726,28.393,29.045,25.775,20.561,15.64
1924,13.991,17.282,24.994,30.324,31.839,36.713,30.516,28.695,28.315,25.435,20.107,15.56
1925,13.111,15.528,23.561,31.492,33.209,31.37,28.648,30.131,30.158,27.278,20.046,15.311
1926,15.313,19.13,22.538,26.766,32.054,36.619,31.54,28.912,28.029,25.323,18.573,14.502
1927,12.972,15.976,22.191,28.803,33.117,35.133,30.475,28.33,28.629,26.503,19.864,16.661
1928,14.705,18.008,24.102,29.404,35.301,34.898,31.171,30.926,30.291,27.45,21.937,15.37
1929,14.755,16.191,25.474,30.601,34.906,35.036,30.378,28.551,30.412,26.943,21.562,15.029
1930,14.749,17.517,24.962,29.588,33.85,34.539,29.234,28.765,29.819,27.133,20.512,15.631
1931,16.647,16.565,23.128,31.055,34.387,35.941,31.712,29.63,28.614,25.638,20.379,16.259
1932,17.733,17.05,24.155,29.172,33.291,36.484,32.08,28.806,29.282,26.527,19.723,15.309
1933,12.975,17.927,24.105,27.991,31.373,33.849,29.965,28.232,27.793,25.371,20.29,15.558
1934,13.626,18.382,22.339,29.14,33.306,33.572,30.293,28.333,28.693,24.078,19.561,16.538
1935,13.389,18.095,23.637,26.985,34.138,36.335,30.628,28.71,28.81,25.507,21.333,15.687
1936,13.47,17.952,23.523,29.268,35.771,32.944,29.826,28.745,28.651,26.14,21.183,15.788
1937,13.989,18.495,22.008,28.386,34.054,35.935,30.808,30.331,29.447,26.227,21.437,14.802
1938,14.64,16.379,25.443,30.852,36.069,33.041,31.186,29.662,30.483,27.409,19.769,15.406
1939,16.16,18.249,21.505,28.303,35.232,33.701,30.573,31.022,28.977,27.395,20.347,15.754
1940,15.201,17.135,22.179,28.254,34.772,35.701,31.981,28.649,28.838,26.638,22.038,15.625
1941,14.495,18.612,25.992,32.004,35.404,34.343,33.172,30.612,30.205,29.495,21.629,17.463
1942,13.704,19.026,25.511,31.477,35.271,36.337,29.942,28.401,28.019,26.243,21.858,15.205
1943,15.952,17.747,24.706,28.359,34.234,34.28,30.627,28.038,29.063,26.177,21.843,16.977
1944,14.544,17.56,22.506,28.573,35.163,33.799,30.31,29.73,29.28,25.655,21.6,17.119
1945,13.295,17.251,24.888,28.906,34,35.534,31.072,29.661,28.532,25.705,20.824,14.589
1946,15.539,19.756,23.671,31.737,34.54,34.614,30.691,29.139,29.451,27.19,20.77,16.503
1947,13.704,19.135,25.386,31.134,35.074,36.132,31.438,29.634,28.574,24.891,21.922,16.346
1948,15.175,17.293,22.694,31.118,35.606,36.661,31.263,29.148,28.925,27.255,20.49,16.422
1949,16.747,18.647,24.622,31.208,35.625,35.664,30.846,29.087,29.22,26.373,19.726,15.211
1950,16.211,16.641,22.689,28.654,34.687,35.699,30.712,28.871,28.501,26.07,20.055,14.539
1951,14.125,17.361,23.425,27.442,34.007,34.9,32.497,29.337,28.781,29.614,22.645,16.107
1952,16.462,20.264,23.96,31.702,35.688,33.56,30.364,28.434,29.903,27.272,21.077,16.577
1953,13.664,18.951,27.119,31.415,35.933,36.34,31.339,28.895,29.038,26.622,20.316,18.161
1954,13.604,19.549,24.124,30.905,36.087,36.072,31.365,29.526,28.449,24.506,21.54,15.544
1955,14.806,18.144,25.831,28.308,33.816,35.634,31.331,28.769,29.26,25.318,20.171,16.433
1956,15.128,17.92,24.244,30.618,35.635,34.541,29.126,28.686,29.6,25.435,19.759,16.444
1957,14.559,16.601,22.56,28.84,33.135,34.074,30.459,29.703,27.921,26.504,22.264,16.86
1958,17.554,19.065,25.358,32.035,34.754,35.913,30.373,28.762,28.41,26.296,21.08,17.728
1959,15.372,17.849,25.248,30.239,33.724,35.466,30.075,29.032,29.162,27.384,21.455,17.559
1960,15.074,20.982,24.043,29.453,34.596,35.916,30.751,28.532,29.399,26.005,20.377,16.854
1961,15.37,16.557,24.405,29.299,34.151,34.18,30.324,28.35,28.895,25.618,20.149,13.749
1962,14.183,18.648,23.711,30.618,33.975,35.422,31.811,29.326,28.141,24.936,21.385,17.062
1963,14.567,20.194,24.255,29.321,33.341,34.6,31.883,28.431,28.005,27.484,23.559,16.418
1964,14.164,18.231,26.172,31.243,32.725,34.716,30.012,29.812,28.289,26.509,20.164,16.845
1965,17.28,18.182,23.629,28.487,33.354,36.46,31.095,29.967,28.702,27.11,22.364,16.133
1966,16.268,21.003,24.126,30.287,34.188,33.253,32.639,28.682,29.394,27.956,22.141,15.808
1967,14.343,20.377,23.171,29.415,34.314,35.057,30.42,27.679,27.602,26.548,21.542,17.007
1968,14.364,16.65,23.841,29.172,33.214,35.02,29.343,28.735,29.662,26.33,21.494,16.805
1969,15.657,18.996,26.74,30.388,33.037,36.487,30.163,28.646,28.072,27.919,22.577,16.615
1970,15.864,17.381,23.627,31.504,34.425,33.101,31.76,29.395,28.76,26.9,20.972,16.909
1971,13.942,18.311,23.774,30.6,32.531,31.333,28.692,27.67,28.063,26.177,20.835,16.341
1972,15.222,15.981,24.744,29.657,35.341,36.178,32.575,28.358,27.454,26.192,21.84,16.786
1973,15.488,19.464,23.922,32.263,35.735,35.51,31.034,28.158,28.954,25.845,20.507,14.997
1974,14.57,16.84,25.56,31.974,34.234,34.263,29.639,28.439,29.804,27.295,20.603,15.387
1975,14.148,17.226,23.586,31.728,35.512,33.154,29.83,28.35,27.596,26.718,19.895,16.764
1976,16.246,19.015,23.774,29.409,33.475,32.255,29.953,27.974,28.529,27.067,22.098,16.115
1977,14.457,18.419,25.699,29.425,31.77,32.824,28.166,28.366,27.143,26.395,22.674,17.268
1978,14.948,16.875,21.817,29.161,36.32,33.665,29.226,27.204,27.6,26.516,21.82,16.062
1979,15.729,16.687,22.134,29.839,29.761,33.431,29.325,29.26,29.162,28.543,23.26,17.033
1980,15.047,19.534,23.724,31.312,34.187,32.196,28.356,27.811,28.772,27.882,21.597,16.108
1981,15.69,18.929,23.445,29.535,33.111,33.827,28.297,28.45,29.53,26.772,20.4,15.749
1982,15.464,16.894,21.36,28.71,31.057,33.88,31.831,28.076,28.991,27.363,21.545,16.682
1983,14.333,16.742,23.292,27.016,32.363,33.448,30.522,28.806,28.696,26.013,19.582,16.092
1984,14.596,15.943,24.742,30.598,36.919,34.693,30.071,28.464,27.882,25.505,20.252,16.585
1985,14.57,18.731,26.102,30.952,35.352,35.018,30.135,28.664,27.703,24.127,20.837,16.908
1986,15.19,17.29,24.069,30.158,32.574,34.224,29.648,29.811,29.715,26.877,22.942,15.854
1987,15.943,19.644,25.021,31.167,31.661,36.305,33.758,30.872,30.698,28.058,21.611,16.113
1988,16.264,19.782,24.544,31.338,36.379,33.687,29.732,28.865,29.704,26.408,21.292,17.016
1989,14.293,17.631,23.573,28.893,34.704,33.287,30.101,29.253,29.067,26.782,20.608,15.897
1990,16.929,18.193,22.765,30.295,33.591,34.387,29.514,29.316,28.182,26.356,21.654,16.628
1991,14.645,18.893,24.131,28.92,34.254,35.142,32.731,28.842,29.362,26.057,20.76,16.052
1992,15.419,17.543,24.042,29.737,33.421,36.01,31.158,29.048,27.912,26.323,21.028,16.856
1993,15.787,19.397,22.214,29.374,35.361,34.886,31.15,30.403,27.65,26.795,22.329,16.395
1994,17.304,17.862,25.326,28.337,34.86,34.82,29.756,28.71,28.312,26.157,21.264,16.943
1995,14.34,18.241,22.842,29.584,34.933,35.921,31.413,28.549,28.969,27.507,21.322,17.061
1996,14.816,18.025,24.674,29.582,33.701,33.303,30.128,27.952,28.504,26.585,20.662,14.955
1997,14.295,17.733,23.862,28.226,32.068,32.908,31.064,28.87,28.884,25.054,20.761,14.182
1998,14.447,18.519,22.092,30.375,35.156,34.538,30.763,29.241,29.433,27.074,21.88,16.423
1999,14.776,18.63,24.928,31.71,34.441,33.825,31.275,29.633,28.666,26.79,22.413,16.432
