Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.102,16.148,23.435,28.744,33.291,36.417,33.189,29.804,30.462,28.601,21.482,16.377
1902,16.041,18.542,25.463,29.876,33.828,33.997,30.933,30.904,29.361,26.881,20.519,14.813
1903,14.765,16.62,22.227,27.927,32.707,36.355,33.428,29.689,30.314,26.147,19.763,14.506
1904,14.209,17.671,22.729,30.04,32.798,35.058,29.811,28.67,28.995,26.61,19.85,15.656
1905,12.845,12.796,19.742,26.704,34.191,36.334,32.101,30.203,31.232,27.462,22.181,15.878
1906,13.842,15.511,20.986,28.874,35.676,33.994,31.548,29.663,28.812,27.157,21.575,16.295
1907,16.167,15.356,20.275,26.755,31.852,35.021,33.931,29.309,30.77,27.403,21.019,14.352
1908,13.89,17.308,22.732,30.106,33.273,35.852,29.917,28.507,29.347,26.202,20.08,14.659
1909,13.795,16.042,23.076,27.064,32.326,32.989,29.749,29.243,29.026,26.83,21.914,14.683
1910,13.765,17.266,23.074,28.28,33.86,34.087,31.253,29.733,29.541,25.415,19.799,15.012
1911,16.109,17.617,21.069,28.941,35.052,35.296,33.005,30.591,28.842,27.176,18.712,14.896
1912,15.055,18.089,22.283,29.104,34.146,36.463,32.166,29.749,28.29,26.744,19.645,15.073
1913,15.066,16.984,20.916,30.38,31.75,32.85,31.441,31.245,31.488,28.084,20.553,15.458
1914,16.489,17.155,22.666,29.91,33.907,34.212,31.028,29.63,29.932,25.739,21.185,14.524
1915,14.382,15.388,22.589,28.718,35.72,35.097,33.429,30.794,31.197,28.603,20.786,15.966
1916,15.349,16.696,25.645,30.807,33.588,33.565,31.299,29.009,29.302,25.958,18.723,14.293
1917,14.985,17.319,22.616,26.007,29.435,33.607,30.178,28.811,28.329,25.141,17.874,15.247
1918,13.676,17.372,22.615,27.03,35.331,34.466,34.464,31.882,30.885,27.42,20.628,14.491
1919,14.643,16.154,23.446,28.466,33.022,36.668,30.284,28.983,29.496,26.269,19.986,14.652
1920,14.528,16.537,23.22,28.897,30.59,33.49,30.364,30.38,31.549,28.503,22.181,16.137
1921,15.604,18.234,25.93,32.19,36.452,35.771,33.753,29.317,28.743,25.997,20.493,17.091
1922,14.53,18.534,24.591,30.061,34.181,34.065,31.367,28.747,28.561,26.182,20.161,14.977
1923,14.349,16.455,23.606,30.008,33.164,37.218,32.123,28.827,29.61,25.766,20.207,15.213
1924,13.412,16.626,24.194,29.723,31.111,36.718,31.258,29.326,28.779,25.685,19.98,15.378
1925,12.551,14.975,22.923,30.985,33.008,31.287,29.182,30.322,30.536,27.055,19.457,14.926
1926,14.675,18.351,21.799,26.183,31.415,36.254,31.95,29.275,28.674,25.534,18.315,14.368
1927,12.665,15.369,21.632,28.189,32.444,34.812,30.831,28.714,29.229,26.548,19.872,16.434
1928,14.011,17.45,23.355,28.842,35,34.658,31.79,31.555,30.902,27.63,21.562,15.131
1929,14.304,15.765,24.897,30.178,34.652,34.797,30.904,29.011,31.052,26.971,21.134,14.519
