Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.505,16.924,23.758,29.679,34.168,37.125,33.049,29.304,29.632,27.901,21.274,16.21
1902,16.429,18.943,26.181,30.785,34.567,34.963,30.45,30.238,28.85,26.406,20.159,14.787
1903,15.327,17.148,23.121,29.02,33.704,36.559,32.961,29.384,29.608,25.519,19.519,14.586
1904,15.12,17.983,23.625,30.758,33.502,35.101,29.306,28.236,28.491,26.163,19.743,15.792
1905,13.607,13.524,20.947,27.46,34.402,36.984,31.509,29.603,30.267,26.701,21.834,15.735
1906,14.527,16.509,22.083,29.937,36.057,34.519,30.901,29.338,28.511,26.61,21.379,16.271
1907,16.506,16.466,21.464,27.92,32.761,35.579,33.89,28.9,30.229,27.261,21.16,14.392
1908,14.087,18.005,23.441,31.313,34.405,36.283,29.952,28.62,29.197,25.961,20.201,14.728
1909,15.518,16.58,24.162,27.977,33.322,32.593,29.506,28.979,28.629,26.278,21.622,15.033
1910,14.244,17.964,23.837,29.436,34.297,34.1,31.201,29.338,29.135,25.139,19.557,14.968
1911,17.027,17.942,21.921,29.695,35.598,35.059,32.106,29.42,28.187,26.684,19.142,14.831
1912,15.55,18.862,22.937,29.88,34.662,36.602,31.62,29.422,28.113,26.242,19.72,14.935
1913,15.265,17.909,21.785,31.137,32.42,32.677,31.301,30.597,30.691,27.863,20.559,15.735
1914,16.886,18.451,23.4,30.455,34.3,34.804,30.475,29.139,29.529,25.748,21.3,14.954
1915,15.254,16.282,23.016,29.379,36.118,35.375,32.422,29.861,30.05,27.884,20.736,15.98
1916,15.445,17.44,25.875,31.358,34.402,32.898,30.988,28.701,28.85,25.865,18.676,14.152
1917,15.281,17.768,23.059,27.021,30.283,33.56,30.105,28.821,28.256,25.402,17.898,15.35
1918,13.965,18.062,23.619,28.257,35.557,33.878,33.849,30.938,30.267,27.063,20.764,14.692
1919,15.291,16.564,24.121,29.3,33.803,36.379,29.75,28.805,29.034,25.799,20.142,14.897
1920,14.923,17.469,24.028,29.784,31.645,34.26,29.902,29.802,30.831,28.122,21.998,16.027
1921,16.186,18.543,26.359,32.558,36.86,35.543,33.235,28.723,28.375,25.763,20.139,17.251
1922,15.157,19.264,25.059,30.739,35.08,34.298,30.439,28.3,28.292,25.863,20.237,15.076
1923,14.827,17.404,24.221,30.715,34.163,37.538,31.522,28.699,29.235,25.499,20.341,15.613
1924,14.149,17.562,25.219,30.737,32.471,37.14,30.383,28.901,28.687,25.765,20.056,15.37
1925,13.269,15.883,23.502,31.197,33.26,32.024,28.906,30.021,29.627,26.847,19.578,14.73
1926,14.987,19.005,22.622,26.962,32.345,36.7,31.806,29.184,28.251,25.207,18.461,14.447
1927,13.169,16.47,22.22,29.256,33.36,35.22,30.403,28.721,29.113,26.324,19.577,16.449
1928,14.711,18.089,24.105,29.558,35.381,34.621,30.986,30.88,30.408,27.267,21.679,15.452
1929,14.827,16.424,25.159,30.842,35.422,34.958,30.403,28.474,30.609,26.385,20.855,14.787
1930,14.586,17.505,24.9,29.842,34.223,34.684,29.606,28.864,29.472,26.82,20.159,15.168
1931,16.507,16.91,23.221,31.336,34.603,36.136,31.725,29.864,28.733,25.608,19.979,16.128
1932,17.346,17.004,24.236,29.561,33.565,36.457,32.328,28.938,29.235,26.304,19.576,15.03
1933,12.97,18.31,24.262,27.918,31.399,33.674,30.243,28.778,28.327,25.581,19.936,15.291
1934,14.014,18.357,22.563,29.541,33.801,33.741,30.449,28.642,28.89,24.264,19.522,16.271
1935,13.526,18.263,23.762,27.32,34.579,36.341,30.686,28.775,28.888,25.404,20.843,15.45
1936,13.61,17.947,23.757,29.422,35.464,32.761,29.882,28.828,28.687,25.983,20.779,15.712
1937,13.786,18.348,22.121,28.563,33.962,35.375,31.144,29.679,29.232,25.585,21.128,14.591
1938,14.885,16.248,25.364,31.022,35.602,32.759,30.945,29.481,30.048,27.066,19.54,15.009
1939,16.086,18.447,22.007,28.7,35.481,33.679,30.408,30.178,28.687,27.042,19.941,15.235
1940,14.887,17.121,22.164,28.501,34.746,35.758,31.887,29.015,28.934,26.283,21.563,15.334
1941,14.627,18.483,26,32.299,35.34,34.019,33.025,30.48,30.089,28.784,20.96,16.806
1942,13.847,18.967,25.26,31.197,35.639,36.237,30.285,28.821,28.292,26.245,21.699,15.316
1943,16.51,17.86,24.857,28.501,34.665,34.845,31.084,28.215,29.329,26.102,21.514,16.655
1944,14.711,17.584,22.501,28.56,35.539,34.02,30.686,29.802,29.429,25.567,21.399,17.033
1945,13.406,17.388,24.8,28.838,34.199,35.658,31.569,30.02,28.854,25.483,20.441,14.387
1946,15.663,19.941,23.821,31.32,34.364,34.195,30.475,29.399,29.766,26.982,20.702,16.633
1947,13.988,19.242,25.484,31.499,35.203,36.183,31.182,29.68,29.011,25.169,21.62,16.187
1948,15.43,17.565,22.883,31.42,35.703,36.479,31.067,29.179,28.929,26.946,20.205,16
1949,16.586,18.783,24.621,31.178,35.165,35.699,31.101,29.238,29.513,26.465,19.201,14.672
1950,15.987,16.846,22.756,28.8,34.662,35.256,30.607,29.174,28.891,25.788,19.82,14.573
1951,14.069,17.44,23.522,27.999,34.163,34.9,32.284,29.458,28.95,29.085,22.179,15.707
1952,16.428,20.567,23.905,31.617,35.467,33.221,30.525,28.663,29.931,26.999,20.679,16.208
1953,14.014,19.408,27.262,31.038,35.741,36.199,30.986,28.856,29.089,26.142,20.001,17.492
1954,13.668,19.588,24.157,31.119,35.998,35.776,31.566,29.718,28.849,24.481,20.838,15.317
1955,14.832,18.126,26.117,28.784,33.929,35.311,30.713,28.901,29.072,25.164,19.94,16.151
1956,15.41,18.279,24.578,30.921,35.582,33.877,29.647,28.942,29.306,25.481,19.534,16.375
1957,15.088,17.225,23.003,29.32,33.52,34.438,30.865,29.974,28.276,26.304,21.86,16.792
1958,17.271,19.363,25.436,32.258,35.045,35.882,30.736,29.2,28.711,26.043,20.925,17.313
1959,15.606,17.983,25.416,30.62,34.044,35.503,30.501,29.258,29.408,27.078,21.231,17.03
1960,15.226,21.079,24.343,29.801,34.339,36.1,30.607,28.983,29.429,25.924,20.037,16.608
1961,15.69,16.667,24.667,29.618,34.249,34.02,30.247,28.536,28.928,25.508,19.784,13.436
1962,14.286,18.703,23.777,30.542,34.044,36.162,31.726,29.296,28.309,24.823,20.958,16.794
1963,14.443,19.862,24.183,29.617,33.201,34.115,31.381,28.841,28.211,27.002,23.168,16.235
1964,14.426,18.284,26.021,31.195,32.725,34.979,29.708,29.759,28.45,26.361,20.037,16.671
1965,17.192,18.594,23.601,28.437,33.5,36.539,31.222,30.043,28.687,26.863,22.12,16.092
1966,16.249,21.084,24.239,30.66,34.447,33.553,32.387,29.02,29.572,27.669,21.922,15.45
1967,14.249,20.164,23.084,29.553,34.2,35.24,30.227,27.701,27.589,25.963,21.124,16.676
1968,14.391,16.826,23.782,29.358,33.399,34.379,29.585,28.678,29.638,25.861,21.038,16.415
1969,15.606,19.246,26.919,30.464,33.103,36.165,29.923,28.515,28.335,27.227,22.162,16.151
1970,15.871,17.404,23.619,31.676,34.399,32.842,31.425,29.363,28.488,26.684,20.598,16.53
