Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.753,15.147,22.341,27.441,31.694,35.106,32.306,30.166,30.154,27.8,20.906,15.794
1902,15.447,17.753,24.334,28.634,32.347,32.859,30.913,31.159,29.159,26.194,20.106,14.406
1903,14.094,15.847,20.981,26.747,31.407,35.353,33.006,29.912,30.16,26.153,19.513,14.313
1904,13.5,16.76,21.541,28.793,31.747,34.153,30.272,29.319,28.96,26.153,19.407,15.4
1905,12.34,12,18.634,25.388,33.094,34.947,32.06,30.672,30.9,26.9,21.4,15.447
1906,13.14,14.641,20.04,27.646,34.394,33.059,31.765,29.359,28.719,26.753,21.16,16.107
1907,15.607,14.293,19.027,25.187,30.4,33.407,33.247,29.366,30.66,27.06,20.607,14.213
1908,13.76,16.653,21.994,28.8,32.147,34.906,30.119,28.213,29.112,25.913,19.453,14.553
1909,13.2,15.2,22.2,26.247,31.659,31.906,29.419,29.013,28.719,26.413,21.3,14.413
1910,13.459,16.347,22.094,27.047,32.646,32.953,30.547,29.259,29.259,25.107,19.307,14.653
1911,15.288,16.8,19.934,27.693,33.647,33.694,33.059,31.165,29.066,26.647,18.007,14.506
1912,14.494,17.454,21.547,27.787,32.794,35.193,31.553,29.406,28.113,26.253,19.2,14.7
1913,14.7,15.941,19.688,29.188,30.447,31.353,30.6,30.553,30.6,27.194,19.847,14.734
1914,15.847,15.888,21.481,28.028,32.341,32.853,30.306,29.713,29.353,24.694,20.447,14.254
1915,13.953,14.653,21.893,27.947,34.694,33.9,33.153,30.959,30.6,27.654,20.553,15.5
1916,14.9,15.9,24.847,29.741,32.253,32.707,30.6,28.866,28.96,25.866,18.472,14.153
1917,14.347,16.8,21.887,24.841,28.094,32.453,29.759,28.666,27.607,24.606,17.726,14.847
1918,13.4,16.706,21.694,25.693,34.194,33.147,33.847,31.547,30.353,26.8,20,14.293
1919,14.14,15.453,22.587,27.235,31.641,35.793,30.166,29.172,29.306,25.959,19.407,14.2
1920,14.113,15.54,21.928,27.693,29.194,32.553,30.459,30.359,30.947,27.693,21.547,15.959
1921,15.04,17.454,25.194,31.287,35.5,34.694,33.041,29.359,28.907,25.4,20.053,16.594
1922,13.687,17.547,23.793,28.887,33.053,33.053,31.106,29.265,28.313,25.353,19.606,14.641
1923,13.853,15.394,22.694,29.047,31.8,35.8,31.3,28.565,29.353,25.353,19.706,14.954
1924,13.153,15.906,23.193,28.747,29.54,35.706,31.413,29.413,28.053,25.359,19.553,15.306
1925,12.2,14.313,22.546,30.093,32.153,30.666,28.966,29.806,30.1,26.147,18.7,14.606
1926,14.4,17.5,20.781,24.887,29.794,35.106,31.56,28.86,28.512,25.16,17.906,14.36
1927,12.659,14.347,20.847,26.993,30.947,33.706,30.313,28.612,28.96,25.994,19.553,15.947
1928,13.294,16.747,22.141,27.74,33.9,33.653,31.46,31.253,30.154,26.954,20.646,14.647
1929,13.947,15.153,24.241,29.088,33.4,33.753,30.76,29.013,30.6,26.247,20.353,13.787
1930,13.14,16,23.04,27.587,32.247,32.753,29.265,29.466,28.907,26.1,19.4,14.706
1931,15.053,14.494,21.047,29.194,32.394,34.607,31.259,29.666,28.559,25.606,19.059,15.306
1932,15.406,15.453,23.287,28.24,31.047,35.307,31.259,28.519,28.766,26.106,19.513,14.506
1933,11.959,16.8,22.041,26.334,29.3,32.466,29.366,27.572,27.613,25.007,19.159,15.607
1934,12.293,17.812,21.094,27.747,31.446,32.613,30.459,28.119,29.812,25.66,19.706,15.64
1935,12.247,16.747,21.893,24.887,32.747,34.959,30.266,28.813,28.659,25.754,20.353,14.794
1936,12.8,16.793,21.494,27.74,34.294,31.012,29.865,28.766,28.512,25.853,19.706,14.794
1937,13.054,16.347,20.494,26.094,32.046,33.659,30.113,31.006,29.406,25.306,19.4,13.953
1938,13.253,14.946,23.341,29.094,34.447,32.359,31.46,30.459,30.853,27.3,18.5,14.665
1939,14.6,16.6,19.641,26.741,34.094,31.859,30.86,30.906,29.753,27.153,19.559,15.359
1940,13.953,15.947,20.534,26.887,33.44,34.447,31.407,28.366,29.006,26.1,20.553,14.847
1941,13,17.3,24.54,31.188,34.141,32.06,33.047,30.113,29.607,28.447,20.106,16.16
1942,12.6,17.393,23.894,29.841,33.34,34.806,29.466,28.019,27.619,25.913,20.806,14.006
1943,13.894,16.659,22.841,26.694,32.093,33.36,29.966,28.313,29.56,25.913,20.66,16.107
1944,13.093,15.894,20.841,27.094,34.047,32.959,29.865,29.513,28.907,25.512,20.353,15.853
