Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.709,15.842,22.445,28.839,32.71,35.722,32.015,29.624,29.378,27.576,21.542,15.904
1902,16.235,18.638,24.231,29.131,33.094,33.619,30.187,29.954,29.029,25.302,20.441,15.471
1903,14.742,16.082,21.031,28.292,32.896,34.872,32.297,29.64,29.79,25.585,20.527,15.682
1904,14.875,18.286,22.28,30.117,31.873,33.631,29.71,28.815,28.628,25.967,19.604,15.243
1905,12.15,12.895,18.669,26.053,32.818,34.858,30.812,29.851,29.745,26.475,21.377,15.326
1906,13.586,14.695,20.618,29.295,34.519,33.182,30.686,29.366,28.9,26.191,21.952,16.535
1907,16.809,14.654,18.78,26.681,31.232,34.206,32.364,29.457,30.269,27.323,21.027,15.145
1908,14.699,17.612,22.678,31.051,33.044,35.044,29.937,28.879,29.304,26.137,20.142,14.949
1909,14.314,16.153,23.778,27.233,32.555,32.004,30.01,29.736,29.615,26.996,20.927,15.821
1910,15.058,16.963,22.992,28.928,32.855,32.91,30.093,29.606,29.228,25.101,19.804,15.016
1911,15.413,17.753,20.105,28.843,34.431,33.581,31.923,29.94,28.603,26.039,18.921,14.937
1912,14.689,17.979,21.975,28.43,32.729,34.482,30.874,29.429,28.382,26.066,19.092,14.978
1913,14.998,15.972,20.105,29.746,31.168,31.809,30.712,30.653,30.541,26.624,19.581,14.219
1914,16.498,16.394,21.371,28.681,32.444,33.407,30.464,29.64,29.239,24.74,20.733,14.951
1915,15.185,15.792,21.68,28.716,34.245,33.715,31.662,30.068,29.866,27.438,21.294,15.863
1916,15.181,16.717,25.706,30.383,33.564,32.25,30.247,29.478,28.927,25.801,20.177,14.376
1917,14.801,16.804,21.33,25.627,28.668,32.431,30.083,29.416,28.208,25.125,19.852,15.102
1918,13.934,17.929,22.613,27.356,33.917,32.558,32.467,30.504,30.016,26.492,20.192,13.89
1919,13.676,15.957,22.39,27.334,31.723,34.17,29.898,29.416,28.968,25.725,20.142,14.58
1920,15.758,15.853,21.319,28.88,29.994,32.745,29.961,29.892,29.967,26.865,21.455,16.849
1921,14.675,18.102,25.595,31.192,35.83,33.486,31.354,28.829,28.055,25.013,20.166,16.289
1922,13.475,18.38,24.294,29.431,34.143,32.932,30.311,28.603,28.329,25.176,20.142,13.894
1923,15.047,15.753,23.216,30.354,32.991,35.871,30.678,29.256,28.911,25.05,20.341,15.24
1924,13.615,16.991,24.169,29.992,30.669,36.013,30.188,29.165,28.276,25.838,20.042,15.576
1925,12.658,16.336,22.633,30.404,32.351,31.094,29.294,29.813,29.205,25.955,19.267,15.412
1926,14.323,18.216,20.432,25.63,30.931,35.544,31.049,29.381,28.782,25.322,18.242,15.025
1927,13.384,15.145,21.454,28.417,31.672,33.869,30.402,28.864,29.204,25.829,19.645,16.4
1928,14.061,17.479,22.801,28.29,34.093,33.294,30.675,30.817,30.554,27.051,20.84,15.203
1929,14.162,16.266,24.119,29.529,34.147,33.373,30.402,28.865,29.668,25.623,20.828,14.228
1930,13.371,16.68,23.878,28.942,32.831,33.069,29.714,29.362,29.653,25.777,19.99,15.65
1931,16.098,15.247,22.269,30.654,33.094,35.003,30.852,30.262,28.691,25.463,20.179,15.901
1932,16.623,16.005,23.139,28.817,32.29,35.109,31.338,29.303,29.169,26.004,20.918,15.15
1933,13.026,17.196,23.139,26.904,29.74,32.683,29.939,29.237,28.64,25.439,20.674,15.85
1934,13.336,18.465,21.629,29.385,32.745,32.603,30.086,28.704,29.403,25.084,20.188,14.704
1935,12.289,17.143,22.609,25.768,33.896,35.031,30.108,28.865,28.875,25.341,20.293,14.215
1936,13.158,15.919,22.479,28.13,33.332,30.797,29.37,28.729,28.438,24.939,20.429,15.166
1937,13.514,16.419,21.254,26.557,32.218,33.681,30.612,29.703,29.195,25.06,19.704,14.501
1938,13.511,15.167,23.905,30.082,33.432,31.693,29.98,29.432,29.664,26.298,18.83,15.946
1939,15.086,16.32,19.943,27.895,34.331,32.231,30.124,29.965,28.89,26.043,20.431,15.887
1940,14.498,16.043,19.894,27.694,33.142,34.057,30.941,29.34,28.596,26.226,21.214,14.238
1941,13.488,17.841,24.879,31.68,33.644,32.869,31.987,30.278,29.642,27.316,20.791,17
1942,13.574,18.242,24.478,29.855,33.56,34.931,30.146,29.003,28.466,26.064,21.526,14.686
1943,14.377,17.806,23.48,26.969,33.58,33.407,30.509,28.762,29.587,26.1,22.074,16.327
1944,13.272,15.994,21.339,27.467,34.843,32.881,30.386,29.892,29.354,25.937,21.167,17.213
1945,12.366,16.305,23.167,27.393,33.168,34.542,30.675,29.93,28.885,25.05,20.882,14.475
1946,16.496,19.294,22.538,29.191,31.774,33.231,30.311,30.041,29.813,25.802,20.763,16.101
1947,13.336,18.168,23.392,30.52,33.657,34.905,30.574,29.888,29.128,24.939,21.267,15.953
1948,14.973,16.543,21.454,30.58,34.252,35.43,30.596,29.228,28.953,25.703,19.908,15.115
1949,16.511,17.153,23.279,29.831,32.832,34.606,30.449,29.465,29.254,26.575,19.915,13.989
1950,15.36,16.154,21.143,28.529,33.293,33.481,30.134,29.265,28.691,25.784,20.453,14.804
1951,13.239,17.504,22.455,26.939,33.03,33.743,31.674,29.965,28.99,28.203,21.556,16.035
1952,16.151,19.268,21.594,30.055,33.461,32.377,30.188,29.102,29.893,26.711,20.86,16.154
1953,12.899,19.342,25.816,30.126,33.922,34.718,30.476,29.502,29.428,26.087,20.728,17.065
1954,13.059,17.993,23.743,30.494,34.931,34.18,30.712,29.753,29.087,24.364,20.754,14.465
1955,13.921,18.202,24.779,27.543,32.532,34.115,30.435,29.102,29.016,24.826,20.491,15.091
1956,14.525,18.327,23.001,30.354,34.056,32.855,29.499,29.403,29.377,25.027,20.153,14.901
1957,13.725,16.791,21.305,28.244,32.503,33.081,30.601,30.107,28.782,26.004,21.803,16.203
1958,16.112,17.93,23.806,30.99,33.747,34.619,30.386,29.388,29.318,26.163,21.575,16.652
1959,15.236,17.026,24.141,29.658,33.359,34.07,29.946,29.84,29.691,26.317,20.89,17.078
1960,14.15,21.189,22.314,28.759,33.839,34.57,30.508,29.677,29.606,25.59,20.278,17.599
1961,14.946,15.368,23.63,29.303,32.946,33.018,30.45,29.416,29.525,25.188,19.193,13.317
1962,13.897,17.49,22.858,29.405,32.983,34.62,31.441,29.628,28.55,25.374,21.241,16.09
1963,15.145,19.517,22.613,28.152,31.916,33.068,31.211,29.241,28.582,26.69,21.548,16.041
1964,13.935,17.638,25.117,30.105,31.232,34.282,29.483,29.95,28.529,26.913,20.316,16.149
1965,16.426,16.671,21.63,27.243,32.29,35.503,30.487,29.554,29.065,26.079,21.256,15.549
1966,15.86,19.845,23.567,30.014,33.58,33.305,31.534,29.478,29.292,26.54,21.131,15.813
1967,14.643,19.831,21.567,28.525,33.03,34.319,30.083,28.315,28.59,25.426,19.745,15.554
1968,13.265,15.779,22.479,28.601,32.817,32.896,29.511,29.215,29.92,25.642,20.568,16.026
1969,14.594,18.753,25.801,28.984,31.478,34.479,29.861,29.003,28.154,26.251,21.605,16.413
1970,14.727,16.855,22.18,30.741,33.094,31.76,30.675,29.544,29.042,26.189,20.483,16.701
1971,14.02,17.578,22.977,28.619,30.084,30.829,29.111,28.036,28.556,25.763,20.467,16.69
1972,15.808,15.58,24.168,28.019,34.382,34.322,30.976,28.741,27.957,24.976,20.915,16.339
1973,14.807,18.071,22.71,31.519,33.282,32.619,30.549,28.916,28.767,25.29,20.662,14.838
1974,14.041,17.016,24.714,30.968,32.872,32.992,29.861,29.039,29.054,27.239,20.39,14.353
1975,13.077,16.818,22.268,30.203,33.897,31.85,29.49,28.841,27.881,26.9,20.278,16.242
1976,15.489,17.552,22.431,28.055,31.781,31.832,30.124,27.939,28.593,26.553,22.417,16.441
1977,14.838,18.389,25.226,28.471,29.849,32.545,28.933,29.04,27.857,25.977,22.264,15.69
1978,14.234,16.482,20.134,28.549,34.859,32.68,29.296,28.69,27.965,26.302,20.842,16.536
1979,15.362,15.78,20.931,29.49,30.967,33.33,30.105,29.99,29.617,27.215,22.467,15.937
1980,14.936,18.404,21.968,30.654,34.103,31.767,28.92,29.027,28.707,26.127,21.182,16.649
1981,14.1,18.143,21.546,29.039,31.832,33.57,29.398,29.249,28.992,26.403,20.142,15.21
1982,15.499,16.392,19.531,27.792,30.458,33.008,31.587,29.165,28.937,26.251,21.006,16.801
1983,14.037,15.769,21.706,26.147,31.368,32.719,30.636,29.541,28.704,25.312,20.157,15.543
1984,13.65,15.792,24.668,29.215,34.855,32.93,29.662,29.262,28.416,26.079,20.068,16.265
1985,13.851,18.305,25.543,29.746,33.27,33.57,29.549,29.181,27.941,24.402,20.927,16.431
1986,15.051,17.289,22.069,28.54,30.508,33.108,29.421,29.569,28.858,25.214,21.27,14.728
1987,15.298,18.906,24.275,29.967,30.932,34.946,31.949,30.333,30.067,27.114,21.913,17.31
1988,17.305,19.353,23.618,30.879,34.359,32.781,29.701,29.187,29.431,27.111,21.042,16.24
1989,13.957,17.353,22.89,28.571,33.197,31.706,29.937,28.699,29.091,26.323,20.296,15.638
1990,17.952,16.868,20.453,28.594,31.542,33.719,29.346,29.366,28.467,25.415,21.243,15.942
1991,12.81,18.34,23.216,27.959,33.507,32.919,31.538,29.027,29.101,25.784,19.571,15.492
1992,14.951,16.092,22.842,29.395,31.591,33.083,30.185,28.717,28.13,25.237,20.643,15.879
1993,14.074,19.431,19.984,27.494,32.73,33.966,30.056,29.58,28.738,26.148,21.42,16.429
1994,17.089,17.264,24.269,27.706,33.631,34.187,30.124,29.366,28.767,25.747,20.905,16.395
1995,14.184,17.627,22.032,29.212,35.096,35.128,29.95,28.939,29.148,26.989,21.062,16.671
1996,14.514,17.679,23.489,29.23,33.295,32.56,30.217,27.659,28.789,26.207,20.374,15.011
1997,14.584,17.016,22.455,28.076,30.946,31.76,31.836,29.241,28.927,23.705,20.264,14.7
1998,10.806,17.917,21.176,29.23,33.793,34.367,30.171,29.267,29.565,26.49,22.714,18.022
1999,14.647,20.263,25.388,33.121,33.405,32.566,31.319,30.261,29.128,26.863,22.992,17.262
2000,15.896,17.013,22.243,31.116,32.98,31.822,30.17,29.903,29.498,27.612,23.383,17.521
2001,14.781,18.279,23.327,28.392,32.606,31.914,30.835,30.541,30.398,27.678,22.765,17.387
2002,15.7,17.702,24.091,30.267,34.64,33.796,32.787,30.124,27.907,26.941,21.48,16.342
