Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.933,14.992,21.952,27.651,31.557,34.603,31.761,29.989,29.263,27.172,20.97,15.317
1902,15.449,17.978,23.394,28.103,32.053,32.696,30.142,30.347,28.81,24.935,19.995,14.89
1903,13.746,15.435,20.026,27.129,31.768,34.186,32.088,29.82,29.675,25.625,20.109,15.175
1904,13.729,17.593,21.342,29.026,31.047,33.034,29.955,29.374,28.554,25.677,19.09,14.69
1905,11.33,12.073,17.671,25.011,32.289,33.788,30.857,30.34,29.635,26.197,20.78,14.817
1906,12.617,13.801,19.711,28.106,33.696,32.471,30.843,29.317,28.692,25.966,21.505,16.105
1907,16.034,13.681,17.739,25.299,30.323,33.272,31.829,29.55,30.125,26.939,20.494,14.818
1908,14.286,16.978,22.015,29.737,31.81,34.301,29.812,28.654,28.938,25.84,19.496,14.529
1909,13.045,15.377,22.915,26.323,31.863,31.455,29.649,29.44,29.255,26.697,20.617,15.171
1910,14.371,16.192,22.198,27.717,32.093,32.169,29.619,29.424,28.983,24.786,19.22,14.497
1911,14.38,17.082,19.18,27.771,33.552,32.586,32.042,30.631,28.731,25.769,18.225,14.571
1912,13.904,17.293,21.342,27.309,31.912,33.699,30.591,29.363,28.091,25.778,18.478,14.474
1913,14.442,15.05,19.156,28.711,30.254,30.899,30.148,30.439,30.027,26.011,18.923,13.474
1914,15.648,15.207,20.468,27.327,31.468,32.299,30.052,29.846,28.824,23.97,19.885,14.356
1915,14.289,15.005,21.35,27.927,33.581,32.911,31.7,30.433,29.669,27.409,20.805,15.271
1916,14.619,15.919,25.15,29.532,32.565,31.893,29.994,29.48,28.656,25.534,19.724,14.002
1917,14.12,16.29,20.769,24.537,27.753,31.669,29.562,29.371,27.566,24.512,19.34,14.543
1918,13.325,17.26,21.726,26.052,33.264,31.958,32.071,30.621,29.7,26.096,19.507,13.432
1919,13.065,15.516,21.648,26.322,30.637,33.736,29.831,29.454,28.776,25.51,19.493,13.921
1920,15.174,14.881,20.41,27.771,28.727,31.796,29.637,30.011,29.707,26.38,20.854,16.417
1921,13.872,17.544,25.038,30.454,35.15,32.868,31.016,28.989,27.851,24.496,19.69,15.659
1922,12.599,17.546,23.668,28.411,33.164,32.139,30.241,28.989,28.038,24.867,19.469,13.375
1923,14.261,14.78,22.469,29.283,31.907,34.887,30.262,29.057,28.648,24.624,19.721,14.644
1924,12.942,16.205,23.268,29.023,29.16,35.127,30.542,29.317,27.658,25.391,19.465,15.248
1925,11.944,15.575,22.236,29.71,31.85,30.409,29.09,29.612,29.04,25.369,18.539,14.89
1926,13.979,17.52,19.665,24.51,29.683,34.627,30.718,29.178,28.637,25.011,17.641,14.657
1927,12.881,14.163,20.768,27.225,30.552,33.095,29.934,28.776,28.814,25.325,19.239,15.774
1928,13.075,16.693,22.01,27.337,33.349,32.638,30.617,30.779,30.009,26.554,20.023,14.446
1929,13.414,15.338,23.68,28.58,33.18,32.658,30.199,28.923,29.308,25.239,20.267,12.964
1930,12.46,15.919,22.971,27.697,31.922,32.142,29.216,29.596,28.943,25.193,19.292,15.09
1931,15.205,14.182,21.254,29.579,31.955,34.224,30.492,30.104,28.234,25.129,19.35,15.248
1932,15.555,15.19,22.681,28.093,31.082,34.466,30.621,28.985,28.614,25.677,20.37,14.63
1933,12.358,16.49,22.071,26.082,28.747,31.956,29.29,28.623,27.951,24.912,19.743,15.605
1934,12.148,18.257,20.969,28.383,31.491,32.024,29.803,28.405,29.436,25.51,19.851,14.164
1935,11.432,16.462,21.669,24.609,32.917,34.224,29.827,28.896,28.411,25.252,19.732,13.725
1936,12.542,15.513,21.469,27.307,32.873,29.987,29.2,28.744,28.08,24.833,19.594,14.092
1937,12.973,15.576,20.469,25.476,31.292,32.793,29.833,30.176,28.952,24.698,18.677,13.903
1938,12.682,14.585,23.011,29.068,33.071,31.36,30.08,29.804,29.659,26.259,18.036,15.473
1939,14.241,15.67,18.98,26.898,33.622,31.224,30.045,30.176,28.948,25.839,19.856,15.587
1940,13.895,15.532,19.265,26.77,32.534,33.308,30.488,28.939,28.322,25.736,20.367,13.822
1941,12.511,17.219,24.211,30.963,33.034,31.83,31.752,30.065,29.151,26.878,19.87,16.387
1942,12.63,17.368,23.793,29.149,32.437,34.197,29.42,28.581,27.826,25.709,20.696,13.8
1943,13.027,17.159,22.588,26.131,32.244,32.62,29.687,28.654,29.312,25.709,21.313,15.74
1944,12.33,15.204,20.541,26.735,34.009,32.197,29.761,29.622,28.74,25.593,20.243,16.238
1945,11.44,15.389,22.281,26.406,32.042,33.998,30.045,29.769,28.268,24.72,20.201,13.76
1946,15.703,18.405,21.495,28.372,31.074,32.616,29.857,29.834,29.312,25.308,19.801,14.617
1947,12.742,16.905,22.327,29.54,32.747,34.806,30.927,29.995,28.641,24.723,20.584,15.248
1948,13.643,15.593,20.445,30.377,33.45,34.404,30.345,28.681,28.61,25.478,18.968,14.213
1949,15.826,16.135,22.315,29.035,32.228,33.799,29.805,29.494,29.29,26.113,19.183,13.58
1950,14.739,15.06,20.478,27.703,32.671,32.978,29.754,29.172,28.013,25.239,19.764,13.918
1951,12.684,16.964,22.011,25.87,31.983,33.12,31.688,30.146,29.077,27.739,20.977,15.752
1952,15.303,18.463,20.861,29.734,32.392,32.266,30.391,29.008,29.821,26.225,20.393,15.647
1953,12.595,19.15,25.382,29.138,32.793,33.696,30.022,29.43,29.185,25.924,20.355,16.929
1954,12.684,16.985,22.856,29.425,33.754,33.406,30.391,30.081,29.32,23.813,19.87,14.371
1955,13.384,17.709,24.181,26.41,30.816,33.806,30.561,28.877,28.514,24.328,19.883,14.529
1956,13.689,17.859,22.183,29.471,33.489,32.634,29.374,29.367,29.392,24.528,19.453,14.271
1957,12.784,15.835,20.482,26.898,31.216,32.605,30.471,29.9,28.102,25.677,20.827,15.348
1958,15.182,16.263,22.957,30.111,32.314,34.072,29.763,29.395,28.993,25.74,20.813,15.945
1959,14.259,16.019,23.266,28.523,32.074,33.637,29.817,29.88,29.335,26.112,20.111,16.232
1960,13.213,20.395,21.083,27.328,32.94,33.967,30.203,29.438,29.478,25.252,19.6,16.906
1961,14.286,14.49,22.92,28.454,32.179,32.793,30.578,29.461,29.464,24.783,18.166,12.729
1962,12.903,16.808,22.011,28.808,32.35,33.57,31.103,29.865,28.016,25.524,20.254,14.705
1963,14.129,18.702,21.58,27.152,30.88,32.642,31.139,29.025,28.168,26.155,20.202,15.009
1964,12.689,16.7,23.849,28.917,30.226,33.779,28.991,29.751,27.996,26.182,19.457,15.005
1965,15.396,15.731,20.878,26.123,31.263,34.65,30.121,29.308,28.72,25.451,20.262,14.307
