Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.864,16.044,22.952,28.822,33.161,36.379,32.925,29.763,30.02,28.129,21.59,16.094
1902,16.113,18.605,24.807,29.53,33.617,34.086,30.787,30.495,29.287,26.129,20.527,15.091
1903,14.693,16.358,21.637,28.15,32.917,35.843,33.102,29.748,30.142,25.834,20.204,15.035
1904,14.512,17.991,22.521,30.094,32.425,34.582,29.921,28.774,28.881,26.291,19.766,15.348
1905,12.415,12.872,19.175,26.409,33.603,35.882,31.653,30.137,30.59,27.002,21.863,15.523
1906,13.688,15.125,20.766,29.149,35.238,33.822,31.285,29.626,28.955,26.678,21.836,16.316
1907,16.436,15.025,19.484,26.75,31.711,34.951,33.43,29.459,30.596,27.381,21.073,14.679
1908,14.201,17.53,22.632,30.629,33.24,35.717,30.16,28.867,29.421,26.182,20.173,14.711
1909,13.977,16.118,23.394,27.148,32.501,32.727,30.168,29.635,29.451,26.938,21.483,15.173
1910,14.358,17.143,23.021,28.672,33.482,33.788,31,29.848,29.477,25.259,19.85,14.932
1911,15.709,17.689,20.553,28.937,34.89,34.77,32.596,30.222,28.758,26.661,18.922,14.871
1912,14.798,18.02,22.048,28.809,33.575,35.719,31.82,29.742,28.437,26.426,19.408,14.977
1913,14.932,16.503,20.514,30.103,31.578,32.645,31.421,31.166,31.177,27.373,20.142,14.809
1914,16.423,16.843,22.024,29.391,33.28,34.096,31.061,29.738,29.738,25.302,21.022,14.682
1915,14.724,15.616,22.057,28.702,35.046,34.631,32.772,30.552,30.652,28.082,21.152,15.876
1916,15.188,16.749,25.648,30.602,33.729,33.171,31.132,29.412,29.233,25.873,19.516,14.266
1917,14.838,17.041,21.891,25.846,29.111,33.292,30.412,29.284,28.416,25.176,18.939,15.111
1918,13.739,17.659,22.572,27.256,34.732,33.759,33.758,31.34,30.563,26.975,20.472,14.126
1919,14.086,16.094,22.84,27.911,32.469,35.662,30.304,29.304,29.364,26.024,20.163,14.559
1920,15.115,16.226,22.218,28.921,30.452,33.388,30.373,30.251,30.891,27.739,21.907,16.463
